chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	5XjFxhiaTSPMe7Kmqc1JeUCoJFscGm49H1uuUGPGmaUC	5YDiwYMkwVzdEiHK6Uy6oJ7moqzxE9TZh3yuuu8yY2D5	Baby Crodie	$BYC	104	14	104	14	12.0	27539.4	79805	2024-05-08 09:22:38	2.26	False	True	True	True	3	4a8cce	0.00007980	43.33	43.33	43.33	43.33	2024-05-08 11:24:53.898002
solana	raydium	5XjFxhiaTSPMe7Kmqc1JeUCoJFscGm49H1uuUGPGmaUC	5YDiwYMkwVzdEiHK6Uy6oJ7moqzxE9TZh3yuuu8yY2D5	Baby Crodie	$BYC	161	49	161	49	12.0	27640.09	79989	2024-05-08 09:22:38	4.58	False	True	True	True	3	4a8cce	0.00007998	43.66	43.66	43.66	43.66	2024-05-08 11:27:12.507517
solana	raydium	5XjFxhiaTSPMe7Kmqc1JeUCoJFscGm49H1uuUGPGmaUC	5YDiwYMkwVzdEiHK6Uy6oJ7moqzxE9TZh3yuuu8yY2D5	Baby Crodie	$BYC	119	62	210	70	6.8	30415.48	96735	2024-05-08 09:22:38	6.85	False	True	True	True	3	4a8cce	0.00009673	73.73	73.73	73.73	40.88	2024-05-08 11:29:29.085849
solana	raydium	5XjFxhiaTSPMe7Kmqc1JeUCoJFscGm49H1uuUGPGmaUC	5YDiwYMkwVzdEiHK6Uy6oJ7moqzxE9TZh3yuuu8yY2D5	Baby Crodie	$BYC	85	37	254	89	4.02	30100.51	94704	2024-05-08 09:22:38	9.17	False	True	True	True	3	4a8cce	0.00009470	70.08	70.08	70.08	13.27	2024-05-08 11:31:48.083416
solana	raydium	5XjFxhiaTSPMe7Kmqc1JeUCoJFscGm49H1uuUGPGmaUC	5YDiwYMkwVzdEiHK6Uy6oJ7moqzxE9TZh3yuuu8yY2D5	Baby Crodie	$BYC	66	53	278	123	2.85	28292.25	83750	2024-05-08 09:22:38	11.49	False	True	True	True	3	4a8cce	0.00008375	50.41	50.41	50.41	-13.94	2024-05-08 11:34:07.633040
solana	raydium	5XjFxhiaTSPMe7Kmqc1JeUCoJFscGm49H1uuUGPGmaUC	5YDiwYMkwVzdEiHK6Uy6oJ7moqzxE9TZh3yuuu8yY2D5	Baby Crodie	$BYC	63	58	313	143	2.42	29881.74	93560	2024-05-08 09:22:38	13.79	False	True	True	True	3	4a8cce	0.00009356	68.03	68.03	68.03	-0.61	2024-05-08 11:36:25.647247
solana	raydium	5XjFxhiaTSPMe7Kmqc1JeUCoJFscGm49H1uuUGPGmaUC	5YDiwYMkwVzdEiHK6Uy6oJ7moqzxE9TZh3yuuu8yY2D5	Baby Crodie	$BYC	41	26	320	154	1.54	29570.79	91555	2024-05-08 09:22:38	16.09	False	True	True	True	3	4a8cce	0.00009155	64.43	64.43	64.43	26.88	2024-05-08 11:38:43.452260
solana	raydium	5XjFxhiaTSPMe7Kmqc1JeUCoJFscGm49H1uuUGPGmaUC	5YDiwYMkwVzdEiHK6Uy6oJ7moqzxE9TZh3yuuu8yY2D5	Baby Crodie	$BYC	17	24	331	168	0.62	29443.28	90708	2024-05-08 09:22:38	18.37	False	True	True	True	3	4a8cce	0.00009070	62.91	62.91	62.91	-3.31	2024-05-08 11:41:00.467706
solana	raydium	5XjFxhiaTSPMe7Kmqc1JeUCoJFscGm49H1uuUGPGmaUC	5YDiwYMkwVzdEiHK6Uy6oJ7moqzxE9TZh3yuuu8yY2D5	Baby Crodie	$BYC	29	24	349	177	1.0	33027.7	114119	2024-05-08 09:22:38	20.65	False	True	True	True	3	4a8cce	0.0001141	105	105	105	23.82	2024-05-08 11:43:16.802893
solana	raydium	5XjFxhiaTSPMe7Kmqc1JeUCoJFscGm49H1uuUGPGmaUC	5YDiwYMkwVzdEiHK6Uy6oJ7moqzxE9TZh3yuuu8yY2D5	Baby Crodie	$BYC	35	14	368	186	1.14	32841.27	112888	2024-05-08 09:22:38	22.91	False	True	True	True	3	4a8cce	0.0001128	103	103	103	25.23	2024-05-08 11:45:32.628348
solana	raydium	5XjFxhiaTSPMe7Kmqc1JeUCoJFscGm49H1uuUGPGmaUC	5YDiwYMkwVzdEiHK6Uy6oJ7moqzxE9TZh3yuuu8yY2D5	Baby Crodie	$BYC	23	16	377	193	0.73	32353.81	109204	2024-05-08 09:22:38	25.19	False	True	True	True	3	4a8cce	0.0001092	96.12	96.12	96.12	-7.51	2024-05-08 11:47:49.439963
solana	raydium	5XjFxhiaTSPMe7Kmqc1JeUCoJFscGm49H1uuUGPGmaUC	5YDiwYMkwVzdEiHK6Uy6oJ7moqzxE9TZh3yuuu8yY2D5	Baby Crodie	$BYC	17	15	385	201	0.53	31327.11	102277	2024-05-08 09:22:38	27.46	False	True	True	True	3	4a8cce	0.0001022	83.68	83.68	83.68	-9.4	2024-05-08 11:50:05.538704
