chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	9HxNuMKTojFUGMGfieERoJyY2aQ3FzVoRMZ5zXRb6Dzc	5pRp3PRWq8uWJc8nJXVeMm7ufYrY4movzsQRtqfLMSfz	Kini	KINI	185	38	185	38	12.0	30504.3	97574	2024-05-11 03:42:55	1.08	False	True	True	True	3	fca3a4	0.00009757	57.23	57.23	57.23	57.23	2024-05-11 05:43:59.831342
solana	raydium	9HxNuMKTojFUGMGfieERoJyY2aQ3FzVoRMZ5zXRb6Dzc	5pRp3PRWq8uWJc8nJXVeMm7ufYrY4movzsQRtqfLMSfz	Kini	KINI	450	137	450	137	12.0	36323.66	137196	2024-05-11 03:42:55	3.35	False	True	True	True	3	fca3a4	0.0001371	121	121	121	121	2024-05-11 05:46:16.215197
solana	raydium	9HxNuMKTojFUGMGfieERoJyY2aQ3FzVoRMZ5zXRb6Dzc	5pRp3PRWq8uWJc8nJXVeMm7ufYrY4movzsQRtqfLMSfz	Kini	KINI	589	219	620	223	11.4	39969.48	164935	2024-05-11 03:42:55	5.61	False	True	True	True	3	fca3a4	0.0001649	166	166	166	72.22	2024-05-11 05:48:31.610413
solana	raydium	9HxNuMKTojFUGMGfieERoJyY2aQ3FzVoRMZ5zXRb6Dzc	5pRp3PRWq8uWJc8nJXVeMm7ufYrY4movzsQRtqfLMSfz	Kini	KINI	296	155	765	299	4.64	41248.88	174869	2024-05-11 03:42:55	7.85	False	True	True	True	3	fca3a4	0.0001748	182	182	182	26.99	2024-05-11 05:50:45.719377
solana	raydium	9HxNuMKTojFUGMGfieERoJyY2aQ3FzVoRMZ5zXRb6Dzc	5pRp3PRWq8uWJc8nJXVeMm7ufYrY4movzsQRtqfLMSfz	Kini	KINI	235	155	863	380	3.27	37746.43	145354	2024-05-11 03:42:55	10.1	False	True	True	True	3	fca3a4	0.0001453	134	134	134	-12.33	2024-05-11 05:53:01.226070
solana	raydium	9HxNuMKTojFUGMGfieERoJyY2aQ3FzVoRMZ5zXRb6Dzc	5pRp3PRWq8uWJc8nJXVeMm7ufYrY4movzsQRtqfLMSfz	Kini	KINI	260	180	1019	478	3.06	37914.61	146344	2024-05-11 03:42:55	12.37	False	True	True	True	3	fca3a4	0.0001463	136	136	136	-22.14	2024-05-11 05:55:17.252013
solana	raydium	9HxNuMKTojFUGMGfieERoJyY2aQ3FzVoRMZ5zXRb6Dzc	5pRp3PRWq8uWJc8nJXVeMm7ufYrY4movzsQRtqfLMSfz	Kini	KINI	357	238	1201	609	3.57	25263.95	64456	2024-05-11 03:42:55	14.64	False	True	True	True	3	fca3a4	0.00006445	3.86	3.86	3.86	-66.52	2024-05-11 05:57:33.651693
solana	raydium	9HxNuMKTojFUGMGfieERoJyY2aQ3FzVoRMZ5zXRb6Dzc	5pRp3PRWq8uWJc8nJXVeMm7ufYrY4movzsQRtqfLMSfz	Kini	KINI	16	13	78	64	2.46	23839.68	55003	2024-05-11 03:42:55	143.93	False	True	True	True	3	de7d2d	0.00005500	-11.37	-11.37	123	19.86	2024-05-11 08:06:50.582244
solana	raydium	9HxNuMKTojFUGMGfieERoJyY2aQ3FzVoRMZ5zXRb6Dzc	5pRp3PRWq8uWJc8nJXVeMm7ufYrY4movzsQRtqfLMSfz	Kini	KINI	16	8	82	67	2.34	23371.22	52678	2024-05-11 03:42:55	146.2	False	True	True	True	3	de7d2d	0.00005267	-15.12	-15.12	108	16.3	2024-05-11 08:09:06.997714
solana	raydium	9HxNuMKTojFUGMGfieERoJyY2aQ3FzVoRMZ5zXRb6Dzc	5pRp3PRWq8uWJc8nJXVeMm7ufYrY4movzsQRtqfLMSfz	Kini	KINI	17	8	90	67	2.27	23199.49	51884	2024-05-11 03:42:55	148.45	False	True	True	True	3	de7d2d	0.00005188	-16.4	-16.4	108	-5.14	2024-05-11 08:11:21.886703
