chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	AAuwmXqE1r4ZRHQDtHLyrjLGRhNc5jignCgroq2kuBvb	6XhJBSAEvXPyztNwZ4hwkaL3m4YWNA7bWX2fnzDF8WA6	cheetozard	cheetozard	63	40	408	275	1.85	24854.61	141675	2024-05-07 18:33:45	11.89	False	True	True	True	3	6e710e	0.0001416	10043	10043	10043	22.74	2024-05-07 20:45:38.595958
solana	raydium	AAuwmXqE1r4ZRHQDtHLyrjLGRhNc5jignCgroq2kuBvb	6XhJBSAEvXPyztNwZ4hwkaL3m4YWNA7bWX2fnzDF8WA6	cheetozard	cheetozard	57	48	432	315	1.58	20484.05	96047	2024-05-07 18:33:45	14.25	False	True	True	True	3	6e710e	0.00009604	6776	6776	6776	-21.23	2024-05-07 20:48:00.218670
solana	raydium	AAuwmXqE1r4ZRHQDtHLyrjLGRhNc5jignCgroq2kuBvb	6XhJBSAEvXPyztNwZ4hwkaL3m4YWNA7bWX2fnzDF8WA6	cheetozard	cheetozard	48	60	457	336	1.26	22412.36	114830	2024-05-07 18:33:45	16.7	False	True	True	True	3	6e710e	0.0001148	8121	8121	8121	-18.46	2024-05-07 20:50:26.987633
solana	raydium	AAuwmXqE1r4ZRHQDtHLyrjLGRhNc5jignCgroq2kuBvb	6XhJBSAEvXPyztNwZ4hwkaL3m4YWNA7bWX2fnzDF8WA6	cheetozard	cheetozard	41	20	479	347	1.03	22825.54	119037	2024-05-07 18:33:45	19.06	False	True	True	True	3	6e710e	0.0001190	8422	8422	8422	23.07	2024-05-07 20:52:48.794340
solana	raydium	AAuwmXqE1r4ZRHQDtHLyrjLGRhNc5jignCgroq2kuBvb	6XhJBSAEvXPyztNwZ4hwkaL3m4YWNA7bWX2fnzDF8WA6	cheetozard	cheetozard	61	26	520	363	1.41	25988.96	153985	2024-05-07 18:33:45	21.41	False	True	True	True	3	6e710e	0.0001539	10924	10924	10924	26.03	2024-05-07 20:55:09.694579
solana	raydium	AAuwmXqE1r4ZRHQDtHLyrjLGRhNc5jignCgroq2kuBvb	6XhJBSAEvXPyztNwZ4hwkaL3m4YWNA7bWX2fnzDF8WA6	cheetozard	cheetozard	102	44	586	394	2.09	27290.92	169339	2024-05-07 18:33:45	23.84	False	True	True	True	3	6e710e	0.0001693	12023	12023	12023	41.76	2024-05-07 20:57:35.624390
solana	raydium	AAuwmXqE1r4ZRHQDtHLyrjLGRhNc5jignCgroq2kuBvb	6XhJBSAEvXPyztNwZ4hwkaL3m4YWNA7bWX2fnzDF8WA6	cheetozard	cheetozard	172	75	706	443	2.92	30350.47	208663	2024-05-07 18:33:45	26.25	False	True	True	True	3	6e710e	0.0002086	14838	14838	14838	31.32	2024-05-07 21:00:00.025793
solana	raydium	AAuwmXqE1r4ZRHQDtHLyrjLGRhNc5jignCgroq2kuBvb	6XhJBSAEvXPyztNwZ4hwkaL3m4YWNA7bWX2fnzDF8WA6	cheetozard	cheetozard	171	89	758	483	2.71	29059.27	190760	2024-05-07 18:33:45	28.61	False	True	True	True	3	6e710e	0.0001907	13556	13556	13556	12.01	2024-05-07 21:02:21.896046
solana	raydium	AAuwmXqE1r4ZRHQDtHLyrjLGRhNc5jignCgroq2kuBvb	6XhJBSAEvXPyztNwZ4hwkaL3m4YWNA7bWX2fnzDF8WA6	cheetozard	cheetozard	68	59	788	513	1.04	30848.79	214674	2024-05-07 18:33:45	31.0	False	True	True	True	3	6e710e	0.0002146	15268	15268	15268	-2.17	2024-05-07 21:04:44.744339
solana	raydium	AAuwmXqE1r4ZRHQDtHLyrjLGRhNc5jignCgroq2kuBvb	6XhJBSAEvXPyztNwZ4hwkaL3m4YWNA7bWX2fnzDF8WA6	cheetozard	cheetozard	72	48	836	537	1.03	32287.69	235059	2024-05-07 18:33:45	33.39	False	True	True	True	3	6e710e	0.0002350	16728	16728	16728	13.67	2024-05-07 21:07:08.192253
