chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	DopMwG99UAvUq6Sbm3ToaULMpD4aGk7i8k1neAJYMdXm	6bE23pRia6rvShfBhkFiWF5fRPWXyG6EYvoMvvLss91p	BANANA ZONE	BZONE	8	5	220	190	0.44	47341.88	220759	2024-05-11 20:43:38	304.85	False	True	False	True	2	daa9e3	0.0002207	273	273	186	9.57	2024-05-12 03:48:28.826435
solana	raydium	DopMwG99UAvUq6Sbm3ToaULMpD4aGk7i8k1neAJYMdXm	6bE23pRia6rvShfBhkFiWF5fRPWXyG6EYvoMvvLss91p	BANANA ZONE	BZONE	24	7	235	194	1.23	51433.2	260457	2024-05-11 20:43:38	307.1	False	True	False	True	2	daa9e3	0.0002604	340	340	208	29.75	2024-05-12 03:50:44.108416
solana	raydium	DopMwG99UAvUq6Sbm3ToaULMpD4aGk7i8k1neAJYMdXm	6bE23pRia6rvShfBhkFiWF5fRPWXyG6EYvoMvvLss91p	BANANA ZONE	BZONE	31	18	241	206	1.54	51982.02	265880	2024-05-11 20:43:38	309.37	False	True	False	True	2	daa9e3	0.0002658	349	349	180	16.65	2024-05-12 03:53:00.132953
solana	raydium	DopMwG99UAvUq6Sbm3ToaULMpD4aGk7i8k1neAJYMdXm	6bE23pRia6rvShfBhkFiWF5fRPWXyG6EYvoMvvLss91p	BANANA ZONE	BZONE	39	22	261	206	1.79	60011.21	354294	2024-05-11 20:43:38	311.63	False	True	False	True	2	daa9e3	0.0003542	498	498	284	34.93	2024-05-12 03:55:15.848773
solana	raydium	DopMwG99UAvUq6Sbm3ToaULMpD4aGk7i8k1neAJYMdXm	6bE23pRia6rvShfBhkFiWF5fRPWXyG6EYvoMvvLss91p	BANANA ZONE	BZONE	25	20	265	209	1.13	55854.55	306822	2024-05-11 20:43:38	313.88	False	True	False	True	2	daa9e3	0.0003068	418	418	256	11.61	2024-05-12 03:57:30.942127
solana	raydium	DopMwG99UAvUq6Sbm3ToaULMpD4aGk7i8k1neAJYMdXm	6bE23pRia6rvShfBhkFiWF5fRPWXyG6EYvoMvvLss91p	BANANA ZONE	BZONE	30	23	290	217	1.24	56868.92	318198	2024-05-11 20:43:38	316.14	False	True	False	True	2	daa9e3	0.0003181	437	437	272	-10.19	2024-05-12 03:59:46.295475
solana	raydium	DopMwG99UAvUq6Sbm3ToaULMpD4aGk7i8k1neAJYMdXm	6bE23pRia6rvShfBhkFiWF5fRPWXyG6EYvoMvvLss91p	BANANA ZONE	BZONE	33	23	297	227	1.33	52945.73	275688	2024-05-11 20:43:38	318.39	False	True	False	True	2	daa9e3	0.0002756	365	365	228	-10.15	2024-05-12 04:02:01.356152
solana	raydium	DopMwG99UAvUq6Sbm3ToaULMpD4aGk7i8k1neAJYMdXm	6bE23pRia6rvShfBhkFiWF5fRPWXyG6EYvoMvvLss91p	BANANA ZONE	BZONE	12	23	294	234	0.49	49690.45	242388	2024-05-11 20:43:38	320.66	False	True	False	True	2	daa9e3	0.0002423	309	309	215	-21.06	2024-05-12 04:04:17.341943
solana	raydium	DopMwG99UAvUq6Sbm3ToaULMpD4aGk7i8k1neAJYMdXm	6bE23pRia6rvShfBhkFiWF5fRPWXyG6EYvoMvvLss91p	BANANA ZONE	BZONE	7	12	298	238	0.28	50631.01	251607	2024-05-11 20:43:38	322.93	False	True	False	True	2	daa9e3	0.0002516	325	325	216	-7.69	2024-05-12 04:06:33.978198
solana	raydium	DopMwG99UAvUq6Sbm3ToaULMpD4aGk7i8k1neAJYMdXm	6bE23pRia6rvShfBhkFiWF5fRPWXyG6EYvoMvvLss91p	BANANA ZONE	BZONE	8	13	292	247	0.33	44098.28	191154	2024-05-11 20:43:38	325.18	False	True	False	True	2	daa9e3	0.0001911	223	223	68.91	-21.14	2024-05-12 04:08:48.920782
solana	raydium	DopMwG99UAvUq6Sbm3ToaULMpD4aGk7i8k1neAJYMdXm	6bE23pRia6rvShfBhkFiWF5fRPWXyG6EYvoMvvLss91p	BANANA ZONE	BZONE	25	21	307	255	0.98	43697.93	187584	2024-05-11 20:43:38	327.42	False	True	False	True	2	daa9e3	0.0001875	217	217	22.83	-25.45	2024-05-12 04:11:03.480030
solana	raydium	DopMwG99UAvUq6Sbm3ToaULMpD4aGk7i8k1neAJYMdXm	6bE23pRia6rvShfBhkFiWF5fRPWXyG6EYvoMvvLss91p	BANANA ZONE	BZONE	31	18	297	247	1.25	44566.27	194969	2024-05-11 20:43:38	329.68	False	True	False	True	2	daa9e3	0.0001949	229	229	15.14	-2.42	2024-05-12 04:13:18.698767
solana	raydium	DopMwG99UAvUq6Sbm3ToaULMpD4aGk7i8k1neAJYMdXm	6bE23pRia6rvShfBhkFiWF5fRPWXyG6EYvoMvvLss91p	BANANA ZONE	BZONE	7	6	262	227	0.32	44255.75	192348	2024-05-11 20:43:38	331.93	False	True	False	True	2	daa9e3	0.0001923	225	225	-10.1	4.24	2024-05-12 04:15:33.852006
solana	raydium	DopMwG99UAvUq6Sbm3ToaULMpD4aGk7i8k1neAJYMdXm	6bE23pRia6rvShfBhkFiWF5fRPWXyG6EYvoMvvLss91p	BANANA ZONE	BZONE	1	5	251	214	0.05	44171.05	191323	2024-05-11 20:43:38	334.19	False	True	False	True	2	daa9e3	0.0001913	223	223	-0.95	-1.87	2024-05-12 04:17:49.139320
solana	raydium	DopMwG99UAvUq6Sbm3ToaULMpD4aGk7i8k1neAJYMdXm	6bE23pRia6rvShfBhkFiWF5fRPWXyG6EYvoMvvLss91p	BANANA ZONE	BZONE	2	2	246	209	0.1	44278.37	192110	2024-05-11 20:43:38	336.45	False	True	False	True	2	daa9e3	0.0001921	224	224	0.13	-0.12	2024-05-12 04:20:04.776035
solana	raydium	DopMwG99UAvUq6Sbm3ToaULMpD4aGk7i8k1neAJYMdXm	6bE23pRia6rvShfBhkFiWF5fRPWXyG6EYvoMvvLss91p	BANANA ZONE	BZONE	3	7	243	205	0.15	42110.26	173676	2024-05-11 20:43:38	338.69	False	True	False	True	2	daa9e3	0.0001736	193	193	23.57	-9.22	2024-05-12 04:22:19.268120
solana	raydium	DopMwG99UAvUq6Sbm3ToaULMpD4aGk7i8k1neAJYMdXm	6bE23pRia6rvShfBhkFiWF5fRPWXyG6EYvoMvvLss91p	BANANA ZONE	BZONE	5	5	224	184	0.27	44038.12	189968	2024-05-11 20:43:38	340.93	False	True	False	True	2	daa9e3	0.0001899	221	221	24.37	6.81	2024-05-12 04:24:33.779226
solana	raydium	DopMwG99UAvUq6Sbm3ToaULMpD4aGk7i8k1neAJYMdXm	6bE23pRia6rvShfBhkFiWF5fRPWXyG6EYvoMvvLss91p	BANANA ZONE	BZONE	5	3	217	171	0.28	44167.95	191269	2024-05-11 20:43:38	343.19	False	True	False	True	2	daa9e3	0.0001912	223	223	45.68	10.95	2024-05-12 04:26:49.284078
solana	raydium	DopMwG99UAvUq6Sbm3ToaULMpD4aGk7i8k1neAJYMdXm	6bE23pRia6rvShfBhkFiWF5fRPWXyG6EYvoMvvLss91p	BANANA ZONE	BZONE	2	2	184	165	0.13	44269.76	192072	2024-05-11 20:43:38	345.44	False	True	False	True	2	daa9e3	0.0001920	224	224	-2.83	1.11	2024-05-12 04:29:04.508049
solana	raydium	DopMwG99UAvUq6Sbm3ToaULMpD4aGk7i8k1neAJYMdXm	6bE23pRia6rvShfBhkFiWF5fRPWXyG6EYvoMvvLss91p	BANANA ZONE	BZONE	1	0	180	155	0.07	44269.76	192072	2024-05-11 20:43:38	347.72	False	True	False	True	2	daa9e3	0.0001920	224	224	3.6	0	2024-05-12 04:31:21.357109
solana	raydium	DopMwG99UAvUq6Sbm3ToaULMpD4aGk7i8k1neAJYMdXm	6bE23pRia6rvShfBhkFiWF5fRPWXyG6EYvoMvvLss91p	BANANA ZONE	BZONE	0	2	162	150		43532.53	185308	2024-05-11 20:43:38	349.98	False	True	False	True	2	daa9e3	0.0001853	213	213	-20.89	-3.52	2024-05-12 04:33:36.973431
