chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	BmdYfNDjXUN9d8mngwVVpjiLm7MMg9c7sYkeJ5z88fuK	7Xb66r33Dtd8rZFkGF4Yfj7yLhqcDstyexFEbHFFLUmG	Happy Ape	HAPE	294	159	917	468	3.85	28907.86	132281	2024-05-11 21:20:42	10.05	False	True	True	True	3	e6655a	0.01322	8723	8723	8723	19.36	2024-05-11 23:30:44.792111
solana	raydium	BmdYfNDjXUN9d8mngwVVpjiLm7MMg9c7sYkeJ5z88fuK	7Xb66r33Dtd8rZFkGF4Yfj7yLhqcDstyexFEbHFFLUmG	Happy Ape	HAPE	97	48	966	492	1.2	34211.52	185414	2024-05-11 21:20:42	12.33	False	True	True	True	3	e6655a	0.01854	12267	12267	12267	49.9	2024-05-11 23:33:01.520904
solana	raydium	BmdYfNDjXUN9d8mngwVVpjiLm7MMg9c7sYkeJ5z88fuK	7Xb66r33Dtd8rZFkGF4Yfj7yLhqcDstyexFEbHFFLUmG	Happy Ape	HAPE	141	81	1056	548	1.6	32159.83	162760	2024-05-11 21:20:42	14.59	False	True	True	True	3	e6655a	0.01627	10756	10756	10756	24.86	2024-05-11 23:35:17.572700
solana	raydium	BmdYfNDjXUN9d8mngwVVpjiLm7MMg9c7sYkeJ5z88fuK	7Xb66r33Dtd8rZFkGF4Yfj7yLhqcDstyexFEbHFFLUmG	Happy Ape	HAPE	392	214	1364	709	3.45	34059.42	179306	2024-05-11 21:20:42	16.91	False	True	True	True	3	e6655a	0.01793	11859	11859	11859	-1.16	2024-05-11 23:37:36.470640
solana	raydium	BmdYfNDjXUN9d8mngwVVpjiLm7MMg9c7sYkeJ5z88fuK	7Xb66r33Dtd8rZFkGF4Yfj7yLhqcDstyexFEbHFFLUmG	Happy Ape	HAPE	628	356	1689	909	4.46	29227.41	129376	2024-05-11 21:20:42	19.29	False	True	True	True	3	e6655a	0.01293	8529	8529	8529	-20.55	2024-05-11 23:39:59.286831
solana	raydium	BmdYfNDjXUN9d8mngwVVpjiLm7MMg9c7sYkeJ5z88fuK	7Xb66r33Dtd8rZFkGF4Yfj7yLhqcDstyexFEbHFFLUmG	Happy Ape	HAPE	643	380	1986	1078	3.89	33511.31	167750	2024-05-11 21:20:42	21.63	False	True	True	True	3	e6655a	0.01677	11089	11089	11089	-5.9	2024-05-11 23:42:19.857884
solana	raydium	BmdYfNDjXUN9d8mngwVVpjiLm7MMg9c7sYkeJ5z88fuK	7Xb66r33Dtd8rZFkGF4Yfj7yLhqcDstyexFEbHFFLUmG	Happy Ape	HAPE	526	302	2272	1247	2.78	32562.83	156270	2024-05-11 21:20:42	23.95	False	True	True	True	3	e6655a	0.01562	10323	10323	10323	12.93	2024-05-11 23:44:39.174650
solana	raydium	BmdYfNDjXUN9d8mngwVVpjiLm7MMg9c7sYkeJ5z88fuK	7Xb66r33Dtd8rZFkGF4Yfj7yLhqcDstyexFEbHFFLUmG	Happy Ape	HAPE	560	330	2560	1413	2.62	34021.71	168971	2024-05-11 21:20:42	26.22	False	True	True	True	3	e6655a	0.01689	11170	11170	11170	-0.27	2024-05-11 23:46:55.164767
solana	raydium	BmdYfNDjXUN9d8mngwVVpjiLm7MMg9c7sYkeJ5z88fuK	7Xb66r33Dtd8rZFkGF4Yfj7yLhqcDstyexFEbHFFLUmG	Happy Ape	HAPE	535	360	2805	1605	2.29	29647.8	126860	2024-05-11 21:20:42	28.5	False	True	True	True	3	e6655a	0.01268	8361	8361	8361	-22.94	2024-05-11 23:49:11.860916
solana	raydium	BmdYfNDjXUN9d8mngwVVpjiLm7MMg9c7sYkeJ5z88fuK	7Xb66r33Dtd8rZFkGF4Yfj7yLhqcDstyexFEbHFFLUmG	Happy Ape	HAPE	333	293	2992	1767	1.34	31508	141929	2024-05-11 21:20:42	30.78	False	True	True	True	3	e6655a	0.01419	9366	9366	9366	-2.26	2024-05-11 23:51:29.002501
solana	raydium	BmdYfNDjXUN9d8mngwVVpjiLm7MMg9c7sYkeJ5z88fuK	7Xb66r33Dtd8rZFkGF4Yfj7yLhqcDstyexFEbHFFLUmG	Happy Ape	HAPE	463	312	3291	1938	1.69	31902.09	144175	2024-05-11 21:20:42	33.15	False	True	True	True	3	e6655a	0.01441	9516	9516	9516	10.34	2024-05-11 23:53:50.755324
solana	raydium	BmdYfNDjXUN9d8mngwVVpjiLm7MMg9c7sYkeJ5z88fuK	7Xb66r33Dtd8rZFkGF4Yfj7yLhqcDstyexFEbHFFLUmG	Happy Ape	HAPE	586	339	3574	2105	1.97	30992.75	135376	2024-05-11 21:20:42	35.41	False	True	True	True	3	e6655a	0.01353	8929	8929	8929	-5.06	2024-05-11 23:56:06.623905
solana	raydium	BmdYfNDjXUN9d8mngwVVpjiLm7MMg9c7sYkeJ5z88fuK	7Xb66r33Dtd8rZFkGF4Yfj7yLhqcDstyexFEbHFFLUmG	Happy Ape	HAPE	619	356	3841	2257	1.93	30847.33	133550	2024-05-11 21:20:42	37.69	False	True	True	True	3	e6655a	0.01335	8807	8807	8807	1.54	2024-05-11 23:58:23.229271
solana	raydium	BmdYfNDjXUN9d8mngwVVpjiLm7MMg9c7sYkeJ5z88fuK	7Xb66r33Dtd8rZFkGF4Yfj7yLhqcDstyexFEbHFFLUmG	Happy Ape	HAPE	500	290	4110	2411	1.46	30140.61	126905	2024-05-11 21:20:42	39.96	False	True	True	True	3	e6655a	0.01269	8364	8364	8364	-10.8	2024-05-12 00:00:39.559469
solana	raydium	BmdYfNDjXUN9d8mngwVVpjiLm7MMg9c7sYkeJ5z88fuK	7Xb66r33Dtd8rZFkGF4Yfj7yLhqcDstyexFEbHFFLUmG	Happy Ape	HAPE	600	343	4457	2610	1.62	34216.79	162222	2024-05-11 21:20:42	42.25	False	True	True	True	3	e6655a	0.01622	10720	10720	10720	20.63	2024-05-12 00:02:56.731972
solana	raydium	BmdYfNDjXUN9d8mngwVVpjiLm7MMg9c7sYkeJ5z88fuK	7Xb66r33Dtd8rZFkGF4Yfj7yLhqcDstyexFEbHFFLUmG	Happy Ape	HAPE	564	380	4674	2791	1.45	36958.41	187927	2024-05-11 21:20:42	44.51	False	True	True	True	3	e6655a	0.01879	12434	12434	12434	48.08	2024-05-12 00:05:12.361298
solana	raydium	BmdYfNDjXUN9d8mngwVVpjiLm7MMg9c7sYkeJ5z88fuK	7Xb66r33Dtd8rZFkGF4Yfj7yLhqcDstyexFEbHFFLUmG	Happy Ape	HAPE	506	414	4876	2970	1.25	42016.65	242144	2024-05-11 21:20:42	46.79	False	True	True	True	3	e6655a	0.02421	16050	16050	16050	62.22	2024-05-12 00:07:29.405671
solana	raydium	BmdYfNDjXUN9d8mngwVVpjiLm7MMg9c7sYkeJ5z88fuK	7Xb66r33Dtd8rZFkGF4Yfj7yLhqcDstyexFEbHFFLUmG	Happy Ape	HAPE	409	359	5112	3173	0.96	42216.62	243526	2024-05-11 21:20:42	49.09	False	True	True	True	3	e6655a	0.02435	16143	16143	16143	25.94	2024-05-12 00:09:47.147560
