chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	D13qLWgduopqcVqwz26zD1dU61r1mHJFGY6CdZBFefbw	8NX1qQVbTX3FvtQRWwPwvwZtSARJ8KT93iU6TD1y9Ky9	Groomer	GROOMER	58	38	1740	1103	0.4	61644.87	344362	2024-05-07 01:56:18	49.85	False	True	False	True	2	d23ebd	0.0003443	469	469	469	14.58	2024-05-07 04:46:09.111388
solana	raydium	D13qLWgduopqcVqwz26zD1dU61r1mHJFGY6CdZBFefbw	8NX1qQVbTX3FvtQRWwPwvwZtSARJ8KT93iU6TD1y9Ky9	Groomer	GROOMER	52	50	1766	1134	0.35	61191.6	337731	2024-05-07 01:56:18	52.03	False	True	False	True	2	d23ebd	0.0003377	458	458	458	5.46	2024-05-07 04:48:19.850195
solana	raydium	D13qLWgduopqcVqwz26zD1dU61r1mHJFGY6CdZBFefbw	8NX1qQVbTX3FvtQRWwPwvwZtSARJ8KT93iU6TD1y9Ky9	Groomer	GROOMER	58	55	1789	1153	0.39	62944.64	357573	2024-05-07 01:56:18	54.2	False	True	False	True	2	d23ebd	0.0003575	490	490	490	2.37	2024-05-07 04:50:29.722972
solana	raydium	D13qLWgduopqcVqwz26zD1dU61r1mHJFGY6CdZBFefbw	8NX1qQVbTX3FvtQRWwPwvwZtSARJ8KT93iU6TD1y9Ky9	Groomer	GROOMER	44	39	1812	1178	0.29	61009.56	335426	2024-05-07 01:56:18	56.38	False	True	False	True	2	d23ebd	0.0003354	454	454	454	-2.51	2024-05-07 04:52:41.042720
solana	raydium	D13qLWgduopqcVqwz26zD1dU61r1mHJFGY6CdZBFefbw	8NX1qQVbTX3FvtQRWwPwvwZtSARJ8KT93iU6TD1y9Ky9	Groomer	GROOMER	67	67	1856	1221	0.43	56081.01	283034	2024-05-07 01:56:18	58.57	False	True	False	True	2	d23ebd	0.0002830	367	367	367	-19.24	2024-05-07 04:54:51.915536
solana	raydium	D13qLWgduopqcVqwz26zD1dU61r1mHJFGY6CdZBFefbw	8NX1qQVbTX3FvtQRWwPwvwZtSARJ8KT93iU6TD1y9Ky9	Groomer	GROOMER	83	69	1746	1218	0.57	55953.51	281099	2024-05-07 01:56:18	60.73	False	True	False	True	2	d23ebd	0.0002810	364	364	268	-8.77	2024-05-07 04:57:02.023950
solana	raydium	D13qLWgduopqcVqwz26zD1dU61r1mHJFGY6CdZBFefbw	8NX1qQVbTX3FvtQRWwPwvwZtSARJ8KT93iU6TD1y9Ky9	Groomer	GROOMER	105	71	1655	1175	0.76	53075.93	252170	2024-05-07 01:56:18	62.89	False	True	False	True	2	d23ebd	0.0002521	316	316	46	-10.49	2024-05-07 04:59:11.367549
solana	raydium	D13qLWgduopqcVqwz26zD1dU61r1mHJFGY6CdZBFefbw	8NX1qQVbTX3FvtQRWwPwvwZtSARJ8KT93iU6TD1y9Ky9	Groomer	GROOMER	116	78	1617	1142	0.86	51506.31	237168	2024-05-07 01:56:18	65.06	False	True	False	True	2	d23ebd	0.0002371	292	292	59.57	-15.93	2024-05-07 05:01:21.786820
solana	raydium	D13qLWgduopqcVqwz26zD1dU61r1mHJFGY6CdZBFefbw	8NX1qQVbTX3FvtQRWwPwvwZtSARJ8KT93iU6TD1y9Ky9	Groomer	GROOMER	89	70	1518	1112	0.7	50101.09	223526	2024-05-07 01:56:18	67.23	False	True	False	True	2	d23ebd	0.0002235	269	269	15.02	-9.43	2024-05-07 05:03:31.955443
solana	raydium	D13qLWgduopqcVqwz26zD1dU61r1mHJFGY6CdZBFefbw	8NX1qQVbTX3FvtQRWwPwvwZtSARJ8KT93iU6TD1y9Ky9	Groomer	GROOMER	72	59	1495	1089	0.58	53533.64	255174	2024-05-07 01:56:18	69.46	False	True	False	True	2	d23ebd	0.0002551	321	321	29.94	8.11	2024-05-07 05:05:45.473510
solana	raydium	D13qLWgduopqcVqwz26zD1dU61r1mHJFGY6CdZBFefbw	8NX1qQVbTX3FvtQRWwPwvwZtSARJ8KT93iU6TD1y9Ky9	Groomer	GROOMER	34	42	1465	1088	0.28	47233.29	198794	2024-05-07 01:56:18	71.64	False	True	False	True	2	d23ebd	0.0001987	228	228	-3.06	-11.06	2024-05-07 05:07:56.151722
solana	raydium	D13qLWgduopqcVqwz26zD1dU61r1mHJFGY6CdZBFefbw	8NX1qQVbTX3FvtQRWwPwvwZtSARJ8KT93iU6TD1y9Ky9	Groomer	GROOMER	83	82	1497	1101	0.67	26755.94	63398	2024-05-07 01:56:18	73.79	False	True	False	True	2	d23ebd	0.00006339	4.69	4.69	-74.4	-72.66	2024-05-07 05:10:05.185075
solana	raydium	D13qLWgduopqcVqwz26zD1dU61r1mHJFGY6CdZBFefbw	8NX1qQVbTX3FvtQRWwPwvwZtSARJ8KT93iU6TD1y9Ky9	Groomer	GROOMER	84	65	1352	1040	0.75	26208.17	60334	2024-05-07 01:56:18	80.32	False	True	False	True	2	d23ebd	0.00006033	-0.37	-0.37	-85.67	187	2024-05-07 05:16:37.019764
solana	raydium	D13qLWgduopqcVqwz26zD1dU61r1mHJFGY6CdZBFefbw	8NX1qQVbTX3FvtQRWwPwvwZtSARJ8KT93iU6TD1y9Ky9	Groomer	GROOMER	132	75	1328	1030	1.19	33210	96109	2024-05-07 01:56:18	82.46	False	True	False	True	2	d23ebd	0.00009610	58.71	58.71	-73.15	165	2024-05-07 05:18:45.691655
solana	raydium	D13qLWgduopqcVqwz26zD1dU61r1mHJFGY6CdZBFefbw	8NX1qQVbTX3FvtQRWwPwvwZtSARJ8KT93iU6TD1y9Ky9	Groomer	GROOMER	149	94	1307	1019	1.37	32255.53	90392	2024-05-07 01:56:18	84.63	False	True	False	True	2	d23ebd	0.00009039	49.27	49.27	-69.63	50.15	2024-05-07 05:20:55.822983
solana	raydium	D13qLWgduopqcVqwz26zD1dU61r1mHJFGY6CdZBFefbw	8NX1qQVbTX3FvtQRWwPwvwZtSARJ8KT93iU6TD1y9Ky9	Groomer	GROOMER	117	82	1275	986	1.1	36491.59	115167	2024-05-07 01:56:18	86.81	False	True	False	True	2	d23ebd	0.0001151	90.18	90.18	-42.97	18.56	2024-05-07 05:23:06.896155
