chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	G8pneCFfrFpuTCqfdrbscG4KodbdYPkWSJsS6kaH4984	97VQyQhYHPCL57mH38LyJbiwKx9fruJm5f4NqFWxc6T5	GAMER	GAMER	4	2	41	34	1.17	29977.42	82590	2024-05-16 03:27:44	270.84	False	True	True	True	3	8f2c6f	0.00008258	11	11	9.21	0.42	2024-05-16 09:58:34.409742
solana	raydium	G8pneCFfrFpuTCqfdrbscG4KodbdYPkWSJsS6kaH4984	97VQyQhYHPCL57mH38LyJbiwKx9fruJm5f4NqFWxc6T5	GAMER	GAMER	3	3	38	34	0.95	29915.73	82216	2024-05-16 03:27:44	273.13	False	True	True	True	3	8f2c6f	0.00008221	10.5	10.5	7.83	1.49	2024-05-16 10:00:51.578017
solana	raydium	G8pneCFfrFpuTCqfdrbscG4KodbdYPkWSJsS6kaH4984	97VQyQhYHPCL57mH38LyJbiwKx9fruJm5f4NqFWxc6T5	GAMER	GAMER	2	2	38	33	0.63	29798.84	81613	2024-05-16 03:27:44	275.41	False	True	True	True	3	8f2c6f	0.00008161	9.69	9.69	4.28	-1.18	2024-05-16 10:03:08.581262
solana	raydium	G8pneCFfrFpuTCqfdrbscG4KodbdYPkWSJsS6kaH4984	97VQyQhYHPCL57mH38LyJbiwKx9fruJm5f4NqFWxc6T5	GAMER	GAMER	4	3	40	33	1.2	29893.96	82243	2024-05-16 03:27:44	277.74	False	True	True	True	3	8f2c6f	0.00008224	10.53	10.53	6.76	0.03	2024-05-16 10:05:28.486254
solana	raydium	G8pneCFfrFpuTCqfdrbscG4KodbdYPkWSJsS6kaH4984	97VQyQhYHPCL57mH38LyJbiwKx9fruJm5f4NqFWxc6T5	GAMER	GAMER	2	2	39	34	0.62	29815.94	81826	2024-05-16 03:27:44	280.02	False	True	True	True	3	8f2c6f	0.00008182	9.97	9.97	7.47	0.99	2024-05-16 10:07:45.027227
solana	raydium	G8pneCFfrFpuTCqfdrbscG4KodbdYPkWSJsS6kaH4984	97VQyQhYHPCL57mH38LyJbiwKx9fruJm5f4NqFWxc6T5	GAMER	GAMER	2	1	40	34	0.6	29782.42	81445	2024-05-16 03:27:44	282.31	False	True	True	True	3	8f2c6f	0.00008144	9.46	9.46	6.23	-0.47	2024-05-16 10:10:02.437401
solana	raydium	G8pneCFfrFpuTCqfdrbscG4KodbdYPkWSJsS6kaH4984	97VQyQhYHPCL57mH38LyJbiwKx9fruJm5f4NqFWxc6T5	GAMER	GAMER	3	3	39	34	0.92	29882.95	82006	2024-05-16 03:27:44	284.59	False	True	True	True	3	8f2c6f	0.00008200	10.21	10.21	7.7	0.22	2024-05-16 10:12:19.575418
solana	raydium	G8pneCFfrFpuTCqfdrbscG4KodbdYPkWSJsS6kaH4984	97VQyQhYHPCL57mH38LyJbiwKx9fruJm5f4NqFWxc6T5	GAMER	GAMER	2	3	40	36	0.6	29698.7	81000	2024-05-16 03:27:44	286.89	False	True	True	True	3	8f2c6f	0.00008100	8.86	8.86	5.3	-1.71	2024-05-16 10:14:37.309362
solana	raydium	G8pneCFfrFpuTCqfdrbscG4KodbdYPkWSJsS6kaH4984	97VQyQhYHPCL57mH38LyJbiwKx9fruJm5f4NqFWxc6T5	GAMER	GAMER	2	3	39	35	0.62	29643.03	80647	2024-05-16 03:27:44	289.2	False	True	True	True	3	8f2c6f	0.00008064	8.39	8.39	3.23	-1.66	2024-05-16 10:16:55.988962
solana	raydium	G8pneCFfrFpuTCqfdrbscG4KodbdYPkWSJsS6kaH4984	97VQyQhYHPCL57mH38LyJbiwKx9fruJm5f4NqFWxc6T5	GAMER	GAMER	3	2	40	35	0.9	29866.77	81729	2024-05-16 03:27:44	291.48	False	True	True	True	3	8f2c6f	0.00008172	9.84	9.84	5.52	0.9	2024-05-16 10:19:12.731384
solana	raydium	G8pneCFfrFpuTCqfdrbscG4KodbdYPkWSJsS6kaH4984	97VQyQhYHPCL57mH38LyJbiwKx9fruJm5f4NqFWxc6T5	GAMER	GAMER	4	2	40	35	1.2	29813.38	81490	2024-05-16 03:27:44	293.76	False	True	True	True	3	8f2c6f	0.00008148	9.52	9.52	5.83	1.05	2024-05-16 10:21:29.440067
solana	raydium	G8pneCFfrFpuTCqfdrbscG4KodbdYPkWSJsS6kaH4984	97VQyQhYHPCL57mH38LyJbiwKx9fruJm5f4NqFWxc6T5	GAMER	GAMER	2	2	40	34	0.6	30090.93	82917	2024-05-16 03:27:44	296.03	False	True	True	True	3	8f2c6f	0.00008291	11.44	11.44	6.19	1.45	2024-05-16 10:23:46.048720
solana	raydium	G8pneCFfrFpuTCqfdrbscG4KodbdYPkWSJsS6kaH4984	97VQyQhYHPCL57mH38LyJbiwKx9fruJm5f4NqFWxc6T5	GAMER	GAMER	2	2	39	34	0.62	29910.63	81847	2024-05-16 03:27:44	298.29	False	True	True	True	3	8f2c6f	0.00008184	10	10	6.17	0.44	2024-05-16 10:26:01.448824
solana	raydium	G8pneCFfrFpuTCqfdrbscG4KodbdYPkWSJsS6kaH4984	97VQyQhYHPCL57mH38LyJbiwKx9fruJm5f4NqFWxc6T5	GAMER	GAMER	3	3	41	35	0.88	30062.37	82834	2024-05-16 03:27:44	300.56	False	True	True	True	3	8f2c6f	0.00008283	11.33	11.33	8.02	-0.1	2024-05-16 10:28:17.776284
solana	raydium	G8pneCFfrFpuTCqfdrbscG4KodbdYPkWSJsS6kaH4984	97VQyQhYHPCL57mH38LyJbiwKx9fruJm5f4NqFWxc6T5	GAMER	GAMER	3	2	40	35	0.9	29808.08	81564	2024-05-16 03:27:44	302.88	False	True	True	True	3	8f2c6f	0.00008156	9.62	9.62	4.46	0.3	2024-05-16 10:30:37.012429
solana	raydium	G8pneCFfrFpuTCqfdrbscG4KodbdYPkWSJsS6kaH4984	97VQyQhYHPCL57mH38LyJbiwKx9fruJm5f4NqFWxc6T5	GAMER	GAMER	2	2	38	35	0.63	29733.08	81267	2024-05-16 03:27:44	305.15	False	True	True	True	3	8f2c6f	0.00008126	9.22	9.22	0.9	-1.89	2024-05-16 10:32:52.977391
solana	raydium	G8pneCFfrFpuTCqfdrbscG4KodbdYPkWSJsS6kaH4984	97VQyQhYHPCL57mH38LyJbiwKx9fruJm5f4NqFWxc6T5	GAMER	GAMER	2	3	38	34	0.63	29924.11	82245	2024-05-16 03:27:44	307.43	False	True	True	True	3	8f2c6f	0.00008224	10.53	10.53	2.17	0.83	2024-05-16 10:35:09.813423
solana	raydium	G8pneCFfrFpuTCqfdrbscG4KodbdYPkWSJsS6kaH4984	97VQyQhYHPCL57mH38LyJbiwKx9fruJm5f4NqFWxc6T5	GAMER	GAMER	4	3	40	34	1.2	29787.99	81481	2024-05-16 03:27:44	309.71	False	True	True	True	3	8f2c6f	0.00008148	9.51	9.51	-0.82	0.26	2024-05-16 10:37:26.676550
solana	raydium	G8pneCFfrFpuTCqfdrbscG4KodbdYPkWSJsS6kaH4984	97VQyQhYHPCL57mH38LyJbiwKx9fruJm5f4NqFWxc6T5	GAMER	GAMER	3	2	38	33	0.95	29816.96	81468	2024-05-16 03:27:44	312.01	False	True	True	True	3	8f2c6f	0.00008146	9.49	9.49	3.01	0.46	2024-05-16 10:39:44.736038
solana	raydium	G8pneCFfrFpuTCqfdrbscG4KodbdYPkWSJsS6kaH4984	97VQyQhYHPCL57mH38LyJbiwKx9fruJm5f4NqFWxc6T5	GAMER	GAMER	3	2	39	32	0.92	29957.23	82147	2024-05-16 03:27:44	314.3	False	True	True	True	3	8f2c6f	0.00008214	10.4	10.4	0.57	0.82	2024-05-16 10:42:01.731975
solana	raydium	G8pneCFfrFpuTCqfdrbscG4KodbdYPkWSJsS6kaH4984	97VQyQhYHPCL57mH38LyJbiwKx9fruJm5f4NqFWxc6T5	GAMER	GAMER	3	2	40	33	0.9	29922.46	81960	2024-05-16 03:27:44	316.6	False	True	True	True	3	8f2c6f	0.00008195	10.15	10.15	0.35	0.6	2024-05-16 10:44:20.270276
solana	raydium	G8pneCFfrFpuTCqfdrbscG4KodbdYPkWSJsS6kaH4984	97VQyQhYHPCL57mH38LyJbiwKx9fruJm5f4NqFWxc6T5	GAMER	GAMER	2	1	36	32	0.67	30126.3	83177	2024-05-16 03:27:44	318.88	False	True	True	True	3	8f2c6f	0.00008317	11.79	11.79	-1.08	1.82	2024-05-16 10:46:36.617323
solana	raydium	G8pneCFfrFpuTCqfdrbscG4KodbdYPkWSJsS6kaH4984	97VQyQhYHPCL57mH38LyJbiwKx9fruJm5f4NqFWxc6T5	GAMER	GAMER	4	3	38	33	1.26	29851.82	81677	2024-05-16 03:27:44	321.16	False	True	True	True	3	8f2c6f	0.00008167	9.77	9.77	-0.77	-0.34	2024-05-16 10:48:53.357677
solana	raydium	G8pneCFfrFpuTCqfdrbscG4KodbdYPkWSJsS6kaH4984	97VQyQhYHPCL57mH38LyJbiwKx9fruJm5f4NqFWxc6T5	GAMER	GAMER	4	3	38	34	1.26	29845.76	81578	2024-05-16 03:27:44	323.47	False	True	True	True	3	8f2c6f	0.00008157	9.64	9.64	-0.09	-1.92	2024-05-16 10:51:12.109456
solana	raydium	G8pneCFfrFpuTCqfdrbscG4KodbdYPkWSJsS6kaH4984	97VQyQhYHPCL57mH38LyJbiwKx9fruJm5f4NqFWxc6T5	GAMER	GAMER	3	2	38	32	0.95	30250.89	83782	2024-05-16 03:27:44	325.75	False	True	True	True	3	8f2c6f	0.00008378	12.6	12.6	1.87	2.58	2024-05-16 10:53:29.057222
solana	raydium	G8pneCFfrFpuTCqfdrbscG4KodbdYPkWSJsS6kaH4984	97VQyQhYHPCL57mH38LyJbiwKx9fruJm5f4NqFWxc6T5	GAMER	GAMER	3	2	38	33	0.95	29888.96	81899	2024-05-16 03:27:44	328.05	False	True	True	True	3	8f2c6f	0.00008189	10.07	10.07	1.1	0.39	2024-05-16 10:55:46.754044
solana	raydium	G8pneCFfrFpuTCqfdrbscG4KodbdYPkWSJsS6kaH4984	97VQyQhYHPCL57mH38LyJbiwKx9fruJm5f4NqFWxc6T5	GAMER	GAMER	1	2	35	32	0.34	29853.01	81596	2024-05-16 03:27:44	330.31	False	True	True	True	3	8f2c6f	0.00008159	9.66	9.66	-1.2	-2.61	2024-05-16 10:58:02.457823
solana	raydium	G8pneCFfrFpuTCqfdrbscG4KodbdYPkWSJsS6kaH4984	97VQyQhYHPCL57mH38LyJbiwKx9fruJm5f4NqFWxc6T5	GAMER	GAMER	2	2	37	32	0.65	30116.55	83189	2024-05-16 03:27:44	332.59	False	True	True	True	3	8f2c6f	0.00008318	11.8	11.8	1.18	1.58	2024-05-16 11:00:19.316458
solana	raydium	G8pneCFfrFpuTCqfdrbscG4KodbdYPkWSJsS6kaH4984	97VQyQhYHPCL57mH38LyJbiwKx9fruJm5f4NqFWxc6T5	GAMER	GAMER	3	3	36	32	1.0	29830.98	81535	2024-05-16 03:27:44	334.87	False	True	True	True	3	8f2c6f	0.00008153	9.58	9.58	0.63	-0.08	2024-05-16 11:02:36.029506
solana	raydium	G8pneCFfrFpuTCqfdrbscG4KodbdYPkWSJsS6kaH4984	97VQyQhYHPCL57mH38LyJbiwKx9fruJm5f4NqFWxc6T5	GAMER	GAMER	2	3	35	31	0.69	29830.98	81535	2024-05-16 03:27:44	337.15	False	True	True	True	3	8f2c6f	0.00008153	9.58	9.58	1.31	-0.67	2024-05-16 11:04:52.975994
solana	raydium	G8pneCFfrFpuTCqfdrbscG4KodbdYPkWSJsS6kaH4984	97VQyQhYHPCL57mH38LyJbiwKx9fruJm5f4NqFWxc6T5	GAMER	GAMER	3	2	37	32	0.97	30120.62	83247	2024-05-16 03:27:44	339.45	False	True	True	True	3	8f2c6f	0.00008324	11.88	11.88	1.74	2.1	2024-05-16 11:07:11.017382
solana	raydium	G8pneCFfrFpuTCqfdrbscG4KodbdYPkWSJsS6kaH4984	97VQyQhYHPCL57mH38LyJbiwKx9fruJm5f4NqFWxc6T5	GAMER	GAMER	2	4	34	32	0.71	29338.48	78982	2024-05-16 03:27:44	341.71	False	True	True	True	3	8f2c6f	0.00007898	6.15	6.15	-4.16	-3.75	2024-05-16 11:09:26.863301
solana	raydium	G8pneCFfrFpuTCqfdrbscG4KodbdYPkWSJsS6kaH4984	97VQyQhYHPCL57mH38LyJbiwKx9fruJm5f4NqFWxc6T5	GAMER	GAMER	2	5	36	34	0.67	28673.75	75309	2024-05-16 03:27:44	344.01	False	True	True	True	3	8f2c6f	0.00007530	1.21	1.21	-8.17	-9.54	2024-05-16 11:11:44.485532
solana	raydium	G8pneCFfrFpuTCqfdrbscG4KodbdYPkWSJsS6kaH4984	97VQyQhYHPCL57mH38LyJbiwKx9fruJm5f4NqFWxc6T5	GAMER	GAMER	3	6	35	35	1.03	28270.58	73225	2024-05-16 03:27:44	346.29	False	True	True	True	3	8f2c6f	0.00007322	-1.59	-1.59	-9.6	-7.29	2024-05-16 11:14:01.226944
solana	raydium	G8pneCFfrFpuTCqfdrbscG4KodbdYPkWSJsS6kaH4984	97VQyQhYHPCL57mH38LyJbiwKx9fruJm5f4NqFWxc6T5	GAMER	GAMER	3	3	36	34	1.0	28387.68	73809	2024-05-16 03:27:44	348.55	False	True	True	True	3	8f2c6f	0.00007380	-0.8	-0.8	-8.48	0.03	2024-05-16 11:16:17.290045
