chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	FhouzZ4RtwiGA2q9DWR8zKZDtWmiJY9APzhUTrsxNK3a	9XnwRy5unFGRUfm6iNattxXt7igFfghgWqdcMyAhBZKW	NoDogNoHat	NOTHING	236	341	637	645	4.45	15987.22	82264	2024-05-12 04:12:49	15.98	False	True	False	True	2	51dfd5	0.00008226	10085	10085	10085	88.43	2024-05-12 06:28:47.539020
solana	raydium	FhouzZ4RtwiGA2q9DWR8zKZDtWmiJY9APzhUTrsxNK3a	9XnwRy5unFGRUfm6iNattxXt7igFfghgWqdcMyAhBZKW	NoDogNoHat	NOTHING	312	413	820	813	4.57	21055.39	140992	2024-05-12 04:12:49	18.23	False	True	False	True	2	51dfd5	0.0001409	17356	17356	17356	195	2024-05-12 06:31:02.838916
solana	raydium	FhouzZ4RtwiGA2q9DWR8zKZDtWmiJY9APzhUTrsxNK3a	9XnwRy5unFGRUfm6iNattxXt7igFfghgWqdcMyAhBZKW	NoDogNoHat	NOTHING	402	482	1023	989	4.72	20329.12	129471	2024-05-12 04:12:49	20.48	False	True	False	True	2	51dfd5	0.0001294	15930	15930	15930	48.04	2024-05-12 06:33:18.013297
solana	raydium	FhouzZ4RtwiGA2q9DWR8zKZDtWmiJY9APzhUTrsxNK3a	9XnwRy5unFGRUfm6iNattxXt7igFfghgWqdcMyAhBZKW	NoDogNoHat	NOTHING	315	249	1176	1104	3.21	22005.75	150409	2024-05-12 04:12:49	22.75	False	True	False	True	2	51dfd5	0.0001504	18522	18522	18522	0.89	2024-05-12 06:35:34.208056
solana	raydium	FhouzZ4RtwiGA2q9DWR8zKZDtWmiJY9APzhUTrsxNK3a	9XnwRy5unFGRUfm6iNattxXt7igFfghgWqdcMyAhBZKW	NoDogNoHat	NOTHING	296	226	1335	1227	2.66	19856.84	121008	2024-05-12 04:12:49	24.99	False	True	False	True	2	51dfd5	0.0001210	14882	14882	14882	-6.3	2024-05-12 06:37:48.663830
solana	raydium	FhouzZ4RtwiGA2q9DWR8zKZDtWmiJY9APzhUTrsxNK3a	9XnwRy5unFGRUfm6iNattxXt7igFfghgWqdcMyAhBZKW	NoDogNoHat	NOTHING	299	253	1473	1353	2.44	23806.7	172342	2024-05-12 04:12:49	27.25	False	True	False	True	2	51dfd5	0.0001723	21237	21237	21237	6.21	2024-05-12 06:40:04.229296
solana	raydium	FhouzZ4RtwiGA2q9DWR8zKZDtWmiJY9APzhUTrsxNK3a	9XnwRy5unFGRUfm6iNattxXt7igFfghgWqdcMyAhBZKW	NoDogNoHat	NOTHING	290	240	1596	1448	2.18	25051.72	189417	2024-05-12 04:12:49	29.5	False	True	False	True	2	51dfd5	0.0001894	23351	23351	23351	79.08	2024-05-12 06:42:19.135957
solana	raydium	FhouzZ4RtwiGA2q9DWR8zKZDtWmiJY9APzhUTrsxNK3a	9XnwRy5unFGRUfm6iNattxXt7igFfghgWqdcMyAhBZKW	NoDogNoHat	NOTHING	235	191	1728	1558	1.63	28459.14	243016	2024-05-12 04:12:49	31.76	False	True	False	True	2	51dfd5	0.0002430	29988	29988	29988	28.47	2024-05-12 06:44:34.871595
solana	raydium	FhouzZ4RtwiGA2q9DWR8zKZDtWmiJY9APzhUTrsxNK3a	9XnwRy5unFGRUfm6iNattxXt7igFfghgWqdcMyAhBZKW	NoDogNoHat	NOTHING	261	232	1870	1695	1.67	31380.36	293188	2024-05-12 04:12:49	34.04	False	True	False	True	2	51dfd5	0.0002931	36199	36199	36199	84.1	2024-05-12 06:46:51.219787
solana	raydium	FhouzZ4RtwiGA2q9DWR8zKZDtWmiJY9APzhUTrsxNK3a	9XnwRy5unFGRUfm6iNattxXt7igFfghgWqdcMyAhBZKW	NoDogNoHat	NOTHING	315	268	2041	1824	1.85	31437.85	291361	2024-05-12 04:12:49	36.31	False	True	False	True	2	51dfd5	0.0002913	35973	35973	35973	32.34	2024-05-12 06:49:07.717625
