chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	Ew5bijw3JCPZjrb7v8gpNLYQY1baHeawSca1tBGYe41S	AZRakik9kzjwXfH729Zo2C6rixRMhmALEdhAFDeiEDNt	BRO CAT	BRO	283	112	283	112	12.0	29566.15	90724	2024-05-11 16:55:45	2.77	False	True	True	True	3	20472d	0.00009072	59.65	59.65	59.65	59.65	2024-05-11 18:58:31.361886
solana	raydium	Ew5bijw3JCPZjrb7v8gpNLYQY1baHeawSca1tBGYe41S	AZRakik9kzjwXfH729Zo2C6rixRMhmALEdhAFDeiEDNt	BRO CAT	BRO	457	246	493	253	11.12	33751.64	117049	2024-05-11 16:55:45	5.04	False	True	True	True	3	20472d	0.0001170	106	106	106	57.93	2024-05-11 19:00:47.496521
solana	raydium	Ew5bijw3JCPZjrb7v8gpNLYQY1baHeawSca1tBGYe41S	AZRakik9kzjwXfH729Zo2C6rixRMhmALEdhAFDeiEDNt	BRO CAT	BRO	370	260	647	369	6.86	34170.12	119604	2024-05-11 16:55:45	7.31	False	True	True	True	3	20472d	0.0001196	110	110	110	33.63	2024-05-11 19:03:03.584178
solana	raydium	Ew5bijw3JCPZjrb7v8gpNLYQY1baHeawSca1tBGYe41S	AZRakik9kzjwXfH729Zo2C6rixRMhmALEdhAFDeiEDNt	BRO CAT	BRO	308	221	788	463	4.69	38395.11	150395	2024-05-11 16:55:45	9.57	False	True	True	True	3	20472d	0.0001503	165	165	165	31.97	2024-05-11 19:05:19.085074
solana	raydium	Ew5bijw3JCPZjrb7v8gpNLYQY1baHeawSca1tBGYe41S	AZRakik9kzjwXfH729Zo2C6rixRMhmALEdhAFDeiEDNt	BRO CAT	BRO	265	167	930	554	3.42	38725.64	152419	2024-05-11 16:55:45	11.89	False	True	True	True	3	20472d	0.0001524	168	168	168	17.31	2024-05-11 19:07:38.244651
solana	raydium	Ew5bijw3JCPZjrb7v8gpNLYQY1baHeawSca1tBGYe41S	AZRakik9kzjwXfH729Zo2C6rixRMhmALEdhAFDeiEDNt	BRO CAT	BRO	250	155	1050	632	2.86	38902.36	153822	2024-05-11 16:55:45	14.18	False	True	True	True	3	20472d	0.0001538	171	171	171	27.66	2024-05-11 19:09:56.067528
solana	raydium	Ew5bijw3JCPZjrb7v8gpNLYQY1baHeawSca1tBGYe41S	AZRakik9kzjwXfH729Zo2C6rixRMhmALEdhAFDeiEDNt	BRO CAT	BRO	245	175	1167	725	2.52	39382.23	156824	2024-05-11 16:55:45	16.46	False	True	True	True	3	20472d	0.0001568	176	176	176	5.62	2024-05-11 19:12:12.637275
solana	raydium	Ew5bijw3JCPZjrb7v8gpNLYQY1baHeawSca1tBGYe41S	AZRakik9kzjwXfH729Zo2C6rixRMhmALEdhAFDeiEDNt	BRO CAT	BRO	238	189	1256	799	2.27	42746.9	184065	2024-05-11 16:55:45	18.85	False	True	True	True	3	20472d	0.0001840	224	224	224	29.06	2024-05-11 19:14:36.282725
solana	raydium	Ew5bijw3JCPZjrb7v8gpNLYQY1baHeawSca1tBGYe41S	AZRakik9kzjwXfH729Zo2C6rixRMhmALEdhAFDeiEDNt	BRO CAT	BRO	218	153	1394	888	1.88	43603.94	190938	2024-05-11 16:55:45	21.12	False	True	True	True	3	20472d	0.0001909	236	236	236	16.36	2024-05-11 19:16:52.383397
solana	raydium	Ew5bijw3JCPZjrb7v8gpNLYQY1baHeawSca1tBGYe41S	AZRakik9kzjwXfH729Zo2C6rixRMhmALEdhAFDeiEDNt	BRO CAT	BRO	248	192	1507	995	1.97	49299.35	243306	2024-05-11 16:55:45	23.44	False	True	True	True	3	20472d	0.0002433	328	328	328	31.05	2024-05-11 19:19:11.574328
