chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	Asnmc7tYUt1b23bSxpV4bY6vMp6MvBgdb96mZPCsekjt	AeH2QVrVgpZzkEXH7PVNaGVZF4d8Qn1RtToUzCEB3UnG	Pigga	PIGGA	15	16	644	489	0.28	52400.08	194863	2024-05-16 03:39:25	259.16	False	True	True	True	3	95ce1e	0.0002043	207	207	-40.61	-8.56	2024-05-16 09:58:34.407743
solana	raydium	Asnmc7tYUt1b23bSxpV4bY6vMp6MvBgdb96mZPCsekjt	AeH2QVrVgpZzkEXH7PVNaGVZF4d8Qn1RtToUzCEB3UnG	Pigga	PIGGA	75	44	701	516	1.28	50387.56	180075	2024-05-16 03:39:25	261.44	False	True	True	True	3	95ce1e	0.0001888	183	183	-49.25	-12.02	2024-05-16 10:00:51.572593
solana	raydium	Asnmc7tYUt1b23bSxpV4bY6vMp6MvBgdb96mZPCsekjt	AeH2QVrVgpZzkEXH7PVNaGVZF4d8Qn1RtToUzCEB3UnG	Pigga	PIGGA	107	77	720	542	1.78	49510.96	173722	2024-05-16 03:39:25	263.73	False	True	True	True	3	95ce1e	0.0001821	173	173	-46.77	-10.85	2024-05-16 10:03:08.576073
solana	raydium	Asnmc7tYUt1b23bSxpV4bY6vMp6MvBgdb96mZPCsekjt	AeH2QVrVgpZzkEXH7PVNaGVZF4d8Qn1RtToUzCEB3UnG	Pigga	PIGGA	66	63	708	538	1.12	52345.69	194319	2024-05-16 03:39:25	266.05	False	True	True	True	3	95ce1e	0.0002037	206	206	-38.5	7.67	2024-05-16 10:05:27.809854
solana	raydium	Asnmc7tYUt1b23bSxpV4bY6vMp6MvBgdb96mZPCsekjt	AeH2QVrVgpZzkEXH7PVNaGVZF4d8Qn1RtToUzCEB3UnG	Pigga	PIGGA	34	37	669	522	0.61	50013.17	176788	2024-05-16 03:39:25	268.32	False	True	True	True	3	95ce1e	0.0001854	178	178	-42.37	1.86	2024-05-16 10:07:44.114450
solana	raydium	Asnmc7tYUt1b23bSxpV4bY6vMp6MvBgdb96mZPCsekjt	AeH2QVrVgpZzkEXH7PVNaGVZF4d8Qn1RtToUzCEB3UnG	Pigga	PIGGA	38	36	674	527	0.68	49607.43	174058	2024-05-16 03:39:25	270.61	False	True	True	True	3	95ce1e	0.0001825	174	174	-38.77	-9.55	2024-05-16 10:10:01.413563
solana	raydium	Asnmc7tYUt1b23bSxpV4bY6vMp6MvBgdb96mZPCsekjt	AeH2QVrVgpZzkEXH7PVNaGVZF4d8Qn1RtToUzCEB3UnG	Pigga	PIGGA	38	36	666	534	0.68	48637.22	167119	2024-05-16 03:39:25	272.9	False	True	True	True	3	95ce1e	0.0001752	163	163	-45.88	-4.93	2024-05-16 10:12:18.905221
solana	raydium	Asnmc7tYUt1b23bSxpV4bY6vMp6MvBgdb96mZPCsekjt	AeH2QVrVgpZzkEXH7PVNaGVZF4d8Qn1RtToUzCEB3UnG	Pigga	PIGGA	42	36	693	545	0.73	47045.15	156377	2024-05-16 03:39:25	275.19	False	True	True	True	3	95ce1e	0.0001640	146	146	-49.83	-11.3	2024-05-16 10:14:36.669275
solana	raydium	Asnmc7tYUt1b23bSxpV4bY6vMp6MvBgdb96mZPCsekjt	AeH2QVrVgpZzkEXH7PVNaGVZF4d8Qn1RtToUzCEB3UnG	Pigga	PIGGA	56	39	688	547	0.98	48298.17	164654	2024-05-16 03:39:25	277.52	False	True	True	True	3	95ce1e	0.0001726	159	159	-48.07	-1.48	2024-05-16 10:16:55.987070
solana	raydium	Asnmc7tYUt1b23bSxpV4bY6vMp6MvBgdb96mZPCsekjt	AeH2QVrVgpZzkEXH7PVNaGVZF4d8Qn1RtToUzCEB3UnG	Pigga	PIGGA	31	31	670	544	0.56	50614.71	180486	2024-05-16 03:39:25	279.8	False	True	True	True	3	95ce1e	0.0001892	184	184	-44.02	15.42	2024-05-16 10:19:12.730159
solana	raydium	Asnmc7tYUt1b23bSxpV4bY6vMp6MvBgdb96mZPCsekjt	AeH2QVrVgpZzkEXH7PVNaGVZF4d8Qn1RtToUzCEB3UnG	Pigga	PIGGA	22	34	664	545	0.4	49514.4	172801	2024-05-16 03:39:25	282.07	False	True	True	True	3	95ce1e	0.0001812	172	172	-48.97	4.46	2024-05-16 10:21:29.439067
solana	raydium	Asnmc7tYUt1b23bSxpV4bY6vMp6MvBgdb96mZPCsekjt	AeH2QVrVgpZzkEXH7PVNaGVZF4d8Qn1RtToUzCEB3UnG	Pigga	PIGGA	22	23	645	533	0.41	47674.32	159899	2024-05-16 03:39:25	284.35	False	True	True	True	3	95ce1e	0.0001676	152	152	-44.9	-9.92	2024-05-16 10:23:46.046066
solana	raydium	Asnmc7tYUt1b23bSxpV4bY6vMp6MvBgdb96mZPCsekjt	AeH2QVrVgpZzkEXH7PVNaGVZF4d8Qn1RtToUzCEB3UnG	Pigga	PIGGA	25	15	635	524	0.47	50365.05	178504	2024-05-16 03:39:25	286.61	False	True	True	True	3	95ce1e	0.0001872	181	181	-36.02	3.3	2024-05-16 10:26:01.446126
solana	raydium	Asnmc7tYUt1b23bSxpV4bY6vMp6MvBgdb96mZPCsekjt	AeH2QVrVgpZzkEXH7PVNaGVZF4d8Qn1RtToUzCEB3UnG	Pigga	PIGGA	30	19	628	516	0.57	50244.21	177694	2024-05-16 03:39:25	288.88	False	True	True	True	3	95ce1e	0.0001863	180	180	-25.69	11.13	2024-05-16 10:28:17.771275
solana	raydium	Asnmc7tYUt1b23bSxpV4bY6vMp6MvBgdb96mZPCsekjt	AeH2QVrVgpZzkEXH7PVNaGVZF4d8Qn1RtToUzCEB3UnG	Pigga	PIGGA	18	14	583	480	0.37	50697.52	181154	2024-05-16 03:39:25	291.17	False	True	True	True	3	95ce1e	0.0001899	185	185	-26.84	-1.43	2024-05-16 10:30:35.305426
solana	raydium	Asnmc7tYUt1b23bSxpV4bY6vMp6MvBgdb96mZPCsekjt	AeH2QVrVgpZzkEXH7PVNaGVZF4d8Qn1RtToUzCEB3UnG	Pigga	PIGGA	15	21	553	473	0.33	48998.27	169529	2024-05-16 03:39:25	293.46	False	True	True	True	3	95ce1e	0.0001778	167	167	-21.51	-3.82	2024-05-16 10:32:52.302449
solana	raydium	Asnmc7tYUt1b23bSxpV4bY6vMp6MvBgdb96mZPCsekjt	AeH2QVrVgpZzkEXH7PVNaGVZF4d8Qn1RtToUzCEB3UnG	Pigga	PIGGA	8	16	507	433	0.19	48993.98	169281	2024-05-16 03:39:25	295.72	False	True	True	True	3	95ce1e	0.0001775	166	166	-19	-6.55	2024-05-16 10:35:08.411254
solana	raydium	Asnmc7tYUt1b23bSxpV4bY6vMp6MvBgdb96mZPCsekjt	AeH2QVrVgpZzkEXH7PVNaGVZF4d8Qn1RtToUzCEB3UnG	Pigga	PIGGA	5	8	485	419	0.12	47593.06	159511	2024-05-16 03:39:25	298.02	False	True	True	True	3	95ce1e	0.0001672	151	151	-29.77	-6.86	2024-05-16 10:37:26.042445
solana	raydium	Asnmc7tYUt1b23bSxpV4bY6vMp6MvBgdb96mZPCsekjt	AeH2QVrVgpZzkEXH7PVNaGVZF4d8Qn1RtToUzCEB3UnG	Pigga	PIGGA	35	20	482	411	0.87	45756.72	147240	2024-05-16 03:39:25	300.32	False	True	True	True	3	95ce1e	0.0001544	132	132	-30.31	-13.02	2024-05-16 10:39:44.095717
solana	raydium	Asnmc7tYUt1b23bSxpV4bY6vMp6MvBgdb96mZPCsekjt	AeH2QVrVgpZzkEXH7PVNaGVZF4d8Qn1RtToUzCEB3UnG	Pigga	PIGGA	47	27	477	405	1.18	44941.4	141890	2024-05-16 03:39:25	302.61	False	True	True	True	3	95ce1e	0.0001488	123	123	-34.21	-11.05	2024-05-16 10:42:01.728972
solana	raydium	Asnmc7tYUt1b23bSxpV4bY6vMp6MvBgdb96mZPCsekjt	AeH2QVrVgpZzkEXH7PVNaGVZF4d8Qn1RtToUzCEB3UnG	Pigga	PIGGA	28	27	478	407	0.7	44268.55	137739	2024-05-16 03:39:25	304.92	False	True	True	True	3	95ce1e	0.0001444	117	117	-38.31	-7.2	2024-05-16 10:44:20.266377
solana	raydium	Asnmc7tYUt1b23bSxpV4bY6vMp6MvBgdb96mZPCsekjt	AeH2QVrVgpZzkEXH7PVNaGVZF4d8Qn1RtToUzCEB3UnG	Pigga	PIGGA	18	16	463	383	0.47	45041.39	142569	2024-05-16 03:39:25	307.19	False	True	True	True	3	95ce1e	0.0001495	124	124	-36.36	1.46	2024-05-16 10:46:36.613322
solana	raydium	Asnmc7tYUt1b23bSxpV4bY6vMp6MvBgdb96mZPCsekjt	AeH2QVrVgpZzkEXH7PVNaGVZF4d8Qn1RtToUzCEB3UnG	Pigga	PIGGA	22	19	464	391	0.57	42738.18	128391	2024-05-16 03:39:25	309.47	False	True	True	True	3	95ce1e	0.0001346	102	102	-41.52	-6.36	2024-05-16 10:48:53.354672
solana	raydium	Asnmc7tYUt1b23bSxpV4bY6vMp6MvBgdb96mZPCsekjt	AeH2QVrVgpZzkEXH7PVNaGVZF4d8Qn1RtToUzCEB3UnG	Pigga	PIGGA	34	22	461	383	0.89	42417.73	126299	2024-05-16 03:39:25	311.79	False	True	True	True	3	95ce1e	0.0001324	98.82	98.82	-39.91	-11.41	2024-05-16 10:51:12.104458
solana	raydium	Asnmc7tYUt1b23bSxpV4bY6vMp6MvBgdb96mZPCsekjt	AeH2QVrVgpZzkEXH7PVNaGVZF4d8Qn1RtToUzCEB3UnG	Pigga	PIGGA	32	11	457	369	0.84	46314.43	150465	2024-05-16 03:39:25	314.07	False	True	True	True	3	95ce1e	0.0001578	137	137	-29.39	23.57	2024-05-16 10:53:29.053321
solana	raydium	Asnmc7tYUt1b23bSxpV4bY6vMp6MvBgdb96mZPCsekjt	AeH2QVrVgpZzkEXH7PVNaGVZF4d8Qn1RtToUzCEB3UnG	Pigga	PIGGA	22	17	455	370	0.58	46845.26	154016	2024-05-16 03:39:25	316.35	False	True	True	True	3	95ce1e	0.0001615	142	142	-24.75	21.68	2024-05-16 10:55:46.115232
solana	raydium	Asnmc7tYUt1b23bSxpV4bY6vMp6MvBgdb96mZPCsekjt	AeH2QVrVgpZzkEXH7PVNaGVZF4d8Qn1RtToUzCEB3UnG	Pigga	PIGGA	21	16	463	369	0.54	49019.1	168631	2024-05-16 03:39:25	318.61	False	True	True	True	3	95ce1e	0.0001768	165	165	-13.46	12.07	2024-05-16 10:58:01.807640
solana	raydium	Asnmc7tYUt1b23bSxpV4bY6vMp6MvBgdb96mZPCsekjt	AeH2QVrVgpZzkEXH7PVNaGVZF4d8Qn1RtToUzCEB3UnG	Pigga	PIGGA	27	9	409	339	0.79	49122.93	169530	2024-05-16 03:39:25	320.89	False	True	True	True	3	95ce1e	0.0001778	167	167	-6.06	10.16	2024-05-16 11:00:18.676567
solana	raydium	Asnmc7tYUt1b23bSxpV4bY6vMp6MvBgdb96mZPCsekjt	AeH2QVrVgpZzkEXH7PVNaGVZF4d8Qn1RtToUzCEB3UnG	Pigga	PIGGA	17	11	375	302	0.54	51590.76	186699	2024-05-16 03:39:25	323.17	False	True	True	True	3	95ce1e	0.0001958	194	194	7.57	14.16	2024-05-16 11:02:35.345110
solana	raydium	Asnmc7tYUt1b23bSxpV4bY6vMp6MvBgdb96mZPCsekjt	AeH2QVrVgpZzkEXH7PVNaGVZF4d8Qn1RtToUzCEB3UnG	Pigga	PIGGA	24	14	373	297	0.77	52592.86	193949	2024-05-16 03:39:25	325.46	False	True	True	True	3	95ce1e	0.0002034	205	205	4.65	13.34	2024-05-16 11:04:52.324344
solana	raydium	Asnmc7tYUt1b23bSxpV4bY6vMp6MvBgdb96mZPCsekjt	AeH2QVrVgpZzkEXH7PVNaGVZF4d8Qn1RtToUzCEB3UnG	Pigga	PIGGA	60	34	400	301	1.8	54515.58	208692	2024-05-16 03:39:25	327.77	False	True	True	True	3	95ce1e	0.0002188	229	229	18.72	11.79	2024-05-16 11:07:11.014865
solana	raydium	Asnmc7tYUt1b23bSxpV4bY6vMp6MvBgdb96mZPCsekjt	AeH2QVrVgpZzkEXH7PVNaGVZF4d8Qn1RtToUzCEB3UnG	Pigga	PIGGA	32	32	383	297	1.0	54163.57	205995	2024-05-16 03:39:25	330.03	False	True	True	True	3	95ce1e	0.0002160	224	224	16.84	1.21	2024-05-16 11:09:26.860313
solana	raydium	Asnmc7tYUt1b23bSxpV4bY6vMp6MvBgdb96mZPCsekjt	AeH2QVrVgpZzkEXH7PVNaGVZF4d8Qn1RtToUzCEB3UnG	Pigga	PIGGA	20	24	385	291	0.62	54554.38	208671	2024-05-16 03:39:25	332.32	False	True	True	True	3	95ce1e	0.0002188	228	228	24.86	2.73	2024-05-16 11:11:44.483647
