chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	AJc5VftuhJXabuDMkoUK1UpVmodM1NUJdSqDAVvF7mBj	BR7Mst5ED1G5guA63Ro4p7RriwzP9tW51azk5MXQqSQY	YODAMOG	YODAMOG	6	11	325	323	0.22	22273.28	50268	2024-05-11 12:41:55	125.85	False	True	False	True	2	4a2e73	0.00005026	-11.34	-11.34	-21.59	-6.43	2024-05-11 16:47:45.848151
solana	raydium	AJc5VftuhJXabuDMkoUK1UpVmodM1NUJdSqDAVvF7mBj	BR7Mst5ED1G5guA63Ro4p7RriwzP9tW51azk5MXQqSQY	YODAMOG	YODAMOG	24	9	339	317	0.85	24078.66	58725	2024-05-11 12:41:55	128.12	False	True	False	True	2	4a2e73	0.00005872	3.58	3.58	10.98	29.84	2024-05-11 16:50:02.000522
solana	raydium	AJc5VftuhJXabuDMkoUK1UpVmodM1NUJdSqDAVvF7mBj	BR7Mst5ED1G5guA63Ro4p7RriwzP9tW51azk5MXQqSQY	YODAMOG	YODAMOG	34	4	347	310	1.18	25977.45	68207	2024-05-11 12:41:55	130.4	False	True	False	True	2	4a2e73	0.00006820	20.3	20.3	95.42	42.99	2024-05-11 16:52:18.712606
solana	raydium	AJc5VftuhJXabuDMkoUK1UpVmodM1NUJdSqDAVvF7mBj	BR7Mst5ED1G5guA63Ro4p7RriwzP9tW51azk5MXQqSQY	YODAMOG	YODAMOG	31	10	341	290	1.09	29980.58	90810	2024-05-11 12:41:55	132.67	False	True	False	True	2	4a2e73	0.00009081	60.17	60.17	138	49.25	2024-05-11 16:54:35.139610
solana	raydium	AJc5VftuhJXabuDMkoUK1UpVmodM1NUJdSqDAVvF7mBj	BR7Mst5ED1G5guA63Ro4p7RriwzP9tW51azk5MXQqSQY	YODAMOG	YODAMOG	57	25	373	297	1.83	33666.63	114533	2024-05-11 12:41:55	134.95	False	True	False	True	2	4a2e73	0.0001145	102	102	331	66.07	2024-05-11 16:56:51.767798
solana	raydium	AJc5VftuhJXabuDMkoUK1UpVmodM1NUJdSqDAVvF7mBj	BR7Mst5ED1G5guA63Ro4p7RriwzP9tW51azk5MXQqSQY	YODAMOG	YODAMOG	53	32	380	306	1.67	34234.66	118294	2024-05-11 12:41:55	137.25	False	True	False	True	2	4a2e73	0.0001182	109	109	333	30.7	2024-05-11 16:59:10.278858
solana	raydium	AJc5VftuhJXabuDMkoUK1UpVmodM1NUJdSqDAVvF7mBj	BR7Mst5ED1G5guA63Ro4p7RriwzP9tW51azk5MXQqSQY	YODAMOG	YODAMOG	26	37	379	323	0.82	23771.29	56920	2024-05-11 12:41:55	139.53	False	True	False	True	2	4a2e73	0.00005692	0.39	0.39	87.17	-49.54	2024-05-11 17:01:26.536944
solana	raydium	AJc5VftuhJXabuDMkoUK1UpVmodM1NUJdSqDAVvF7mBj	BR7Mst5ED1G5guA63Ro4p7RriwzP9tW51azk5MXQqSQY	YODAMOG	YODAMOG	51	35	416	294	1.47	26362.1	69782	2024-05-11 12:41:55	141.8	False	True	False	True	2	4a2e73	0.00006978	23.08	23.08	229	-37.22	2024-05-11 17:03:43.073878
solana	raydium	AJc5VftuhJXabuDMkoUK1UpVmodM1NUJdSqDAVvF7mBj	BR7Mst5ED1G5guA63Ro4p7RriwzP9tW51azk5MXQqSQY	YODAMOG	YODAMOG	53	26	374	276	1.7	28453.63	81126	2024-05-11 12:41:55	144.09	False	True	False	True	2	4a2e73	0.00008112	43.09	43.09	86.57	34.27	2024-05-11 17:06:00.661347
solana	raydium	AJc5VftuhJXabuDMkoUK1UpVmodM1NUJdSqDAVvF7mBj	BR7Mst5ED1G5guA63Ro4p7RriwzP9tW51azk5MXQqSQY	YODAMOG	YODAMOG	22	16	360	269	0.73	27957.53	78209	2024-05-11 12:41:55	146.44	False	True	False	True	2	4a2e73	0.00007820	37.94	37.94	107	14.91	2024-05-11 17:08:21.170674
