chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	EkpqzjU7LfUNbjGRqZHSMd91YaJCjSMPAQtQF9NZZgT7	C5RgVe6aKgEjyLGpZKPgZFEqdBEpUvWBqTrv7SMAYVtN	Moonbags.App	MBAGS	23	0	23	0	12.0	160540.66	371652	2024-05-08 21:00:17	0.71	False	True	True	True	4	1a975f	0.0003716	0.93	0.93	0.93	0.93	2024-05-08 23:00:59.332439
solana	raydium	EkpqzjU7LfUNbjGRqZHSMd91YaJCjSMPAQtQF9NZZgT7	C5RgVe6aKgEjyLGpZKPgZFEqdBEpUvWBqTrv7SMAYVtN	Moonbags.App	MBAGS	59	33	59	33	12.0	149248.55	322553	2024-05-08 21:00:17	3.03	False	True	True	True	4	1a975f	0.0003225	-12.4	-12.4	-12.4	-12.4	2024-05-08 23:03:18.555686
solana	raydium	EkpqzjU7LfUNbjGRqZHSMd91YaJCjSMPAQtQF9NZZgT7	C5RgVe6aKgEjyLGpZKPgZFEqdBEpUvWBqTrv7SMAYVtN	Moonbags.App	MBAGS	24	35	72	47	4.0	150094.99	325461	2024-05-08 21:00:17	5.35	False	True	True	True	4	1a975f	0.0003254	-11.61	-11.61	-11.61	-8.23	2024-05-08 23:05:37.767473
solana	raydium	EkpqzjU7LfUNbjGRqZHSMd91YaJCjSMPAQtQF9NZZgT7	C5RgVe6aKgEjyLGpZKPgZFEqdBEpUvWBqTrv7SMAYVtN	Moonbags.App	MBAGS	26	22	87	55	3.59	157339.36	358374	2024-05-08 21:00:17	7.62	False	True	True	True	4	1a975f	0.0003583	-2.67	-2.67	-2.67	10.13	2024-05-08 23:07:54.368283
solana	raydium	EkpqzjU7LfUNbjGRqZHSMd91YaJCjSMPAQtQF9NZZgT7	C5RgVe6aKgEjyLGpZKPgZFEqdBEpUvWBqTrv7SMAYVtN	Moonbags.App	MBAGS	37	14	109	61	4.07	161239.46	376194	2024-05-08 21:00:17	9.88	False	True	True	True	4	1a975f	0.0003761	2.17	2.17	2.17	15.59	2024-05-08 23:10:10.088444
solana	raydium	EkpqzjU7LfUNbjGRqZHSMd91YaJCjSMPAQtQF9NZZgT7	C5RgVe6aKgEjyLGpZKPgZFEqdBEpUvWBqTrv7SMAYVtN	Moonbags.App	MBAGS	41	12	124	67	3.97	164656.82	392443	2024-05-08 21:00:17	12.17	False	True	True	True	4	1a975f	0.0003924	6.58	6.58	6.58	7.05	2024-05-08 23:12:27.104177
solana	raydium	EkpqzjU7LfUNbjGRqZHSMd91YaJCjSMPAQtQF9NZZgT7	C5RgVe6aKgEjyLGpZKPgZFEqdBEpUvWBqTrv7SMAYVtN	Moonbags.App	MBAGS	29	12	140	73	2.49	166820.38	403109	2024-05-08 21:00:17	14.45	False	True	True	True	4	1a975f	0.0004031	9.48	9.48	9.48	6.23	2024-05-08 23:14:44.199715
solana	raydium	EkpqzjU7LfUNbjGRqZHSMd91YaJCjSMPAQtQF9NZZgT7	C5RgVe6aKgEjyLGpZKPgZFEqdBEpUvWBqTrv7SMAYVtN	Moonbags.App	MBAGS	25	11	150	78	2.0	166721.68	402910	2024-05-08 21:00:17	16.76	False	True	True	True	4	1a975f	0.0004029	9.42	9.42	9.42	2.48	2024-05-08 23:17:02.789548
solana	raydium	EkpqzjU7LfUNbjGRqZHSMd91YaJCjSMPAQtQF9NZZgT7	C5RgVe6aKgEjyLGpZKPgZFEqdBEpUvWBqTrv7SMAYVtN	Moonbags.App	MBAGS	25	24	162	96	1.85	165197.55	394701	2024-05-08 21:00:17	19.02	False	True	True	True	4	1a975f	0.0003947	7.19	7.19	7.19	-2.44	2024-05-08 23:19:18.346905
solana	raydium	EkpqzjU7LfUNbjGRqZHSMd91YaJCjSMPAQtQF9NZZgT7	C5RgVe6aKgEjyLGpZKPgZFEqdBEpUvWBqTrv7SMAYVtN	Moonbags.App	MBAGS	26	38	179	118	1.74	161465.44	376472	2024-05-08 21:00:17	21.3	False	True	True	True	4	1a975f	0.0003764	2.24	2.24	2.24	-7.15	2024-05-08 23:21:35.187812
solana	raydium	EkpqzjU7LfUNbjGRqZHSMd91YaJCjSMPAQtQF9NZZgT7	C5RgVe6aKgEjyLGpZKPgZFEqdBEpUvWBqTrv7SMAYVtN	Moonbags.App	MBAGS	27	34	190	135	1.71	157725.82	358920	2024-05-08 21:00:17	23.59	False	True	True	True	4	1a975f	0.0003589	-2.52	-2.52	-2.52	-7.41	2024-05-08 23:23:52.111303
solana	raydium	EkpqzjU7LfUNbjGRqZHSMd91YaJCjSMPAQtQF9NZZgT7	C5RgVe6aKgEjyLGpZKPgZFEqdBEpUvWBqTrv7SMAYVtN	Moonbags.App	MBAGS	19	41	199	160	1.15	149126.35	319884	2024-05-08 21:00:17	25.88	False	True	True	True	4	1a975f	0.0003198	-13.12	-13.12	-13.12	-14.62	2024-05-08 23:26:09.544754
solana	raydium	EkpqzjU7LfUNbjGRqZHSMd91YaJCjSMPAQtQF9NZZgT7	C5RgVe6aKgEjyLGpZKPgZFEqdBEpUvWBqTrv7SMAYVtN	Moonbags.App	MBAGS	24	43	214	175	1.35	153722.48	338400	2024-05-08 21:00:17	28.19	False	True	True	True	4	1a975f	0.0003384	-8.1	-8.1	-8.1	-2.23	2024-05-08 23:28:28.268247
solana	raydium	EkpqzjU7LfUNbjGRqZHSMd91YaJCjSMPAQtQF9NZZgT7	C5RgVe6aKgEjyLGpZKPgZFEqdBEpUvWBqTrv7SMAYVtN	Moonbags.App	MBAGS	41	16	243	177	2.02	158276.04	359268	2024-05-08 21:00:17	30.48	False	True	True	True	4	1a975f	0.0003592	-2.43	-2.43	-2.43	12.09	2024-05-08 23:30:45.589493
solana	raydium	EkpqzjU7LfUNbjGRqZHSMd91YaJCjSMPAQtQF9NZZgT7	C5RgVe6aKgEjyLGpZKPgZFEqdBEpUvWBqTrv7SMAYVtN	Moonbags.App	MBAGS	48	13	262	188	2.2	158346.75	358854	2024-05-08 21:00:17	32.92	False	True	True	True	4	1a975f	0.0003588	-2.54	-2.54	-2.54	6.04	2024-05-08 23:33:12.051332
solana	raydium	EkpqzjU7LfUNbjGRqZHSMd91YaJCjSMPAQtQF9NZZgT7	C5RgVe6aKgEjyLGpZKPgZFEqdBEpUvWBqTrv7SMAYVtN	Moonbags.App	MBAGS	37	24	277	201	1.6	159358.88	364426	2024-05-08 21:00:17	35.2	False	True	True	True	4	1a975f	0.0003644	-1.03	-1.03	-1.03	1.51	2024-05-08 23:35:28.725748
solana	raydium	EkpqzjU7LfUNbjGRqZHSMd91YaJCjSMPAQtQF9NZZgT7	C5RgVe6aKgEjyLGpZKPgZFEqdBEpUvWBqTrv7SMAYVtN	Moonbags.App	MBAGS	34	20	296	210	1.38	151039.44	327846	2024-05-08 21:00:17	37.48	False	True	True	True	4	1a975f	0.0003278	-10.96	-10.96	-10.96	-7.17	2024-05-08 23:37:45.713209
solana	raydium	EkpqzjU7LfUNbjGRqZHSMd91YaJCjSMPAQtQF9NZZgT7	C5RgVe6aKgEjyLGpZKPgZFEqdBEpUvWBqTrv7SMAYVtN	Moonbags.App	MBAGS	32	10	309	212	1.24	153556.74	337859	2024-05-08 21:00:17	39.77	False	True	True	True	4	1a975f	0.0003378	-8.24	-8.24	-8.24	-2.4	2024-05-08 23:40:03.453200
solana	raydium	EkpqzjU7LfUNbjGRqZHSMd91YaJCjSMPAQtQF9NZZgT7	C5RgVe6aKgEjyLGpZKPgZFEqdBEpUvWBqTrv7SMAYVtN	Moonbags.App	MBAGS	23	6	317	216	0.87	155306.73	345174	2024-05-08 21:00:17	42.06	False	True	True	True	4	1a975f	0.0003451	-6.26	-6.26	-6.26	5.81	2024-05-08 23:42:20.410632
