chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	955E1ADtgqtgcmSxScF1Rpu9LSdcAcfb9wbEnACB4coX	CgdMx2G19iHzKurWEw2o52GHs73ythJJpyQ57zn9LVUG	Solana Million Dollar Homepage	PXL	260	157	284	160	10.99	32635.91	108659	2024-05-08 14:27:54	5.43	False	True	True	True	3	4533a8	0.0001086	70.33	70.33	70.33	39.06	2024-05-08 16:33:20.067624
solana	raydium	955E1ADtgqtgcmSxScF1Rpu9LSdcAcfb9wbEnACB4coX	CgdMx2G19iHzKurWEw2o52GHs73ythJJpyQ57zn9LVUG	Solana Million Dollar Homepage	PXL	164	113	380	227	5.18	29449.37	88027	2024-05-08 14:27:54	7.7	False	True	True	True	3	4533a8	0.00008802	37.99	37.99	37.99	0.98	2024-05-08 16:35:36.020949
solana	raydium	955E1ADtgqtgcmSxScF1Rpu9LSdcAcfb9wbEnACB4coX	CgdMx2G19iHzKurWEw2o52GHs73ythJJpyQ57zn9LVUG	Solana Million Dollar Homepage	PXL	180	127	477	291	4.53	43627.33	192388	2024-05-08 14:27:54	9.98	False	True	True	True	3	4533a8	0.0001923	202	202	202	65.38	2024-05-08 16:37:52.732847
solana	raydium	955E1ADtgqtgcmSxScF1Rpu9LSdcAcfb9wbEnACB4coX	CgdMx2G19iHzKurWEw2o52GHs73ythJJpyQ57zn9LVUG	Solana Million Dollar Homepage	PXL	216	167	595	394	4.36	42589.58	182498	2024-05-08 14:27:54	12.27	False	True	True	True	3	4533a8	0.0001824	186	186	186	109	2024-05-08 16:40:09.955206
solana	raydium	955E1ADtgqtgcmSxScF1Rpu9LSdcAcfb9wbEnACB4coX	CgdMx2G19iHzKurWEw2o52GHs73ythJJpyQ57zn9LVUG	Solana Million Dollar Homepage	PXL	222	167	683	449	3.9	50453.03	254816	2024-05-08 14:27:54	14.57	False	True	True	True	3	4533a8	0.0002548	299	299	299	44.94	2024-05-08 16:42:28.202730
solana	raydium	955E1ADtgqtgcmSxScF1Rpu9LSdcAcfb9wbEnACB4coX	CgdMx2G19iHzKurWEw2o52GHs73ythJJpyQ57zn9LVUG	Solana Million Dollar Homepage	PXL	205	145	824	549	2.99	44422.77	196374	2024-05-08 14:27:54	16.83	False	True	True	True	3	4533a8	0.0001963	208	208	208	-15.36	2024-05-08 16:44:43.748583
solana	raydium	955E1ADtgqtgcmSxScF1Rpu9LSdcAcfb9wbEnACB4coX	CgdMx2G19iHzKurWEw2o52GHs73ythJJpyQ57zn9LVUG	Solana Million Dollar Homepage	PXL	220	135	908	586	2.91	52143.58	269954	2024-05-08 14:27:54	19.15	False	True	True	True	3	4533a8	0.0002699	323	323	323	2.15	2024-05-08 16:47:02.755774
solana	raydium	955E1ADtgqtgcmSxScF1Rpu9LSdcAcfb9wbEnACB4coX	CgdMx2G19iHzKurWEw2o52GHs73ythJJpyQ57zn9LVUG	Solana Million Dollar Homepage	PXL	199	98	1004	641	2.38	61385.94	372513	2024-05-08 14:27:54	21.46	False	True	True	True	3	4533a8	0.0003725	484	484	484	95.82	2024-05-08 16:49:21.689158
solana	raydium	955E1ADtgqtgcmSxScF1Rpu9LSdcAcfb9wbEnACB4coX	CgdMx2G19iHzKurWEw2o52GHs73ythJJpyQ57zn9LVUG	Solana Million Dollar Homepage	PXL	169	140	1097	737	1.85	59319.77	347473	2024-05-08 14:27:54	23.73	False	True	True	True	3	4533a8	0.0003474	445	445	445	22.85	2024-05-08 16:51:37.781833
solana	raydium	955E1ADtgqtgcmSxScF1Rpu9LSdcAcfb9wbEnACB4coX	CgdMx2G19iHzKurWEw2o52GHs73ythJJpyQ57zn9LVUG	Solana Million Dollar Homepage	PXL	181	149	1200	800	1.81	52716.5	273425	2024-05-08 14:27:54	26.02	False	True	True	True	3	4533a8	0.0002734	329	329	329	-27.52	2024-05-08 16:53:55.344840
solana	raydium	955E1ADtgqtgcmSxScF1Rpu9LSdcAcfb9wbEnACB4coX	CgdMx2G19iHzKurWEw2o52GHs73ythJJpyQ57zn9LVUG	Solana Million Dollar Homepage	PXL	215	125	1310	859	1.97	47466.9	220880	2024-05-08 14:27:54	28.29	False	True	True	True	3	4533a8	0.0002208	246	246	246	-42.08	2024-05-08 16:56:11.685936
solana	raydium	955E1ADtgqtgcmSxScF1Rpu9LSdcAcfb9wbEnACB4coX	CgdMx2G19iHzKurWEw2o52GHs73ythJJpyQ57zn9LVUG	Solana Million Dollar Homepage	PXL	238	133	1428	924	2.0	50323.85	247835	2024-05-08 14:27:54	30.57	False	True	True	True	3	4533a8	0.0002478	289	289	289	-12.85	2024-05-08 16:58:28.097168
