chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	7NEf83bABs6YRzG9D85nBmaMzM4KB76WCUxQkdFfc7uc	CnRohqLiesx9jN4vhvLkFMSP48puFgCvgUasqy8nfijc	Simple Cat	SIMP	144	27	144	27	12.0	23932.17	54578	2024-05-11 04:29:46	1.75	False	True	True	True	3	3edb0d	0.00006064	8.55	8.55	8.55	8.55	2024-05-11 06:31:31.122869
solana	raydium	7NEf83bABs6YRzG9D85nBmaMzM4KB76WCUxQkdFfc7uc	CnRohqLiesx9jN4vhvLkFMSP48puFgCvgUasqy8nfijc	Simple Cat	SIMP	295	98	295	98	12.0	35123.22	116924	2024-05-11 04:29:46	4.0	False	True	True	True	3	3edb0d	0.0001299	133	133	133	133	2024-05-11 06:33:46.113706
solana	raydium	7NEf83bABs6YRzG9D85nBmaMzM4KB76WCUxQkdFfc7uc	CnRohqLiesx9jN4vhvLkFMSP48puFgCvgUasqy8nfijc	Simple Cat	SIMP	298	180	446	208	8.02	37981.23	135851	2024-05-11 04:29:46	6.26	False	True	True	True	3	3edb0d	0.0001509	170	170	170	96.56	2024-05-11 06:36:01.847833
solana	raydium	7NEf83bABs6YRzG9D85nBmaMzM4KB76WCUxQkdFfc7uc	CnRohqLiesx9jN4vhvLkFMSP48puFgCvgUasqy8nfijc	Simple Cat	SIMP	274	201	556	294	5.91	40027.22	150135	2024-05-11 04:29:46	8.53	False	True	True	True	3	3edb0d	0.0001668	199	199	199	55.12	2024-05-11 06:38:18.038828
solana	raydium	7NEf83bABs6YRzG9D85nBmaMzM4KB76WCUxQkdFfc7uc	CnRohqLiesx9jN4vhvLkFMSP48puFgCvgUasqy8nfijc	Simple Cat	SIMP	224	173	637	350	4.22	37802.12	133543	2024-05-11 04:29:46	10.83	False	True	True	True	3	3edb0d	0.0001483	166	166	166	-13.74	2024-05-11 06:40:35.599344
solana	raydium	7NEf83bABs6YRzG9D85nBmaMzM4KB76WCUxQkdFfc7uc	CnRohqLiesx9jN4vhvLkFMSP48puFgCvgUasqy8nfijc	Simple Cat	SIMP	175	145	742	444	2.83	36522.92	124118	2024-05-11 04:29:46	13.19	False	True	True	True	3	3edb0d	0.0001379	147	147	147	-24.68	2024-05-11 06:42:57.175936
solana	raydium	7NEf83bABs6YRzG9D85nBmaMzM4KB76WCUxQkdFfc7uc	CnRohqLiesx9jN4vhvLkFMSP48puFgCvgUasqy8nfijc	Simple Cat	SIMP	168	134	805	486	2.5	38879.16	140239	2024-05-11 04:29:46	15.44	False	True	True	True	3	3edb0d	0.0001558	179	179	179	7.23	2024-05-11 06:45:12.451152
solana	raydium	7NEf83bABs6YRzG9D85nBmaMzM4KB76WCUxQkdFfc7uc	CnRohqLiesx9jN4vhvLkFMSP48puFgCvgUasqy8nfijc	Simple Cat	SIMP	153	126	877	560	2.09	30778.69	87608	2024-05-11 04:29:46	17.71	False	True	True	True	3	3edb0d	0.00009734	74.24	74.24	74.24	-23.1	2024-05-11 06:47:28.438795
solana	raydium	7NEf83bABs6YRzG9D85nBmaMzM4KB76WCUxQkdFfc7uc	CnRohqLiesx9jN4vhvLkFMSP48puFgCvgUasqy8nfijc	Simple Cat	SIMP	137	119	950	612	1.73	35332.51	114847	2024-05-11 04:29:46	19.99	False	True	True	True	3	3edb0d	0.0001276	128	128	128	-8.09	2024-05-11 06:49:45.102188
solana	raydium	7NEf83bABs6YRzG9D85nBmaMzM4KB76WCUxQkdFfc7uc	CnRohqLiesx9jN4vhvLkFMSP48puFgCvgUasqy8nfijc	Simple Cat	SIMP	98	73	981	636	1.2	34103.88	106890	2024-05-11 04:29:46	22.27	False	True	True	True	3	3edb0d	0.0001187	113	113	113	27.11	2024-05-11 06:52:02.023596
solana	raydium	7NEf83bABs6YRzG9D85nBmaMzM4KB76WCUxQkdFfc7uc	CnRohqLiesx9jN4vhvLkFMSP48puFgCvgUasqy8nfijc	Simple Cat	SIMP	107	75	1057	687	1.21	32479.41	96776	2024-05-11 04:29:46	24.53	False	True	True	True	3	3edb0d	0.0001075	92.47	92.47	92.47	-15.74	2024-05-11 06:54:18.053861
solana	raydium	7NEf83bABs6YRzG9D85nBmaMzM4KB76WCUxQkdFfc7uc	CnRohqLiesx9jN4vhvLkFMSP48puFgCvgUasqy8nfijc	Simple Cat	SIMP	102	74	1081	708	1.13	30499.21	85292	2024-05-11 04:29:46	26.8	False	True	True	True	3	3edb0d	0.00009476	69.63	69.63	69.63	27.73	2024-05-11 06:56:33.790488
solana	raydium	7NEf83bABs6YRzG9D85nBmaMzM4KB76WCUxQkdFfc7uc	CnRohqLiesx9jN4vhvLkFMSP48puFgCvgUasqy8nfijc	Simple Cat	SIMP	56	33	1118	724	0.6	33196.39	100998	2024-05-11 04:29:46	29.09	False	True	True	True	3	3edb0d	0.0001122	101	101	101	4.2	2024-05-11 06:58:51.456901
solana	raydium	7NEf83bABs6YRzG9D85nBmaMzM4KB76WCUxQkdFfc7uc	CnRohqLiesx9jN4vhvLkFMSP48puFgCvgUasqy8nfijc	Simple Cat	SIMP	68	37	1149	745	0.71	35330.91	114318	2024-05-11 04:29:46	31.35	False	True	True	True	3	3edb0d	0.0001270	127	127	127	34.03	2024-05-11 07:01:06.846439
solana	raydium	7NEf83bABs6YRzG9D85nBmaMzM4KB76WCUxQkdFfc7uc	CnRohqLiesx9jN4vhvLkFMSP48puFgCvgUasqy8nfijc	Simple Cat	SIMP	70	50	1183	769	0.71	30863.11	87206	2024-05-11 04:29:46	33.6	False	True	True	True	3	3edb0d	0.00009689	73.44	73.44	73.44	-17.6	2024-05-11 07:03:22.004271
solana	raydium	7NEf83bABs6YRzG9D85nBmaMzM4KB76WCUxQkdFfc7uc	CnRohqLiesx9jN4vhvLkFMSP48puFgCvgUasqy8nfijc	Simple Cat	SIMP	72	55	1225	803	0.71	30261.08	83645	2024-05-11 04:29:46	35.85	False	True	True	True	3	3edb0d	0.00009293	66.36	66.36	66.36	-25.3	2024-05-11 07:05:37.135190
solana	raydium	7NEf83bABs6YRzG9D85nBmaMzM4KB76WCUxQkdFfc7uc	CnRohqLiesx9jN4vhvLkFMSP48puFgCvgUasqy8nfijc	Simple Cat	SIMP	66	48	1252	820	0.63	33101	99826	2024-05-11 04:29:46	38.13	False	True	True	True	3	3edb0d	0.0001109	98.54	98.54	98.54	13.54	2024-05-11 07:07:53.620082
solana	raydium	7NEf83bABs6YRzG9D85nBmaMzM4KB76WCUxQkdFfc7uc	CnRohqLiesx9jN4vhvLkFMSP48puFgCvgUasqy8nfijc	Simple Cat	SIMP	106	59	1330	862	0.96	43140.24	169371	2024-05-11 04:29:46	40.39	False	True	True	True	3	3edb0d	0.0001881	237	237	237	105	2024-05-11 07:10:09.432001
solana	raydium	7NEf83bABs6YRzG9D85nBmaMzM4KB76WCUxQkdFfc7uc	CnRohqLiesx9jN4vhvLkFMSP48puFgCvgUasqy8nfijc	Simple Cat	SIMP	131	80	1382	894	1.14	41167.22	153911	2024-05-11 04:29:46	42.64	False	True	True	True	3	3edb0d	0.0001710	206	206	206	52.17	2024-05-11 07:12:24.689286
solana	raydium	7NEf83bABs6YRzG9D85nBmaMzM4KB76WCUxQkdFfc7uc	CnRohqLiesx9jN4vhvLkFMSP48puFgCvgUasqy8nfijc	Simple Cat	SIMP	75	56	1415	928	0.64	42717.43	165484	2024-05-11 04:29:46	44.9	False	True	True	True	3	3edb0d	0.0001838	229	229	229	-1.85	2024-05-11 07:14:39.792358
solana	raydium	7NEf83bABs6YRzG9D85nBmaMzM4KB76WCUxQkdFfc7uc	CnRohqLiesx9jN4vhvLkFMSP48puFgCvgUasqy8nfijc	Simple Cat	SIMP	99	72	1481	969	0.8	47012.13	199880	2024-05-11 04:29:46	47.17	False	True	True	True	3	3edb0d	0.0002220	298	298	298	33.16	2024-05-11 07:16:56.347627
solana	raydium	7NEf83bABs6YRzG9D85nBmaMzM4KB76WCUxQkdFfc7uc	CnRohqLiesx9jN4vhvLkFMSP48puFgCvgUasqy8nfijc	Simple Cat	SIMP	126	89	1541	1017	0.98	51524.91	239577	2024-05-11 04:29:46	49.45	False	True	True	True	3	3edb0d	0.0002661	376	376	376	44.77	2024-05-11 07:19:12.950024
solana	raydium	7NEf83bABs6YRzG9D85nBmaMzM4KB76WCUxQkdFfc7uc	CnRohqLiesx9jN4vhvLkFMSP48puFgCvgUasqy8nfijc	Simple Cat	SIMP	102	86	1581	1054	0.77	48018.87	208151	2024-05-11 04:29:46	51.73	False	True	True	True	3	3edb0d	0.0002312	314	314	314	5.5	2024-05-11 07:21:29.824722
