chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	9cHoUxKrvSiqMPWcv2ALUU8fnfXSuQQ15DBbMomwdw71	Djr7hkfLfQrP7XFctEgKWuYkKNPdTNoJKdKG45skukU6	Cabbage Cat	CAB	4	1	174	142	0.28	24873.64	64753	2024-05-11 10:37:54	83.21	False	True	True	True	3	a896f8	0.00006475	14.64	14.64	-29.29	9.27	2024-05-11 14:01:06.635824
solana	raydium	9cHoUxKrvSiqMPWcv2ALUU8fnfXSuQQ15DBbMomwdw71	Djr7hkfLfQrP7XFctEgKWuYkKNPdTNoJKdKG45skukU6	Cabbage Cat	CAB	11	3	174	143	0.76	25074.2	65736	2024-05-11 10:37:54	85.48	False	True	True	True	3	a896f8	0.00006573	16.39	16.39	-36.18	11.2	2024-05-11 14:03:22.821822
solana	raydium	9cHoUxKrvSiqMPWcv2ALUU8fnfXSuQQ15DBbMomwdw71	Djr7hkfLfQrP7XFctEgKWuYkKNPdTNoJKdKG45skukU6	Cabbage Cat	CAB	12	5	175	137	0.82	24588.02	63078	2024-05-11 10:37:54	87.76	False	True	True	True	3	a896f8	0.00006307	11.68	11.68	-33.04	-0.26	2024-05-11 14:05:39.719029
solana	raydium	9cHoUxKrvSiqMPWcv2ALUU8fnfXSuQQ15DBbMomwdw71	Djr7hkfLfQrP7XFctEgKWuYkKNPdTNoJKdKG45skukU6	Cabbage Cat	CAB	10	3	177	130	0.68	24788.43	64101	2024-05-11 10:37:54	90.03	False	True	True	True	3	a896f8	0.00006410	13.49	13.49	-28.52	-2.49	2024-05-11 14:07:56.002949
solana	raydium	9cHoUxKrvSiqMPWcv2ALUU8fnfXSuQQ15DBbMomwdw71	Djr7hkfLfQrP7XFctEgKWuYkKNPdTNoJKdKG45skukU6	Cabbage Cat	CAB	6	0	173	119	0.42	24835.75	64279	2024-05-11 10:37:54	92.3	False	True	True	True	3	a896f8	0.00006427	13.81	13.81	-16.61	1.9	2024-05-11 14:10:11.888467
solana	raydium	9cHoUxKrvSiqMPWcv2ALUU8fnfXSuQQ15DBbMomwdw71	Djr7hkfLfQrP7XFctEgKWuYkKNPdTNoJKdKG45skukU6	Cabbage Cat	CAB	4	0	167	112	0.29	25115.72	65559	2024-05-11 10:37:54	94.6	False	True	True	True	3	a896f8	0.00006555	16.07	16.07	-10.53	2.27	2024-05-11 14:12:29.706323
solana	raydium	9cHoUxKrvSiqMPWcv2ALUU8fnfXSuQQ15DBbMomwdw71	Djr7hkfLfQrP7XFctEgKWuYkKNPdTNoJKdKG45skukU6	Cabbage Cat	CAB	3	1	155	98	0.23	25127.09	65715	2024-05-11 10:37:54	96.89	False	True	True	True	3	a896f8	0.00006571	16.35	16.35	-4	1.48	2024-05-11 14:14:47.482409
solana	raydium	9cHoUxKrvSiqMPWcv2ALUU8fnfXSuQQ15DBbMomwdw71	Djr7hkfLfQrP7XFctEgKWuYkKNPdTNoJKdKG45skukU6	Cabbage Cat	CAB	9	0	154	95	0.7	27413.29	77981	2024-05-11 10:37:54	99.2	False	True	True	True	3	a896f8	0.00007798	38.07	38.07	7.2	19.89	2024-05-11 14:17:06.046303
solana	raydium	9cHoUxKrvSiqMPWcv2ALUU8fnfXSuQQ15DBbMomwdw71	Djr7hkfLfQrP7XFctEgKWuYkKNPdTNoJKdKG45skukU6	Cabbage Cat	CAB	13	5	142	97	1.1	30008.01	93914	2024-05-11 10:37:54	101.46	False	True	True	True	3	a896f8	0.00009391	66.27	66.27	13.34	44.39	2024-05-11 14:19:21.594315
solana	raydium	9cHoUxKrvSiqMPWcv2ALUU8fnfXSuQQ15DBbMomwdw71	Djr7hkfLfQrP7XFctEgKWuYkKNPdTNoJKdKG45skukU6	Cabbage Cat	CAB	6	13	133	99	0.54	28912.3	87063	2024-05-11 10:37:54	103.74	False	True	True	True	3	a896f8	0.00008706	54.15	54.15	21.28	11.65	2024-05-11 14:21:38.104126
