chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	Fbtmt2bXXThxLP93MqYY5rH1SyS9RLLQW6S44f53qFB8	E65H1zSA6LrrBN1mecYmePDuoBnvXsR13AzEafW1xCNQ	Heidi Coin	HEIDI	2	2	37	17	0.65	58853.09	255928	2024-05-07 10:12:21	19.89	False	True	True	True	4	07489e	0.0002559	10.15	10.15	10.15	0.2	2024-05-07 12:32:14.303005
solana	raydium	Fbtmt2bXXThxLP93MqYY5rH1SyS9RLLQW6S44f53qFB8	E65H1zSA6LrrBN1mecYmePDuoBnvXsR13AzEafW1xCNQ	Heidi Coin	HEIDI	10	5	46	21	2.61	62577.14	288359	2024-05-07 10:12:21	22.06	False	True	True	True	4	07489e	0.0002883	24.11	24.11	24.11	12.79	2024-05-07 12:34:24.755423
solana	raydium	Fbtmt2bXXThxLP93MqYY5rH1SyS9RLLQW6S44f53qFB8	E65H1zSA6LrrBN1mecYmePDuoBnvXsR13AzEafW1xCNQ	Heidi Coin	HEIDI	17	7	55	24	3.71	61964.86	283302	2024-05-07 10:12:21	24.25	False	True	True	True	4	07489e	0.0002833	21.93	21.93	21.93	9.58	2024-05-07 12:36:35.852741
solana	raydium	Fbtmt2bXXThxLP93MqYY5rH1SyS9RLLQW6S44f53qFB8	E65H1zSA6LrrBN1mecYmePDuoBnvXsR13AzEafW1xCNQ	Heidi Coin	HEIDI	16	4	62	25	3.1	61719.58	281156	2024-05-07 10:12:21	26.43	False	True	True	True	4	07489e	0.0002811	21.01	21.01	21.01	-2.5	2024-05-07 12:38:46.861439
solana	raydium	Fbtmt2bXXThxLP93MqYY5rH1SyS9RLLQW6S44f53qFB8	E65H1zSA6LrrBN1mecYmePDuoBnvXsR13AzEafW1xCNQ	Heidi Coin	HEIDI	11	2	66	26	2.0	62040.32	284063	2024-05-07 10:12:21	28.61	False	True	True	True	4	07489e	0.0002840	22.26	22.26	22.26	0.27	2024-05-07 12:40:57.891656
solana	raydium	Fbtmt2bXXThxLP93MqYY5rH1SyS9RLLQW6S44f53qFB8	E65H1zSA6LrrBN1mecYmePDuoBnvXsR13AzEafW1xCNQ	Heidi Coin	HEIDI	7	2	69	27	1.22	62392.62	287018	2024-05-07 10:12:21	30.78	False	True	True	True	4	07489e	0.0002870	23.53	23.53	23.53	2.09	2024-05-07 12:43:07.999338
solana	raydium	Fbtmt2bXXThxLP93MqYY5rH1SyS9RLLQW6S44f53qFB8	E65H1zSA6LrrBN1mecYmePDuoBnvXsR13AzEafW1xCNQ	Heidi Coin	HEIDI	8	2	73	27	1.32	65372.1	315373	2024-05-07 10:12:21	32.95	False	True	True	True	4	07489e	0.0003153	35.73	35.73	35.73	11.47	2024-05-07 12:45:18.054345
solana	raydium	Fbtmt2bXXThxLP93MqYY5rH1SyS9RLLQW6S44f53qFB8	E65H1zSA6LrrBN1mecYmePDuoBnvXsR13AzEafW1xCNQ	Heidi Coin	HEIDI	6	1	76	28	0.95	65785.78	318680	2024-05-07 10:12:21	35.14	False	True	True	True	4	07489e	0.0003186	37.16	37.16	37.16	6.38	2024-05-07 12:47:29.555480
solana	raydium	Fbtmt2bXXThxLP93MqYY5rH1SyS9RLLQW6S44f53qFB8	E65H1zSA6LrrBN1mecYmePDuoBnvXsR13AzEafW1xCNQ	Heidi Coin	HEIDI	6	1	80	28	0.9	66574.1	326812	2024-05-07 10:12:21	37.3	False	True	True	True	4	07489e	0.0003268	40.66	40.66	40.66	3.55	2024-05-07 12:49:39.219544
solana	raydium	Fbtmt2bXXThxLP93MqYY5rH1SyS9RLLQW6S44f53qFB8	E65H1zSA6LrrBN1mecYmePDuoBnvXsR13AzEafW1xCNQ	Heidi Coin	HEIDI	11	0	87	28	1.52	67005.55	331499	2024-05-07 10:12:21	39.5	False	True	True	True	4	07489e	0.0003314	42.67	42.67	42.67	4.02	2024-05-07 12:51:50.779167
solana	raydium	Fbtmt2bXXThxLP93MqYY5rH1SyS9RLLQW6S44f53qFB8	E65H1zSA6LrrBN1mecYmePDuoBnvXsR13AzEafW1xCNQ	Heidi Coin	HEIDI	10	5	90	33	1.33	66044.51	321253	2024-05-07 10:12:21	41.66	False	True	True	True	4	07489e	0.0003212	38.26	38.26	38.26	-1.7	2024-05-07 12:54:00.713122
solana	raydium	Fbtmt2bXXThxLP93MqYY5rH1SyS9RLLQW6S44f53qFB8	E65H1zSA6LrrBN1mecYmePDuoBnvXsR13AzEafW1xCNQ	Heidi Coin	HEIDI	5	9	91	37	0.66	66034.59	321029	2024-05-07 10:12:21	43.82	False	True	True	True	4	07489e	0.0003210	38.17	38.17	38.17	-2.89	2024-05-07 12:56:10.190982
solana	raydium	Fbtmt2bXXThxLP93MqYY5rH1SyS9RLLQW6S44f53qFB8	E65H1zSA6LrrBN1mecYmePDuoBnvXsR13AzEafW1xCNQ	Heidi Coin	HEIDI	5	10	95	42	0.63	66130.63	321694	2024-05-07 10:12:21	46.0	False	True	True	True	4	07489e	0.0003216	38.45	38.45	38.45	0.01	2024-05-07 12:58:21.284073
solana	raydium	Fbtmt2bXXThxLP93MqYY5rH1SyS9RLLQW6S44f53qFB8	E65H1zSA6LrrBN1mecYmePDuoBnvXsR13AzEafW1xCNQ	Heidi Coin	HEIDI	4	5	95	43	0.51	65609.53	316630	2024-05-07 10:12:21	48.18	False	True	True	True	4	07489e	0.0003166	36.27	36.27	36.27	-1.32	2024-05-07 13:00:31.727424
solana	raydium	Fbtmt2bXXThxLP93MqYY5rH1SyS9RLLQW6S44f53qFB8	E65H1zSA6LrrBN1mecYmePDuoBnvXsR13AzEafW1xCNQ	Heidi Coin	HEIDI	0	2	95	45		65147.93	312493	2024-05-07 10:12:21	50.37	False	True	True	True	4	07489e	0.0003124	34.49	34.49	34.49	-1.31	2024-05-07 13:02:43.070192
solana	raydium	Fbtmt2bXXThxLP93MqYY5rH1SyS9RLLQW6S44f53qFB8	E65H1zSA6LrrBN1mecYmePDuoBnvXsR13AzEafW1xCNQ	Heidi Coin	HEIDI	2	5	97	48	0.25	63388.04	296444	2024-05-07 10:12:21	52.52	False	True	True	True	4	07489e	0.0002964	27.59	27.59	27.59	-6.38	2024-05-07 13:04:52.225658
solana	raydium	Fbtmt2bXXThxLP93MqYY5rH1SyS9RLLQW6S44f53qFB8	E65H1zSA6LrrBN1mecYmePDuoBnvXsR13AzEafW1xCNQ	Heidi Coin	HEIDI	2	7	97	52	0.25	59817.85	264375	2024-05-07 10:12:21	54.75	False	True	True	True	4	07489e	0.0002643	13.78	13.78	13.78	-15.4	2024-05-07 13:07:06.259141
solana	raydium	Fbtmt2bXXThxLP93MqYY5rH1SyS9RLLQW6S44f53qFB8	E65H1zSA6LrrBN1mecYmePDuoBnvXsR13AzEafW1xCNQ	Heidi Coin	HEIDI	2	9	98	56	0.24	56589.79	236363	2024-05-07 10:12:21	56.93	False	True	True	True	4	07489e	0.0002363	1.73	1.73	1.73	-23.13	2024-05-07 13:09:16.716665
solana	raydium	Fbtmt2bXXThxLP93MqYY5rH1SyS9RLLQW6S44f53qFB8	E65H1zSA6LrrBN1mecYmePDuoBnvXsR13AzEafW1xCNQ	Heidi Coin	HEIDI	2	9	99	59	0.24	55863.86	230491	2024-05-07 10:12:21	59.1	False	True	True	True	4	07489e	0.0002304	-0.8	-0.8	-0.8	-15.45	2024-05-07 13:11:26.890502
solana	raydium	Fbtmt2bXXThxLP93MqYY5rH1SyS9RLLQW6S44f53qFB8	E65H1zSA6LrrBN1mecYmePDuoBnvXsR13AzEafW1xCNQ	Heidi Coin	HEIDI	4	4	75	49	0.64	55743.36	229143	2024-05-07 10:12:21	61.26	False	True	True	True	4	07489e	0.0002291	-1.38	-1.38	-6.56	-3.05	2024-05-07 13:13:36.756186
solana	raydium	Fbtmt2bXXThxLP93MqYY5rH1SyS9RLLQW6S44f53qFB8	E65H1zSA6LrrBN1mecYmePDuoBnvXsR13AzEafW1xCNQ	Heidi Coin	HEIDI	5	4	76	51	0.79	55857.93	229615	2024-05-07 10:12:21	63.44	False	True	True	True	4	07489e	0.0002296	-1.18	-1.18	-7.54	-0.49	2024-05-07 13:15:47.434645
