chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	DBqfBwuVwZGK5DASpBa1RwuUMBnqiePfRmx7Ukhh1XHK	EFHZQSXxLF1Nf95uJE2JyEc9pYd1UB1ctiKbUStqRnbU	RetroAI	RetroAI	109	9	109	9	12.0	26270.69	72655	2024-05-11 13:42:54	1.0	False	True	True	True	4	748acc	0.00007265	30.91	30.91	30.91	30.91	2024-05-11 15:43:53.728246
solana	raydium	DBqfBwuVwZGK5DASpBa1RwuUMBnqiePfRmx7Ukhh1XHK	EFHZQSXxLF1Nf95uJE2JyEc9pYd1UB1ctiKbUStqRnbU	RetroAI	RetroAI	286	91	286	91	12.0	29313.86	90127	2024-05-11 13:42:54	3.28	False	True	True	True	4	748acc	0.00009012	62.39	62.39	62.39	62.39	2024-05-11 15:46:10.679418
solana	raydium	DBqfBwuVwZGK5DASpBa1RwuUMBnqiePfRmx7Ukhh1XHK	EFHZQSXxLF1Nf95uJE2JyEc9pYd1UB1ctiKbUStqRnbU	RetroAI	RetroAI	397	167	441	168	10.8	35247.02	129749	2024-05-11 13:42:54	5.61	False	True	True	True	4	748acc	0.0001297	134	134	134	111	2024-05-11 15:48:30.345418
solana	raydium	DBqfBwuVwZGK5DASpBa1RwuUMBnqiePfRmx7Ukhh1XHK	EFHZQSXxLF1Nf95uJE2JyEc9pYd1UB1ctiKbUStqRnbU	RetroAI	RetroAI	322	195	632	296	6.11	33497.25	116101	2024-05-11 13:42:54	7.9	False	True	True	True	4	748acc	0.0001161	109	109	109	26.09	2024-05-11 15:50:47.803694
solana	raydium	DBqfBwuVwZGK5DASpBa1RwuUMBnqiePfRmx7Ukhh1XHK	EFHZQSXxLF1Nf95uJE2JyEc9pYd1UB1ctiKbUStqRnbU	RetroAI	RetroAI	317	202	773	381	4.92	35910.97	133171	2024-05-11 13:42:54	10.2	False	True	True	True	4	748acc	0.0001331	140	140	140	-4.96	2024-05-11 15:53:06.148768
solana	raydium	DBqfBwuVwZGK5DASpBa1RwuUMBnqiePfRmx7Ukhh1XHK	EFHZQSXxLF1Nf95uJE2JyEc9pYd1UB1ctiKbUStqRnbU	RetroAI	RetroAI	363	186	1370	756	3.18	27632.94	76753	2024-05-11 13:42:54	17.12	False	True	True	True	4	748acc	0.00007675	38.29	38.29	38.29	72.9	2024-05-11 16:00:01.197952
solana	raydium	DBqfBwuVwZGK5DASpBa1RwuUMBnqiePfRmx7Ukhh1XHK	EFHZQSXxLF1Nf95uJE2JyEc9pYd1UB1ctiKbUStqRnbU	RetroAI	RetroAI	226	134	1469	830	1.85	25763.24	66450	2024-05-11 13:42:54	19.39	False	True	True	True	4	748acc	0.00006644	19.73	19.73	19.73	35.87	2024-05-11 16:02:17.312391
solana	raydium	DBqfBwuVwZGK5DASpBa1RwuUMBnqiePfRmx7Ukhh1XHK	EFHZQSXxLF1Nf95uJE2JyEc9pYd1UB1ctiKbUStqRnbU	RetroAI	RetroAI	163	129	1562	896	1.25	27128.81	73504	2024-05-11 13:42:54	21.67	False	True	True	True	4	748acc	0.00007350	32.44	32.44	32.44	-8.11	2024-05-11 16:04:34.422562
solana	raydium	DBqfBwuVwZGK5DASpBa1RwuUMBnqiePfRmx7Ukhh1XHK	EFHZQSXxLF1Nf95uJE2JyEc9pYd1UB1ctiKbUStqRnbU	RetroAI	RetroAI	167	136	1646	974	1.22	23394.35	54638	2024-05-11 13:42:54	23.96	False	True	True	True	4	748acc	0.00005463	-1.55	-1.55	-1.55	-13.35	2024-05-11 16:06:51.325821
solana	raydium	DBqfBwuVwZGK5DASpBa1RwuUMBnqiePfRmx7Ukhh1XHK	EFHZQSXxLF1Nf95uJE2JyEc9pYd1UB1ctiKbUStqRnbU	RetroAI	RetroAI	165	152	1729	1050	1.15	23633.79	55467	2024-05-11 13:42:54	26.22	False	True	True	True	4	748acc	0.00005546	-0.06	-0.06	-0.06	-24.32	2024-05-11 16:09:07.262020
solana	raydium	DBqfBwuVwZGK5DASpBa1RwuUMBnqiePfRmx7Ukhh1XHK	EFHZQSXxLF1Nf95uJE2JyEc9pYd1UB1ctiKbUStqRnbU	RetroAI	RetroAI	163	150	1787	1102	1.09	25933.78	66493	2024-05-11 13:42:54	28.49	False	True	True	True	4	748acc	0.00006649	19.81	19.81	19.81	13.63	2024-05-11 16:11:23.174992
solana	raydium	DBqfBwuVwZGK5DASpBa1RwuUMBnqiePfRmx7Ukhh1XHK	EFHZQSXxLF1Nf95uJE2JyEc9pYd1UB1ctiKbUStqRnbU	RetroAI	RetroAI	114	91	1853	1149	0.74	31226.59	96019	2024-05-11 13:42:54	30.76	False	True	True	True	4	748acc	0.00009601	73	73	73	54.98	2024-05-11 16:13:39.325203
solana	raydium	DBqfBwuVwZGK5DASpBa1RwuUMBnqiePfRmx7Ukhh1XHK	EFHZQSXxLF1Nf95uJE2JyEc9pYd1UB1ctiKbUStqRnbU	RetroAI	RetroAI	140	112	1934	1216	0.87	28889.72	82107	2024-05-11 13:42:54	33.01	False	True	True	True	4	748acc	0.00008210	47.94	47.94	47.94	13.56	2024-05-11 16:15:54.522183
solana	raydium	DBqfBwuVwZGK5DASpBa1RwuUMBnqiePfRmx7Ukhh1XHK	EFHZQSXxLF1Nf95uJE2JyEc9pYd1UB1ctiKbUStqRnbU	RetroAI	RetroAI	157	135	2005	1280	0.94	32188.42	101634	2024-05-11 13:42:54	35.26	False	True	True	True	4	748acc	0.0001016	83.12	83.12	83.12	11.53	2024-05-11 16:18:09.384585
solana	raydium	DBqfBwuVwZGK5DASpBa1RwuUMBnqiePfRmx7Ukhh1XHK	EFHZQSXxLF1Nf95uJE2JyEc9pYd1UB1ctiKbUStqRnbU	RetroAI	RetroAI	153	122	2076	1328	0.88	34726.7	118227	2024-05-11 13:42:54	37.51	False	True	True	True	4	748acc	0.0001182	113	113	113	37.05	2024-05-11 16:20:24.325018
solana	raydium	DBqfBwuVwZGK5DASpBa1RwuUMBnqiePfRmx7Ukhh1XHK	EFHZQSXxLF1Nf95uJE2JyEc9pYd1UB1ctiKbUStqRnbU	RetroAI	RetroAI	173	105	2182	1388	0.95	35385.09	122706	2024-05-11 13:42:54	39.8	False	True	True	True	4	748acc	0.0001227	121	121	121	14.57	2024-05-11 16:22:41.773881
solana	raydium	DBqfBwuVwZGK5DASpBa1RwuUMBnqiePfRmx7Ukhh1XHK	EFHZQSXxLF1Nf95uJE2JyEc9pYd1UB1ctiKbUStqRnbU	RetroAI	RetroAI	160	118	2243	1447	0.86	31206.36	95362	2024-05-11 13:42:54	42.09	False	True	True	True	4	748acc	0.00009536	71.82	71.82	71.82	-27.99	2024-05-11 16:24:59.236713
solana	raydium	DBqfBwuVwZGK5DASpBa1RwuUMBnqiePfRmx7Ukhh1XHK	EFHZQSXxLF1Nf95uJE2JyEc9pYd1UB1ctiKbUStqRnbU	RetroAI	RetroAI	147	115	2325	1501	0.76	35672.1	124504	2024-05-11 13:42:54	44.38	False	True	True	True	4	748acc	0.0001245	124	124	124	3.26	2024-05-11 16:27:17.027876
solana	raydium	DBqfBwuVwZGK5DASpBa1RwuUMBnqiePfRmx7Ukhh1XHK	EFHZQSXxLF1Nf95uJE2JyEc9pYd1UB1ctiKbUStqRnbU	RetroAI	RetroAI	123	97	2395	1560	0.62	32439.01	102796	2024-05-11 13:42:54	46.64	False	True	True	True	4	748acc	0.0001027	85.22	85.22	85.22	5.33	2024-05-11 16:29:32.451161
solana	raydium	DBqfBwuVwZGK5DASpBa1RwuUMBnqiePfRmx7Ukhh1XHK	EFHZQSXxLF1Nf95uJE2JyEc9pYd1UB1ctiKbUStqRnbU	RetroAI	RetroAI	132	89	2460	1601	0.64	32370.4	102147	2024-05-11 13:42:54	48.91	False	True	True	True	4	748acc	0.0001021	84.05	84.05	84.05	-14.89	2024-05-11 16:31:48.600052
solana	raydium	DBqfBwuVwZGK5DASpBa1RwuUMBnqiePfRmx7Ukhh1XHK	EFHZQSXxLF1Nf95uJE2JyEc9pYd1UB1ctiKbUStqRnbU	RetroAI	RetroAI	102	76	2497	1636	0.49	33535.68	109430	2024-05-11 13:42:54	51.18	False	True	True	True	4	748acc	0.0001094	97.17	97.17	97.17	6.45	2024-05-11 16:34:04.741554
solana	raydium	DBqfBwuVwZGK5DASpBa1RwuUMBnqiePfRmx7Ukhh1XHK	EFHZQSXxLF1Nf95uJE2JyEc9pYd1UB1ctiKbUStqRnbU	RetroAI	RetroAI	83	81	2536	1677	0.39	28046.35	76419	2024-05-11 13:42:54	53.45	False	True	True	True	4	748acc	0.00007641	37.69	37.69	37.69	-23.1	2024-05-11 16:36:21.289391
solana	raydium	DBqfBwuVwZGK5DASpBa1RwuUMBnqiePfRmx7Ukhh1XHK	EFHZQSXxLF1Nf95uJE2JyEc9pYd1UB1ctiKbUStqRnbU	RetroAI	RetroAI	97	78	2600	1721	0.45	30347.43	89467	2024-05-11 13:42:54	55.73	False	True	True	True	4	748acc	0.00008946	61.2	61.2	61.2	-13.02	2024-05-11 16:38:37.925622
solana	raydium	DBqfBwuVwZGK5DASpBa1RwuUMBnqiePfRmx7Ukhh1XHK	EFHZQSXxLF1Nf95uJE2JyEc9pYd1UB1ctiKbUStqRnbU	RetroAI	RetroAI	109	84	2652	1769	0.49	29185.88	82651	2024-05-11 13:42:54	57.99	False	True	True	True	4	748acc	0.00008265	48.92	48.92	48.92	13.23	2024-05-11 16:40:53.408860
solana	raydium	DBqfBwuVwZGK5DASpBa1RwuUMBnqiePfRmx7Ukhh1XHK	EFHZQSXxLF1Nf95uJE2JyEc9pYd1UB1ctiKbUStqRnbU	RetroAI	RetroAI	85	85	2640	1801	0.39	29412.3	83863	2024-05-11 13:42:54	60.27	False	True	True	True	4	748acc	0.00008386	51.1	51.1	36.5	-12.46	2024-05-11 16:43:10.065737
