chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	6iUhS7KaiVqounGi4UFrFUXBbrWcu2XZiQu27PEoopLq	EKNavzL68QtKXHmViD2N9MJzxPFzMgGEAvmF23E68SLL	Mochi	MOCHI	33	1	33	1	12.0	29795.43	93317	2024-05-11 23:47:40	0.52	False	True	True	True	3	fa91bb	0.00009331	61.55	61.55	61.55	61.55	2024-05-12 01:48:11.421273
solana	raydium	6iUhS7KaiVqounGi4UFrFUXBbrWcu2XZiQu27PEoopLq	EKNavzL68QtKXHmViD2N9MJzxPFzMgGEAvmF23E68SLL	Mochi	MOCHI	296	67	296	67	12.0	34086.79	121149	2024-05-11 23:47:40	2.84	False	True	True	True	3	fa91bb	0.0001211	110	110	110	110	2024-05-12 01:50:30.658191
solana	raydium	6iUhS7KaiVqounGi4UFrFUXBbrWcu2XZiQu27PEoopLq	EKNavzL68QtKXHmViD2N9MJzxPFzMgGEAvmF23E68SLL	Mochi	MOCHI	366	152	479	158	9.17	39017.29	157804	2024-05-11 23:47:40	5.19	False	True	True	True	3	fa91bb	0.0001578	173	173	173	89.24	2024-05-12 01:52:51.526722
solana	raydium	6iUhS7KaiVqounGi4UFrFUXBbrWcu2XZiQu27PEoopLq	EKNavzL68QtKXHmViD2N9MJzxPFzMgGEAvmF23E68SLL	Mochi	MOCHI	312	166	612	234	6.12	42918.04	190768	2024-05-11 23:47:40	7.47	False	True	True	True	3	fa91bb	0.0001907	230	230	230	52.45	2024-05-12 01:55:08.132923
solana	raydium	6iUhS7KaiVqounGi4UFrFUXBbrWcu2XZiQu27PEoopLq	EKNavzL68QtKXHmViD2N9MJzxPFzMgGEAvmF23E68SLL	Mochi	MOCHI	224	161	684	305	3.93	44069.86	200733	2024-05-11 23:47:40	9.73	False	True	True	True	3	fa91bb	0.0002007	248	248	248	35.44	2024-05-12 01:57:23.851756
solana	raydium	6iUhS7KaiVqounGi4UFrFUXBbrWcu2XZiQu27PEoopLq	EKNavzL68QtKXHmViD2N9MJzxPFzMgGEAvmF23E68SLL	Mochi	MOCHI	218	130	841	376	3.11	41091.3	173613	2024-05-11 23:47:40	12.0	False	True	True	True	3	fa91bb	0.0001736	201	201	201	-0.66	2024-05-12 01:59:40.033141
solana	raydium	6iUhS7KaiVqounGi4UFrFUXBbrWcu2XZiQu27PEoopLq	EKNavzL68QtKXHmViD2N9MJzxPFzMgGEAvmF23E68SLL	Mochi	MOCHI	226	149	917	462	2.96	36565.6	137392	2024-05-11 23:47:40	14.27	False	True	True	True	3	fa91bb	0.0001373	138	138	138	-28.5	2024-05-12 02:01:56.184626
solana	raydium	6iUhS7KaiVqounGi4UFrFUXBbrWcu2XZiQu27PEoopLq	EKNavzL68QtKXHmViD2N9MJzxPFzMgGEAvmF23E68SLL	Mochi	MOCHI	168	140	1005	515	2.01	35504.39	128963	2024-05-11 23:47:40	16.54	False	True	True	True	3	fa91bb	0.0001289	123	123	123	-23.91	2024-05-12 02:04:12.505446
solana	raydium	6iUhS7KaiVqounGi4UFrFUXBbrWcu2XZiQu27PEoopLq	EKNavzL68QtKXHmViD2N9MJzxPFzMgGEAvmF23E68SLL	Mochi	MOCHI	170	108	1122	577	1.82	37673.24	144867	2024-05-11 23:47:40	18.81	False	True	True	True	3	fa91bb	0.0001448	151	151	151	-15.5	2024-05-12 02:06:28.364763
solana	raydium	6iUhS7KaiVqounGi4UFrFUXBbrWcu2XZiQu27PEoopLq	EKNavzL68QtKXHmViD2N9MJzxPFzMgGEAvmF23E68SLL	Mochi	MOCHI	177	97	1192	618	1.78	36513.11	135791	2024-05-11 23:47:40	21.06	False	True	True	True	3	fa91bb	0.0001357	135	135	135	33.49	2024-05-12 02:08:43.619456
