chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	DUgsoKRG3dT7qtvf1P9RGdhNT9cUh5LuDYn6gXbBaBDC	ENygDQHQF9hmy4anRS7DL9vTsqquysYHYJzHsyad6bPJ	Project X	PROJECTX	40	35	384	198	1.25	23603.06	57639	2024-05-10 21:37:00	18.76	False	True	True	True	4	3a99aa	0.00005763	1.71	1.71	1.71	83.71	2024-05-10 23:55:45.593378
solana	raydium	DUgsoKRG3dT7qtvf1P9RGdhNT9cUh5LuDYn6gXbBaBDC	ENygDQHQF9hmy4anRS7DL9vTsqquysYHYJzHsyad6bPJ	Project X	PROJECTX	22	57	405	253	0.65	23242.54	55844	2024-05-10 21:37:00	23.34	False	True	True	True	4	3a99aa	0.00005584	-1.46	-1.46	-1.46	-3.86	2024-05-11 00:00:20.280155
solana	raydium	DUgsoKRG3dT7qtvf1P9RGdhNT9cUh5LuDYn6gXbBaBDC	ENygDQHQF9hmy4anRS7DL9vTsqquysYHYJzHsyad6bPJ	Project X	PROJECTX	23	19	419	260	0.66	23394.75	56575	2024-05-10 21:37:00	25.64	False	True	True	True	4	3a99aa	0.00005657	-0.17	-0.17	-0.17	26.64	2024-05-11 00:02:38.107648
solana	raydium	DUgsoKRG3dT7qtvf1P9RGdhNT9cUh5LuDYn6gXbBaBDC	ENygDQHQF9hmy4anRS7DL9vTsqquysYHYJzHsyad6bPJ	Project X	PROJECTX	33	26	440	279	0.9	27334.08	77089	2024-05-10 21:37:00	27.91	False	True	True	True	4	3a99aa	0.00007708	36.03	36.03	36.03	37.41	2024-05-11 00:04:54.322724
solana	raydium	DUgsoKRG3dT7qtvf1P9RGdhNT9cUh5LuDYn6gXbBaBDC	ENygDQHQF9hmy4anRS7DL9vTsqquysYHYJzHsyad6bPJ	Project X	PROJECTX	56	38	475	297	1.41	28215.58	82157	2024-05-10 21:37:00	30.23	False	True	True	True	4	3a99aa	0.00008215	44.97	44.97	44.97	44.51	2024-05-11 00:07:13.905194
solana	raydium	DUgsoKRG3dT7qtvf1P9RGdhNT9cUh5LuDYn6gXbBaBDC	ENygDQHQF9hmy4anRS7DL9vTsqquysYHYJzHsyad6bPJ	Project X	PROJECTX	74	34	509	311	1.74	30755.42	97685	2024-05-10 21:37:00	32.59	False	True	True	True	4	3a99aa	0.00009768	72.37	72.37	72.37	34.59	2024-05-11 00:09:35.643739
solana	raydium	DUgsoKRG3dT7qtvf1P9RGdhNT9cUh5LuDYn6gXbBaBDC	ENygDQHQF9hmy4anRS7DL9vTsqquysYHYJzHsyad6bPJ	Project X	PROJECTX	89	58	577	356	1.85	39789.72	163492	2024-05-10 21:37:00	34.87	False	True	True	True	4	3a99aa	0.0001634	188	188	188	93.8	2024-05-11 00:11:52.246977
solana	raydium	DUgsoKRG3dT7qtvf1P9RGdhNT9cUh5LuDYn6gXbBaBDC	ENygDQHQF9hmy4anRS7DL9vTsqquysYHYJzHsyad6bPJ	Project X	PROJECTX	119	80	629	392	2.27	41590.89	178292	2024-05-10 21:37:00	37.17	False	True	True	True	4	3a99aa	0.0001782	215	215	215	79.28	2024-05-11 00:14:10.115390
solana	raydium	DUgsoKRG3dT7qtvf1P9RGdhNT9cUh5LuDYn6gXbBaBDC	ENygDQHQF9hmy4anRS7DL9vTsqquysYHYJzHsyad6bPJ	Project X	PROJECTX	94	76	663	421	1.7	43785.37	197150	2024-05-10 21:37:00	39.46	False	True	True	True	4	3a99aa	0.0001971	248	248	248	20.58	2024-05-11 00:16:27.560133
solana	raydium	DUgsoKRG3dT7qtvf1P9RGdhNT9cUh5LuDYn6gXbBaBDC	ENygDQHQF9hmy4anRS7DL9vTsqquysYHYJzHsyad6bPJ	Project X	PROJECTX	64	49	698	443	1.1	47574.34	232224	2024-05-10 21:37:00	41.74	False	True	True	True	4	3a99aa	0.0002322	310	310	310	29.68	2024-05-11 00:18:44.590705
solana	raydium	DUgsoKRG3dT7qtvf1P9RGdhNT9cUh5LuDYn6gXbBaBDC	ENygDQHQF9hmy4anRS7DL9vTsqquysYHYJzHsyad6bPJ	Project X	PROJECTX	90	72	755	495	1.43	51969.63	276615	2024-05-10 21:37:00	44.05	False	True	True	True	4	3a99aa	0.0002766	388	388	388	40.36	2024-05-11 00:21:02.953660
solana	raydium	DUgsoKRG3dT7qtvf1P9RGdhNT9cUh5LuDYn6gXbBaBDC	ENygDQHQF9hmy4anRS7DL9vTsqquysYHYJzHsyad6bPJ	Project X	PROJECTX	97	117	794	559	1.47	42614.9	185865	2024-05-10 21:37:00	46.33	False	True	True	True	4	3a99aa	0.0001858	228	228	228	-19.95	2024-05-11 00:23:19.749191
solana	raydium	DUgsoKRG3dT7qtvf1P9RGdhNT9cUh5LuDYn6gXbBaBDC	ENygDQHQF9hmy4anRS7DL9vTsqquysYHYJzHsyad6bPJ	Project X	PROJECTX	128	95	892	597	1.72	49977.15	255393	2024-05-10 21:37:00	48.61	False	True	True	True	4	3a99aa	0.0002553	351	351	351	-1.68	2024-05-11 00:25:36.471866
solana	raydium	DUgsoKRG3dT7qtvf1P9RGdhNT9cUh5LuDYn6gXbBaBDC	ENygDQHQF9hmy4anRS7DL9vTsqquysYHYJzHsyad6bPJ	Project X	PROJECTX	114	80	922	645	1.48	41355.44	175573	2024-05-10 21:37:00	50.88	False	True	True	True	4	3a99aa	0.0001755	210	210	210	-12.33	2024-05-11 00:27:53.036851
solana	raydium	DUgsoKRG3dT7qtvf1P9RGdhNT9cUh5LuDYn6gXbBaBDC	ENygDQHQF9hmy4anRS7DL9vTsqquysYHYJzHsyad6bPJ	Project X	PROJECTX	99	71	991	668	1.2	45497.91	213529	2024-05-10 21:37:00	53.15	False	True	True	True	4	3a99aa	0.0002135	277	277	277	-16.39	2024-05-11 00:30:09.210352
solana	raydium	DUgsoKRG3dT7qtvf1P9RGdhNT9cUh5LuDYn6gXbBaBDC	ENygDQHQF9hmy4anRS7DL9vTsqquysYHYJzHsyad6bPJ	Project X	PROJECTX	80	55	1023	710	0.94	43191.95	191494	2024-05-10 21:37:00	55.5	False	True	True	True	4	3a99aa	0.0001914	238	238	238	26.97	2024-05-11 00:32:29.770536
solana	raydium	DUgsoKRG3dT7qtvf1P9RGdhNT9cUh5LuDYn6gXbBaBDC	ENygDQHQF9hmy4anRS7DL9vTsqquysYHYJzHsyad6bPJ	Project X	PROJECTX	55	62	1053	734	0.63	47124.95	227517	2024-05-10 21:37:00	57.86	False	True	True	True	4	3a99aa	0.0002275	301	301	301	4.43	2024-05-11 00:34:51.843033
solana	raydium	DUgsoKRG3dT7qtvf1P9RGdhNT9cUh5LuDYn6gXbBaBDC	ENygDQHQF9hmy4anRS7DL9vTsqquysYHYJzHsyad6bPJ	Project X	PROJECTX	59	35	1080	745	0.66	48396.98	240127	2024-05-10 21:37:00	60.15	False	True	True	True	4	3a99aa	0.0002401	324	324	324	23.88	2024-05-11 00:37:08.971920
solana	raydium	DUgsoKRG3dT7qtvf1P9RGdhNT9cUh5LuDYn6gXbBaBDC	ENygDQHQF9hmy4anRS7DL9vTsqquysYHYJzHsyad6bPJ	Project X	PROJECTX	64	44	960	742	0.8	53225.06	290694	2024-05-10 21:37:00	62.45	False	True	True	True	4	3a99aa	0.0002906	413	413	542	32.74	2024-05-11 00:39:27.015428
solana	raydium	DUgsoKRG3dT7qtvf1P9RGdhNT9cUh5LuDYn6gXbBaBDC	ENygDQHQF9hmy4anRS7DL9vTsqquysYHYJzHsyad6bPJ	Project X	PROJECTX	50	45	902	683	0.67	52704.85	284938	2024-05-10 21:37:00	64.72	False	True	True	True	4	3a99aa	0.0002849	403	403	1314	5.15	2024-05-11 00:41:43.122535
solana	raydium	DUgsoKRG3dT7qtvf1P9RGdhNT9cUh5LuDYn6gXbBaBDC	ENygDQHQF9hmy4anRS7DL9vTsqquysYHYJzHsyad6bPJ	Project X	PROJECTX	41	30	886	675	0.56	52994.89	287107	2024-05-10 21:37:00	67.0	False	True	True	True	4	3a99aa	0.0002871	407	407	1173	-1.73	2024-05-11 00:44:00.161581
solana	raydium	DUgsoKRG3dT7qtvf1P9RGdhNT9cUh5LuDYn6gXbBaBDC	ENygDQHQF9hmy4anRS7DL9vTsqquysYHYJzHsyad6bPJ	Project X	PROJECTX	39	23	879	681	0.53	54810.94	307173	2024-05-10 21:37:00	69.31	False	True	True	True	4	3a99aa	0.0003071	442	442	1093	8.69	2024-05-11 00:46:18.724936
solana	raydium	DUgsoKRG3dT7qtvf1P9RGdhNT9cUh5LuDYn6gXbBaBDC	ENygDQHQF9hmy4anRS7DL9vTsqquysYHYJzHsyad6bPJ	Project X	PROJECTX	41	19	875	673	0.56	56678.97	327676	2024-05-10 21:37:00	71.6	False	True	True	True	4	3a99aa	0.0003276	478	478	927	13.13	2024-05-11 00:48:36.242450
