chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	BWDzNXqeStMcWovKkL1vn8SdFnabvx8DgdWUSaR8HuNF	F8DrcxEGTPAmQvTV7LTQmrH2VrDgbozNpWQ11m3c1zuE	Pissed Off Panda	POP	5	1	18	21	3.33	24892.74	50712	2024-05-12 00:47:36	237.09	False	True	False	True	2	9feb8e	0.00006284	-0.03	-0.03	90.18	24.72	2024-05-12 06:44:41.259885
solana	raydium	BWDzNXqeStMcWovKkL1vn8SdFnabvx8DgdWUSaR8HuNF	F8DrcxEGTPAmQvTV7LTQmrH2VrDgbozNpWQ11m3c1zuE	Pissed Off Panda	POP	15	1	28	21	6.43	27466.56	61652	2024-05-12 00:47:36	239.34	False	True	False	True	2	9feb8e	0.00007639	21.54	21.54	133	52.18	2024-05-12 06:46:56.407388
solana	raydium	BWDzNXqeStMcWovKkL1vn8SdFnabvx8DgdWUSaR8HuNF	F8DrcxEGTPAmQvTV7LTQmrH2VrDgbozNpWQ11m3c1zuE	Pissed Off Panda	POP	23	6	41	26	6.73	29293.19	70075	2024-05-12 00:47:36	241.61	False	True	False	True	2	9feb8e	0.00008683	38.15	38.15	165	38.18	2024-05-12 06:49:12.810484
solana	raydium	BWDzNXqeStMcWovKkL1vn8SdFnabvx8DgdWUSaR8HuNF	F8DrcxEGTPAmQvTV7LTQmrH2VrDgbozNpWQ11m3c1zuE	Pissed Off Panda	POP	17	11	45	30	4.53	28287.23	65304	2024-05-12 00:47:36	243.86	False	True	False	True	2	9feb8e	0.00008092	28.74	28.74	150	5.92	2024-05-12 06:51:27.504646
solana	raydium	BWDzNXqeStMcWovKkL1vn8SdFnabvx8DgdWUSaR8HuNF	F8DrcxEGTPAmQvTV7LTQmrH2VrDgbozNpWQ11m3c1zuE	Pissed Off Panda	POP	1	8	45	34	0.27	26443.54	57071	2024-05-12 00:47:36	246.12	False	True	False	True	2	9feb8e	0.00007072	12.51	12.51	119	-20.43	2024-05-12 06:53:43.260621
solana	raydium	BWDzNXqeStMcWovKkL1vn8SdFnabvx8DgdWUSaR8HuNF	F8DrcxEGTPAmQvTV7LTQmrH2VrDgbozNpWQ11m3c1zuE	Pissed Off Panda	POP	0	8	45	37		25568.77	53240	2024-05-12 00:47:36	248.38	False	True	False	True	2	9feb8e	0.00006597	4.96	4.96	105	-18.47	2024-05-12 06:55:58.541422
solana	raydium	BWDzNXqeStMcWovKkL1vn8SdFnabvx8DgdWUSaR8HuNF	F8DrcxEGTPAmQvTV7LTQmrH2VrDgbozNpWQ11m3c1zuE	Pissed Off Panda	POP	1	5	46	38	0.26	25650.92	53535	2024-05-12 00:47:36	250.64	False	True	False	True	2	9feb8e	0.00006633	5.54	5.54	106	-6.2	2024-05-12 06:58:14.150349
solana	raydium	BWDzNXqeStMcWovKkL1vn8SdFnabvx8DgdWUSaR8HuNF	F8DrcxEGTPAmQvTV7LTQmrH2VrDgbozNpWQ11m3c1zuE	Pissed Off Panda	POP	1	1	46	34	0.26	25650.92	53535	2024-05-12 00:47:36	252.89	False	True	False	True	2	9feb8e	0.00006633	5.54	5.54	152	0.55	2024-05-12 07:00:29.392319
solana	raydium	BWDzNXqeStMcWovKkL1vn8SdFnabvx8DgdWUSaR8HuNF	F8DrcxEGTPAmQvTV7LTQmrH2VrDgbozNpWQ11m3c1zuE	Pissed Off Panda	POP	0	0	42	34		25650.92	53535	2024-05-12 00:47:36	255.14	False	True	False	True	2	9feb8e	0.00006633	5.54	5.54	124	0	2024-05-12 07:02:44.117651
solana	raydium	BWDzNXqeStMcWovKkL1vn8SdFnabvx8DgdWUSaR8HuNF	F8DrcxEGTPAmQvTV7LTQmrH2VrDgbozNpWQ11m3c1zuE	Pissed Off Panda	POP	1	2	43	36	0.28	25589.34	53462	2024-05-12 00:47:36	257.39	False	True	False	True	2	9feb8e	0.00006624	5.4	5.4	123	-0.14	2024-05-12 07:04:59.107390
solana	raydium	BWDzNXqeStMcWovKkL1vn8SdFnabvx8DgdWUSaR8HuNF	F8DrcxEGTPAmQvTV7LTQmrH2VrDgbozNpWQ11m3c1zuE	Pissed Off Panda	POP	5	2	47	33	1.28	27375.31	61146	2024-05-12 00:47:36	259.65	False	True	False	True	2	9feb8e	0.00007576	20.54	20.54	163	14.22	2024-05-12 07:07:15.234758
solana	raydium	BWDzNXqeStMcWovKkL1vn8SdFnabvx8DgdWUSaR8HuNF	F8DrcxEGTPAmQvTV7LTQmrH2VrDgbozNpWQ11m3c1zuE	Pissed Off Panda	POP	5	0	50	31	1.2	28057.05	64229	2024-05-12 00:47:36	261.9	False	True	False	True	2	9feb8e	0.00007958	26.62	26.62	195	14.79	2024-05-12 07:09:30.108903
solana	raydium	BWDzNXqeStMcWovKkL1vn8SdFnabvx8DgdWUSaR8HuNF	F8DrcxEGTPAmQvTV7LTQmrH2VrDgbozNpWQ11m3c1zuE	Pissed Off Panda	POP	2	2	50	33	0.48	27520.77	61773	2024-05-12 00:47:36	264.17	False	True	False	True	2	9feb8e	0.00007654	21.78	21.78	184	-1.29	2024-05-12 07:11:46.376716
solana	raydium	BWDzNXqeStMcWovKkL1vn8SdFnabvx8DgdWUSaR8HuNF	F8DrcxEGTPAmQvTV7LTQmrH2VrDgbozNpWQ11m3c1zuE	Pissed Off Panda	POP	2	2	49	33	0.49	27670.91	62448	2024-05-12 00:47:36	266.42	False	True	False	True	2	9feb8e	0.00007738	23.11	23.11	134	-2.77	2024-05-12 07:14:01.342646
solana	raydium	BWDzNXqeStMcWovKkL1vn8SdFnabvx8DgdWUSaR8HuNF	F8DrcxEGTPAmQvTV7LTQmrH2VrDgbozNpWQ11m3c1zuE	Pissed Off Panda	POP	2	1	49	34	0.49	27609.78	62189	2024-05-12 00:47:36	268.68	False	True	False	True	2	9feb8e	0.00007706	22.6	22.6	133	0.67	2024-05-12 07:16:16.808875
solana	raydium	BWDzNXqeStMcWovKkL1vn8SdFnabvx8DgdWUSaR8HuNF	F8DrcxEGTPAmQvTV7LTQmrH2VrDgbozNpWQ11m3c1zuE	Pissed Off Panda	POP	0	2	48	35		27462.07	61523	2024-05-12 00:47:36	270.94	False	True	False	True	2	9feb8e	0.00007623	21.29	21.29	116	-1.48	2024-05-12 07:18:32.443506
solana	raydium	BWDzNXqeStMcWovKkL1vn8SdFnabvx8DgdWUSaR8HuNF	F8DrcxEGTPAmQvTV7LTQmrH2VrDgbozNpWQ11m3c1zuE	Pissed Off Panda	POP	0	2	48	35		27296.14	60766	2024-05-12 00:47:36	273.2	False	True	False	True	2	9feb8e	0.00007529	19.79	19.79	108	-2.29	2024-05-12 07:20:47.838316
solana	raydium	BWDzNXqeStMcWovKkL1vn8SdFnabvx8DgdWUSaR8HuNF	F8DrcxEGTPAmQvTV7LTQmrH2VrDgbozNpWQ11m3c1zuE	Pissed Off Panda	POP	0	1	47	35		27296.14	60766	2024-05-12 00:47:36	275.46	False	True	False	True	2	9feb8e	0.00007529	19.79	19.79	92.51	-1.23	2024-05-12 07:23:03.594686
