chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	CjcrE2uALtYwCF8z5meN5KggRFxGbCTBt7CBYqFW64Ny	FcAnrUa1qtufXqj9vAwWmxZS4yWy72MvBdSw8TAVSDq3	The Hat	HAT	280	179	510	253	6.59	45491.41	202259	2024-05-10 03:51:43	7.64	False	True	False	True	2	d66be3	0.0002022	242	242	242	132	2024-05-10 05:59:21.405415
solana	raydium	CjcrE2uALtYwCF8z5meN5KggRFxGbCTBt7CBYqFW64Ny	FcAnrUa1qtufXqj9vAwWmxZS4yWy72MvBdSw8TAVSDq3	The Hat	HAT	202	122	629	329	3.85	52413.24	267155	2024-05-10 03:51:43	9.91	False	True	False	True	2	d66be3	0.0002671	352	352	352	78.51	2024-05-10 06:01:37.551091
solana	raydium	CjcrE2uALtYwCF8z5meN5KggRFxGbCTBt7CBYqFW64Ny	FcAnrUa1qtufXqj9vAwWmxZS4yWy72MvBdSw8TAVSDq3	The Hat	HAT	199	133	712	389	3.35	54116.34	283994	2024-05-10 03:51:43	12.16	False	True	False	True	2	d66be3	0.0002839	380	380	380	51.61	2024-05-10 06:03:52.529927
solana	raydium	CjcrE2uALtYwCF8z5meN5KggRFxGbCTBt7CBYqFW64Ny	FcAnrUa1qtufXqj9vAwWmxZS4yWy72MvBdSw8TAVSDq3	The Hat	HAT	181	155	809	481	2.68	44836.71	194225	2024-05-10 03:51:43	14.44	False	True	False	True	2	d66be3	0.0001942	229	229	229	-25.08	2024-05-10 06:06:09.464416
solana	raydium	CjcrE2uALtYwCF8z5meN5KggRFxGbCTBt7CBYqFW64Ny	FcAnrUa1qtufXqj9vAwWmxZS4yWy72MvBdSw8TAVSDq3	The Hat	HAT	181	157	887	539	2.45	46465.95	208186	2024-05-10 03:51:43	16.7	False	True	False	True	2	d66be3	0.0002081	252	252	252	-30.44	2024-05-10 06:08:25.181237
solana	raydium	CjcrE2uALtYwCF8z5meN5KggRFxGbCTBt7CBYqFW64Ny	FcAnrUa1qtufXqj9vAwWmxZS4yWy72MvBdSw8TAVSDq3	The Hat	HAT	154	138	983	629	1.88	31256.97	94130	2024-05-10 03:51:43	18.96	False	True	False	True	2	d66be3	0.00009413	59.25	59.25	59.25	-53.11	2024-05-10 06:10:40.451370
solana	raydium	CjcrE2uALtYwCF8z5meN5KggRFxGbCTBt7CBYqFW64Ny	FcAnrUa1qtufXqj9vAwWmxZS4yWy72MvBdSw8TAVSDq3	The Hat	HAT	208	191	1098	732	2.27	30606.76	89619	2024-05-10 03:51:43	21.22	False	True	False	True	2	d66be3	0.00008961	51.62	51.62	51.62	-56.39	2024-05-10 06:12:56.179409
solana	raydium	CjcrE2uALtYwCF8z5meN5KggRFxGbCTBt7CBYqFW64Ny	FcAnrUa1qtufXqj9vAwWmxZS4yWy72MvBdSw8TAVSDq3	The Hat	HAT	192	179	1168	802	1.97	23505.48	52486	2024-05-10 03:51:43	23.48	False	True	False	True	2	d66be3	0.00005248	-11.2	-11.2	-11.2	-45.81	2024-05-10 06:15:11.623472
solana	raydium	CjcrE2uALtYwCF8z5meN5KggRFxGbCTBt7CBYqFW64Ny	FcAnrUa1qtufXqj9vAwWmxZS4yWy72MvBdSw8TAVSDq3	The Hat	HAT	150	111	1225	834	1.47	28580.79	77477	2024-05-10 03:51:43	25.74	False	True	False	True	2	d66be3	0.00007747	31.08	31.08	31.08	-26.94	2024-05-10 06:17:27.501530
solana	raydium	CjcrE2uALtYwCF8z5meN5KggRFxGbCTBt7CBYqFW64Ny	FcAnrUa1qtufXqj9vAwWmxZS4yWy72MvBdSw8TAVSDq3	The Hat	HAT	96	40	1275	854	0.9	28543.25	76885	2024-05-10 03:51:43	28.01	False	True	False	True	2	d66be3	0.00007688	30.08	30.08	30.08	46.12	2024-05-10 06:19:43.679472
