chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	EzbJ9XbHcgC2ie9pNpksRR3LLcQKocWHp3jj3kWJcE7U	Fr6vj2xeMbeFZVgPyPz3z5TdT4Sp9EeJ8jbyHjzKuGas	HINDU COIN	HINDUISM	9	7	115	47	0.94	23869.13	59742	2024-05-08 09:25:24	24.69	False	False	True	True	3	c46ff1	0.00005974	7.31	7.31	7.31	4.22	2024-05-08 11:50:05.538481
solana	raydium	EzbJ9XbHcgC2ie9pNpksRR3LLcQKocWHp3jj3kWJcE7U	Fr6vj2xeMbeFZVgPyPz3z5TdT4Sp9EeJ8jbyHjzKuGas	HINDU COIN	HINDUISM	8	6	115	48	0.83	23608.02	58410	2024-05-08 09:25:24	26.96	False	False	True	True	3	c46ff1	0.00005840	4.92	4.92	4.92	1.95	2024-05-08 11:52:21.840672
solana	raydium	EzbJ9XbHcgC2ie9pNpksRR3LLcQKocWHp3jj3kWJcE7U	Fr6vj2xeMbeFZVgPyPz3z5TdT4Sp9EeJ8jbyHjzKuGas	HINDU COIN	HINDUISM	0	3	115	50		23454	57590	2024-05-08 09:25:24	29.23	False	False	True	True	3	c46ff1	0.00005758	3.44	3.44	3.44	-3.6	2024-05-08 11:54:37.829068
solana	raydium	EzbJ9XbHcgC2ie9pNpksRR3LLcQKocWHp3jj3kWJcE7U	Fr6vj2xeMbeFZVgPyPz3z5TdT4Sp9EeJ8jbyHjzKuGas	HINDU COIN	HINDUISM	1	6	116	54	0.1	23321.04	56901	2024-05-08 09:25:24	31.49	False	False	True	True	3	c46ff1	0.00005690	2.2	2.2	2.2	-2.58	2024-05-08 11:56:53.641421
solana	raydium	EzbJ9XbHcgC2ie9pNpksRR3LLcQKocWHp3jj3kWJcE7U	Fr6vj2xeMbeFZVgPyPz3z5TdT4Sp9EeJ8jbyHjzKuGas	HINDU COIN	HINDUISM	2	6	117	56	0.21	23280.75	56630	2024-05-08 09:25:24	33.88	False	False	True	True	3	c46ff1	0.00005663	1.72	1.72	1.72	-1.67	2024-05-08 11:59:16.688698
solana	raydium	EzbJ9XbHcgC2ie9pNpksRR3LLcQKocWHp3jj3kWJcE7U	Fr6vj2xeMbeFZVgPyPz3z5TdT4Sp9EeJ8jbyHjzKuGas	HINDU COIN	HINDUISM	3	3	119	58	0.3	23112.28	55944	2024-05-08 09:25:24	36.23	False	False	True	True	3	c46ff1	0.00005594	0.49	0.49	0.49	-0.74	2024-05-08 12:01:37.808290
solana	raydium	EzbJ9XbHcgC2ie9pNpksRR3LLcQKocWHp3jj3kWJcE7U	Fr6vj2xeMbeFZVgPyPz3z5TdT4Sp9EeJ8jbyHjzKuGas	HINDU COIN	HINDUISM	9	8	126	64	0.86	23183.67	56133	2024-05-08 09:25:24	38.48	False	False	True	True	3	c46ff1	0.00005613	0.83	0.83	0.83	-0.88	2024-05-08 12:03:52.714503
solana	raydium	EzbJ9XbHcgC2ie9pNpksRR3LLcQKocWHp3jj3kWJcE7U	Fr6vj2xeMbeFZVgPyPz3z5TdT4Sp9EeJ8jbyHjzKuGas	HINDU COIN	HINDUISM	10	10	129	68	0.93	23115.11	55828	2024-05-08 09:25:24	40.74	False	False	True	True	3	c46ff1	0.00005582	0.28	0.28	0.28	-0.21	2024-05-08 12:06:08.100713
solana	raydium	EzbJ9XbHcgC2ie9pNpksRR3LLcQKocWHp3jj3kWJcE7U	Fr6vj2xeMbeFZVgPyPz3z5TdT4Sp9EeJ8jbyHjzKuGas	HINDU COIN	HINDUISM	12	11	136	73	1.06	22037.56	50665	2024-05-08 09:25:24	43.03	False	False	True	True	3	c46ff1	0.00005066	-9	-9	-9	-9.66	2024-05-08 12:08:25.892266
solana	raydium	EzbJ9XbHcgC2ie9pNpksRR3LLcQKocWHp3jj3kWJcE7U	Fr6vj2xeMbeFZVgPyPz3z5TdT4Sp9EeJ8jbyHjzKuGas	HINDU COIN	HINDUISM	7	8	143	81	0.59	23030.11	55503	2024-05-08 09:25:24	47.64	False	False	True	True	3	c46ff1	0.00005550	-0.31	-0.31	-0.31	9.55	2024-05-08 12:13:02.286286
solana	raydium	EzbJ9XbHcgC2ie9pNpksRR3LLcQKocWHp3jj3kWJcE7U	Fr6vj2xeMbeFZVgPyPz3z5TdT4Sp9EeJ8jbyHjzKuGas	HINDU COIN	HINDUISM	4	7	143	83	0.34	22937.18	54973	2024-05-08 09:25:24	49.89	False	False	True	True	3	c46ff1	0.00005497	-1.26	-1.26	-1.26	10.26	2024-05-08 12:15:17.581380
solana	raydium	EzbJ9XbHcgC2ie9pNpksRR3LLcQKocWHp3jj3kWJcE7U	Fr6vj2xeMbeFZVgPyPz3z5TdT4Sp9EeJ8jbyHjzKuGas	HINDU COIN	HINDUISM	3	5	146	86	0.25	22962.2	55083	2024-05-08 09:25:24	52.17	False	False	True	True	3	c46ff1	0.00005508	-1.06	-1.06	-1.06	-0.76	2024-05-08 12:17:34.319068
solana	raydium	EzbJ9XbHcgC2ie9pNpksRR3LLcQKocWHp3jj3kWJcE7U	Fr6vj2xeMbeFZVgPyPz3z5TdT4Sp9EeJ8jbyHjzKuGas	HINDU COIN	HINDUISM	4	5	147	88	0.33	22883.21	54764	2024-05-08 09:25:24	54.44	False	False	True	True	3	c46ff1	0.00005476	-1.63	-1.63	-1.63	-0.38	2024-05-08 12:19:50.558910
solana	raydium	EzbJ9XbHcgC2ie9pNpksRR3LLcQKocWHp3jj3kWJcE7U	Fr6vj2xeMbeFZVgPyPz3z5TdT4Sp9EeJ8jbyHjzKuGas	HINDU COIN	HINDUISM	3	4	148	90	0.24	22854.69	54596	2024-05-08 09:25:24	56.73	False	False	True	True	3	c46ff1	0.00005459	-1.93	-1.93	-1.93	-0.36	2024-05-08 12:22:07.525801
solana	raydium	EzbJ9XbHcgC2ie9pNpksRR3LLcQKocWHp3jj3kWJcE7U	Fr6vj2xeMbeFZVgPyPz3z5TdT4Sp9EeJ8jbyHjzKuGas	HINDU COIN	HINDUISM	2	3	149	90	0.16	22971.06	55014	2024-05-08 09:25:24	59.01	False	False	True	True	3	c46ff1	0.00005501	-1.18	-1.18	-1.18	-0.15	2024-05-08 12:24:24.428050
solana	raydium	EzbJ9XbHcgC2ie9pNpksRR3LLcQKocWHp3jj3kWJcE7U	Fr6vj2xeMbeFZVgPyPz3z5TdT4Sp9EeJ8jbyHjzKuGas	HINDU COIN	HINDUISM	2	0	76	84	0.32	23120.95	55731	2024-05-08 09:25:24	61.28	False	False	True	True	3	c46ff1	0.00005573	0.1	0.1	-17.28	2.08	2024-05-08 12:26:40.892889
solana	raydium	EzbJ9XbHcgC2ie9pNpksRR3LLcQKocWHp3jj3kWJcE7U	Fr6vj2xeMbeFZVgPyPz3z5TdT4Sp9EeJ8jbyHjzKuGas	HINDU COIN	HINDUISM	1	0	62	78	0.19	23120.95	55731	2024-05-08 09:25:24	63.62	False	False	True	True	3	c46ff1	0.00005573	0.1	0.1	-21.29	1.3	2024-05-08 12:29:01.201854
