chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	AKF9WXxWHg2CzMyrNjq13VR6JxDuqngtDdFS86LL1o8Y	GdxbbBAunmByBcuECciQqmaQFCqsYL6iDkWJkuJbJku5	ight imma fuk witcha	fwy	164	82	265	104	7.43	27422.34	77058	2024-05-08 18:32:03	5.6	False	True	False	True	2	a8c05d	0.00007705	45.9	45.9	45.9	-10.46	2024-05-08 20:37:39.033939
solana	raydium	AKF9WXxWHg2CzMyrNjq13VR6JxDuqngtDdFS86LL1o8Y	GdxbbBAunmByBcuECciQqmaQFCqsYL6iDkWJkuJbJku5	ight imma fuk witcha	fwy	136	85	339	149	4.81	30424.89	94489	2024-05-08 18:32:03	7.88	False	True	False	True	2	a8c05d	0.00009448	78.91	78.91	78.91	19.69	2024-05-08 20:39:55.649711
solana	raydium	AKF9WXxWHg2CzMyrNjq13VR6JxDuqngtDdFS86LL1o8Y	GdxbbBAunmByBcuECciQqmaQFCqsYL6iDkWJkuJbJku5	ight imma fuk witcha	fwy	144	81	409	185	4.22	29743.31	90044	2024-05-08 18:32:03	10.19	False	True	False	True	2	a8c05d	0.00009004	70.49	70.49	70.49	16.85	2024-05-08 20:42:14.623556
solana	raydium	AKF9WXxWHg2CzMyrNjq13VR6JxDuqngtDdFS86LL1o8Y	GdxbbBAunmByBcuECciQqmaQFCqsYL6iDkWJkuJbJku5	ight imma fuk witcha	fwy	95	70	455	225	2.51	36669.05	136213	2024-05-08 18:32:03	12.46	False	True	False	True	2	a8c05d	0.0001362	158	158	158	38.1	2024-05-08 20:44:30.681948
solana	raydium	AKF9WXxWHg2CzMyrNjq13VR6JxDuqngtDdFS86LL1o8Y	GdxbbBAunmByBcuECciQqmaQFCqsYL6iDkWJkuJbJku5	ight imma fuk witcha	fwy	109	103	521	289	2.51	38037.42	146435	2024-05-08 18:32:03	14.78	False	True	False	True	2	a8c05d	0.0001464	177	177	177	59.45	2024-05-08 20:46:49.764560
solana	raydium	AKF9WXxWHg2CzMyrNjq13VR6JxDuqngtDdFS86LL1o8Y	GdxbbBAunmByBcuECciQqmaQFCqsYL6iDkWJkuJbJku5	ight imma fuk witcha	fwy	130	112	583	336	2.68	37324.15	141033	2024-05-08 18:32:03	17.04	False	True	False	True	2	a8c05d	0.0001410	167	167	167	4.28	2024-05-08 20:49:05.438564
solana	raydium	AKF9WXxWHg2CzMyrNjq13VR6JxDuqngtDdFS86LL1o8Y	GdxbbBAunmByBcuECciQqmaQFCqsYL6iDkWJkuJbJku5	ight imma fuk witcha	fwy	135	95	650	373	2.49	42885.33	185785	2024-05-08 18:32:03	19.31	False	True	False	True	2	a8c05d	0.0001857	252	252	252	15.47	2024-05-08 20:51:21.849908
solana	raydium	AKF9WXxWHg2CzMyrNjq13VR6JxDuqngtDdFS86LL1o8Y	GdxbbBAunmByBcuECciQqmaQFCqsYL6iDkWJkuJbJku5	ight imma fuk witcha	fwy	129	69	725	412	2.14	39235.33	155658	2024-05-08 18:32:03	21.61	False	True	False	True	2	a8c05d	0.0001556	195	195	195	-1.29	2024-05-08 20:53:39.711347
solana	raydium	AKF9WXxWHg2CzMyrNjq13VR6JxDuqngtDdFS86LL1o8Y	GdxbbBAunmByBcuECciQqmaQFCqsYL6iDkWJkuJbJku5	ight imma fuk witcha	fwy	120	59	770	436	1.87	39343.48	156523	2024-05-08 18:32:03	23.88	False	True	False	True	2	a8c05d	0.0001565	196	196	196	-14.23	2024-05-08 20:55:55.928320
solana	raydium	AKF9WXxWHg2CzMyrNjq13VR6JxDuqngtDdFS86LL1o8Y	GdxbbBAunmByBcuECciQqmaQFCqsYL6iDkWJkuJbJku5	ight imma fuk witcha	fwy	125	74	842	485	1.78	35973.3	130748	2024-05-08 18:32:03	26.16	False	True	False	True	2	a8c05d	0.0001307	148	148	148	-8.92	2024-05-08 20:58:12.553611
solana	raydium	AKF9WXxWHg2CzMyrNjq13VR6JxDuqngtDdFS86LL1o8Y	GdxbbBAunmByBcuECciQqmaQFCqsYL6iDkWJkuJbJku5	ight imma fuk witcha	fwy	114	54	898	503	1.52	36995.89	138190	2024-05-08 18:32:03	28.46	False	True	False	True	2	a8c05d	0.0001381	162	162	162	0.07	2024-05-08 21:00:30.439940
solana	raydium	AKF9WXxWHg2CzMyrNjq13VR6JxDuqngtDdFS86LL1o8Y	GdxbbBAunmByBcuECciQqmaQFCqsYL6iDkWJkuJbJku5	ight imma fuk witcha	fwy	93	49	940	536	1.19	40564.27	165542	2024-05-08 18:32:03	30.81	False	True	False	True	2	a8c05d	0.0001655	213	213	213	23.6	2024-05-08 21:02:51.891085
