chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	Gb1zHwES3M3sNTGkM9DM3BZ85FYSgGFcKtouFMXrPnnz	Gv9oiZwKMHyVtcUhHRDoEqF2C6jWuCfgGdang78FUh6h	Vibe Cat	Minette	6	7	116	112	0.62	144429.41	6045583	2024-05-09 18:40:25	137.46	False	True	False	True	2	a33156	0.0006045	349845	349845	-21.11	-2.24	2024-05-09 22:57:52.725273
solana	raydium	Gb1zHwES3M3sNTGkM9DM3BZ85FYSgGFcKtouFMXrPnnz	Gv9oiZwKMHyVtcUhHRDoEqF2C6jWuCfgGdang78FUh6h	Vibe Cat	Minette	6	4	106	103	0.68	145052.87	6086897	2024-05-09 18:40:25	139.74	False	True	False	True	2	a33156	0.0006086	352236	352236	-11.26	-1.55	2024-05-09 23:00:09.230365
solana	raydium	Gb1zHwES3M3sNTGkM9DM3BZ85FYSgGFcKtouFMXrPnnz	Gv9oiZwKMHyVtcUhHRDoEqF2C6jWuCfgGdang78FUh6h	Vibe Cat	Minette	3	2	103	100	0.35	142806.76	5896506	2024-05-09 18:40:25	142.04	False	True	False	True	2	a33156	0.0005896	341215	341215	-13.19	-2.2	2024-05-09 23:02:27.157234
solana	raydium	Gb1zHwES3M3sNTGkM9DM3BZ85FYSgGFcKtouFMXrPnnz	Gv9oiZwKMHyVtcUhHRDoEqF2C6jWuCfgGdang78FUh6h	Vibe Cat	Minette	6	2	103	92	0.7	144629.87	6034024	2024-05-09 18:40:25	144.34	False	True	False	True	2	a33156	0.0006034	349175	349175	-2.6	0.88	2024-05-09 23:04:45.349422
solana	raydium	Gb1zHwES3M3sNTGkM9DM3BZ85FYSgGFcKtouFMXrPnnz	Gv9oiZwKMHyVtcUhHRDoEqF2C6jWuCfgGdang78FUh6h	Vibe Cat	Minette	12	2	109	90	1.32	148330.16	6348433	2024-05-09 18:40:25	146.64	False	True	False	True	2	a33156	0.0006348	367375	367375	4.76	7.66	2024-05-09 23:07:03.212170
solana	raydium	Gb1zHwES3M3sNTGkM9DM3BZ85FYSgGFcKtouFMXrPnnz	Gv9oiZwKMHyVtcUhHRDoEqF2C6jWuCfgGdang78FUh6h	Vibe Cat	Minette	13	2	107	83	1.46	148485.72	6367636	2024-05-09 18:40:25	148.9	False	True	False	True	2	a33156	0.0006367	368486	368486	6.55	5.53	2024-05-09 23:09:19.050572
solana	raydium	Gb1zHwES3M3sNTGkM9DM3BZ85FYSgGFcKtouFMXrPnnz	Gv9oiZwKMHyVtcUhHRDoEqF2C6jWuCfgGdang78FUh6h	Vibe Cat	Minette	8	0	103	76	0.93	148604.59	6379514	2024-05-09 18:40:25	151.21	False	True	False	True	2	a33156	0.0006379	369174	369174	10.75	0.56	2024-05-09 23:11:37.894173
solana	raydium	Gb1zHwES3M3sNTGkM9DM3BZ85FYSgGFcKtouFMXrPnnz	Gv9oiZwKMHyVtcUhHRDoEqF2C6jWuCfgGdang78FUh6h	Vibe Cat	Minette	8	3	100	72	0.96	148247.43	6346815	2024-05-09 18:40:25	153.51	False	True	False	True	2	a33156	0.0006346	367281	367281	6.17	-0.33	2024-05-09 23:13:55.587390
solana	raydium	Gb1zHwES3M3sNTGkM9DM3BZ85FYSgGFcKtouFMXrPnnz	Gv9oiZwKMHyVtcUhHRDoEqF2C6jWuCfgGdang78FUh6h	Vibe Cat	Minette	8	6	96	71	1.0	148494.84	6392889	2024-05-09 18:40:25	155.79	False	True	False	True	2	a33156	0.0006392	369948	369948	4.77	0.34	2024-05-09 23:16:12.230066
solana	raydium	Gb1zHwES3M3sNTGkM9DM3BZ85FYSgGFcKtouFMXrPnnz	Gv9oiZwKMHyVtcUhHRDoEqF2C6jWuCfgGdang78FUh6h	Vibe Cat	Minette	11	4	100	68	1.32	160185.15	7432712	2024-05-09 18:40:25	158.06	False	True	False	True	2	a33156	0.0007432	430138	430138	16.52	17.11	2024-05-09 23:18:28.859992
solana	raydium	Gb1zHwES3M3sNTGkM9DM3BZ85FYSgGFcKtouFMXrPnnz	Gv9oiZwKMHyVtcUhHRDoEqF2C6jWuCfgGdang78FUh6h	Vibe Cat	Minette	16	3	101	66	1.9	162408.75	7647794	2024-05-09 18:40:25	160.36	False	True	False	True	2	a33156	0.0007647	442588	442588	18.47	19.63	2024-05-09 23:20:46.340105
solana	raydium	Gb1zHwES3M3sNTGkM9DM3BZ85FYSgGFcKtouFMXrPnnz	Gv9oiZwKMHyVtcUhHRDoEqF2C6jWuCfgGdang78FUh6h	Vibe Cat	Minette	20	3	105	57	2.29	169431.46	8335814	2024-05-09 18:40:25	162.65	False	True	False	True	2	a33156	0.0008335	482413	482413	44.22	12.15	2024-05-09 23:23:03.841840
solana	raydium	Gb1zHwES3M3sNTGkM9DM3BZ85FYSgGFcKtouFMXrPnnz	Gv9oiZwKMHyVtcUhHRDoEqF2C6jWuCfgGdang78FUh6h	Vibe Cat	Minette	23	10	107	63	2.58	171635.01	8538814	2024-05-09 18:40:25	164.94	False	True	False	True	2	a33156	0.0008538	494164	494164	48.93	12.88	2024-05-09 23:25:21.355740
solana	raydium	Gb1zHwES3M3sNTGkM9DM3BZ85FYSgGFcKtouFMXrPnnz	Gv9oiZwKMHyVtcUhHRDoEqF2C6jWuCfgGdang78FUh6h	Vibe Cat	Minette	16	15	110	69	1.75	168759.62	8242867	2024-05-09 18:40:25	167.24	False	True	False	True	2	a33156	0.0008242	477033	477033	41.6	-1.02	2024-05-09 23:27:39.378207
solana	raydium	Gb1zHwES3M3sNTGkM9DM3BZ85FYSgGFcKtouFMXrPnnz	Gv9oiZwKMHyVtcUhHRDoEqF2C6jWuCfgGdang78FUh6h	Vibe Cat	Minette	8	17	111	74	0.86	163670.4	7760154	2024-05-09 18:40:25	169.51	False	True	False	True	2	a33156	0.0007760	449091	449091	34.98	-9.63	2024-05-09 23:29:55.739259
solana	raydium	Gb1zHwES3M3sNTGkM9DM3BZ85FYSgGFcKtouFMXrPnnz	Gv9oiZwKMHyVtcUhHRDoEqF2C6jWuCfgGdang78FUh6h	Vibe Cat	Minette	3	15	112	76	0.32	161763.84	7576822	2024-05-09 18:40:25	171.85	False	True	False	True	2	a33156	0.0007576	438479	438479	33.91	-8.15	2024-05-09 23:32:15.786803
solana	raydium	Gb1zHwES3M3sNTGkM9DM3BZ85FYSgGFcKtouFMXrPnnz	Gv9oiZwKMHyVtcUhHRDoEqF2C6jWuCfgGdang78FUh6h	Vibe Cat	Minette	4	6	112	70	0.43	160778.12	7468652	2024-05-09 18:40:25	174.3	False	True	False	True	2	a33156	0.0007468	432218	432218	19.94	-1.6	2024-05-09 23:34:42.801343
