chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	5L9cpyXSyGJWpXqm8B1hjghZCggRVr8gCd6iKoRhmd3T	H4p7HkzpiMHWe4W5Ld37TWzEYpEw6AwsTELGU4eTacAs	YAP	YAP	356	164	356	164	12.0	35866.7	127489	2024-05-08 02:46:22	3.4	False	True	False	True	2	1d0a68	0.0001294	126	126	126	126	2024-05-08 04:49:46.215275
solana	raydium	5L9cpyXSyGJWpXqm8B1hjghZCggRVr8gCd6iKoRhmd3T	H4p7HkzpiMHWe4W5Ld37TWzEYpEw6AwsTELGU4eTacAs	YAP	YAP	453	252	546	277	9.96	42051.18	173209	2024-05-08 02:46:22	5.68	False	True	False	True	2	1d0a68	0.0001758	207	207	207	163	2024-05-08 04:52:03.010703
solana	raydium	5L9cpyXSyGJWpXqm8B1hjghZCggRVr8gCd6iKoRhmd3T	H4p7HkzpiMHWe4W5Ld37TWzEYpEw6AwsTELGU4eTacAs	YAP	YAP	402	246	737	397	6.55	38527.94	144437	2024-05-08 02:46:22	7.98	False	True	False	True	2	1d0a68	0.0001466	156	156	156	-8.94	2024-05-08 04:54:21.032782
solana	raydium	5L9cpyXSyGJWpXqm8B1hjghZCggRVr8gCd6iKoRhmd3T	H4p7HkzpiMHWe4W5Ld37TWzEYpEw6AwsTELGU4eTacAs	YAP	YAP	287	177	899	496	3.83	37097.74	132986	2024-05-08 02:46:22	10.28	False	True	False	True	2	1d0a68	0.0001350	135	135	135	-17.67	2024-05-08 04:56:38.823766
solana	raydium	5L9cpyXSyGJWpXqm8B1hjghZCggRVr8gCd6iKoRhmd3T	H4p7HkzpiMHWe4W5Ld37TWzEYpEw6AwsTELGU4eTacAs	YAP	YAP	205	142	957	550	2.57	34812.79	117078	2024-05-08 02:46:22	12.52	False	True	False	True	2	1d0a68	0.0001188	107	107	107	-17.11	2024-05-08 04:58:53.471685
solana	raydium	5L9cpyXSyGJWpXqm8B1hjghZCggRVr8gCd6iKoRhmd3T	H4p7HkzpiMHWe4W5Ld37TWzEYpEw6AwsTELGU4eTacAs	YAP	YAP	169	132	1068	627	1.9	36047.24	124843	2024-05-08 02:46:22	14.79	False	True	False	True	2	1d0a68	0.0001267	121	121	121	-5.57	2024-05-08 05:01:09.549811
solana	raydium	5L9cpyXSyGJWpXqm8B1hjghZCggRVr8gCd6iKoRhmd3T	H4p7HkzpiMHWe4W5Ld37TWzEYpEw6AwsTELGU4eTacAs	YAP	YAP	255	177	1207	722	2.54	37542.72	134409	2024-05-08 02:46:22	17.07	False	True	False	True	2	1d0a68	0.0001364	138	138	138	4.63	2024-05-08 05:03:26.212675
solana	raydium	5L9cpyXSyGJWpXqm8B1hjghZCggRVr8gCd6iKoRhmd3T	H4p7HkzpiMHWe4W5Ld37TWzEYpEw6AwsTELGU4eTacAs	YAP	YAP	239	149	1331	800	2.15	41853.51	166120	2024-05-08 02:46:22	19.31	False	True	False	True	2	1d0a68	0.0001686	194	194	194	55	2024-05-08 05:05:40.762121
solana	raydium	5L9cpyXSyGJWpXqm8B1hjghZCggRVr8gCd6iKoRhmd3T	H4p7HkzpiMHWe4W5Ld37TWzEYpEw6AwsTELGU4eTacAs	YAP	YAP	215	157	1438	885	1.79	43869.83	181916	2024-05-08 02:46:22	21.57	False	True	False	True	2	1d0a68	0.0001847	222	222	222	35.84	2024-05-08 05:07:56.140568
solana	raydium	5L9cpyXSyGJWpXqm8B1hjghZCggRVr8gCd6iKoRhmd3T	H4p7HkzpiMHWe4W5Ld37TWzEYpEw6AwsTELGU4eTacAs	YAP	YAP	219	153	1544	951	1.7	42798.44	172394	2024-05-08 02:46:22	23.83	False	True	False	True	2	1d0a68	0.0001750	205	205	205	5.61	2024-05-08 05:10:11.816122
