chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	8wANVx5TP6uUyBimkPeAqzbK2poJaYGVT2oRtbyqLQFd	HZa1Fy4uwNk9gKx18jDfmFRJfjyAaLAMoiJvM1o6Anqr	pophat	pophat	198	120	2300	1237	1.03	48456.46	220349	2024-05-11 15:29:48	28.77	False	True	True	True	3	077cb0	0.0002288	291	291	291	78.23	2024-05-11 17:58:34.339557
solana	raydium	8wANVx5TP6uUyBimkPeAqzbK2poJaYGVT2oRtbyqLQFd	HZa1Fy4uwNk9gKx18jDfmFRJfjyAaLAMoiJvM1o6Anqr	pophat	pophat	351	184	2519	1351	1.67	50919.44	241227	2024-05-11 15:29:48	31.09	False	True	True	True	3	077cb0	0.0002505	328	328	328	61.71	2024-05-11 18:00:53.126293
solana	raydium	8wANVx5TP6uUyBimkPeAqzbK2poJaYGVT2oRtbyqLQFd	HZa1Fy4uwNk9gKx18jDfmFRJfjyAaLAMoiJvM1o6Anqr	pophat	pophat	375	235	2673	1468	1.68	59895.47	332661	2024-05-11 15:29:48	33.39	False	True	True	True	3	077cb0	0.0003454	491	491	491	53.14	2024-05-11 18:03:11.138398
solana	raydium	8wANVx5TP6uUyBimkPeAqzbK2poJaYGVT2oRtbyqLQFd	HZa1Fy4uwNk9gKx18jDfmFRJfjyAaLAMoiJvM1o6Anqr	pophat	pophat	397	285	2884	1623	1.65	55774.49	286864	2024-05-11 15:29:48	35.69	False	True	True	True	3	077cb0	0.0002979	410	410	410	28.83	2024-05-11 18:05:29.571678
solana	raydium	8wANVx5TP6uUyBimkPeAqzbK2poJaYGVT2oRtbyqLQFd	HZa1Fy4uwNk9gKx18jDfmFRJfjyAaLAMoiJvM1o6Anqr	pophat	pophat	418	265	3123	1769	1.61	61551.44	346211	2024-05-11 15:29:48	38.09	False	True	True	True	3	077cb0	0.0003595	515	515	515	21.49	2024-05-11 18:07:53.331569
solana	raydium	8wANVx5TP6uUyBimkPeAqzbK2poJaYGVT2oRtbyqLQFd	HZa1Fy4uwNk9gKx18jDfmFRJfjyAaLAMoiJvM1o6Anqr	pophat	pophat	385	243	3274	1872	1.41	64429.3	378028	2024-05-11 15:29:48	40.41	False	True	True	True	3	077cb0	0.0003925	571	571	571	43.12	2024-05-11 18:10:12.388653
solana	raydium	8wANVx5TP6uUyBimkPeAqzbK2poJaYGVT2oRtbyqLQFd	HZa1Fy4uwNk9gKx18jDfmFRJfjyAaLAMoiJvM1o6Anqr	pophat	pophat	383	266	3457	2013	1.33	64870.61	381047	2024-05-11 15:29:48	42.78	False	True	True	True	3	077cb0	0.0003957	577	577	577	24.73	2024-05-11 18:12:34.739750
solana	raydium	8wANVx5TP6uUyBimkPeAqzbK2poJaYGVT2oRtbyqLQFd	HZa1Fy4uwNk9gKx18jDfmFRJfjyAaLAMoiJvM1o6Anqr	pophat	pophat	342	278	3641	2165	1.13	61667.54	342547	2024-05-11 15:29:48	45.05	False	True	True	True	3	077cb0	0.0003557	508	508	508	-14	2024-05-11 18:14:50.873642
solana	raydium	8wANVx5TP6uUyBimkPeAqzbK2poJaYGVT2oRtbyqLQFd	HZa1Fy4uwNk9gKx18jDfmFRJfjyAaLAMoiJvM1o6Anqr	pophat	pophat	345	261	3803	2274	1.09	59666.66	318899	2024-05-11 15:29:48	47.37	False	True	True	True	3	077cb0	0.0003311	466	466	466	-16.89	2024-05-11 18:17:09.992123
solana	raydium	8wANVx5TP6uUyBimkPeAqzbK2poJaYGVT2oRtbyqLQFd	HZa1Fy4uwNk9gKx18jDfmFRJfjyAaLAMoiJvM1o6Anqr	pophat	pophat	281	187	3965	2377	0.85	63304	357742	2024-05-11 15:29:48	49.71	False	True	True	True	3	077cb0	0.0003715	535	535	535	-1.57	2024-05-11 18:19:30.638213
solana	raydium	8wANVx5TP6uUyBimkPeAqzbK2poJaYGVT2oRtbyqLQFd	HZa1Fy4uwNk9gKx18jDfmFRJfjyAaLAMoiJvM1o6Anqr	pophat	pophat	260	154	4088	2452	0.76	67196.4	401383	2024-05-11 15:29:48	51.99	False	True	True	True	3	077cb0	0.0004168	613	613	613	22.29	2024-05-11 18:21:47.457131
solana	raydium	8wANVx5TP6uUyBimkPeAqzbK2poJaYGVT2oRtbyqLQFd	HZa1Fy4uwNk9gKx18jDfmFRJfjyAaLAMoiJvM1o6Anqr	pophat	pophat	294	195	4259	2572	0.83	73545.93	478678	2024-05-11 15:29:48	54.31	False	True	True	True	3	077cb0	0.0004971	750	750	750	33.81	2024-05-11 18:24:06.673428
solana	raydium	8wANVx5TP6uUyBimkPeAqzbK2poJaYGVT2oRtbyqLQFd	HZa1Fy4uwNk9gKx18jDfmFRJfjyAaLAMoiJvM1o6Anqr	pophat	pophat	300	246	4372	2685	0.82	72249.73	459877	2024-05-11 15:29:48	56.6	False	True	True	True	3	077cb0	0.0004775	717	717	717	10.42	2024-05-11 18:26:24.184686
solana	raydium	8wANVx5TP6uUyBimkPeAqzbK2poJaYGVT2oRtbyqLQFd	HZa1Fy4uwNk9gKx18jDfmFRJfjyAaLAMoiJvM1o6Anqr	pophat	pophat	288	223	4562	2811	0.76	69435.69	423781	2024-05-11 15:29:48	58.91	False	True	True	True	3	077cb0	0.0004400	653	653	653	-13.71	2024-05-11 18:28:42.803323
solana	raydium	8wANVx5TP6uUyBimkPeAqzbK2poJaYGVT2oRtbyqLQFd	HZa1Fy4uwNk9gKx18jDfmFRJfjyAaLAMoiJvM1o6Anqr	pophat	pophat	384	262	4503	2863	1.02	66100.24	381524	2024-05-11 15:29:48	61.19	False	True	True	True	3	077cb0	0.0003962	578	578	171	-15.93	2024-05-11 18:30:59.277760
solana	raydium	8wANVx5TP6uUyBimkPeAqzbK2poJaYGVT2oRtbyqLQFd	HZa1Fy4uwNk9gKx18jDfmFRJfjyAaLAMoiJvM1o6Anqr	pophat	pophat	345	227	4381	2810	0.94	68034.79	403715	2024-05-11 15:29:48	63.54	False	True	True	True	3	077cb0	0.0004192	617	617	83.1	-4.92	2024-05-11 18:33:20.297193
solana	raydium	8wANVx5TP6uUyBimkPeAqzbK2poJaYGVT2oRtbyqLQFd	HZa1Fy4uwNk9gKx18jDfmFRJfjyAaLAMoiJvM1o6Anqr	pophat	pophat	218	142	4160	2712	0.63	68693.01	409825	2024-05-11 15:29:48	65.85	False	True	True	True	3	077cb0	0.0004255	628	628	141	7.43	2024-05-11 18:35:39.067882
solana	raydium	8wANVx5TP6uUyBimkPeAqzbK2poJaYGVT2oRtbyqLQFd	HZa1Fy4uwNk9gKx18jDfmFRJfjyAaLAMoiJvM1o6Anqr	pophat	pophat	172	150	4031	2695	0.51	68537.77	407745	2024-05-11 15:29:48	68.13	False	True	True	True	3	077cb0	0.0004234	624	624	88.27	0.75	2024-05-11 18:37:55.919877
solana	raydium	8wANVx5TP6uUyBimkPeAqzbK2poJaYGVT2oRtbyqLQFd	HZa1Fy4uwNk9gKx18jDfmFRJfjyAaLAMoiJvM1o6Anqr	pophat	pophat	208	211	3999	2741	0.62	78563.32	533818	2024-05-11 15:29:48	70.42	False	True	True	True	3	077cb0	0.0005543	848	848	151	29.35	2024-05-11 18:40:13.451445
solana	raydium	8wANVx5TP6uUyBimkPeAqzbK2poJaYGVT2oRtbyqLQFd	HZa1Fy4uwNk9gKx18jDfmFRJfjyAaLAMoiJvM1o6Anqr	pophat	pophat	237	198	3931	2707	0.72	77979.32	524981	2024-05-11 15:29:48	72.75	False	True	True	True	3	077cb0	0.0005451	833	833	247	12.34	2024-05-11 18:42:33.040766
solana	raydium	8wANVx5TP6uUyBimkPeAqzbK2poJaYGVT2oRtbyqLQFd	HZa1Fy4uwNk9gKx18jDfmFRJfjyAaLAMoiJvM1o6Anqr	pophat	pophat	207	150	3923	2716	0.63	80711.1	555459	2024-05-11 15:29:48	75.06	False	True	True	True	3	077cb0	0.0005828	897	897	201	4.75	2024-05-11 18:44:51.686507
solana	raydium	8wANVx5TP6uUyBimkPeAqzbK2poJaYGVT2oRtbyqLQFd	HZa1Fy4uwNk9gKx18jDfmFRJfjyAaLAMoiJvM1o6Anqr	pophat	pophat	232	218	3951	2779	0.7	85080.62	615708	2024-05-11 15:29:48	77.39	False	True	True	True	3	077cb0	0.0006461	1005	1005	291	19.34	2024-05-11 18:47:11.229758
solana	raydium	8wANVx5TP6uUyBimkPeAqzbK2poJaYGVT2oRtbyqLQFd	HZa1Fy4uwNk9gKx18jDfmFRJfjyAaLAMoiJvM1o6Anqr	pophat	pophat	253	207	3842	2708	0.79	87142.45	645219	2024-05-11 15:29:48	79.66	False	True	True	True	3	077cb0	0.0006770	1058	1058	383	15.43	2024-05-11 18:49:27.306625
