chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	ACdnE7C18PQZuy6nFJvRWM9jPcaRPiqz5ZiZ765h2muW	HdH8sSqFoA53u67Wgqweetf2FdFuDHEu7EMTnf2Q6FDU	BINANCE DOG MAUI	MAUI	142	130	1599	1315	1.07	76142.56	425862	2024-05-16 05:20:53	157.63	False	True	False	True	2	8f0ef7	0.0004258	585	585	94.18	-17.05	2024-05-16 09:58:30.768019
solana	raydium	ACdnE7C18PQZuy6nFJvRWM9jPcaRPiqz5ZiZ765h2muW	HdH8sSqFoA53u67Wgqweetf2FdFuDHEu7EMTnf2Q6FDU	BINANCE DOG MAUI	MAUI	147	118	1641	1341	1.07	80369.75	473757	2024-05-16 05:20:53	159.91	False	True	False	True	2	8f0ef7	0.0004737	662	662	136	-3.77	2024-05-16 10:00:47.691194
solana	raydium	ACdnE7C18PQZuy6nFJvRWM9jPcaRPiqz5ZiZ765h2muW	HdH8sSqFoA53u67Wgqweetf2FdFuDHEu7EMTnf2Q6FDU	BINANCE DOG MAUI	MAUI	102	88	1666	1355	0.73	76940	433900	2024-05-16 05:20:53	162.21	False	True	False	True	2	8f0ef7	0.0004338	598	598	125	1.89	2024-05-16 10:03:05.738437
solana	raydium	ACdnE7C18PQZuy6nFJvRWM9jPcaRPiqz5ZiZ765h2muW	HdH8sSqFoA53u67Wgqweetf2FdFuDHEu7EMTnf2Q6FDU	BINANCE DOG MAUI	MAUI	110	95	1668	1380	0.79	77817.2	444034	2024-05-16 05:20:53	164.52	False	True	False	True	2	8f0ef7	0.0004440	614	614	79.52	2.81	2024-05-16 10:05:24.473381
solana	raydium	ACdnE7C18PQZuy6nFJvRWM9jPcaRPiqz5ZiZ765h2muW	HdH8sSqFoA53u67Wgqweetf2FdFuDHEu7EMTnf2Q6FDU	BINANCE DOG MAUI	MAUI	91	73	1647	1378	0.66	76574.61	428508	2024-05-16 05:20:53	166.81	False	True	False	True	2	8f0ef7	0.0004285	589	589	27.63	5.34	2024-05-16 10:07:41.347386
solana	raydium	ACdnE7C18PQZuy6nFJvRWM9jPcaRPiqz5ZiZ765h2muW	HdH8sSqFoA53u67Wgqweetf2FdFuDHEu7EMTnf2Q6FDU	BINANCE DOG MAUI	MAUI	66	67	1619	1369	0.49	72276.29	381611	2024-05-16 05:20:53	169.09	False	True	False	True	2	8f0ef7	0.0003816	514	514	23.52	-13.49	2024-05-16 10:09:58.192384
solana	raydium	ACdnE7C18PQZuy6nFJvRWM9jPcaRPiqz5ZiZ765h2muW	HdH8sSqFoA53u67Wgqweetf2FdFuDHEu7EMTnf2Q6FDU	BINANCE DOG MAUI	MAUI	69	71	1614	1352	0.51	73227.55	391134	2024-05-16 05:20:53	171.4	False	True	False	True	2	8f0ef7	0.0003911	529	529	6.88	-8.72	2024-05-16 10:12:16.847479
solana	raydium	ACdnE7C18PQZuy6nFJvRWM9jPcaRPiqz5ZiZ765h2muW	HdH8sSqFoA53u67Wgqweetf2FdFuDHEu7EMTnf2Q6FDU	BINANCE DOG MAUI	MAUI	37	39	1555	1288	0.29	74955.08	410081	2024-05-16 05:20:53	173.69	False	True	False	True	2	8f0ef7	0.0004100	559	559	-0.89	9.56	2024-05-16 10:14:34.601191
solana	raydium	ACdnE7C18PQZuy6nFJvRWM9jPcaRPiqz5ZiZ765h2muW	HdH8sSqFoA53u67Wgqweetf2FdFuDHEu7EMTnf2Q6FDU	BINANCE DOG MAUI	MAUI	68	56	1559	1274	0.52	80560.41	472553	2024-05-16 05:20:53	176.0	False	True	False	True	2	8f0ef7	0.0004725	660	660	11.22	18.84	2024-05-16 10:16:53.171141
solana	raydium	ACdnE7C18PQZuy6nFJvRWM9jPcaRPiqz5ZiZ765h2muW	HdH8sSqFoA53u67Wgqweetf2FdFuDHEu7EMTnf2Q6FDU	BINANCE DOG MAUI	MAUI	145	83	1580	1266	1.1	80820.92	474083	2024-05-16 05:20:53	178.28	False	True	False	True	2	8f0ef7	0.0004740	662	662	31	15.61	2024-05-16 10:19:09.949280
solana	raydium	ACdnE7C18PQZuy6nFJvRWM9jPcaRPiqz5ZiZ765h2muW	HdH8sSqFoA53u67Wgqweetf2FdFuDHEu7EMTnf2Q6FDU	BINANCE DOG MAUI	MAUI	190	131	1574	1294	1.45	84461.9	516496	2024-05-16 05:20:53	180.55	False	True	False	True	2	8f0ef7	0.0005164	730	730	47.38	9.31	2024-05-16 10:21:26.107535
solana	raydium	ACdnE7C18PQZuy6nFJvRWM9jPcaRPiqz5ZiZ765h2muW	HdH8sSqFoA53u67Wgqweetf2FdFuDHEu7EMTnf2Q6FDU	BINANCE DOG MAUI	MAUI	140	115	1446	1214	1.16	84230.96	512661	2024-05-16 05:20:53	182.84	False	True	False	True	2	8f0ef7	0.0005126	724	724	82.59	8.26	2024-05-16 10:23:43.416645
solana	raydium	ACdnE7C18PQZuy6nFJvRWM9jPcaRPiqz5ZiZ765h2muW	HdH8sSqFoA53u67Wgqweetf2FdFuDHEu7EMTnf2Q6FDU	BINANCE DOG MAUI	MAUI	100	72	1433	1178	0.84	78562.62	446115	2024-05-16 05:20:53	185.1	False	True	False	True	2	8f0ef7	0.0004461	617	617	71.4	-15.57	2024-05-16 10:25:58.830554
solana	raydium	ACdnE7C18PQZuy6nFJvRWM9jPcaRPiqz5ZiZ765h2muW	HdH8sSqFoA53u67Wgqweetf2FdFuDHEu7EMTnf2Q6FDU	BINANCE DOG MAUI	MAUI	174	96	1502	1189	1.39	73638.89	391490	2024-05-16 05:20:53	187.37	False	True	False	True	2	8f0ef7	0.0003914	529	529	48.5	-24.6	2024-05-16 10:28:15.091960
solana	raydium	ACdnE7C18PQZuy6nFJvRWM9jPcaRPiqz5ZiZ765h2muW	HdH8sSqFoA53u67Wgqweetf2FdFuDHEu7EMTnf2Q6FDU	BINANCE DOG MAUI	MAUI	244	138	1548	1227	1.89	69915.97	352843	2024-05-16 05:20:53	189.65	False	True	False	True	2	561792	0.0003528	467	467	38.37	-22.53	2024-05-16 10:30:32.267511
solana	raydium	ACdnE7C18PQZuy6nFJvRWM9jPcaRPiqz5ZiZ765h2muW	HdH8sSqFoA53u67Wgqweetf2FdFuDHEu7EMTnf2Q6FDU	BINANCE DOG MAUI	MAUI	218	181	1607	1280	1.63	68732.93	341090	2024-05-16 05:20:53	191.94	False	True	False	True	2	561792	0.0003410	448	448	29.72	-13.14	2024-05-16 10:32:49.535839
solana	raydium	ACdnE7C18PQZuy6nFJvRWM9jPcaRPiqz5ZiZ765h2muW	HdH8sSqFoA53u67Wgqweetf2FdFuDHEu7EMTnf2Q6FDU	BINANCE DOG MAUI	MAUI	138	137	1635	1295	1.01	68467.99	337790	2024-05-16 05:20:53	194.21	False	True	False	True	2	561792	0.0003377	443	443	34.8	3.09	2024-05-16 10:35:05.743696
solana	raydium	ACdnE7C18PQZuy6nFJvRWM9jPcaRPiqz5ZiZ765h2muW	HdH8sSqFoA53u67Wgqweetf2FdFuDHEu7EMTnf2Q6FDU	BINANCE DOG MAUI	MAUI	92	98	1657	1313	0.67	73187.06	384010	2024-05-16 05:20:53	196.49	False	True	False	True	2	561792	0.0003840	517	517	83.71	13.26	2024-05-16 10:37:22.549272
solana	raydium	ACdnE7C18PQZuy6nFJvRWM9jPcaRPiqz5ZiZ765h2muW	HdH8sSqFoA53u67Wgqweetf2FdFuDHEu7EMTnf2Q6FDU	BINANCE DOG MAUI	MAUI	76	80	1623	1290	0.56	82414.93	487103	2024-05-16 05:20:53	198.82	False	True	False	True	2	561792	0.0004871	683	683	78.29	44.11	2024-05-16 10:39:42.025184
solana	raydium	ACdnE7C18PQZuy6nFJvRWM9jPcaRPiqz5ZiZ765h2muW	HdH8sSqFoA53u67Wgqweetf2FdFuDHEu7EMTnf2Q6FDU	BINANCE DOG MAUI	MAUI	86	75	1590	1270	0.65	83473.48	498809	2024-05-16 05:20:53	201.1	False	True	False	True	2	561792	0.0004988	702	702	72.99	26.99	2024-05-16 10:41:59.086925
solana	raydium	ACdnE7C18PQZuy6nFJvRWM9jPcaRPiqz5ZiZ765h2muW	HdH8sSqFoA53u67Wgqweetf2FdFuDHEu7EMTnf2Q6FDU	BINANCE DOG MAUI	MAUI	95	74	1588	1276	0.72	76203.52	415769	2024-05-16 05:20:53	203.4	False	True	False	True	2	561792	0.0004157	569	569	60.33	-18.39	2024-05-16 10:44:16.921936
solana	raydium	ACdnE7C18PQZuy6nFJvRWM9jPcaRPiqz5ZiZ765h2muW	HdH8sSqFoA53u67Wgqweetf2FdFuDHEu7EMTnf2Q6FDU	BINANCE DOG MAUI	MAUI	53	61	1581	1281	0.4	78803.33	444235	2024-05-16 05:20:53	205.68	False	True	False	True	2	561792	0.0004442	614	614	45.77	-6.81	2024-05-16 10:46:33.935601
solana	raydium	ACdnE7C18PQZuy6nFJvRWM9jPcaRPiqz5ZiZ765h2muW	HdH8sSqFoA53u67Wgqweetf2FdFuDHEu7EMTnf2Q6FDU	BINANCE DOG MAUI	MAUI	47	63	1568	1274	0.36	80335.76	461824	2024-05-16 05:20:53	207.96	False	True	False	True	2	561792	0.0004618	643	643	32.18	10.17	2024-05-16 10:48:50.637887
solana	raydium	ACdnE7C18PQZuy6nFJvRWM9jPcaRPiqz5ZiZ765h2muW	HdH8sSqFoA53u67Wgqweetf2FdFuDHEu7EMTnf2Q6FDU	BINANCE DOG MAUI	MAUI	67	58	1555	1280	0.52	86493.68	534183	2024-05-16 05:20:53	210.26	False	True	False	True	2	561792	0.0005341	759	759	35.16	20.62	2024-05-16 10:51:08.574072
solana	raydium	ACdnE7C18PQZuy6nFJvRWM9jPcaRPiqz5ZiZ765h2muW	HdH8sSqFoA53u67Wgqweetf2FdFuDHEu7EMTnf2Q6FDU	BINANCE DOG MAUI	MAUI	78	88	1529	1276	0.61	88495.78	558863	2024-05-16 05:20:53	212.55	False	True	False	True	2	561792	0.0005588	799	799	8.86	19.57	2024-05-16 10:53:26.287787
solana	raydium	ACdnE7C18PQZuy6nFJvRWM9jPcaRPiqz5ZiZ765h2muW	HdH8sSqFoA53u67Wgqweetf2FdFuDHEu7EMTnf2Q6FDU	BINANCE DOG MAUI	MAUI	65	103	1457	1229	0.54	85715.74	523835	2024-05-16 05:20:53	214.83	False	True	False	True	2	561792	0.0005238	742	742	6.41	-0.84	2024-05-16 10:55:42.775438
solana	raydium	ACdnE7C18PQZuy6nFJvRWM9jPcaRPiqz5ZiZ765h2muW	HdH8sSqFoA53u67Wgqweetf2FdFuDHEu7EMTnf2Q6FDU	BINANCE DOG MAUI	MAUI	77	103	1414	1202	0.65	85665.61	522903	2024-05-16 05:20:53	217.1	False	True	False	True	2	561792	0.0005229	741	741	22.79	-6.16	2024-05-16 10:57:59.147974
solana	raydium	ACdnE7C18PQZuy6nFJvRWM9jPcaRPiqz5ZiZ765h2muW	HdH8sSqFoA53u67Wgqweetf2FdFuDHEu7EMTnf2Q6FDU	BINANCE DOG MAUI	MAUI	102	77	1411	1193	0.87	85819.6	524504	2024-05-16 05:20:53	219.38	False	True	False	True	2	561792	0.0005245	743	743	21.44	-5.47	2024-05-16 11:00:15.976971
solana	raydium	ACdnE7C18PQZuy6nFJvRWM9jPcaRPiqz5ZiZ765h2muW	HdH8sSqFoA53u67Wgqweetf2FdFuDHEu7EMTnf2Q6FDU	BINANCE DOG MAUI	MAUI	71	73	1390	1183	0.61	89900.74	574277	2024-05-16 05:20:53	221.66	False	True	False	True	2	561792	0.0005742	823	823	41.17	5.66	2024-05-16 11:02:32.807031
solana	raydium	ACdnE7C18PQZuy6nFJvRWM9jPcaRPiqz5ZiZ765h2muW	HdH8sSqFoA53u67Wgqweetf2FdFuDHEu7EMTnf2Q6FDU	BINANCE DOG MAUI	MAUI	62	73	1362	1172	0.55	90852.59	586262	2024-05-16 05:20:53	223.95	False	True	False	True	2	561792	0.0005862	843	843	54.47	3.42	2024-05-16 11:04:49.730546
solana	raydium	ACdnE7C18PQZuy6nFJvRWM9jPcaRPiqz5ZiZ765h2muW	HdH8sSqFoA53u67Wgqweetf2FdFuDHEu7EMTnf2Q6FDU	BINANCE DOG MAUI	MAUI	105	82	1401	1191	0.9	82908.4	488299	2024-05-16 05:20:53	226.25	False	True	False	True	2	561792	0.0004882	685	685	13.95	-15.2	2024-05-16 11:07:07.926558
solana	raydium	ACdnE7C18PQZuy6nFJvRWM9jPcaRPiqz5ZiZ765h2muW	HdH8sSqFoA53u67Wgqweetf2FdFuDHEu7EMTnf2Q6FDU	BINANCE DOG MAUI	MAUI	138	97	1424	1193	1.16	83081.96	489875	2024-05-16 05:20:53	228.52	False	True	False	True	2	561792	0.0004898	688	688	30.88	-8.45	2024-05-16 11:09:24.118277
solana	raydium	ACdnE7C18PQZuy6nFJvRWM9jPcaRPiqz5ZiZ765h2muW	HdH8sSqFoA53u67Wgqweetf2FdFuDHEu7EMTnf2Q6FDU	BINANCE DOG MAUI	MAUI	95	105	1440	1226	0.79	85261.93	514607	2024-05-16 05:20:53	230.8	False	True	False	True	2	561792	0.0005146	727	727	29.41	3.26	2024-05-16 11:11:40.831232
solana	raydium	ACdnE7C18PQZuy6nFJvRWM9jPcaRPiqz5ZiZ765h2muW	HdH8sSqFoA53u67Wgqweetf2FdFuDHEu7EMTnf2Q6FDU	BINANCE DOG MAUI	MAUI	85	79	1472	1233	0.69	81971.45	475300	2024-05-16 05:20:53	233.08	False	True	False	True	2	561792	0.0004753	664	664	15.9	-2.98	2024-05-16 11:13:57.844024
solana	raydium	ACdnE7C18PQZuy6nFJvRWM9jPcaRPiqz5ZiZ765h2muW	HdH8sSqFoA53u67Wgqweetf2FdFuDHEu7EMTnf2Q6FDU	BINANCE DOG MAUI	MAUI	94	69	1479	1241	0.76	83098.77	487875	2024-05-16 05:20:53	235.36	False	True	False	True	2	561792	0.0004878	684	684	3.25	-9.54	2024-05-16 11:16:14.674417
solana	raydium	ACdnE7C18PQZuy6nFJvRWM9jPcaRPiqz5ZiZ765h2muW	HdH8sSqFoA53u67Wgqweetf2FdFuDHEu7EMTnf2Q6FDU	BINANCE DOG MAUI	MAUI	92	58	1426	1209	0.77	76670.09	415158	2024-05-16 05:20:53	237.63	False	True	False	True	2	561792	0.0004151	568	568	-12.33	-14.19	2024-05-16 11:18:30.588397
solana	raydium	ACdnE7C18PQZuy6nFJvRWM9jPcaRPiqz5ZiZ765h2muW	HdH8sSqFoA53u67Wgqweetf2FdFuDHEu7EMTnf2Q6FDU	BINANCE DOG MAUI	MAUI	141	86	1427	1196	1.19	75479.63	401765	2024-05-16 05:20:53	239.92	False	True	False	True	2	561792	0.0004017	546	546	-23.96	-19.9	2024-05-16 11:20:48.280487
