chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	GnGTWZ9cLAQsTAXQqFzRwNwo2zYqzJbFgMZ7CZkJwXjW	HxaoLyPHE6d49c6Q1C2wKfufDpEB3nM3YNWHt5C7LAuo	Department Of Treasury	DOT	30	12	655	347	0.55	73039.89	124017	2024-05-07 18:23:29	38.89	False	True	True	True	4	56963f	0.1240	75.59	75.59	75.59	5.87	2024-05-07 21:02:22.627575
solana	raydium	GnGTWZ9cLAQsTAXQqFzRwNwo2zYqzJbFgMZ7CZkJwXjW	HxaoLyPHE6d49c6Q1C2wKfufDpEB3nM3YNWHt5C7LAuo	Department Of Treasury	DOT	17	12	658	354	0.31	71636.95	119282	2024-05-07 18:23:29	41.28	False	True	True	True	4	56963f	0.1192	68.89	68.89	68.89	-3.26	2024-05-07 21:04:46.095797
solana	raydium	GnGTWZ9cLAQsTAXQqFzRwNwo2zYqzJbFgMZ7CZkJwXjW	HxaoLyPHE6d49c6Q1C2wKfufDpEB3nM3YNWHt5C7LAuo	Department Of Treasury	DOT	5	18	660	365	0.09	69648.79	113010	2024-05-07 18:23:29	43.67	False	True	True	True	4	56963f	0.1130	60	60	60	-8.88	2024-05-07 21:07:09.254785
solana	raydium	GnGTWZ9cLAQsTAXQqFzRwNwo2zYqzJbFgMZ7CZkJwXjW	HxaoLyPHE6d49c6Q1C2wKfufDpEB3nM3YNWHt5C7LAuo	Department Of Treasury	DOT	5	11	663	365	0.09	70118.82	114410	2024-05-07 18:23:29	46.05	False	True	True	True	4	56963f	0.1144	61.99	61.99	61.99	-4.08	2024-05-07 21:09:32.186764
solana	raydium	GnGTWZ9cLAQsTAXQqFzRwNwo2zYqzJbFgMZ7CZkJwXjW	HxaoLyPHE6d49c6Q1C2wKfufDpEB3nM3YNWHt5C7LAuo	Department Of Treasury	DOT	3	5	665	370	0.05	66006.63	101608	2024-05-07 18:23:29	48.52	False	True	True	True	4	56963f	0.1016	43.86	43.86	43.86	-10.66	2024-05-07 21:12:00.047328
solana	raydium	GnGTWZ9cLAQsTAXQqFzRwNwo2zYqzJbFgMZ7CZkJwXjW	HxaoLyPHE6d49c6Q1C2wKfufDpEB3nM3YNWHt5C7LAuo	Department Of Treasury	DOT	11	20	674	385	0.2	60040.01	84079	2024-05-07 18:23:29	50.95	False	True	True	True	4	56963f	0.08407	19.04	19.04	19.04	-26.51	2024-05-07 21:14:26.112703
solana	raydium	GnGTWZ9cLAQsTAXQqFzRwNwo2zYqzJbFgMZ7CZkJwXjW	HxaoLyPHE6d49c6Q1C2wKfufDpEB3nM3YNWHt5C7LAuo	Department Of Treasury	DOT	11	17	677	391	0.19	59063.89	81534	2024-05-07 18:23:29	53.36	False	True	True	True	4	56963f	0.08153	15.44	15.44	15.44	-9.76	2024-05-07 21:16:50.525373
solana	raydium	GnGTWZ9cLAQsTAXQqFzRwNwo2zYqzJbFgMZ7CZkJwXjW	HxaoLyPHE6d49c6Q1C2wKfufDpEB3nM3YNWHt5C7LAuo	Department Of Treasury	DOT	13	8	688	393	0.23	60241.6	84817	2024-05-07 18:23:29	55.81	False	True	True	True	4	56963f	0.08481	20.09	20.09	20.09	0.56	2024-05-07 21:19:17.663003
solana	raydium	GnGTWZ9cLAQsTAXQqFzRwNwo2zYqzJbFgMZ7CZkJwXjW	HxaoLyPHE6d49c6Q1C2wKfufDpEB3nM3YNWHt5C7LAuo	Department Of Treasury	DOT	14	4	694	396	0.24	62215.51	90361	2024-05-07 18:23:29	58.16	False	True	True	True	4	56963f	0.09036	27.94	27.94	27.94	9.56	2024-05-07 21:21:38.679179
solana	raydium	GnGTWZ9cLAQsTAXQqFzRwNwo2zYqzJbFgMZ7CZkJwXjW	HxaoLyPHE6d49c6Q1C2wKfufDpEB3nM3YNWHt5C7LAuo	Department Of Treasury	DOT	14	2	512	381	0.33	64468.34	96842	2024-05-07 18:23:29	60.57	False	True	True	True	4	56963f	0.09684	37.11	37.11	-37.35	14.04	2024-05-07 21:24:03.485509
