chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	B1fkw3H4nPCjsPcu9x2Kv7EjtxyywvTWvFtz66xBUdtq	Maga9JMZbDrizkgxSztAEfzdB5WbWMgJtHv2y7noQEM	Book of Trump	TrumpBible	3	0	44	29	0.82	7381.72	36162857	2024-05-09 06:41:30	84.04	False	True	True	True	3	211e32	0.03616	828381	828381	330966	263251	2024-05-09 10:05:32.627343
solana	raydium	B1fkw3H4nPCjsPcu9x2Kv7EjtxyywvTWvFtz66xBUdtq	Maga9JMZbDrizkgxSztAEfzdB5WbWMgJtHv2y7noQEM	Book of Trump	TrumpBible	3	0	45	29	0.8	148130.77	725967856	2024-05-09 06:41:30	86.3	False	True	True	True	3	211e32	0.7259	16631629	16631629	6565693	22011	2024-05-09 10:07:47.973578
solana	raydium	B1fkw3H4nPCjsPcu9x2Kv7EjtxyywvTWvFtz66xBUdtq	Maga9JMZbDrizkgxSztAEfzdB5WbWMgJtHv2y7noQEM	Book of Trump	TrumpBible	6	0	49	29	1.47	193547.14	948551779	2024-05-09 06:41:30	88.55	False	True	True	True	3	211e32	0.9485	21730967	21730967	8578784	2523	2024-05-09 10:10:03.198915
solana	raydium	B1fkw3H4nPCjsPcu9x2Kv7EjtxyywvTWvFtz66xBUdtq	Maga9JMZbDrizkgxSztAEfzdB5WbWMgJtHv2y7noQEM	Book of Trump	TrumpBible	9	0	51	29	2.12	530618.96	2600528909	2024-05-09 06:41:30	90.81	False	True	True	True	3	211e32	2.60	59577321	59577321	22613880	583	2024-05-09 10:12:18.433643
solana	raydium	B1fkw3H4nPCjsPcu9x2Kv7EjtxyywvTWvFtz66xBUdtq	Maga9JMZbDrizkgxSztAEfzdB5WbWMgJtHv2y7noQEM	Book of Trump	TrumpBible	4	0	46	24	1.04	986219.8	4833413810	2024-05-09 06:41:30	93.08	False	True	True	True	3	211e32	4.83	110732116	110732116	44539490	347	2024-05-09 10:14:35.014239
solana	raydium	B1fkw3H4nPCjsPcu9x2Kv7EjtxyywvTWvFtz66xBUdtq	Maga9JMZbDrizkgxSztAEfzdB5WbWMgJtHv2y7noQEM	Book of Trump	TrumpBible	6	1	47	22	1.53	222679.35	1091327612	2024-05-09 06:41:30	95.35	False	True	True	True	3	211e32	1.091	25001923	25001923	9061514	-58.03	2024-05-09 10:16:50.759253
solana	raydium	B1fkw3H4nPCjsPcu9x2Kv7EjtxyywvTWvFtz66xBUdtq	Maga9JMZbDrizkgxSztAEfzdB5WbWMgJtHv2y7noQEM	Book of Trump	TrumpBible	3	10	42	26	0.86	32745.72	160470631	2024-05-09 06:41:30	99.86	False	True	True	True	3	211e32	0.1604	3676239	3676239	1353217	-85.3	2024-05-09 10:21:21.610575
solana	raydium	B1fkw3H4nPCjsPcu9x2Kv7EjtxyywvTWvFtz66xBUdtq	Maga9JMZbDrizkgxSztAEfzdB5WbWMgJtHv2y7noQEM	Book of Trump	TrumpBible	1	1	39	21	0.31	32745.72	160470631	2024-05-09 06:41:30	102.17	False	True	True	True	3	211e32	0.1604	3676239	3676239	1259081	24796	2024-05-09 10:23:39.967306
solana	raydium	B1fkw3H4nPCjsPcu9x2Kv7EjtxyywvTWvFtz66xBUdtq	Maga9JMZbDrizkgxSztAEfzdB5WbWMgJtHv2y7noQEM	Book of Trump	TrumpBible	1	1	39	22	0.31	2668325.76	13077361163	2024-05-09 06:41:30	104.43	False	True	True	True	3	211e32	13.077	299598743	299598743	104885030	8049	2024-05-09 10:25:55.722878
solana	raydium	B1fkw3H4nPCjsPcu9x2Kv7EjtxyywvTWvFtz66xBUdtq	Maga9JMZbDrizkgxSztAEfzdB5WbWMgJtHv2y7noQEM	Book of Trump	TrumpBible	2	6	40	27	0.6	5172101.39	25348291408	2024-05-09 06:41:30	106.7	False	True	True	True	3	211e32	25.34	580722470	580722470	203302294	15696	2024-05-09 10:28:11.980359
solana	raydium	B1fkw3H4nPCjsPcu9x2Kv7EjtxyywvTWvFtz66xBUdtq	Maga9JMZbDrizkgxSztAEfzdB5WbWMgJtHv2y7noQEM	Book of Trump	TrumpBible	3	7	41	29	0.88	7840677.91	38426906070	2024-05-09 06:41:30	108.99	False	True	True	True	3	211e32	38.42	880350031	880350031	301042595	194	2024-05-09 10:30:29.515784
solana	raydium	B1fkw3H4nPCjsPcu9x2Kv7EjtxyywvTWvFtz66xBUdtq	Maga9JMZbDrizkgxSztAEfzdB5WbWMgJtHv2y7noQEM	Book of Trump	TrumpBible	2	1	41	30	0.59	3272789.7	16039820012	2024-05-09 06:41:30	111.3	False	True	True	True	3	211e32	16.039	367467882	367467882	125658485	39.64	2024-05-09 10:32:47.702971
solana	raydium	B1fkw3H4nPCjsPcu9x2Kv7EjtxyywvTWvFtz66xBUdtq	Maga9JMZbDrizkgxSztAEfzdB5WbWMgJtHv2y7noQEM	Book of Trump	TrumpBible	0	2	40	31		1160243.13	5686296374	2024-05-09 06:41:30	113.57	False	True	True	True	3	211e32	5.68	130271428	130271428	43415241	-85.2	2024-05-09 10:35:03.990487
solana	raydium	B1fkw3H4nPCjsPcu9x2Kv7EjtxyywvTWvFtz66xBUdtq	Maga9JMZbDrizkgxSztAEfzdB5WbWMgJtHv2y7noQEM	Book of Trump	TrumpBible	3	4	40	32	0.9	248989.61	1220269638	2024-05-09 06:41:30	115.86	False	True	True	True	3	211e32	1.22	27955951	27955951	9733806	-92.39	2024-05-09 10:37:21.417655
solana	raydium	B1fkw3H4nPCjsPcu9x2Kv7EjtxyywvTWvFtz66xBUdtq	Maga9JMZbDrizkgxSztAEfzdB5WbWMgJtHv2y7noQEM	Book of Trump	TrumpBible	4	4	38	29	1.26	256252.66	1255865867	2024-05-09 06:41:30	118.12	False	True	True	True	3	211e32	1.25	28771451	28771451	9384548	-99.67	2024-05-09 10:39:37.467070
solana	raydium	B1fkw3H4nPCjsPcu9x2Kv7EjtxyywvTWvFtz66xBUdtq	Maga9JMZbDrizkgxSztAEfzdB5WbWMgJtHv2y7noQEM	Book of Trump	TrumpBible	6	1	41	25	1.76	75576.05	370379918	2024-05-09 06:41:30	120.42	False	True	True	True	3	211e32	0.3703	8485205	8485205	2837053	-69.65	2024-05-09 10:41:55.162698
