chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	4bGNFfAmMzq8vhfRqo165hgNYjA94NhatsVeK7L6TU3a	Trmp8NP8D869jacUHbpPDqRQ936eTWb9J3zamshsynq	trempwifhat	trmpwifhat	14	7	68	9	2.47	13310.44	51462	2024-05-09 12:08:35	7.85	False	True	False	True	2	a80dc0	0.00005146	138	138	138	61.17	2024-05-09 14:16:26.209811
solana	raydium	4bGNFfAmMzq8vhfRqo165hgNYjA94NhatsVeK7L6TU3a	Trmp8NP8D869jacUHbpPDqRQ936eTWb9J3zamshsynq	trempwifhat	trmpwifhat	9	7	77	17	1.4	13448.72	52500	2024-05-09 12:08:35	12.43	False	True	False	True	2	a80dc0	0.00005250	143	143	143	3.52	2024-05-09 14:21:00.944278
solana	raydium	4bGNFfAmMzq8vhfRqo165hgNYjA94NhatsVeK7L6TU3a	Trmp8NP8D869jacUHbpPDqRQ936eTWb9J3zamshsynq	trempwifhat	trmpwifhat	7	10	80	23	1.05	13188.36	50472	2024-05-09 12:08:35	14.73	False	True	False	True	2	a80dc0	0.00005047	134	134	134	1.24	2024-05-09 14:23:18.639933
solana	raydium	4bGNFfAmMzq8vhfRqo165hgNYjA94NhatsVeK7L6TU3a	Trmp8NP8D869jacUHbpPDqRQ936eTWb9J3zamshsynq	trempwifhat	trmpwifhat	6	8	84	26	0.86	14137.99	57988	2024-05-09 12:08:35	17.0	False	True	False	True	2	a80dc0	0.00005798	169	169	169	6.95	2024-05-09 14:25:34.824169
solana	raydium	4bGNFfAmMzq8vhfRqo165hgNYjA94NhatsVeK7L6TU3a	Trmp8NP8D869jacUHbpPDqRQ936eTWb9J3zamshsynq	trempwifhat	trmpwifhat	8	8	92	34	1.04	13880.9	55852	2024-05-09 12:08:35	21.61	False	True	False	True	2	a80dc0	0.00005585	159	159	159	-3.68	2024-05-09 14:30:11.411512
solana	raydium	4bGNFfAmMzq8vhfRqo165hgNYjA94NhatsVeK7L6TU3a	Trmp8NP8D869jacUHbpPDqRQ936eTWb9J3zamshsynq	trempwifhat	trmpwifhat	10	7	95	37	1.26	13720.18	54377	2024-05-09 12:08:35	23.92	False	True	False	True	2	a80dc0	0.00005437	152	152	152	10.12	2024-05-09 14:32:30.076519
solana	raydium	4bGNFfAmMzq8vhfRqo165hgNYjA94NhatsVeK7L6TU3a	Trmp8NP8D869jacUHbpPDqRQ936eTWb9J3zamshsynq	trempwifhat	trmpwifhat	4	5	99	42	0.48	13173.53	50070	2024-05-09 12:08:35	28.45	False	True	False	True	2	a80dc0	0.00005006	132	132	132	-7.92	2024-05-09 14:37:01.951393
solana	raydium	4bGNFfAmMzq8vhfRqo165hgNYjA94NhatsVeK7L6TU3a	Trmp8NP8D869jacUHbpPDqRQ936eTWb9J3zamshsynq	trempwifhat	trmpwifhat	2	2	100	42	0.24	13173.91	50111	2024-05-09 12:08:35	30.72	False	True	False	True	2	a80dc0	0.00005011	132	132	132	1.25	2024-05-09 14:39:18.194122
solana	raydium	4bGNFfAmMzq8vhfRqo165hgNYjA94NhatsVeK7L6TU3a	Trmp8NP8D869jacUHbpPDqRQ936eTWb9J3zamshsynq	trempwifhat	trmpwifhat	1	0	100	42	0.12	13173.91	50111	2024-05-09 12:08:35	32.99	False	True	False	True	2	a80dc0	0.00005011	132	132	132	0.08	2024-05-09 14:41:34.659319
solana	raydium	4bGNFfAmMzq8vhfRqo165hgNYjA94NhatsVeK7L6TU3a	Trmp8NP8D869jacUHbpPDqRQ936eTWb9J3zamshsynq	trempwifhat	trmpwifhat	4	0	104	42	0.46	13933.91	55945	2024-05-09 12:08:35	35.36	False	True	False	True	2	a80dc0	0.00005594	159	159	159	11.64	2024-05-09 14:43:56.578895
