chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	Cujtq7Ef9EEmXomNZrRd8VmupJJcLStR5ag8eGA1GX66	US24aoVytbiqPcLpwLajPRCmuGWBRqNR1Gx9TSRX1wd	Trump Maga	TRUMPMAGA	141	135	1206	989	1.4	70473.93	394914	2024-05-09 09:23:30	31.73	False	True	True	True	3	0888d4	0.0003949	7354	7354	7354	10.92	2024-05-09 11:55:14.099167
solana	raydium	Cujtq7Ef9EEmXomNZrRd8VmupJJcLStR5ag8eGA1GX66	US24aoVytbiqPcLpwLajPRCmuGWBRqNR1Gx9TSRX1wd	Trump Maga	TRUMPMAGA	179	142	1304	1061	1.65	77181.35	471233	2024-05-09 09:23:30	34.03	False	True	True	True	3	0888d4	0.0004712	8795	8795	8795	26.9	2024-05-09 11:57:31.714959
solana	raydium	Cujtq7Ef9EEmXomNZrRd8VmupJJcLStR5ag8eGA1GX66	US24aoVytbiqPcLpwLajPRCmuGWBRqNR1Gx9TSRX1wd	Trump Maga	TRUMPMAGA	180	165	1405	1169	1.54	76478.92	458444	2024-05-09 09:23:30	36.29	False	True	True	True	3	0888d4	0.0004584	8553	8553	8553	10.95	2024-05-09 11:59:47.311271
solana	raydium	Cujtq7Ef9EEmXomNZrRd8VmupJJcLStR5ag8eGA1GX66	US24aoVytbiqPcLpwLajPRCmuGWBRqNR1Gx9TSRX1wd	Trump Maga	TRUMPMAGA	170	176	1481	1243	1.38	74798.87	436046	2024-05-09 09:23:30	38.57	False	True	True	True	3	0888d4	0.0004360	8131	8131	8131	-8.16	2024-05-09 12:02:04.227170
solana	raydium	Cujtq7Ef9EEmXomNZrRd8VmupJJcLStR5ag8eGA1GX66	US24aoVytbiqPcLpwLajPRCmuGWBRqNR1Gx9TSRX1wd	Trump Maga	TRUMPMAGA	158	162	1551	1314	1.22	71671.29	399146	2024-05-09 09:23:30	40.85	False	True	True	True	3	0888d4	0.0003991	7434	7434	7434	-16.83	2024-05-09 12:04:20.831565
solana	raydium	Cujtq7Ef9EEmXomNZrRd8VmupJJcLStR5ag8eGA1GX66	US24aoVytbiqPcLpwLajPRCmuGWBRqNR1Gx9TSRX1wd	Trump Maga	TRUMPMAGA	182	139	1678	1398	1.3	73266.9	414438	2024-05-09 09:23:30	43.1	False	True	True	True	3	0888d4	0.0004144	7723	7723	7723	-3.31	2024-05-09 12:06:36.088925
solana	raydium	Cujtq7Ef9EEmXomNZrRd8VmupJJcLStR5ag8eGA1GX66	US24aoVytbiqPcLpwLajPRCmuGWBRqNR1Gx9TSRX1wd	Trump Maga	TRUMPMAGA	194	163	1758	1486	1.32	71398.85	392060	2024-05-09 09:23:30	45.37	False	True	True	True	3	0888d4	0.0003920	7300	7300	7300	-1.45	2024-05-09 12:08:52.274042
solana	raydium	Cujtq7Ef9EEmXomNZrRd8VmupJJcLStR5ag8eGA1GX66	US24aoVytbiqPcLpwLajPRCmuGWBRqNR1Gx9TSRX1wd	Trump Maga	TRUMPMAGA	165	170	1832	1562	1.08	75592.36	437077	2024-05-09 09:23:30	47.65	False	True	True	True	3	0888d4	0.0004370	8150	8150	8150	5.58	2024-05-09 12:11:08.763092
solana	raydium	Cujtq7Ef9EEmXomNZrRd8VmupJJcLStR5ag8eGA1GX66	US24aoVytbiqPcLpwLajPRCmuGWBRqNR1Gx9TSRX1wd	Trump Maga	TRUMPMAGA	136	135	1914	1645	0.85	75911.95	438978	2024-05-09 09:23:30	49.91	False	True	True	True	3	0888d4	0.0004389	8186	8186	8186	15.91	2024-05-09 12:13:24.888720
solana	raydium	Cujtq7Ef9EEmXomNZrRd8VmupJJcLStR5ag8eGA1GX66	US24aoVytbiqPcLpwLajPRCmuGWBRqNR1Gx9TSRX1wd	Trump Maga	TRUMPMAGA	149	145	1993	1714	0.9	81107.92	497548	2024-05-09 09:23:30	52.19	False	True	True	True	3	0888d4	0.0004975	9291	9291	9291	9.49	2024-05-09 12:15:41.603494
solana	raydium	Cujtq7Ef9EEmXomNZrRd8VmupJJcLStR5ag8eGA1GX66	US24aoVytbiqPcLpwLajPRCmuGWBRqNR1Gx9TSRX1wd	Trump Maga	TRUMPMAGA	171	159	2089	1806	0.98	83211.7	522352	2024-05-09 09:23:30	54.47	False	True	True	True	3	0888d4	0.0005223	9760	9760	9760	18.63	2024-05-09 12:17:57.994992
solana	raydium	Cujtq7Ef9EEmXomNZrRd8VmupJJcLStR5ag8eGA1GX66	US24aoVytbiqPcLpwLajPRCmuGWBRqNR1Gx9TSRX1wd	Trump Maga	TRUMPMAGA	180	184	2171	1895	0.99	84747.29	539230	2024-05-09 09:23:30	56.72	False	True	True	True	3	0888d4	0.0005392	10078	10078	10078	7.13	2024-05-09 12:20:13.494971
solana	raydium	Cujtq7Ef9EEmXomNZrRd8VmupJJcLStR5ag8eGA1GX66	US24aoVytbiqPcLpwLajPRCmuGWBRqNR1Gx9TSRX1wd	Trump Maga	TRUMPMAGA	166	195	2240	1985	0.89	91183.17	621495	2024-05-09 09:23:30	59.0	False	True	True	True	3	0888d4	0.0006214	11631	11631	11631	18.69	2024-05-09 12:22:30.282232
solana	raydium	Cujtq7Ef9EEmXomNZrRd8VmupJJcLStR5ag8eGA1GX66	US24aoVytbiqPcLpwLajPRCmuGWBRqNR1Gx9TSRX1wd	Trump Maga	TRUMPMAGA	179	204	2283	2055	0.94	90482.27	607254	2024-05-09 09:23:30	61.27	False	True	True	True	3	0888d4	0.0006072	11362	11362	106	11.25	2024-05-09 12:24:46.217658
solana	raydium	Cujtq7Ef9EEmXomNZrRd8VmupJJcLStR5ag8eGA1GX66	US24aoVytbiqPcLpwLajPRCmuGWBRqNR1Gx9TSRX1wd	Trump Maga	TRUMPMAGA	195	190	2267	2061	1.03	95069.06	667756	2024-05-09 09:23:30	63.53	False	True	True	True	3	0888d4	0.0006677	12504	12504	104	8.72	2024-05-09 12:27:01.734706
solana	raydium	Cujtq7Ef9EEmXomNZrRd8VmupJJcLStR5ag8eGA1GX66	US24aoVytbiqPcLpwLajPRCmuGWBRqNR1Gx9TSRX1wd	Trump Maga	TRUMPMAGA	195	187	2252	2082	1.04	98539.58	712262	2024-05-09 09:23:30	65.8	False	True	True	True	3	0888d4	0.0007122	13344	13344	117	13.11	2024-05-09 12:29:18.076606
solana	raydium	Cujtq7Ef9EEmXomNZrRd8VmupJJcLStR5ag8eGA1GX66	US24aoVytbiqPcLpwLajPRCmuGWBRqNR1Gx9TSRX1wd	Trump Maga	TRUMPMAGA	162	164	2179	2081	0.89	97657.53	692909	2024-05-09 09:23:30	68.08	False	True	True	True	3	0888d4	0.0006929	12979	12979	69.86	0.5	2024-05-09 12:31:34.955253
solana	raydium	Cujtq7Ef9EEmXomNZrRd8VmupJJcLStR5ag8eGA1GX66	US24aoVytbiqPcLpwLajPRCmuGWBRqNR1Gx9TSRX1wd	Trump Maga	TRUMPMAGA	164	169	2156	2079	0.91	87619.1	554571	2024-05-09 09:23:30	70.37	False	True	True	True	3	0888d4	0.0005545	10368	10368	33.12	-22.19	2024-05-09 12:33:52.041344
solana	raydium	Cujtq7Ef9EEmXomNZrRd8VmupJJcLStR5ag8eGA1GX66	US24aoVytbiqPcLpwLajPRCmuGWBRqNR1Gx9TSRX1wd	Trump Maga	TRUMPMAGA	200	188	2201	2121	1.09	87072.1	544103	2024-05-09 09:23:30	72.66	False	True	True	True	3	0888d4	0.0005441	10170	10170	29.59	-19.41	2024-05-09 12:36:09.545436
solana	raydium	Cujtq7Ef9EEmXomNZrRd8VmupJJcLStR5ag8eGA1GX66	US24aoVytbiqPcLpwLajPRCmuGWBRqNR1Gx9TSRX1wd	Trump Maga	TRUMPMAGA	206	213	2222	2166	1.11	79556.94	452482	2024-05-09 09:23:30	74.92	False	True	True	True	3	0888d4	0.0004524	8441	8441	9.3	-13.91	2024-05-09 12:38:25.389842
solana	raydium	Cujtq7Ef9EEmXomNZrRd8VmupJJcLStR5ag8eGA1GX66	US24aoVytbiqPcLpwLajPRCmuGWBRqNR1Gx9TSRX1wd	Trump Maga	TRUMPMAGA	186	200	2232	2169	1.0	72133.08	369751	2024-05-09 09:23:30	77.17	False	True	True	True	3	0888d4	0.0003697	6879	6879	4.3	-30.62	2024-05-09 12:40:40.005026
solana	raydium	Cujtq7Ef9EEmXomNZrRd8VmupJJcLStR5ag8eGA1GX66	US24aoVytbiqPcLpwLajPRCmuGWBRqNR1Gx9TSRX1wd	Trump Maga	TRUMPMAGA	229	210	2305	2226	1.19	74200.94	388871	2024-05-09 09:23:30	79.44	False	True	True	True	3	0888d4	0.0003888	7240	7240	9.75	-5.77	2024-05-09 12:42:56.644945
