chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	FMPRzRB9oPVRKfhdjK7S2Z2Syac8DgtBLk1t8nfQ2MD4	db5x9eQ69btPqsihtCFy9xnWmMhoiRvqwLeaybuBk2g	DevCat	DevCat	104	78	427	234	2.92	1620635.54	842820	2024-05-07 17:41:13	14.52	False	True	True	True	2	93d6b9	0.008428	7.58	7.58	7.58	1.37	2024-05-07 19:55:44.343912
solana	raydium	FMPRzRB9oPVRKfhdjK7S2Z2Syac8DgtBLk1t8nfQ2MD4	db5x9eQ69btPqsihtCFy9xnWmMhoiRvqwLeaybuBk2g	DevCat	DevCat	112	96	486	292	2.77	1619617.18	844884	2024-05-07 17:41:13	16.92	False	True	True	True	2	93d6b9	0.008448	7.85	7.85	7.85	0.35	2024-05-07 19:58:08.403723
solana	raydium	FMPRzRB9oPVRKfhdjK7S2Z2Syac8DgtBLk1t8nfQ2MD4	db5x9eQ69btPqsihtCFy9xnWmMhoiRvqwLeaybuBk2g	DevCat	DevCat	132	102	550	333	2.88	1629533.74	854818	2024-05-07 17:41:13	19.31	False	True	True	True	2	93d6b9	0.008548	9.11	9.11	9.11	1.99	2024-05-07 20:00:31.322708
solana	raydium	FMPRzRB9oPVRKfhdjK7S2Z2Syac8DgtBLk1t8nfQ2MD4	db5x9eQ69btPqsihtCFy9xnWmMhoiRvqwLeaybuBk2g	DevCat	DevCat	119	88	615	385	2.32	1633964.17	860520	2024-05-07 17:41:13	21.68	False	True	True	True	2	93d6b9	0.008605	9.84	9.84	9.84	1.18	2024-05-07 20:02:53.596720
solana	raydium	FMPRzRB9oPVRKfhdjK7S2Z2Syac8DgtBLk1t8nfQ2MD4	db5x9eQ69btPqsihtCFy9xnWmMhoiRvqwLeaybuBk2g	DevCat	DevCat	122	79	679	417	2.16	1639697.37	866341	2024-05-07 17:41:13	24.08	False	True	True	True	2	93d6b9	0.008663	10.59	10.59	10.59	1.86	2024-05-07 20:05:17.845860
solana	raydium	FMPRzRB9oPVRKfhdjK7S2Z2Syac8DgtBLk1t8nfQ2MD4	db5x9eQ69btPqsihtCFy9xnWmMhoiRvqwLeaybuBk2g	DevCat	DevCat	105	61	753	462	1.67	1650728.43	878429	2024-05-07 17:41:13	26.44	False	True	True	True	2	93d6b9	0.008784	12.13	12.13	12.13	1.78	2024-05-07 20:07:39.401503
solana	raydium	FMPRzRB9oPVRKfhdjK7S2Z2Syac8DgtBLk1t8nfQ2MD4	db5x9eQ69btPqsihtCFy9xnWmMhoiRvqwLeaybuBk2g	DevCat	DevCat	128	86	815	510	1.88	1655198.04	883916	2024-05-07 17:41:13	28.84	False	True	True	True	2	93d6b9	0.008839	12.83	12.83	12.83	2.35	2024-05-07 20:10:03.581661
solana	raydium	FMPRzRB9oPVRKfhdjK7S2Z2Syac8DgtBLk1t8nfQ2MD4	db5x9eQ69btPqsihtCFy9xnWmMhoiRvqwLeaybuBk2g	DevCat	DevCat	132	99	884	561	1.79	1651566.68	879616	2024-05-07 17:41:13	31.23	False	True	True	True	2	93d6b9	0.008796	12.28	12.28	12.28	0.35	2024-05-07 20:12:26.542204
solana	raydium	FMPRzRB9oPVRKfhdjK7S2Z2Syac8DgtBLk1t8nfQ2MD4	db5x9eQ69btPqsihtCFy9xnWmMhoiRvqwLeaybuBk2g	DevCat	DevCat	115	100	950	623	1.45	1652855.25	880842	2024-05-07 17:41:13	33.55	False	True	True	True	2	93d6b9	0.008808	12.44	12.44	12.44	-0.01	2024-05-07 20:14:45.787056
solana	raydium	FMPRzRB9oPVRKfhdjK7S2Z2Syac8DgtBLk1t8nfQ2MD4	db5x9eQ69btPqsihtCFy9xnWmMhoiRvqwLeaybuBk2g	DevCat	DevCat	116	110	1005	673	1.39	1655598.33	884557	2024-05-07 17:41:13	35.97	False	True	True	True	2	93d6b9	0.008845	12.91	12.91	12.91	0.51	2024-05-07 20:17:11.247945
solana	raydium	FMPRzRB9oPVRKfhdjK7S2Z2Syac8DgtBLk1t8nfQ2MD4	db5x9eQ69btPqsihtCFy9xnWmMhoiRvqwLeaybuBk2g	DevCat	DevCat	90	88	1063	725	1.02	1693694.92	928374	2024-05-07 17:41:13	38.33	False	True	True	True	2	93d6b9	0.009283	18.5	18.5	18.5	5.81	2024-05-07 20:19:32.692653
solana	raydium	FMPRzRB9oPVRKfhdjK7S2Z2Syac8DgtBLk1t8nfQ2MD4	db5x9eQ69btPqsihtCFy9xnWmMhoiRvqwLeaybuBk2g	DevCat	DevCat	136	92	1147	774	1.42	1696199.4	932091	2024-05-07 17:41:13	40.7	False	True	True	True	2	93d6b9	0.009320	18.98	18.98	18.98	5.3	2024-05-07 20:21:54.769414
solana	raydium	FMPRzRB9oPVRKfhdjK7S2Z2Syac8DgtBLk1t8nfQ2MD4	db5x9eQ69btPqsihtCFy9xnWmMhoiRvqwLeaybuBk2g	DevCat	DevCat	169	88	1229	811	1.65	1696881.26	931086	2024-05-07 17:41:13	43.0	False	True	True	True	2	93d6b9	0.009310	18.85	18.85	18.85	1.02	2024-05-07 20:24:12.893915
solana	raydium	FMPRzRB9oPVRKfhdjK7S2Z2Syac8DgtBLk1t8nfQ2MD4	db5x9eQ69btPqsihtCFy9xnWmMhoiRvqwLeaybuBk2g	DevCat	DevCat	155	79	1323	862	1.41	1712971.91	948766	2024-05-07 17:41:13	45.4	False	True	True	True	2	93d6b9	0.009487	21.11	21.11	21.11	2.31	2024-05-07 20:26:36.732768
solana	raydium	FMPRzRB9oPVRKfhdjK7S2Z2Syac8DgtBLk1t8nfQ2MD4	db5x9eQ69btPqsihtCFy9xnWmMhoiRvqwLeaybuBk2g	DevCat	DevCat	181	90	1426	909	1.52	1716959.78	954363	2024-05-07 17:41:13	47.88	False	True	True	True	2	93d6b9	0.009543	21.82	21.82	21.82	2.27	2024-05-07 20:29:05.535249
solana	raydium	FMPRzRB9oPVRKfhdjK7S2Z2Syac8DgtBLk1t8nfQ2MD4	db5x9eQ69btPqsihtCFy9xnWmMhoiRvqwLeaybuBk2g	DevCat	DevCat	200	105	1526	967	1.57	1709204.77	948620	2024-05-07 17:41:13	50.29	False	True	True	True	2	93d6b9	0.009486	21.09	21.09	21.09	-0.52	2024-05-07 20:31:30.417366
solana	raydium	FMPRzRB9oPVRKfhdjK7S2Z2Syac8DgtBLk1t8nfQ2MD4	db5x9eQ69btPqsihtCFy9xnWmMhoiRvqwLeaybuBk2g	DevCat	DevCat	170	99	1608	1015	1.27	1720395.78	963963	2024-05-07 17:41:13	52.61	False	True	True	True	2	93d6b9	0.009639	23.05	23.05	23.05	0.35	2024-05-07 20:33:49.373354
solana	raydium	FMPRzRB9oPVRKfhdjK7S2Z2Syac8DgtBLk1t8nfQ2MD4	db5x9eQ69btPqsihtCFy9xnWmMhoiRvqwLeaybuBk2g	DevCat	DevCat	165	86	1696	1054	1.17	1748648.46	993768	2024-05-07 17:41:13	55.06	False	True	True	True	2	93d6b9	0.009937	26.85	26.85	26.85	4.36	2024-05-07 20:36:16.464045
solana	raydium	FMPRzRB9oPVRKfhdjK7S2Z2Syac8DgtBLk1t8nfQ2MD4	db5x9eQ69btPqsihtCFy9xnWmMhoiRvqwLeaybuBk2g	DevCat	DevCat	166	75	1806	1100	1.1	1741932.9	989343	2024-05-07 17:41:13	57.4	False	True	True	True	2	93d6b9	0.009893	26.29	26.29	26.29	1.48	2024-05-07 20:38:36.847065
solana	raydium	FMPRzRB9oPVRKfhdjK7S2Z2Syac8DgtBLk1t8nfQ2MD4	db5x9eQ69btPqsihtCFy9xnWmMhoiRvqwLeaybuBk2g	DevCat	DevCat	194	87	1907	1151	1.22	1736045.16	982892	2024-05-07 17:41:13	59.77	False	True	True	True	2	93d6b9	0.009828	25.46	25.46	25.46	-0.79	2024-05-07 20:40:59.392059
solana	raydium	FMPRzRB9oPVRKfhdjK7S2Z2Syac8DgtBLk1t8nfQ2MD4	db5x9eQ69btPqsihtCFy9xnWmMhoiRvqwLeaybuBk2g	DevCat	DevCat	182	100	1933	1191	1.13	1753153.13	1000834	2024-05-07 17:41:13	62.13	False	True	True	True	2	93d6b9	0.01000	27.75	27.75	26.3	1.16	2024-05-07 20:43:20.908436
solana	raydium	FMPRzRB9oPVRKfhdjK7S2Z2Syac8DgtBLk1t8nfQ2MD4	db5x9eQ69btPqsihtCFy9xnWmMhoiRvqwLeaybuBk2g	DevCat	DevCat	134	75	1889	1187	0.85	1781232.74	1030550	2024-05-07 17:41:13	64.46	False	True	True	True	2	93d6b9	0.01030	31.55	31.55	25.65	4.06	2024-05-07 20:45:40.840802
solana	raydium	FMPRzRB9oPVRKfhdjK7S2Z2Syac8DgtBLk1t8nfQ2MD4	db5x9eQ69btPqsihtCFy9xnWmMhoiRvqwLeaybuBk2g	DevCat	DevCat	181	83	1940	1192	1.12	1751712.53	995909	2024-05-07 17:41:13	66.84	False	True	True	True	2	93d6b9	0.009959	27.12	27.12	20.72	-1.39	2024-05-07 20:48:03.203261
solana	raydium	FMPRzRB9oPVRKfhdjK7S2Z2Syac8DgtBLk1t8nfQ2MD4	db5x9eQ69btPqsihtCFy9xnWmMhoiRvqwLeaybuBk2g	DevCat	DevCat	146	80	1931	1180	0.91	1782190.52	1029842	2024-05-07 17:41:13	69.27	False	True	True	True	2	93d6b9	0.01029	31.46	31.46	23.87	2.8	2024-05-07 20:50:29.456638
solana	raydium	FMPRzRB9oPVRKfhdjK7S2Z2Syac8DgtBLk1t8nfQ2MD4	db5x9eQ69btPqsihtCFy9xnWmMhoiRvqwLeaybuBk2g	DevCat	DevCat	143	84	1966	1184	0.87	1804634.67	1055663	2024-05-07 17:41:13	71.66	False	True	True	True	2	93d6b9	0.01055	34.75	34.75	25.38	4.36	2024-05-07 20:52:52.527707
solana	raydium	FMPRzRB9oPVRKfhdjK7S2Z2Syac8DgtBLk1t8nfQ2MD4	db5x9eQ69btPqsihtCFy9xnWmMhoiRvqwLeaybuBk2g	DevCat	DevCat	177	90	2018	1196	1.05	1784823.83	1032114	2024-05-07 17:41:13	74.0	False	True	True	True	2	93d6b9	0.01032	31.75	31.75	23.14	0.2	2024-05-07 20:55:12.950444
solana	raydium	FMPRzRB9oPVRKfhdjK7S2Z2Syac8DgtBLk1t8nfQ2MD4	db5x9eQ69btPqsihtCFy9xnWmMhoiRvqwLeaybuBk2g	DevCat	DevCat	155	77	2029	1178	0.92	1792056.76	1040795	2024-05-07 17:41:13	76.42	False	True	True	True	2	93d6b9	0.01040	32.85	32.85	22.38	-1.95	2024-05-07 20:57:38.001647
solana	raydium	FMPRzRB9oPVRKfhdjK7S2Z2Syac8DgtBLk1t8nfQ2MD4	db5x9eQ69btPqsihtCFy9xnWmMhoiRvqwLeaybuBk2g	DevCat	DevCat	159	79	2057	1174	0.93	1795492.25	1044171	2024-05-07 17:41:13	78.82	False	True	True	True	2	93d6b9	0.01044	33.28	33.28	22.76	1.12	2024-05-07 21:00:02.309653
