chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	Gt6CuFCXUtY6hi5QHC3eYhVgvSBhtojqV48LpVKBZWAA	242bqTMa2HxZehVkbbiS32QEcCoEgZv9m4hVwBTk43N7	babyhaerin	babyhaerin	82	38	222	56	4.43	33508.91	115875	2024-05-11 11:31:08	7.13	False	True	True	True	3	a5d896	0.0001182	111	111	111	46.72	2024-05-11 13:38:15.523419
solana	raydium	Gt6CuFCXUtY6hi5QHC3eYhVgvSBhtojqV48LpVKBZWAA	242bqTMa2HxZehVkbbiS32QEcCoEgZv9m4hVwBTk43N7	babyhaerin	babyhaerin	66	48	245	79	3.23	30007.92	92861	2024-05-11 11:31:08	9.41	False	True	True	True	3	a5d896	0.00009473	69.09	69.09	69.09	5.98	2024-05-11 13:40:32.743024
solana	raydium	Gt6CuFCXUtY6hi5QHC3eYhVgvSBhtojqV48LpVKBZWAA	242bqTMa2HxZehVkbbiS32QEcCoEgZv9m4hVwBTk43N7	babyhaerin	babyhaerin	59	46	284	103	2.49	31687.02	103358	2024-05-11 11:31:08	11.68	False	True	True	True	3	a5d896	0.0001054	88.2	88.2	88.2	-12.25	2024-05-11 13:42:48.771609
solana	raydium	Gt6CuFCXUtY6hi5QHC3eYhVgvSBhtojqV48LpVKBZWAA	242bqTMa2HxZehVkbbiS32QEcCoEgZv9m4hVwBTk43N7	babyhaerin	babyhaerin	74	35	319	116	2.78	34746.93	124402	2024-05-11 11:31:08	13.95	False	True	True	True	3	a5d896	0.0001269	127	127	127	34.64	2024-05-11 13:45:05.172365
solana	raydium	Gt6CuFCXUtY6hi5QHC3eYhVgvSBhtojqV48LpVKBZWAA	242bqTMa2HxZehVkbbiS32QEcCoEgZv9m4hVwBTk43N7	babyhaerin	babyhaerin	87	33	357	132	2.92	38652.53	153948	2024-05-11 11:31:08	16.22	False	True	True	True	3	a5d896	0.0001570	180	180	180	52.57	2024-05-11 13:47:21.359430
solana	raydium	Gt6CuFCXUtY6hi5QHC3eYhVgvSBhtojqV48LpVKBZWAA	242bqTMa2HxZehVkbbiS32QEcCoEgZv9m4hVwBTk43N7	babyhaerin	babyhaerin	60	33	387	155	1.86	38393.04	151734	2024-05-11 11:31:08	18.49	False	True	True	True	3	a5d896	0.0001547	176	176	176	17.15	2024-05-11 13:49:37.470505
solana	raydium	Gt6CuFCXUtY6hi5QHC3eYhVgvSBhtojqV48LpVKBZWAA	242bqTMa2HxZehVkbbiS32QEcCoEgZv9m4hVwBTk43N7	babyhaerin	babyhaerin	55	39	415	172	1.59	40319.04	167488	2024-05-11 11:31:08	20.82	False	True	True	True	3	a5d896	0.0001708	205	205	205	8.22	2024-05-11 13:51:57.012230
solana	raydium	Gt6CuFCXUtY6hi5QHC3eYhVgvSBhtojqV48LpVKBZWAA	242bqTMa2HxZehVkbbiS32QEcCoEgZv9m4hVwBTk43N7	babyhaerin	babyhaerin	74	48	458	202	1.94	37355.79	143300	2024-05-11 11:31:08	23.12	False	True	True	True	3	a5d896	0.0001461	161	161	161	-4.62	2024-05-11 13:54:15.047211
solana	raydium	Gt6CuFCXUtY6hi5QHC3eYhVgvSBhtojqV48LpVKBZWAA	242bqTMa2HxZehVkbbiS32QEcCoEgZv9m4hVwBTk43N7	babyhaerin	babyhaerin	41	39	467	220	1.05	34327.61	121191	2024-05-11 11:31:08	25.39	False	True	True	True	3	a5d896	0.0001236	121	121	121	-20.97	2024-05-11 13:56:31.479842
solana	raydium	Gt6CuFCXUtY6hi5QHC3eYhVgvSBhtojqV48LpVKBZWAA	242bqTMa2HxZehVkbbiS32QEcCoEgZv9m4hVwBTk43N7	babyhaerin	babyhaerin	33	31	493	234	0.8	35846.1	131957	2024-05-11 11:31:08	27.69	False	True	True	True	3	a5d896	0.0001346	140	140	140	-8.73	2024-05-11 13:58:49.204810
