chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	6DMKG9HqrRqNry2qDtKsqt33rj2y9kgqwpxCUBb5MLm2	2MScgeA6hG7LRL3WxKpXBAQXsnK9FvJzUif24JVSobZd	BOOK OF WIF	WIF2.0	1553	1514	2664	2419	7.0	101425.76	1149308	2024-05-09 14:49:53	8.74	False	True	True	True	3	665770	0.01149	50291	50291	50291	6.03	2024-05-09 16:58:37.685380
solana	raydium	6DMKG9HqrRqNry2qDtKsqt33rj2y9kgqwpxCUBb5MLm2	2MScgeA6hG7LRL3WxKpXBAQXsnK9FvJzUif24JVSobZd	BOOK OF WIF	WIF2.0	1571	1538	3468	3199	5.44	101692.82	1141175	2024-05-09 14:49:53	11.0	False	True	True	True	3	665770	0.01141	49934	49934	49934	0.81	2024-05-09 17:00:53.260322
solana	raydium	6DMKG9HqrRqNry2qDtKsqt33rj2y9kgqwpxCUBb5MLm2	2MScgeA6hG7LRL3WxKpXBAQXsnK9FvJzUif24JVSobZd	BOOK OF WIF	WIF2.0	1698	1657	4356	4070	4.68	102068.93	1143760	2024-05-09 14:49:53	13.28	False	True	True	True	3	665770	0.01143	50047	50047	50047	-0.75	2024-05-09 17:03:09.865916
solana	raydium	6DMKG9HqrRqNry2qDtKsqt33rj2y9kgqwpxCUBb5MLm2	2MScgeA6hG7LRL3WxKpXBAQXsnK9FvJzUif24JVSobZd	BOOK OF WIF	WIF2.0	1869	1833	5185	4883	4.33	100423.37	1096178	2024-05-09 14:49:53	15.54	False	True	True	True	3	665770	0.01096	47961	47961	47961	-5.85	2024-05-09 17:05:25.614807
solana	raydium	6DMKG9HqrRqNry2qDtKsqt33rj2y9kgqwpxCUBb5MLm2	2MScgeA6hG7LRL3WxKpXBAQXsnK9FvJzUif24JVSobZd	BOOK OF WIF	WIF2.0	1673	1658	6115	5807	3.28	99589.47	1064561	2024-05-09 14:49:53	17.85	False	True	True	True	3	665770	0.01064	46575	46575	46575	-7.74	2024-05-09 17:07:43.795915
solana	raydium	6DMKG9HqrRqNry2qDtKsqt33rj2y9kgqwpxCUBb5MLm2	2MScgeA6hG7LRL3WxKpXBAQXsnK9FvJzUif24JVSobZd	BOOK OF WIF	WIF2.0	1528	1518	6782	6470	2.7	98522.5	1027796	2024-05-09 14:49:53	20.1	False	True	True	True	3	665770	0.01027	44963	44963	44963	-6.08	2024-05-09 17:09:59.258354
solana	raydium	6DMKG9HqrRqNry2qDtKsqt33rj2y9kgqwpxCUBb5MLm2	2MScgeA6hG7LRL3WxKpXBAQXsnK9FvJzUif24JVSobZd	BOOK OF WIF	WIF2.0	1155	1149	7179	6863	1.93	102660.7	1098760	2024-05-09 14:49:53	22.4	False	True	True	True	3	665770	0.01098	48074	48074	48074	0.36	2024-05-09 17:12:16.920045
solana	raydium	6DMKG9HqrRqNry2qDtKsqt33rj2y9kgqwpxCUBb5MLm2	2MScgeA6hG7LRL3WxKpXBAQXsnK9FvJzUif24JVSobZd	BOOK OF WIF	WIF2.0	1416	1394	8101	7767	2.1	102319.36	1087875	2024-05-09 14:49:53	24.67	False	True	True	True	3	665770	0.01087	47597	47597	47597	3.49	2024-05-09 17:14:33.444645
solana	raydium	6DMKG9HqrRqNry2qDtKsqt33rj2y9kgqwpxCUBb5MLm2	2MScgeA6hG7LRL3WxKpXBAQXsnK9FvJzUif24JVSobZd	BOOK OF WIF	WIF2.0	1821	1796	9112	8762	2.4	105468.72	1147018	2024-05-09 14:49:53	26.96	False	True	True	True	3	665770	0.01147	50190	50190	50190	3.01	2024-05-09 17:16:50.656222
solana	raydium	6DMKG9HqrRqNry2qDtKsqt33rj2y9kgqwpxCUBb5MLm2	2MScgeA6hG7LRL3WxKpXBAQXsnK9FvJzUif24JVSobZd	BOOK OF WIF	WIF2.0	1431	1391	9579	9203	1.79	107858.09	1193401	2024-05-09 14:49:53	29.23	False	True	True	True	3	665770	0.01193	52224	52224	52224	9.77	2024-05-09 17:19:06.800728
