chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	CHi6BUfrA8UAG6od8Vogo36C9c4Dq8SsixJzE6NMcHxa	2PaCt7G3L1Q2UoiSfRKDbREvM9RTticm4iEMXtJUoyPQ	Thug Cat	Thug	664	396	4970	2339	1.6	2068181.56	15142333	2024-05-07 18:42:08	41.9	False	True	True	True	3	93bf7b	0.01514	14902	14902	14902	-0.28	2024-05-07 21:24:02.129065
solana	raydium	CHi6BUfrA8UAG6od8Vogo36C9c4Dq8SsixJzE6NMcHxa	2PaCt7G3L1Q2UoiSfRKDbREvM9RTticm4iEMXtJUoyPQ	Thug Cat	Thug	651	298	5292	2481	1.48	1881767.87	12513479	2024-05-07 18:42:08	44.32	False	True	True	True	3	93bf7b	0.01251	12297	12297	12297	-12.25	2024-05-07 21:26:27.247910
solana	raydium	CHi6BUfrA8UAG6od8Vogo36C9c4Dq8SsixJzE6NMcHxa	2PaCt7G3L1Q2UoiSfRKDbREvM9RTticm4iEMXtJUoyPQ	Thug Cat	Thug	548	261	5610	2645	1.17	1980997.46	13853782	2024-05-07 18:42:08	46.72	False	True	True	True	3	93bf7b	0.01385	13625	13625	13625	-7.68	2024-05-07 21:28:51.366052
solana	raydium	CHi6BUfrA8UAG6od8Vogo36C9c4Dq8SsixJzE6NMcHxa	2PaCt7G3L1Q2UoiSfRKDbREvM9RTticm4iEMXtJUoyPQ	Thug Cat	Thug	545	259	5860	2744	1.12	1889209.38	12580756	2024-05-07 18:42:08	49.14	False	True	True	True	3	93bf7b	0.01258	12364	12364	12364	-5.69	2024-05-07 21:31:16.126490
solana	raydium	CHi6BUfrA8UAG6od8Vogo36C9c4Dq8SsixJzE6NMcHxa	2PaCt7G3L1Q2UoiSfRKDbREvM9RTticm4iEMXtJUoyPQ	Thug Cat	Thug	343	187	6053	2866	0.68	1679428.68	9948378	2024-05-07 18:42:08	51.51	False	True	True	True	3	93bf7b	0.009948	9756	9756	9756	-23.18	2024-05-07 21:33:38.447886
solana	raydium	CHi6BUfrA8UAG6od8Vogo36C9c4Dq8SsixJzE6NMcHxa	2PaCt7G3L1Q2UoiSfRKDbREvM9RTticm4iEMXtJUoyPQ	Thug Cat	Thug	517	248	6392	3000	0.97	1701683.38	10192979	2024-05-07 18:42:08	54.17	False	True	True	True	3	93bf7b	0.01019	9998	9998	9998	-18.33	2024-05-07 21:36:18.466745
solana	raydium	CHi6BUfrA8UAG6od8Vogo36C9c4Dq8SsixJzE6NMcHxa	2PaCt7G3L1Q2UoiSfRKDbREvM9RTticm4iEMXtJUoyPQ	Thug Cat	Thug	362	200	6615	3131	0.66	1698197.54	10160372	2024-05-07 18:42:08	56.54	False	True	True	True	3	93bf7b	0.01016	9966	9966	9966	-0.24	2024-05-07 21:38:40.128508
solana	raydium	CHi6BUfrA8UAG6od8Vogo36C9c4Dq8SsixJzE6NMcHxa	2PaCt7G3L1Q2UoiSfRKDbREvM9RTticm4iEMXtJUoyPQ	Thug Cat	Thug	299	220	6712	3239	0.53	1550730.63	8455422	2024-05-07 18:42:08	58.87	False	True	True	True	3	93bf7b	0.008455	8277	8277	8277	-16.55	2024-05-07 21:41:00.109784
solana	raydium	CHi6BUfrA8UAG6od8Vogo36C9c4Dq8SsixJzE6NMcHxa	2PaCt7G3L1Q2UoiSfRKDbREvM9RTticm4iEMXtJUoyPQ	Thug Cat	Thug	290	201	6793	3308	0.51	1711407.74	10297999	2024-05-07 18:42:08	61.32	False	True	True	True	3	93bf7b	0.01029	10102	10102	57.05	0.78	2024-05-07 21:43:26.999944
solana	raydium	CHi6BUfrA8UAG6od8Vogo36C9c4Dq8SsixJzE6NMcHxa	2PaCt7G3L1Q2UoiSfRKDbREvM9RTticm4iEMXtJUoyPQ	Thug Cat	Thug	320	115	6429	3271	0.6	1710570.44	10281843	2024-05-07 18:42:08	63.65	False	True	True	True	3	93bf7b	0.01028	10086	10086	13.2	9.83	2024-05-07 21:45:46.839603
