chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	WqWp5KANz1Zw37CUGZ3Vujaq3beAsHERqs38ztu5Gfw	2QagM8UBq81JZ2yvdGsJCG1MVXUxihaVxajXCAXpFJsF	ANGRYSLERF	ANGRYSLERF	15	4	238	98	0.76	153766.84	183160	2024-05-06 12:00:07	107.67	False	True	True	True	4	fa5ebd	0.001831	-45.76	-45.76	56.2	5.61	2024-05-06 15:47:47.340148
solana	raydium	WqWp5KANz1Zw37CUGZ3Vujaq3beAsHERqs38ztu5Gfw	2QagM8UBq81JZ2yvdGsJCG1MVXUxihaVxajXCAXpFJsF	ANGRYSLERF	ANGRYSLERF	13	17	237	108	0.66	148692.66	171197	2024-05-06 12:00:07	109.83	False	True	True	True	4	fa5ebd	0.001711	-49.31	-49.31	42.45	-7.84	2024-05-06 15:49:57.093622
solana	raydium	WqWp5KANz1Zw37CUGZ3Vujaq3beAsHERqs38ztu5Gfw	2QagM8UBq81JZ2yvdGsJCG1MVXUxihaVxajXCAXpFJsF	ANGRYSLERF	ANGRYSLERF	11	20	238	104	0.55	151152.74	177005	2024-05-06 12:00:07	112.04	False	True	True	True	4	fa5ebd	0.001770	-47.59	-47.59	49.99	-4.69	2024-05-06 15:52:09.368110
solana	raydium	WqWp5KANz1Zw37CUGZ3Vujaq3beAsHERqs38ztu5Gfw	2QagM8UBq81JZ2yvdGsJCG1MVXUxihaVxajXCAXpFJsF	ANGRYSLERF	ANGRYSLERF	10	13	232	106	0.52	152334.25	179405	2024-05-06 12:00:07	114.23	False	True	True	True	4	fa5ebd	0.001794	-46.88	-46.88	46.06	4.54	2024-05-06 15:54:20.587190
solana	raydium	WqWp5KANz1Zw37CUGZ3Vujaq3beAsHERqs38ztu5Gfw	2QagM8UBq81JZ2yvdGsJCG1MVXUxihaVxajXCAXpFJsF	ANGRYSLERF	ANGRYSLERF	11	6	227	101	0.58	153978.18	183543	2024-05-06 12:00:07	116.42	False	True	True	True	4	fa5ebd	0.001835	-45.65	-45.65	46.42	3.7	2024-05-06 15:56:32.112092
solana	raydium	WqWp5KANz1Zw37CUGZ3Vujaq3beAsHERqs38ztu5Gfw	2QagM8UBq81JZ2yvdGsJCG1MVXUxihaVxajXCAXpFJsF	ANGRYSLERF	ANGRYSLERF	6	2	220	96	0.33	154267.43	183946	2024-05-06 12:00:07	118.62	False	True	True	True	4	fa5ebd	0.001839	-45.53	-45.53	46.67	2.53	2024-05-06 15:58:43.915603
solana	raydium	WqWp5KANz1Zw37CUGZ3Vujaq3beAsHERqs38ztu5Gfw	2QagM8UBq81JZ2yvdGsJCG1MVXUxihaVxajXCAXpFJsF	ANGRYSLERF	ANGRYSLERF	3	5	217	97	0.17	152800.09	180707	2024-05-06 12:00:07	120.79	False	True	True	True	4	fa5ebd	0.001807	-46.49	-46.49	43	-1.55	2024-05-06 16:00:54.521192
solana	raydium	WqWp5KANz1Zw37CUGZ3Vujaq3beAsHERqs38ztu5Gfw	2QagM8UBq81JZ2yvdGsJCG1MVXUxihaVxajXCAXpFJsF	ANGRYSLERF	ANGRYSLERF	3	6	212	98	0.17	151857.2	178104	2024-05-06 12:00:07	122.97	False	True	True	True	4	fa5ebd	0.001781	-47.26	-47.26	35.04	-3.18	2024-05-06 16:03:05.461163
solana	raydium	WqWp5KANz1Zw37CUGZ3Vujaq3beAsHERqs38ztu5Gfw	2QagM8UBq81JZ2yvdGsJCG1MVXUxihaVxajXCAXpFJsF	ANGRYSLERF	ANGRYSLERF	4	6	199	99	0.24	151408.98	176766	2024-05-06 12:00:07	125.14	False	True	True	True	4	fa5ebd	0.001767	-47.66	-47.66	27.14	-2.9	2024-05-06 16:05:15.583198
solana	raydium	WqWp5KANz1Zw37CUGZ3Vujaq3beAsHERqs38ztu5Gfw	2QagM8UBq81JZ2yvdGsJCG1MVXUxihaVxajXCAXpFJsF	ANGRYSLERF	ANGRYSLERF	3	11	180	105	0.2	151062.97	175467	2024-05-06 12:00:07	127.33	False	True	True	True	4	fa5ebd	0.001754	-48.04	-48.04	19.21	0.43	2024-05-06 16:07:26.525318
solana	raydium	WqWp5KANz1Zw37CUGZ3Vujaq3beAsHERqs38ztu5Gfw	2QagM8UBq81JZ2yvdGsJCG1MVXUxihaVxajXCAXpFJsF	ANGRYSLERF	ANGRYSLERF	1	10	149	101	0.08	151331.99	176207	2024-05-06 12:00:07	129.52	False	True	True	True	4	fa5ebd	0.001762	-47.82	-47.82	4.63	-0.32	2024-05-06 16:09:38.097530
solana	raydium	WqWp5KANz1Zw37CUGZ3Vujaq3beAsHERqs38ztu5Gfw	2QagM8UBq81JZ2yvdGsJCG1MVXUxihaVxajXCAXpFJsF	ANGRYSLERF	ANGRYSLERF	4	3	142	95	0.34	153797.92	182186	2024-05-06 12:00:07	131.69	False	True	True	True	4	fa5ebd	0.001821	-46.05	-46.05	15.6	3.85	2024-05-06 16:11:48.228485
solana	raydium	WqWp5KANz1Zw37CUGZ3Vujaq3beAsHERqs38ztu5Gfw	2QagM8UBq81JZ2yvdGsJCG1MVXUxihaVxajXCAXpFJsF	ANGRYSLERF	ANGRYSLERF	7	3	144	82	0.58	155777.56	185868	2024-05-06 12:00:07	133.9	False	True	True	True	4	fa5ebd	0.001858	-44.96	-44.96	34.58	5.48	2024-05-06 16:14:00.752165
solana	raydium	WqWp5KANz1Zw37CUGZ3Vujaq3beAsHERqs38ztu5Gfw	2QagM8UBq81JZ2yvdGsJCG1MVXUxihaVxajXCAXpFJsF	ANGRYSLERF	ANGRYSLERF	8	0	139	76	0.69	157068.04	188061	2024-05-06 12:00:07	136.07	False	True	True	True	4	fa5ebd	0.001880	-44.31	-44.31	38.97	3.22	2024-05-06 16:16:11.095624
solana	raydium	WqWp5KANz1Zw37CUGZ3Vujaq3beAsHERqs38ztu5Gfw	2QagM8UBq81JZ2yvdGsJCG1MVXUxihaVxajXCAXpFJsF	ANGRYSLERF	ANGRYSLERF	8	3	138	75	0.7	152597.46	178527	2024-05-06 12:00:07	138.25	False	True	True	True	4	fa5ebd	0.001785	-47.14	-47.14	29.7	-3.51	2024-05-06 16:18:22.070087
solana	raydium	WqWp5KANz1Zw37CUGZ3Vujaq3beAsHERqs38ztu5Gfw	2QagM8UBq81JZ2yvdGsJCG1MVXUxihaVxajXCAXpFJsF	ANGRYSLERF	ANGRYSLERF	7	7	122	78	0.69	153233.48	180334	2024-05-06 12:00:07	140.43	False	True	True	True	4	fa5ebd	0.001803	-46.6	-46.6	21.11	-4.11	2024-05-06 16:20:32.967773
solana	raydium	WqWp5KANz1Zw37CUGZ3Vujaq3beAsHERqs38ztu5Gfw	2QagM8UBq81JZ2yvdGsJCG1MVXUxihaVxajXCAXpFJsF	ANGRYSLERF	ANGRYSLERF	6	5	117	77	0.62	155874.88	186444	2024-05-06 12:00:07	142.64	False	True	True	True	4	fa5ebd	0.001864	-44.79	-44.79	22.4	3.78	2024-05-06 16:22:45.297059
