chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	4u6JgvjVCSDjNMSkLcT91iEwNfW2XpNhoFVsbJg71Hca	2TYxRMnnPDQVjSbyrhaZz4AvUsAeVNbBaxQ2Hmhr9ooo	CTO	CTO	20	9	196	175	1.22	38575.17	138366	2024-05-09 15:08:50	358.37	False	True	False	True	2	18e0ed	0.0001383	148	148	-6.48	29.13	2024-05-09 23:07:12.074430
solana	raydium	4u6JgvjVCSDjNMSkLcT91iEwNfW2XpNhoFVsbJg71Hca	2TYxRMnnPDQVjSbyrhaZz4AvUsAeVNbBaxQ2Hmhr9ooo	CTO	CTO	15	10	191	161	0.94	38983.76	141281	2024-05-09 15:08:50	360.65	False	True	False	True	2	18e0ed	0.0001412	153	254	17.04	25.2	2024-05-09 23:09:29.133940
solana	raydium	4u6JgvjVCSDjNMSkLcT91iEwNfW2XpNhoFVsbJg71Hca	2TYxRMnnPDQVjSbyrhaZz4AvUsAeVNbBaxQ2Hmhr9ooo	CTO	CTO	3	3	188	153	0.19	38628.38	138897	2024-05-09 15:08:50	362.95	False	True	False	True	2	18e0ed	0.0001388	149	218	33.66	-1.19	2024-05-09 23:11:46.751749
solana	raydium	4u6JgvjVCSDjNMSkLcT91iEwNfW2XpNhoFVsbJg71Hca	2TYxRMnnPDQVjSbyrhaZz4AvUsAeVNbBaxQ2Hmhr9ooo	CTO	CTO	5	6	185	153	0.32	36212.44	122069	2024-05-09 15:08:50	365.23	False	True	False	True	2	18e0ed	0.0001220	118	46.24	36.07	-13.6	2024-05-09 23:14:03.979690
solana	raydium	4u6JgvjVCSDjNMSkLcT91iEwNfW2XpNhoFVsbJg71Hca	2TYxRMnnPDQVjSbyrhaZz4AvUsAeVNbBaxQ2Hmhr9ooo	CTO	CTO	7	8	168	149	0.5	36448.99	124100	2024-05-09 15:08:50	367.53	False	True	False	True	2	18e0ed	0.0001241	122	139	39.46	-12.25	2024-05-09 23:16:21.714380
solana	raydium	4u6JgvjVCSDjNMSkLcT91iEwNfW2XpNhoFVsbJg71Hca	2TYxRMnnPDQVjSbyrhaZz4AvUsAeVNbBaxQ2Hmhr9ooo	CTO	CTO	3	7	164	144	0.22	34293.5	109869	2024-05-09 15:08:50	369.81	False	True	False	True	2	18e0ed	0.0001098	96.66	223	41.77	-9.99	2024-05-09 23:18:38.787776
solana	raydium	4u6JgvjVCSDjNMSkLcT91iEwNfW2XpNhoFVsbJg71Hca	2TYxRMnnPDQVjSbyrhaZz4AvUsAeVNbBaxQ2Hmhr9ooo	CTO	CTO	5	6	155	138	0.39	34980.19	114315	2024-05-09 15:08:50	372.11	False	True	False	True	2	18e0ed	0.0001143	105	233	46.29	-7.88	2024-05-09 23:20:56.492830
solana	raydium	4u6JgvjVCSDjNMSkLcT91iEwNfW2XpNhoFVsbJg71Hca	2TYxRMnnPDQVjSbyrhaZz4AvUsAeVNbBaxQ2Hmhr9ooo	CTO	CTO	10	4	155	136	0.77	36511.23	124527	2024-05-09 15:08:50	374.41	False	True	False	True	2	18e0ed	0.0001245	123	315	46.62	13.34	2024-05-09 23:23:14.426619
solana	raydium	4u6JgvjVCSDjNMSkLcT91iEwNfW2XpNhoFVsbJg71Hca	2TYxRMnnPDQVjSbyrhaZz4AvUsAeVNbBaxQ2Hmhr9ooo	CTO	CTO	8	5	158	124	0.61	36520.99	124575	2024-05-09 15:08:50	376.69	False	True	False	True	2	18e0ed	0.0001245	123	627	68.46	7.16	2024-05-09 23:25:31.559581
solana	raydium	4u6JgvjVCSDjNMSkLcT91iEwNfW2XpNhoFVsbJg71Hca	2TYxRMnnPDQVjSbyrhaZz4AvUsAeVNbBaxQ2Hmhr9ooo	CTO	CTO	7	3	159	121	0.53	36531.38	124536	2024-05-09 15:08:50	378.98	False	True	False	True	2	18e0ed	0.0001245	123	572	67.67	0.01	2024-05-09 23:27:48.576470
