chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	22GQ4ZsWFh2BhLfT6UdcKsnj1qpK2Vs3sJGfijfW2QcG	2VYVwrwSNM8WxbFdPU4KQpZUB9FWCenFFoDqvpHQ7rZE	Jail Cat	CUFF	123	113	3040	2304	0.49	375840.24	5836417	2024-05-12 12:26:10	281.9	False	True	False	True	2	25cca2	0.007611	12050	12050	8.88	7.82	2024-05-12 19:08:04.187812
solana	raydium	22GQ4ZsWFh2BhLfT6UdcKsnj1qpK2Vs3sJGfijfW2QcG	2VYVwrwSNM8WxbFdPU4KQpZUB9FWCenFFoDqvpHQ7rZE	Jail Cat	CUFF	158	130	2993	2281	0.63	378353.85	5914376	2024-05-12 12:26:10	284.69	False	True	False	True	2	25cca2	0.007713	12212	12212	6.81	5.67	2024-05-12 19:10:51.502268
solana	raydium	22GQ4ZsWFh2BhLfT6UdcKsnj1qpK2Vs3sJGfijfW2QcG	2VYVwrwSNM8WxbFdPU4KQpZUB9FWCenFFoDqvpHQ7rZE	Jail Cat	CUFF	317	153	3089	2254	1.23	352547.08	5120413	2024-05-12 12:26:10	287.04	False	True	False	True	2	25cca2	0.006678	10559	10559	-12.06	-10.65	2024-05-12 19:13:12.328951
solana	raydium	22GQ4ZsWFh2BhLfT6UdcKsnj1qpK2Vs3sJGfijfW2QcG	2VYVwrwSNM8WxbFdPU4KQpZUB9FWCenFFoDqvpHQ7rZE	Jail Cat	CUFF	314	133	3124	2193	1.21	349130.1	5010127	2024-05-12 12:26:10	289.6	False	True	False	True	2	25cca2	0.006534	10330	10330	-11.09	-12.93	2024-05-12 19:15:45.997553
solana	raydium	22GQ4ZsWFh2BhLfT6UdcKsnj1qpK2Vs3sJGfijfW2QcG	2VYVwrwSNM8WxbFdPU4KQpZUB9FWCenFFoDqvpHQ7rZE	Jail Cat	CUFF	272	158	3124	2221	1.04	357794.77	5245999	2024-05-12 12:26:10	292.01	False	True	False	True	2	25cca2	0.006841	10821	10821	5.23	1.03	2024-05-12 19:18:10.643354
solana	raydium	22GQ4ZsWFh2BhLfT6UdcKsnj1qpK2Vs3sJGfijfW2QcG	2VYVwrwSNM8WxbFdPU4KQpZUB9FWCenFFoDqvpHQ7rZE	Jail Cat	CUFF	162	149	3072	2178	0.63	365787.46	5489248	2024-05-12 12:26:10	294.39	False	True	False	True	2	25cca2	0.007159	11327	11327	0.03	17.64	2024-05-12 19:20:33.467810
solana	raydium	22GQ4ZsWFh2BhLfT6UdcKsnj1qpK2Vs3sJGfijfW2QcG	2VYVwrwSNM8WxbFdPU4KQpZUB9FWCenFFoDqvpHQ7rZE	Jail Cat	CUFF	218	181	3149	2240	0.83	350962.32	5031582	2024-05-12 12:26:10	296.81	False	True	False	True	2	25cca2	0.006562	10375	10375	-9.45	-5.47	2024-05-12 19:22:58.734234
solana	raydium	22GQ4ZsWFh2BhLfT6UdcKsnj1qpK2Vs3sJGfijfW2QcG	2VYVwrwSNM8WxbFdPU4KQpZUB9FWCenFFoDqvpHQ7rZE	Jail Cat	CUFF	224	182	3156	2241	0.85	351581.19	5045480	2024-05-12 12:26:10	299.19	False	True	False	True	2	25cca2	0.006580	10403	10403	2.65	-10.02	2024-05-12 19:25:21.137817
solana	raydium	22GQ4ZsWFh2BhLfT6UdcKsnj1qpK2Vs3sJGfijfW2QcG	2VYVwrwSNM8WxbFdPU4KQpZUB9FWCenFFoDqvpHQ7rZE	Jail Cat	CUFF	113	92	3002	2136	0.45	365909.76	5456817	2024-05-12 12:26:10	301.57	False	True	False	True	2	25cca2	0.007116	11260	11260	8.63	2.95	2024-05-12 19:27:43.932287
solana	raydium	22GQ4ZsWFh2BhLfT6UdcKsnj1qpK2Vs3sJGfijfW2QcG	2VYVwrwSNM8WxbFdPU4KQpZUB9FWCenFFoDqvpHQ7rZE	Jail Cat	CUFF	93	102	2877	2096	0.39	373382.92	5615392	2024-05-12 12:26:10	303.98	False	True	False	True	2	25cca2	0.007419	11743	11743	26.91	10.72	2024-05-12 19:30:08.609512
