chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	9zreNBoTNgYZbaBwaqywnacj8VvY9zWQH87FEgmENgVC	2ee2GwuKBEGWUxSwQeSxT3NjG3rak3ULx8kHjVUR26Jv	Glub	GLUB	20	4	401	200	0.6	45608.67	214533	2024-05-10 22:21:11	57.1	False	True	False	True	2	913353	0.0002145	280	280	280	9.24	2024-05-11 01:18:17.116471
solana	raydium	9zreNBoTNgYZbaBwaqywnacj8VvY9zWQH87FEgmENgVC	2ee2GwuKBEGWUxSwQeSxT3NjG3rak3ULx8kHjVUR26Jv	Glub	GLUB	11	4	405	202	0.33	45184.03	210534	2024-05-10 22:21:11	59.41	False	True	False	True	2	913353	0.0002105	273	273	273	2.87	2024-05-11 01:20:35.678723
solana	raydium	9zreNBoTNgYZbaBwaqywnacj8VvY9zWQH87FEgmENgVC	2ee2GwuKBEGWUxSwQeSxT3NjG3rak3ULx8kHjVUR26Jv	Glub	GLUB	5	2	277	190	0.22	45211.19	210787	2024-05-10 22:21:11	61.71	False	True	False	True	2	913353	0.0002107	273	273	134	-2.26	2024-05-11 01:22:53.784684
solana	raydium	9zreNBoTNgYZbaBwaqywnacj8VvY9zWQH87FEgmENgVC	2ee2GwuKBEGWUxSwQeSxT3NjG3rak3ULx8kHjVUR26Jv	Glub	GLUB	6	3	243	164	0.3	45017.39	208986	2024-05-10 22:21:11	64.02	False	True	False	True	2	913353	0.0002089	270	270	87.36	-0.74	2024-05-11 01:25:11.906938
solana	raydium	9zreNBoTNgYZbaBwaqywnacj8VvY9zWQH87FEgmENgVC	2ee2GwuKBEGWUxSwQeSxT3NjG3rak3ULx8kHjVUR26Jv	Glub	GLUB	6	4	228	149	0.32	45630.55	214752	2024-05-10 22:21:11	66.32	False	True	False	True	2	913353	0.0002147	280	280	91.82	1.88	2024-05-11 01:27:30.199144
solana	raydium	9zreNBoTNgYZbaBwaqywnacj8VvY9zWQH87FEgmENgVC	2ee2GwuKBEGWUxSwQeSxT3NjG3rak3ULx8kHjVUR26Jv	Glub	GLUB	10	2	229	125	0.52	47627.21	234280	2024-05-10 22:21:11	68.59	False	True	False	True	2	913353	0.0002342	315	315	184	12.1	2024-05-11 01:29:46.636325
solana	raydium	9zreNBoTNgYZbaBwaqywnacj8VvY9zWQH87FEgmENgVC	2ee2GwuKBEGWUxSwQeSxT3NjG3rak3ULx8kHjVUR26Jv	Glub	GLUB	13	1	219	123	0.71	48292.95	240619	2024-05-10 22:21:11	70.85	False	True	False	True	2	913353	0.0002406	326	326	121	12.04	2024-05-11 01:32:01.706726
solana	raydium	9zreNBoTNgYZbaBwaqywnacj8VvY9zWQH87FEgmENgVC	2ee2GwuKBEGWUxSwQeSxT3NjG3rak3ULx8kHjVUR26Jv	Glub	GLUB	8	5	214	127	0.45	47396.64	231547	2024-05-10 22:21:11	73.19	False	True	False	True	2	913353	0.0002315	310	310	97.29	-1.02	2024-05-11 01:34:22.571644
solana	raydium	9zreNBoTNgYZbaBwaqywnacj8VvY9zWQH87FEgmENgVC	2ee2GwuKBEGWUxSwQeSxT3NjG3rak3ULx8kHjVUR26Jv	Glub	GLUB	7	5	197	118	0.43	52380.78	282776	2024-05-10 22:21:11	75.48	False	True	False	True	2	913353	0.0002827	401	401	39.7	17.39	2024-05-11 01:36:39.540243
solana	raydium	9zreNBoTNgYZbaBwaqywnacj8VvY9zWQH87FEgmENgVC	2ee2GwuKBEGWUxSwQeSxT3NjG3rak3ULx8kHjVUR26Jv	Glub	GLUB	10	2	187	115	0.64	54239.35	302961	2024-05-10 22:21:11	77.76	False	True	False	True	2	913353	0.0003029	436	436	32.96	30.84	2024-05-11 01:38:56.712417
solana	raydium	9zreNBoTNgYZbaBwaqywnacj8VvY9zWQH87FEgmENgVC	2ee2GwuKBEGWUxSwQeSxT3NjG3rak3ULx8kHjVUR26Jv	Glub	GLUB	20	7	194	104	1.24	58740.72	355282	2024-05-10 22:21:11	80.06	False	True	False	True	2	913353	0.0003552	529	529	86.38	25.64	2024-05-11 01:41:14.612658
solana	raydium	9zreNBoTNgYZbaBwaqywnacj8VvY9zWQH87FEgmENgVC	2ee2GwuKBEGWUxSwQeSxT3NjG3rak3ULx8kHjVUR26Jv	Glub	GLUB	22	7	187	99	1.41	59686.64	366603	2024-05-10 22:21:11	82.32	False	True	False	True	2	913353	0.0003666	549	549	75.14	20.14	2024-05-11 01:43:30.296674
solana	raydium	9zreNBoTNgYZbaBwaqywnacj8VvY9zWQH87FEgmENgVC	2ee2GwuKBEGWUxSwQeSxT3NjG3rak3ULx8kHjVUR26Jv	Glub	GLUB	25	4	197	95	1.52	62532.02	402485	2024-05-10 22:21:11	84.59	False	True	False	True	2	913353	0.0004024	612	612	92.19	12.66	2024-05-11 01:45:46.649832
solana	raydium	9zreNBoTNgYZbaBwaqywnacj8VvY9zWQH87FEgmENgVC	2ee2GwuKBEGWUxSwQeSxT3NjG3rak3ULx8kHjVUR26Jv	Glub	GLUB	27	4	198	95	1.64	69722.9	500842	2024-05-10 22:21:11	86.88	False	True	False	True	2	913353	0.0005008	787	787	110	36.62	2024-05-11 01:48:03.864219
solana	raydium	9zreNBoTNgYZbaBwaqywnacj8VvY9zWQH87FEgmENgVC	2ee2GwuKBEGWUxSwQeSxT3NjG3rak3ULx8kHjVUR26Jv	Glub	GLUB	19	12	195	103	1.17	72020.93	534449	2024-05-10 22:21:11	89.16	False	True	False	True	2	913353	0.0005344	846	846	109	32.88	2024-05-11 01:50:20.574752
solana	raydium	9zreNBoTNgYZbaBwaqywnacj8VvY9zWQH87FEgmENgVC	2ee2GwuKBEGWUxSwQeSxT3NjG3rak3ULx8kHjVUR26Jv	Glub	GLUB	20	16	202	92	1.19	79479.76	650083	2024-05-10 22:21:11	91.45	False	True	False	True	2	913353	0.0006500	1051	1051	143	29.66	2024-05-11 01:52:38.099188
solana	raydium	9zreNBoTNgYZbaBwaqywnacj8VvY9zWQH87FEgmENgVC	2ee2GwuKBEGWUxSwQeSxT3NjG3rak3ULx8kHjVUR26Jv	Glub	GLUB	30	16	220	95	1.64	83471.88	717223	2024-05-10 22:21:11	93.72	False	True	False	True	2	913353	0.0007172	1170	1170	183	35.54	2024-05-11 01:54:54.372303
solana	raydium	9zreNBoTNgYZbaBwaqywnacj8VvY9zWQH87FEgmENgVC	2ee2GwuKBEGWUxSwQeSxT3NjG3rak3ULx8kHjVUR26Jv	Glub	GLUB	29	25	222	105	1.57	80507.07	667412	2024-05-10 22:21:11	96.02	False	True	False	True	2	913353	0.0006674	1081	1081	161	11.44	2024-05-11 01:57:11.935166
solana	raydium	9zreNBoTNgYZbaBwaqywnacj8VvY9zWQH87FEgmENgVC	2ee2GwuKBEGWUxSwQeSxT3NjG3rak3ULx8kHjVUR26Jv	Glub	GLUB	15	20	229	106	0.79	79919.65	658811	2024-05-10 22:21:11	98.3	False	True	False	True	2	913353	0.0006588	1066	1066	232	-4.89	2024-05-11 01:59:29.250351
solana	raydium	9zreNBoTNgYZbaBwaqywnacj8VvY9zWQH87FEgmENgVC	2ee2GwuKBEGWUxSwQeSxT3NjG3rak3ULx8kHjVUR26Jv	Glub	GLUB	9	19	210	107	0.51	77774.33	624249	2024-05-10 22:21:11	100.6	False	True	False	True	2	913353	0.0006242	1005	1005	341	-8.92	2024-05-11 02:01:46.824498
solana	raydium	9zreNBoTNgYZbaBwaqywnacj8VvY9zWQH87FEgmENgVC	2ee2GwuKBEGWUxSwQeSxT3NjG3rak3ULx8kHjVUR26Jv	Glub	GLUB	2	21	201	113	0.12	72188.44	535597	2024-05-10 22:21:11	102.88	False	True	False	True	2	913353	0.0005355	848	848	276	-18.7	2024-05-11 02:04:03.869103
solana	raydium	9zreNBoTNgYZbaBwaqywnacj8VvY9zWQH87FEgmENgVC	2ee2GwuKBEGWUxSwQeSxT3NjG3rak3ULx8kHjVUR26Jv	Glub	GLUB	15	28	209	125	0.86	60930.99	381276	2024-05-10 22:21:11	105.16	False	True	False	True	2	913353	0.0003812	575	575	158	-40.2	2024-05-11 02:06:20.580251
solana	raydium	9zreNBoTNgYZbaBwaqywnacj8VvY9zWQH87FEgmENgVC	2ee2GwuKBEGWUxSwQeSxT3NjG3rak3ULx8kHjVUR26Jv	Glub	GLUB	50	26	242	129	2.48	69462.23	495250	2024-05-10 22:21:11	107.42	False	True	False	True	2	913353	0.0004952	777	777	238	-12.18	2024-05-11 02:08:36.075863
solana	raydium	9zreNBoTNgYZbaBwaqywnacj8VvY9zWQH87FEgmENgVC	2ee2GwuKBEGWUxSwQeSxT3NjG3rak3ULx8kHjVUR26Jv	Glub	GLUB	44	20	238	139	2.22	69569.95	497400	2024-05-10 22:21:11	109.67	False	True	False	True	2	913353	0.0004973	780	780	205	29.5	2024-05-11 02:10:51.459491
solana	raydium	9zreNBoTNgYZbaBwaqywnacj8VvY9zWQH87FEgmENgVC	2ee2GwuKBEGWUxSwQeSxT3NjG3rak3ULx8kHjVUR26Jv	Glub	GLUB	20	22	242	148	0.99	69911.56	501843	2024-05-10 22:21:11	111.95	False	True	False	True	2	913353	0.0005018	788	788	156	0.99	2024-05-11 02:13:08.005966
solana	raydium	9zreNBoTNgYZbaBwaqywnacj8VvY9zWQH87FEgmENgVC	2ee2GwuKBEGWUxSwQeSxT3NjG3rak3ULx8kHjVUR26Jv	Glub	GLUB	18	14	243	146	0.89	73667.77	556758	2024-05-10 22:21:11	114.23	False	True	False	True	2	913353	0.0005567	886	886	175	10.08	2024-05-11 02:15:24.531345
solana	raydium	9zreNBoTNgYZbaBwaqywnacj8VvY9zWQH87FEgmENgVC	2ee2GwuKBEGWUxSwQeSxT3NjG3rak3ULx8kHjVUR26Jv	Glub	GLUB	14	2	236	146	0.71	75204.21	579984	2024-05-10 22:21:11	116.49	False	True	False	True	2	913353	0.0005799	927	927	169	15.39	2024-05-11 02:17:40.415926
solana	raydium	9zreNBoTNgYZbaBwaqywnacj8VvY9zWQH87FEgmENgVC	2ee2GwuKBEGWUxSwQeSxT3NjG3rak3ULx8kHjVUR26Jv	Glub	GLUB	33	10	261	152	1.52	89395.96	818851	2024-05-10 22:21:11	118.78	False	True	False	True	2	913353	0.0008188	1350	1350	289	45.74	2024-05-11 02:19:57.822455
solana	raydium	9zreNBoTNgYZbaBwaqywnacj8VvY9zWQH87FEgmENgVC	2ee2GwuKBEGWUxSwQeSxT3NjG3rak3ULx8kHjVUR26Jv	Glub	GLUB	46	17	277	161	1.99	92681.01	879734	2024-05-10 22:21:11	121.07	False	True	False	True	2	913353	0.0008797	1457	1457	317	51.68	2024-05-11 02:22:14.940473
solana	raydium	9zreNBoTNgYZbaBwaqywnacj8VvY9zWQH87FEgmENgVC	2ee2GwuKBEGWUxSwQeSxT3NjG3rak3ULx8kHjVUR26Jv	Glub	GLUB	44	25	286	172	1.85	102138.73	1068226	2024-05-10 22:21:11	123.34	False	True	False	True	2	913353	0.001068	1791	1791	412	36.23	2024-05-11 02:24:31.305672
solana	raydium	9zreNBoTNgYZbaBwaqywnacj8VvY9zWQH87FEgmENgVC	2ee2GwuKBEGWUxSwQeSxT3NjG3rak3ULx8kHjVUR26Jv	Glub	GLUB	28	32	300	189	1.12	110324.32	1246050	2024-05-10 22:21:11	125.63	False	True	False	True	2	913353	0.001246	2106	2106	480	40.8	2024-05-11 02:26:48.884691
solana	raydium	9zreNBoTNgYZbaBwaqywnacj8VvY9zWQH87FEgmENgVC	2ee2GwuKBEGWUxSwQeSxT3NjG3rak3ULx8kHjVUR26Jv	Glub	GLUB	26	39	303	210	1.03	99413.26	1011374	2024-05-10 22:21:11	127.88	False	True	False	True	2	913353	0.001011	1690	1690	332	-4.8	2024-05-11 02:29:03.925872
