chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	3LX9R4ri3ko5H1aHMG2GqNbcbsrDeHCGy6MaMPH2bzVN	2fNexKk1XFVRqRmuak4hFcgfpTSJf3HE6BH6f6bjkxz7	9to5io	9to5	62	38	1177	652	0.63	36735.09	127631	2024-05-06 23:33:02	42.92	False	True	False	True	2	866e91	0.0001278	112	112	112	14.38	2024-05-07 02:15:57.002932
solana	raydium	3LX9R4ri3ko5H1aHMG2GqNbcbsrDeHCGy6MaMPH2bzVN	2fNexKk1XFVRqRmuak4hFcgfpTSJf3HE6BH6f6bjkxz7	9to5io	9to5	122	40	1253	668	1.17	44240.64	185685	2024-05-06 23:33:02	45.08	False	True	False	True	2	866e91	0.0001859	209	209	209	49.74	2024-05-07 02:18:06.852362
solana	raydium	3LX9R4ri3ko5H1aHMG2GqNbcbsrDeHCGy6MaMPH2bzVN	2fNexKk1XFVRqRmuak4hFcgfpTSJf3HE6BH6f6bjkxz7	9to5io	9to5	145	71	1318	717	1.32	44095.23	184071	2024-05-06 23:33:02	47.25	False	True	False	True	2	866e91	0.0001843	206	206	206	37.54	2024-05-07 02:20:17.157164
solana	raydium	3LX9R4ri3ko5H1aHMG2GqNbcbsrDeHCGy6MaMPH2bzVN	2fNexKk1XFVRqRmuak4hFcgfpTSJf3HE6BH6f6bjkxz7	9to5io	9to5	137	95	1362	756	1.21	46355.56	202820	2024-05-06 23:33:02	49.44	False	True	False	True	2	866e91	0.0002031	237	237	237	20.43	2024-05-07 02:22:28.241129
solana	raydium	3LX9R4ri3ko5H1aHMG2GqNbcbsrDeHCGy6MaMPH2bzVN	2fNexKk1XFVRqRmuak4hFcgfpTSJf3HE6BH6f6bjkxz7	9to5io	9to5	83	65	1403	785	0.71	38994.04	143377	2024-05-06 23:33:02	51.59	False	True	False	True	2	866e91	0.0001435	138	138	138	-21.45	2024-05-07 02:24:37.498130
solana	raydium	3LX9R4ri3ko5H1aHMG2GqNbcbsrDeHCGy6MaMPH2bzVN	2fNexKk1XFVRqRmuak4hFcgfpTSJf3HE6BH6f6bjkxz7	9to5io	9to5	98	69	1462	829	0.8	39297.39	144900	2024-05-06 23:33:02	53.77	False	True	False	True	2	866e91	0.0001451	141	141	141	-15.69	2024-05-07 02:26:48.354829
solana	raydium	3LX9R4ri3ko5H1aHMG2GqNbcbsrDeHCGy6MaMPH2bzVN	2fNexKk1XFVRqRmuak4hFcgfpTSJf3HE6BH6f6bjkxz7	9to5io	9to5	88	75	1493	860	0.71	40297.72	151972	2024-05-06 23:33:02	55.98	False	True	False	True	2	866e91	0.0001521	153	153	153	5.12	2024-05-07 02:29:00.628236
solana	raydium	3LX9R4ri3ko5H1aHMG2GqNbcbsrDeHCGy6MaMPH2bzVN	2fNexKk1XFVRqRmuak4hFcgfpTSJf3HE6BH6f6bjkxz7	9to5io	9to5	142	103	1599	927	1.07	50907.77	240529	2024-05-06 23:33:02	58.14	False	True	False	True	2	866e91	0.0002408	300	300	300	66	2024-05-07 02:31:10.191950
solana	raydium	3LX9R4ri3ko5H1aHMG2GqNbcbsrDeHCGy6MaMPH2bzVN	2fNexKk1XFVRqRmuak4hFcgfpTSJf3HE6BH6f6bjkxz7	9to5io	9to5	161	157	1648	1001	1.17	47677.52	210084	2024-05-06 23:33:02	60.31	False	True	False	True	2	866e91	0.0002103	249	249	249	29.02	2024-05-07 02:33:20.513570
solana	raydium	3LX9R4ri3ko5H1aHMG2GqNbcbsrDeHCGy6MaMPH2bzVN	2fNexKk1XFVRqRmuak4hFcgfpTSJf3HE6BH6f6bjkxz7	9to5io	9to5	92	98	1377	951	0.8	47321.25	206680	2024-05-06 23:33:02	62.48	False	True	False	True	2	866e91	0.0002069	244	244	163	-17.21	2024-05-07 02:35:30.879302
solana	raydium	3LX9R4ri3ko5H1aHMG2GqNbcbsrDeHCGy6MaMPH2bzVN	2fNexKk1XFVRqRmuak4hFcgfpTSJf3HE6BH6f6bjkxz7	9to5io	9to5	80	55	1269	900	0.76	47070.3	204269	2024-05-06 23:33:02	64.73	False	True	False	True	2	866e91	0.0002045	240	240	77.9	1	2024-05-07 02:37:45.743560
solana	raydium	3LX9R4ri3ko5H1aHMG2GqNbcbsrDeHCGy6MaMPH2bzVN	2fNexKk1XFVRqRmuak4hFcgfpTSJf3HE6BH6f6bjkxz7	9to5io	9to5	69	67	1241	903	0.67	46875.53	201684	2024-05-06 23:33:02	66.92	False	True	False	True	2	866e91	0.0002019	235	235	41.02	-2.42	2024-05-07 02:39:57.378990
