chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	AjEEjhJaqba7QFtTQv8sgFkRnTb8itDMSkg7ny5vtVkh	2qzgjndqfTRrWofqHYYsz3aeVmHCprKzCWNLmzHxXSEP	Honey Frens	honey	151	71	792	389	2.29	18760.38	65020	2024-05-07 03:47:00	15.26	False	True	True	True	3	d22980	0.000006501	3271	3271	3271	36.22	2024-05-07 06:02:15.541084
solana	raydium	AjEEjhJaqba7QFtTQv8sgFkRnTb8itDMSkg7ny5vtVkh	2qzgjndqfTRrWofqHYYsz3aeVmHCprKzCWNLmzHxXSEP	Honey Frens	honey	141	49	842	408	2.01	17492.08	56375	2024-05-07 03:47:00	17.45	False	True	True	True	3	d22980	0.000005637	2823	2823	2823	78.07	2024-05-07 06:04:27.070368
solana	raydium	AjEEjhJaqba7QFtTQv8sgFkRnTb8itDMSkg7ny5vtVkh	2qzgjndqfTRrWofqHYYsz3aeVmHCprKzCWNLmzHxXSEP	Honey Frens	honey	78	42	881	434	1.06	18067.23	60247	2024-05-07 03:47:00	19.62	False	True	True	True	3	d22980	0.000006024	3024	3024	3024	-9.8	2024-05-07 06:06:37.383718
solana	raydium	AjEEjhJaqba7QFtTQv8sgFkRnTb8itDMSkg7ny5vtVkh	2qzgjndqfTRrWofqHYYsz3aeVmHCprKzCWNLmzHxXSEP	Honey Frens	honey	67	44	909	453	0.88	18615.59	63709	2024-05-07 03:47:00	21.79	False	True	True	True	3	d22980	0.000006370	3203	3203	3203	13.6	2024-05-07 06:08:47.614700
solana	raydium	AjEEjhJaqba7QFtTQv8sgFkRnTb8itDMSkg7ny5vtVkh	2qzgjndqfTRrWofqHYYsz3aeVmHCprKzCWNLmzHxXSEP	Honey Frens	honey	50	28	930	461	0.65	19027.38	66350	2024-05-07 03:47:00	23.97	False	True	True	True	3	d22980	0.000006634	3340	3340	3340	6.91	2024-05-07 06:10:58.404110
solana	raydium	AjEEjhJaqba7QFtTQv8sgFkRnTb8itDMSkg7ny5vtVkh	2qzgjndqfTRrWofqHYYsz3aeVmHCprKzCWNLmzHxXSEP	Honey Frens	honey	61	25	963	475	0.76	20683.9	78286	2024-05-07 03:47:00	26.17	False	True	True	True	3	d22980	0.000007828	3959	3959	3959	25.99	2024-05-07 06:13:10.299315
solana	raydium	AjEEjhJaqba7QFtTQv8sgFkRnTb8itDMSkg7ny5vtVkh	2qzgjndqfTRrWofqHYYsz3aeVmHCprKzCWNLmzHxXSEP	Honey Frens	honey	62	31	986	487	0.75	22341.59	91401	2024-05-07 03:47:00	28.34	False	True	True	True	3	d22980	0.000009140	4639	4639	4639	31.81	2024-05-07 06:15:20.449948
solana	raydium	AjEEjhJaqba7QFtTQv8sgFkRnTb8itDMSkg7ny5vtVkh	2qzgjndqfTRrWofqHYYsz3aeVmHCprKzCWNLmzHxXSEP	Honey Frens	honey	38	26	1003	503	0.45	22059.93	89141	2024-05-07 03:47:00	30.52	False	True	True	True	3	d22980	0.000008914	4522	4522	4522	18.6	2024-05-07 06:17:31.081219
solana	raydium	AjEEjhJaqba7QFtTQv8sgFkRnTb8itDMSkg7ny5vtVkh	2qzgjndqfTRrWofqHYYsz3aeVmHCprKzCWNLmzHxXSEP	Honey Frens	honey	37	23	1026	514	0.43	24264.49	107845	2024-05-07 03:47:00	32.7	False	True	True	True	3	d22980	0.00001078	5492	5492	5492	27.01	2024-05-07 06:19:41.858616
solana	raydium	AjEEjhJaqba7QFtTQv8sgFkRnTb8itDMSkg7ny5vtVkh	2qzgjndqfTRrWofqHYYsz3aeVmHCprKzCWNLmzHxXSEP	Honey Frens	honey	48	39	1050	542	0.55	23822.37	103581	2024-05-07 03:47:00	34.87	False	True	True	True	3	d22980	0.00001035	5271	5271	5271	16.39	2024-05-07 06:21:52.424360
