chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	H3zMNDsrGsdMFPWMKFiFK8Pm9XfkcwXir82eB31LQPie	34MphWDvZeTtZSjkR2R3fRWCwQgb1eGdvYuFEJMfBb44	Trump Coin	TRUMPWIN	10	0	39	18	3.08	16473.06	117587	2024-05-09 07:54:49	95.35	False	True	True	True	4	4d7f24	0.0000002798	703	703	53.32	29.19	2024-05-09 11:30:10.228493
solana	raydium	H3zMNDsrGsdMFPWMKFiFK8Pm9XfkcwXir82eB31LQPie	34MphWDvZeTtZSjkR2R3fRWCwQgb1eGdvYuFEJMfBb44	Trump Coin	TRUMPWIN	13	1	36	19	4.33	16531.8	118271	2024-05-09 07:54:49	97.7	False	True	True	True	4	4d7f24	0.0000002814	707	707	25.36	14.62	2024-05-09 11:32:31.016685
solana	raydium	H3zMNDsrGsdMFPWMKFiFK8Pm9XfkcwXir82eB31LQPie	34MphWDvZeTtZSjkR2R3fRWCwQgb1eGdvYuFEJMfBb44	Trump Coin	TRUMPWIN	13	1	39	19	4.0	17315.41	130199	2024-05-09 07:54:49	99.96	False	True	True	True	4	4d7f24	0.0000003098	789	789	29.41	13.44	2024-05-09 11:34:46.439058
solana	raydium	H3zMNDsrGsdMFPWMKFiFK8Pm9XfkcwXir82eB31LQPie	34MphWDvZeTtZSjkR2R3fRWCwQgb1eGdvYuFEJMfBb44	Trump Coin	TRUMPWIN	11	2	42	18	3.14	17342.56	130707	2024-05-09 07:54:49	102.22	False	True	True	True	4	4d7f24	0.0000003110	792	792	33.45	10.51	2024-05-09 11:37:02.066897
solana	raydium	H3zMNDsrGsdMFPWMKFiFK8Pm9XfkcwXir82eB31LQPie	34MphWDvZeTtZSjkR2R3fRWCwQgb1eGdvYuFEJMfBb44	Trump Coin	TRUMPWIN	6	1	44	17	1.64	17339.19	131234	2024-05-09 07:54:49	104.48	False	True	True	True	4	4d7f24	0.0000003123	796	796	37.82	1.48	2024-05-09 11:39:17.556355
solana	raydium	H3zMNDsrGsdMFPWMKFiFK8Pm9XfkcwXir82eB31LQPie	34MphWDvZeTtZSjkR2R3fRWCwQgb1eGdvYuFEJMfBb44	Trump Coin	TRUMPWIN	4	0	46	14	1.04	17715.29	136790	2024-05-09 07:54:49	106.83	False	True	True	True	4	4d7f24	0.0000003255	834	834	71.29	4.65	2024-05-09 11:41:38.745559
solana	raydium	H3zMNDsrGsdMFPWMKFiFK8Pm9XfkcwXir82eB31LQPie	34MphWDvZeTtZSjkR2R3fRWCwQgb1eGdvYuFEJMfBb44	Trump Coin	TRUMPWIN	2	1	45	15	0.53	16964.66	125346	2024-05-09 07:54:49	109.11	False	True	True	True	4	4d7f24	0.0000002982	755	755	54.21	-4.49	2024-05-09 11:43:55.397219
solana	raydium	H3zMNDsrGsdMFPWMKFiFK8Pm9XfkcwXir82eB31LQPie	34MphWDvZeTtZSjkR2R3fRWCwQgb1eGdvYuFEJMfBb44	Trump Coin	TRUMPWIN	2	3	47	17	0.51	16221.63	114646	2024-05-09 07:54:49	111.37	False	True	True	True	4	4d7f24	0.0000002728	682	682	41.05	-16.19	2024-05-09 11:46:11.144241
solana	raydium	H3zMNDsrGsdMFPWMKFiFK8Pm9XfkcwXir82eB31LQPie	34MphWDvZeTtZSjkR2R3fRWCwQgb1eGdvYuFEJMfBb44	Trump Coin	TRUMPWIN	2	4	47	19	0.51	16024.19	111972	2024-05-09 07:54:49	113.67	False	True	True	True	4	4d7f24	0.0000002664	664	664	37.76	-3.12	2024-05-09 11:48:29.189098
solana	raydium	H3zMNDsrGsdMFPWMKFiFK8Pm9XfkcwXir82eB31LQPie	34MphWDvZeTtZSjkR2R3fRWCwQgb1eGdvYuFEJMfBb44	Trump Coin	TRUMPWIN	0	1	46	19		16024.19	111972	2024-05-09 07:54:49	115.93	False	True	True	True	4	4d7f24	0.0000002664	664	664	32.09	-0.92	2024-05-09 11:50:44.518669
solana	raydium	H3zMNDsrGsdMFPWMKFiFK8Pm9XfkcwXir82eB31LQPie	34MphWDvZeTtZSjkR2R3fRWCwQgb1eGdvYuFEJMfBb44	Trump Coin	TRUMPWIN	4	0	50	19	0.96	17664.47	135801	2024-05-09 07:54:49	118.2	False	True	True	True	4	4d7f24	0.0000003231	827	827	60.2	21.28	2024-05-09 11:53:00.958085
solana	raydium	H3zMNDsrGsdMFPWMKFiFK8Pm9XfkcwXir82eB31LQPie	34MphWDvZeTtZSjkR2R3fRWCwQgb1eGdvYuFEJMfBb44	Trump Coin	TRUMPWIN	7	1	53	19	1.58	18308.06	145848	2024-05-09 07:54:49	120.47	False	True	True	True	4	4d7f24	0.0000003470	895	895	71.03	30.25	2024-05-09 11:55:17.439666
