chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	84WPKuk6JWzV8Apmv9pZZVs4vtdguTUjtv9iT4rsVbdj	3FmUD8fFdr6VpdmZeLAfqVgpYCYAeCz4h2o55UJ6AVqQ	mango	mango	131	104	3155	2389	0.5	59502.42	307893	2024-05-08 14:45:14	95.47	False	True	False	True	2	1dae0c	0.0003078	441	441	1.52	-6.54	2024-05-08 18:20:42.068086
solana	raydium	84WPKuk6JWzV8Apmv9pZZVs4vtdguTUjtv9iT4rsVbdj	3FmUD8fFdr6VpdmZeLAfqVgpYCYAeCz4h2o55UJ6AVqQ	mango	mango	141	139	3120	2367	0.54	64923.05	366675	2024-05-08 14:45:14	97.73	False	True	False	True	2	1dae0c	0.0003666	545	545	-22.56	7.73	2024-05-08 18:22:58.008667
solana	raydium	84WPKuk6JWzV8Apmv9pZZVs4vtdguTUjtv9iT4rsVbdj	3FmUD8fFdr6VpdmZeLAfqVgpYCYAeCz4h2o55UJ6AVqQ	mango	mango	105	112	3063	2326	0.41	61174.73	324534	2024-05-08 14:45:14	100.02	False	True	False	True	2	1dae0c	0.0003245	471	471	-21.97	9.19	2024-05-08 18:25:15.387996
solana	raydium	84WPKuk6JWzV8Apmv9pZZVs4vtdguTUjtv9iT4rsVbdj	3FmUD8fFdr6VpdmZeLAfqVgpYCYAeCz4h2o55UJ6AVqQ	mango	mango	80	78	2947	2282	0.33	56765	278687	2024-05-08 14:45:14	102.38	False	True	False	True	2	1dae0c	0.0002786	390	390	-39.03	-13.79	2024-05-08 18:27:37.080044
solana	raydium	84WPKuk6JWzV8Apmv9pZZVs4vtdguTUjtv9iT4rsVbdj	3FmUD8fFdr6VpdmZeLAfqVgpYCYAeCz4h2o55UJ6AVqQ	mango	mango	83	89	2889	2248	0.34	65002.19	364971	2024-05-08 14:45:14	104.64	False	True	False	True	2	1dae0c	0.0003649	542	542	-21.32	2.15	2024-05-08 18:29:52.405240
solana	raydium	84WPKuk6JWzV8Apmv9pZZVs4vtdguTUjtv9iT4rsVbdj	3FmUD8fFdr6VpdmZeLAfqVgpYCYAeCz4h2o55UJ6AVqQ	mango	mango	99	93	2852	2221	0.42	69662.65	419146	2024-05-08 14:45:14	106.93	False	True	False	True	2	1dae0c	0.0004191	637	637	-15.11	38.72	2024-05-08 18:32:10.071587
solana	raydium	84WPKuk6JWzV8Apmv9pZZVs4vtdguTUjtv9iT4rsVbdj	3FmUD8fFdr6VpdmZeLAfqVgpYCYAeCz4h2o55UJ6AVqQ	mango	mango	144	108	2823	2171	0.61	68818.02	407786	2024-05-08 14:45:14	109.2	False	True	False	True	2	1dae0c	0.0004077	617	617	-39.11	16	2024-05-08 18:34:25.704845
solana	raydium	84WPKuk6JWzV8Apmv9pZZVs4vtdguTUjtv9iT4rsVbdj	3FmUD8fFdr6VpdmZeLAfqVgpYCYAeCz4h2o55UJ6AVqQ	mango	mango	116	95	2646	2056	0.53	72614.23	454372	2024-05-08 14:45:14	111.48	False	True	False	True	2	1dae0c	0.0004543	699	699	-24.02	22.51	2024-05-08 18:36:43.060357
solana	raydium	84WPKuk6JWzV8Apmv9pZZVs4vtdguTUjtv9iT4rsVbdj	3FmUD8fFdr6VpdmZeLAfqVgpYCYAeCz4h2o55UJ6AVqQ	mango	mango	100	112	2518	1985	0.48	75212.31	485860	2024-05-08 14:45:14	113.77	False	True	False	True	2	1dae0c	0.0004858	754	754	-9.24	6.07	2024-05-08 18:39:00.289470
solana	raydium	84WPKuk6JWzV8Apmv9pZZVs4vtdguTUjtv9iT4rsVbdj	3FmUD8fFdr6VpdmZeLAfqVgpYCYAeCz4h2o55UJ6AVqQ	mango	mango	124	141	2500	1995	0.6	76279.52	498068	2024-05-08 14:45:14	116.04	False	True	False	True	2	1dae0c	0.0004980	776	776	2.02	13.99	2024-05-08 18:41:16.432064
