chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	4MwcSWDXvqjjVBRHMAnoZSATuAzSgdGq7E9X1ptDHCGQ	3HJMzeyYzAqeGWdFZd88wb9RGhDHm6GHhrtYB9kEsFws	fuki	fuki	146	65	146	65	12.0	29018.91	74262	2024-05-18 14:48:17	2.53	False	True	True	True	3	766769	0.00007426	6.08	6.08	6.08	6.08	2024-05-18 16:50:48.833775
solana	raydium	4MwcSWDXvqjjVBRHMAnoZSATuAzSgdGq7E9X1ptDHCGQ	3HJMzeyYzAqeGWdFZd88wb9RGhDHm6GHhrtYB9kEsFws	fuki	fuki	299	143	299	143	12.0	36206.92	114447	2024-05-18 14:48:17	4.91	False	True	True	True	3	766769	0.0001144	63.48	63.48	63.48	63.48	2024-05-18 16:53:11.654536
solana	raydium	4MwcSWDXvqjjVBRHMAnoZSATuAzSgdGq7E9X1ptDHCGQ	3HJMzeyYzAqeGWdFZd88wb9RGhDHm6GHhrtYB9kEsFws	fuki	fuki	262	157	397	220	7.92	36408.01	115562	2024-05-18 14:48:17	7.24	False	True	True	True	3	766769	0.0001155	65.07	65.07	65.07	60.92	2024-05-18 16:55:31.150921
solana	raydium	4MwcSWDXvqjjVBRHMAnoZSATuAzSgdGq7E9X1ptDHCGQ	3HJMzeyYzAqeGWdFZd88wb9RGhDHm6GHhrtYB9kEsFws	fuki	fuki	217	163	532	323	4.89	39136.37	132968	2024-05-18 14:48:17	9.6	False	True	True	True	3	766769	0.0001329	89.93	89.93	89.93	19.67	2024-05-18 16:57:52.798689
solana	raydium	4MwcSWDXvqjjVBRHMAnoZSATuAzSgdGq7E9X1ptDHCGQ	3HJMzeyYzAqeGWdFZd88wb9RGhDHm6GHhrtYB9kEsFws	fuki	fuki	241	180	657	417	4.4	39972.15	138058	2024-05-18 14:48:17	11.97	False	True	True	True	3	766769	0.0001380	97.2	97.2	97.2	33.3	2024-05-18 17:00:14.903045
solana	raydium	4MwcSWDXvqjjVBRHMAnoZSATuAzSgdGq7E9X1ptDHCGQ	3HJMzeyYzAqeGWdFZd88wb9RGhDHm6GHhrtYB9kEsFws	fuki	fuki	187	148	764	503	2.94	44965	173858	2024-05-18 14:48:17	14.37	False	True	True	True	3	766769	0.0001738	148	148	148	30.14	2024-05-18 17:02:39.284818
solana	raydium	4MwcSWDXvqjjVBRHMAnoZSATuAzSgdGq7E9X1ptDHCGQ	3HJMzeyYzAqeGWdFZd88wb9RGhDHm6GHhrtYB9kEsFws	fuki	fuki	186	151	865	579	2.58	47589.91	194132	2024-05-18 14:48:17	16.7	False	True	True	True	3	766769	0.0001941	177	177	177	15.05	2024-05-18 17:04:58.921442
solana	raydium	4MwcSWDXvqjjVBRHMAnoZSATuAzSgdGq7E9X1ptDHCGQ	3HJMzeyYzAqeGWdFZd88wb9RGhDHm6GHhrtYB9kEsFws	fuki	fuki	193	134	955	637	2.43	45876.04	180389	2024-05-18 14:48:17	19.02	False	True	True	True	3	766769	0.0001803	158	158	158	7.36	2024-05-18 17:07:18.394051
solana	raydium	4MwcSWDXvqjjVBRHMAnoZSATuAzSgdGq7E9X1ptDHCGQ	3HJMzeyYzAqeGWdFZd88wb9RGhDHm6GHhrtYB9kEsFws	fuki	fuki	124	97	1024	695	1.45	42403.07	153761	2024-05-18 14:48:17	21.32	False	True	True	True	3	766769	0.0001537	120	120	120	-12.48	2024-05-18 17:09:36.498578
solana	raydium	4MwcSWDXvqjjVBRHMAnoZSATuAzSgdGq7E9X1ptDHCGQ	3HJMzeyYzAqeGWdFZd88wb9RGhDHm6GHhrtYB9kEsFws	fuki	fuki	268	329	1234	975	2.61	26198.58	57977	2024-05-18 14:48:17	23.65	False	True	True	True	3	766769	0.00005797	-17.19	-17.19	-17.19	-70.23	2024-05-18 17:11:56.133569
solana	raydium	4MwcSWDXvqjjVBRHMAnoZSATuAzSgdGq7E9X1ptDHCGQ	3HJMzeyYzAqeGWdFZd88wb9RGhDHm6GHhrtYB9kEsFws	fuki	fuki	364	373	1380	1060	3.17	34454.32	99568	2024-05-18 14:48:17	26.01	False	True	True	True	3	766769	0.00009956	42.22	42.22	42.22	-40.91	2024-05-18 17:14:17.571420
solana	raydium	4MwcSWDXvqjjVBRHMAnoZSATuAzSgdGq7E9X1ptDHCGQ	3HJMzeyYzAqeGWdFZd88wb9RGhDHm6GHhrtYB9kEsFws	fuki	fuki	153	130	1447	1139	1.27	28027.7	65929	2024-05-18 14:48:17	28.35	False	True	True	True	3	766769	0.00006592	-5.83	-5.83	-5.83	-14.39	2024-05-18 17:16:38.138505
solana	raydium	4MwcSWDXvqjjVBRHMAnoZSATuAzSgdGq7E9X1ptDHCGQ	3HJMzeyYzAqeGWdFZd88wb9RGhDHm6GHhrtYB9kEsFws	fuki	fuki	101	117	1497	1186	0.81	28268.73	66957	2024-05-18 14:48:17	30.7	False	True	True	True	3	766769	0.00006695	-4.36	-4.36	-4.36	-30.51	2024-05-18 17:18:59.185178
solana	raydium	4MwcSWDXvqjjVBRHMAnoZSATuAzSgdGq7E9X1ptDHCGQ	3HJMzeyYzAqeGWdFZd88wb9RGhDHm6GHhrtYB9kEsFws	fuki	fuki	116	93	1640	1290	0.85	27046.18	61163	2024-05-18 14:48:17	35.35	False	True	True	True	3	766769	0.00006116	-12.63	-12.63	-12.63	3.61	2024-05-18 17:23:38.241727
solana	raydium	4MwcSWDXvqjjVBRHMAnoZSATuAzSgdGq7E9X1ptDHCGQ	3HJMzeyYzAqeGWdFZd88wb9RGhDHm6GHhrtYB9kEsFws	fuki	fuki	80	45	1675	1304	0.57	29592.35	73184	2024-05-18 14:48:17	37.68	False	True	True	True	3	766769	0.00007318	4.54	4.54	4.54	58.54	2024-05-18 17:25:57.943047
solana	raydium	4MwcSWDXvqjjVBRHMAnoZSATuAzSgdGq7E9X1ptDHCGQ	3HJMzeyYzAqeGWdFZd88wb9RGhDHm6GHhrtYB9kEsFws	fuki	fuki	80	36	1717	1322	0.56	32743.15	89445	2024-05-18 14:48:17	40.02	False	True	True	True	3	766769	0.00008944	27.76	27.76	27.76	32.99	2024-05-18 17:28:18.334125
solana	raydium	4MwcSWDXvqjjVBRHMAnoZSATuAzSgdGq7E9X1ptDHCGQ	3HJMzeyYzAqeGWdFZd88wb9RGhDHm6GHhrtYB9kEsFws	fuki	fuki	88	58	1757	1359	0.6	30956.93	79867	2024-05-18 14:48:17	42.37	False	True	True	True	3	766769	0.00007986	14.08	14.08	14.08	3.37	2024-05-18 17:30:39.056770
solana	raydium	4MwcSWDXvqjjVBRHMAnoZSATuAzSgdGq7E9X1ptDHCGQ	3HJMzeyYzAqeGWdFZd88wb9RGhDHm6GHhrtYB9kEsFws	fuki	fuki	60	84	1780	1410	0.4	24937.92	51834	2024-05-18 14:48:17	44.72	False	True	True	True	3	766769	0.00005183	-25.96	-25.96	-25.96	-42.37	2024-05-18 17:33:00.314897
solana	raydium	4MwcSWDXvqjjVBRHMAnoZSATuAzSgdGq7E9X1ptDHCGQ	3HJMzeyYzAqeGWdFZd88wb9RGhDHm6GHhrtYB9kEsFws	fuki	fuki	58	82	1817	1444	0.38	26183.88	56989	2024-05-18 14:48:17	47.04	False	True	True	True	3	766769	0.00005698	-18.6	-18.6	-18.6	-31.66	2024-05-18 17:35:19.373040
solana	raydium	4MwcSWDXvqjjVBRHMAnoZSATuAzSgdGq7E9X1ptDHCGQ	3HJMzeyYzAqeGWdFZd88wb9RGhDHm6GHhrtYB9kEsFws	fuki	fuki	31	52	1835	1477	0.2	28893.85	69266	2024-05-18 14:48:17	49.41	False	True	True	True	3	766769	0.00006926	-1.06	-1.06	-1.06	8.63	2024-05-18 17:37:41.755176
solana	raydium	4MwcSWDXvqjjVBRHMAnoZSATuAzSgdGq7E9X1ptDHCGQ	3HJMzeyYzAqeGWdFZd88wb9RGhDHm6GHhrtYB9kEsFws	fuki	fuki	45	52	1863	1500	0.29	27462.96	62383	2024-05-18 14:48:17	51.74	False	True	True	True	3	766769	0.00006238	-10.89	-10.89	-10.89	14.37	2024-05-18 17:40:01.550470
