chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	HunYZ7cUXvPEdNSHZpaEWN6zTY3hLkqbxNDxa2n1Cw16	3R22skBbugGj8T2m2rm99HCv1tvLDZ8pFcc1H33i5UWj	SolProfit AI	PROFIT	74	75	407	241	2.18	38262.94	269515	2024-05-10 18:03:14	21.02	False	True	True	True	3	0cedb5	0.0002695	12035	12035	12035	17.05	2024-05-10 20:24:15.117057
solana	raydium	HunYZ7cUXvPEdNSHZpaEWN6zTY3hLkqbxNDxa2n1Cw16	3R22skBbugGj8T2m2rm99HCv1tvLDZ8pFcc1H33i5UWj	SolProfit AI	PROFIT	115	236	479	429	2.88	43032.99	339167	2024-05-10 18:03:14	23.3	False	True	True	True	3	0cedb5	0.0003391	15171	15171	15171	67.37	2024-05-10 20:26:32.089713
solana	raydium	HunYZ7cUXvPEdNSHZpaEWN6zTY3hLkqbxNDxa2n1Cw16	3R22skBbugGj8T2m2rm99HCv1tvLDZ8pFcc1H33i5UWj	SolProfit AI	PROFIT	107	116	528	457	2.43	41840.16	319324	2024-05-10 18:03:14	25.6	False	True	True	True	3	0cedb5	0.0003193	14278	14278	14278	-11.44	2024-05-10 20:28:50.162322
solana	raydium	HunYZ7cUXvPEdNSHZpaEWN6zTY3hLkqbxNDxa2n1Cw16	3R22skBbugGj8T2m2rm99HCv1tvLDZ8pFcc1H33i5UWj	SolProfit AI	PROFIT	71	79	553	509	1.54	43191.77	337891	2024-05-10 18:03:14	27.9	False	True	True	True	3	0cedb5	0.0003378	15114	15114	15114	-1.14	2024-05-10 20:31:07.832428
solana	raydium	HunYZ7cUXvPEdNSHZpaEWN6zTY3hLkqbxNDxa2n1Cw16	3R22skBbugGj8T2m2rm99HCv1tvLDZ8pFcc1H33i5UWj	SolProfit AI	PROFIT	57	87	581	541	1.18	42734.18	329652	2024-05-10 18:03:14	30.21	False	True	True	True	3	0cedb5	0.0003296	14743	14743	14743	-8.59	2024-05-10 20:33:26.616433
solana	raydium	HunYZ7cUXvPEdNSHZpaEWN6zTY3hLkqbxNDxa2n1Cw16	3R22skBbugGj8T2m2rm99HCv1tvLDZ8pFcc1H33i5UWj	SolProfit AI	PROFIT	58	77	615	591	1.13	40788.83	298465	2024-05-10 18:03:14	32.5	False	True	True	True	3	0cedb5	0.0002984	13339	13339	13339	-12.06	2024-05-10 20:35:43.770453
solana	raydium	HunYZ7cUXvPEdNSHZpaEWN6zTY3hLkqbxNDxa2n1Cw16	3R22skBbugGj8T2m2rm99HCv1tvLDZ8pFcc1H33i5UWj	SolProfit AI	PROFIT	59	57	642	601	1.1	43293.35	336190	2024-05-10 18:03:14	34.78	False	True	True	True	3	0cedb5	0.0003361	15037	15037	15037	3.82	2024-05-10 20:38:01.002212
solana	raydium	HunYZ7cUXvPEdNSHZpaEWN6zTY3hLkqbxNDxa2n1Cw16	3R22skBbugGj8T2m2rm99HCv1tvLDZ8pFcc1H33i5UWj	SolProfit AI	PROFIT	53	21	668	612	0.95	42886.2	328771	2024-05-10 18:03:14	37.08	False	True	True	True	3	0cedb5	0.0003287	14703	14703	14703	10.15	2024-05-10 20:40:18.625241
solana	raydium	HunYZ7cUXvPEdNSHZpaEWN6zTY3hLkqbxNDxa2n1Cw16	3R22skBbugGj8T2m2rm99HCv1tvLDZ8pFcc1H33i5UWj	SolProfit AI	PROFIT	61	27	708	631	1.03	42235.08	317472	2024-05-10 18:03:14	39.36	False	True	True	True	3	0cedb5	0.0003174	14195	14195	14195	2.48	2024-05-10 20:42:35.835871
solana	raydium	HunYZ7cUXvPEdNSHZpaEWN6zTY3hLkqbxNDxa2n1Cw16	3R22skBbugGj8T2m2rm99HCv1tvLDZ8pFcc1H33i5UWj	SolProfit AI	PROFIT	56	41	736	657	0.91	40355.26	287930	2024-05-10 18:03:14	41.69	False	True	True	True	3	0cedb5	0.0002879	12864	12864	12864	-8.47	2024-05-10 20:44:55.382220
