chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	CqzHqC83k9ZyH5QAjVZfocmBPAiz1s1Zx3j6AkrXoaXU	3S7XPytUBrMbxJxJxNumKTrhQUYWkgsuegJ8Sx3147SV	Peponke	Peponke	148	67	419	171	4.24	52107.99	240598	2024-05-19 14:02:02	10.21	False	True	False	True	2	210147	0.0002405	183	183	183	77.4	2024-05-19 16:12:14.455386
solana	raydium	CqzHqC83k9ZyH5QAjVZfocmBPAiz1s1Zx3j6AkrXoaXU	3S7XPytUBrMbxJxJxNumKTrhQUYWkgsuegJ8Sx3147SV	Peponke	Peponke	337	100	668	233	6.05	63503.23	354934	2024-05-19 14:02:02	12.49	False	True	False	True	2	210147	0.0003549	317	317	317	82.51	2024-05-19 16:14:31.140121
solana	raydium	CqzHqC83k9ZyH5QAjVZfocmBPAiz1s1Zx3j6AkrXoaXU	3S7XPytUBrMbxJxJxNumKTrhQUYWkgsuegJ8Sx3147SV	Peponke	Peponke	514	151	942	326	6.55	69970.59	428598	2024-05-19 14:02:02	14.77	False	True	False	True	2	210147	0.0004285	403	403	403	75.53	2024-05-19 16:16:48.347138
solana	raydium	CqzHqC83k9ZyH5QAjVZfocmBPAiz1s1Zx3j6AkrXoaXU	3S7XPytUBrMbxJxJxNumKTrhQUYWkgsuegJ8Sx3147SV	Peponke	Peponke	501	250	1177	484	5.11	71945.32	449746	2024-05-19 14:02:02	17.05	False	True	False	True	2	210147	0.0004497	428	428	428	21.84	2024-05-19 16:19:05.063290
solana	raydium	CqzHqC83k9ZyH5QAjVZfocmBPAiz1s1Zx3j6AkrXoaXU	3S7XPytUBrMbxJxJxNumKTrhQUYWkgsuegJ8Sx3147SV	Peponke	Peponke	464	298	1389	619	4.01	75350.7	490846	2024-05-19 14:02:02	19.33	False	True	False	True	2	210147	0.0004908	476	476	476	35.34	2024-05-19 16:21:22.012679
solana	raydium	CqzHqC83k9ZyH5QAjVZfocmBPAiz1s1Zx3j6AkrXoaXU	3S7XPytUBrMbxJxJxNumKTrhQUYWkgsuegJ8Sx3147SV	Peponke	Peponke	282	194	1517	710	2.23	74035.15	472482	2024-05-19 14:02:02	21.63	False	True	False	True	2	210147	0.0004724	455	455	455	-3.37	2024-05-19 16:23:39.810194
solana	raydium	CqzHqC83k9ZyH5QAjVZfocmBPAiz1s1Zx3j6AkrXoaXU	3S7XPytUBrMbxJxJxNumKTrhQUYWkgsuegJ8Sx3147SV	Peponke	Peponke	259	175	1665	802	1.87	80200.32	553368	2024-05-19 14:02:02	23.93	False	True	False	True	2	210147	0.0005533	550	550	550	19.22	2024-05-19 16:25:57.905588
solana	raydium	CqzHqC83k9ZyH5QAjVZfocmBPAiz1s1Zx3j6AkrXoaXU	3S7XPytUBrMbxJxJxNumKTrhQUYWkgsuegJ8Sx3147SV	Peponke	Peponke	409	218	1926	928	2.55	72668.78	453306	2024-05-19 14:02:02	26.21	False	True	False	True	2	210147	0.0004533	432	432	432	-4.06	2024-05-19 16:28:14.465387
solana	raydium	CqzHqC83k9ZyH5QAjVZfocmBPAiz1s1Zx3j6AkrXoaXU	3S7XPytUBrMbxJxJxNumKTrhQUYWkgsuegJ8Sx3147SV	Peponke	Peponke	428	205	2164	1041	2.37	81366.23	568458	2024-05-19 14:02:02	28.49	False	True	False	True	2	210147	0.0005684	568	568	568	12.1	2024-05-19 16:30:31.627504
solana	raydium	CqzHqC83k9ZyH5QAjVZfocmBPAiz1s1Zx3j6AkrXoaXU	3S7XPytUBrMbxJxJxNumKTrhQUYWkgsuegJ8Sx3147SV	Peponke	Peponke	379	204	2325	1139	1.96	76677.07	503409	2024-05-19 14:02:02	30.78	False	True	False	True	2	210147	0.0005034	491	491	491	-2.31	2024-05-19 16:32:48.789899
solana	raydium	CqzHqC83k9ZyH5QAjVZfocmBPAiz1s1Zx3j6AkrXoaXU	3S7XPytUBrMbxJxJxNumKTrhQUYWkgsuegJ8Sx3147SV	Peponke	Peponke	392	257	2556	1298	1.84	68112.1	395745	2024-05-19 14:02:02	33.07	False	True	False	True	2	210147	0.0003957	365	365	365	-30.38	2024-05-19 16:35:06.355315
