chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	7D8ix2u9xozQvLGqVt8GxWmS1tQJwrhWPyY66nsdekQx	3t2PfYSF1w3nm3JTXtsABUgpfJSuc1qPjW2WNH2uARdJ	Write your Name	Name	73	48	469	206	1.87	74220.18	199270	2024-05-19 14:07:41	15.98	False	True	True	True	3	fa64a9	0.001992	31.17	31.17	31.17	-14.72	2024-05-19 16:23:39.808181
solana	raydium	7D8ix2u9xozQvLGqVt8GxWmS1tQJwrhWPyY66nsdekQx	3t2PfYSF1w3nm3JTXtsABUgpfJSuc1qPjW2WNH2uARdJ	Write your Name	Name	68	62	509	229	1.6	77730.17	218267	2024-05-19 14:07:41	18.28	False	True	True	True	3	fa64a9	0.002182	43.67	43.67	43.67	-24.29	2024-05-19 16:25:57.904585
solana	raydium	7D8ix2u9xozQvLGqVt8GxWmS1tQJwrhWPyY66nsdekQx	3t2PfYSF1w3nm3JTXtsABUgpfJSuc1qPjW2WNH2uARdJ	Write your Name	Name	62	42	531	249	1.4	69265.81	173647	2024-05-19 14:07:41	20.56	False	True	True	True	3	fa64a9	0.001736	14.3	14.3	14.3	-12.24	2024-05-19 16:28:14.464387
solana	raydium	7D8ix2u9xozQvLGqVt8GxWmS1tQJwrhWPyY66nsdekQx	3t2PfYSF1w3nm3JTXtsABUgpfJSuc1qPjW2WNH2uARdJ	Write your Name	Name	48	61	569	295	1.01	55631.88	112182	2024-05-19 14:07:41	22.84	False	True	True	True	3	fa64a9	0.001121	-26.16	-26.16	-26.16	-44.41	2024-05-19 16:30:31.625502
solana	raydium	7D8ix2u9xozQvLGqVt8GxWmS1tQJwrhWPyY66nsdekQx	3t2PfYSF1w3nm3JTXtsABUgpfJSuc1qPjW2WNH2uARdJ	Write your Name	Name	69	56	603	310	1.37	54810.17	108767	2024-05-19 14:07:41	25.12	False	True	True	True	3	fa64a9	0.001087	-28.41	-28.41	-28.41	-22.62	2024-05-19 16:32:48.109908
solana	raydium	7D8ix2u9xozQvLGqVt8GxWmS1tQJwrhWPyY66nsdekQx	3t2PfYSF1w3nm3JTXtsABUgpfJSuc1qPjW2WNH2uARdJ	Write your Name	Name	41	34	610	329	0.81	54631.31	108056	2024-05-19 14:07:41	27.41	False	True	True	True	3	fa64a9	0.001080	-28.87	-28.87	-28.87	-3.68	2024-05-19 16:35:05.642242
solana	raydium	7D8ix2u9xozQvLGqVt8GxWmS1tQJwrhWPyY66nsdekQx	3t2PfYSF1w3nm3JTXtsABUgpfJSuc1qPjW2WNH2uARdJ	Write your Name	Name	21	27	624	337	0.4	56181.73	114425	2024-05-19 14:07:41	29.72	False	True	True	True	3	fa64a9	0.001144	-24.68	-24.68	-24.68	5.2	2024-05-19 16:37:24.104505
solana	raydium	7D8ix2u9xozQvLGqVt8GxWmS1tQJwrhWPyY66nsdekQx	3t2PfYSF1w3nm3JTXtsABUgpfJSuc1qPjW2WNH2uARdJ	Write your Name	Name	24	7	635	340	0.45	56225.76	114709	2024-05-19 14:07:41	31.99	False	True	True	True	3	fa64a9	0.001147	-24.49	-24.49	-24.49	6.7	2024-05-19 16:39:40.686136
solana	raydium	7D8ix2u9xozQvLGqVt8GxWmS1tQJwrhWPyY66nsdekQx	3t2PfYSF1w3nm3JTXtsABUgpfJSuc1qPjW2WNH2uARdJ	Write your Name	Name	17	11	641	349	0.32	55296.29	110907	2024-05-19 14:07:41	34.29	False	True	True	True	3	fa64a9	0.001109	-27	-27	-27	-2.88	2024-05-19 16:41:58.555734
solana	raydium	7D8ix2u9xozQvLGqVt8GxWmS1tQJwrhWPyY66nsdekQx	3t2PfYSF1w3nm3JTXtsABUgpfJSuc1qPjW2WNH2uARdJ	Write your Name	Name	8	19	641	358	0.15	54175.24	106728	2024-05-19 14:07:41	36.56	False	True	True	True	3	fa64a9	0.001067	-29.75	-29.75	-29.75	-7.97	2024-05-19 16:44:14.860953
solana	raydium	7D8ix2u9xozQvLGqVt8GxWmS1tQJwrhWPyY66nsdekQx	3t2PfYSF1w3nm3JTXtsABUgpfJSuc1qPjW2WNH2uARdJ	Write your Name	Name	2	24	643	373	0.04	50073.7	90921	2024-05-19 14:07:41	38.86	False	True	True	True	3	fa64a9	0.0009092	-40.15	-40.15	-40.15	-17.29	2024-05-19 16:46:32.442305
solana	raydium	7D8ix2u9xozQvLGqVt8GxWmS1tQJwrhWPyY66nsdekQx	3t2PfYSF1w3nm3JTXtsABUgpfJSuc1qPjW2WNH2uARdJ	Write your Name	Name	5	38	646	397	0.09	41073.41	61099	2024-05-19 14:07:41	41.14	False	True	True	True	3	fa64a9	0.0006109	-59.78	-59.78	-59.78	-42.15	2024-05-19 16:48:49.209809
