chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	9dBh9JLzwzcUuptEQnaksP1iwV7SFVSe7ThC14J8zpoi	3wNmRxyZPzDWVAydsF3VuNKCNk89A8uSo7EzTnubDJcR	CoolCoin	COOL	57	100	529	259	1.29	260137.68	2695883	2024-05-09 01:54:13	9.37	False	True	True	True	3	d23a2b	0.002695	10843	10843	10843	-57.9	2024-05-09 04:03:35.222243
solana	raydium	9dBh9JLzwzcUuptEQnaksP1iwV7SFVSe7ThC14J8zpoi	3wNmRxyZPzDWVAydsF3VuNKCNk89A8uSo7EzTnubDJcR	CoolCoin	COOL	93	64	593	278	1.88	303361.17	3663423	2024-05-09 01:54:13	11.61	False	True	True	True	3	d23a2b	0.003663	14771	14771	14771	-22.81	2024-05-09 04:05:49.498542
solana	raydium	9dBh9JLzwzcUuptEQnaksP1iwV7SFVSe7ThC14J8zpoi	3wNmRxyZPzDWVAydsF3VuNKCNk89A8uSo7EzTnubDJcR	CoolCoin	COOL	142	44	671	302	2.54	285759.66	3250541	2024-05-09 01:54:13	13.87	False	True	True	True	3	d23a2b	0.003250	13095	13095	13095	19.03	2024-05-09 04:08:05.120366
solana	raydium	9dBh9JLzwzcUuptEQnaksP1iwV7SFVSe7ThC14J8zpoi	3wNmRxyZPzDWVAydsF3VuNKCNk89A8uSo7EzTnubDJcR	CoolCoin	COOL	155	48	731	323	2.54	294045.74	3436623	2024-05-09 01:54:13	16.11	False	True	True	True	3	d23a2b	0.003436	13850	13850	13850	-3.91	2024-05-09 04:10:19.735474
solana	raydium	9dBh9JLzwzcUuptEQnaksP1iwV7SFVSe7ThC14J8zpoi	3wNmRxyZPzDWVAydsF3VuNKCNk89A8uSo7EzTnubDJcR	CoolCoin	COOL	76	37	765	344	1.19	298520.77	3545324	2024-05-09 01:54:13	18.46	False	True	True	True	3	d23a2b	0.003545	14291	14291	14291	7.99	2024-05-09 04:12:40.582369
solana	raydium	9dBh9JLzwzcUuptEQnaksP1iwV7SFVSe7ThC14J8zpoi	3wNmRxyZPzDWVAydsF3VuNKCNk89A8uSo7EzTnubDJcR	CoolCoin	COOL	72	30	806	354	1.07	316985.54	3999934	2024-05-09 01:54:13	20.72	False	True	True	True	3	d23a2b	0.003999	16137	16137	16137	14.46	2024-05-09 04:14:55.987710
solana	raydium	9dBh9JLzwzcUuptEQnaksP1iwV7SFVSe7ThC14J8zpoi	3wNmRxyZPzDWVAydsF3VuNKCNk89A8uSo7EzTnubDJcR	CoolCoin	COOL	85	38	846	382	1.21	328128.35	4275325	2024-05-09 01:54:13	23.03	False	True	True	True	3	d23a2b	0.004275	17255	17255	17255	23.08	2024-05-09 04:17:15.048098
solana	raydium	9dBh9JLzwzcUuptEQnaksP1iwV7SFVSe7ThC14J8zpoi	3wNmRxyZPzDWVAydsF3VuNKCNk89A8uSo7EzTnubDJcR	CoolCoin	COOL	77	63	877	415	1.05	291828.3	3378453	2024-05-09 01:54:13	25.3	False	True	True	True	3	d23a2b	0.003378	13614	13614	13614	-14.85	2024-05-09 04:19:30.888367
solana	raydium	9dBh9JLzwzcUuptEQnaksP1iwV7SFVSe7ThC14J8zpoi	3wNmRxyZPzDWVAydsF3VuNKCNk89A8uSo7EzTnubDJcR	CoolCoin	COOL	64	35	916	425	0.84	306751.65	3726796	2024-05-09 01:54:13	27.56	False	True	True	True	3	d23a2b	0.003726	15028	15028	15028	-10.39	2024-05-09 04:21:46.803863
solana	raydium	9dBh9JLzwzcUuptEQnaksP1iwV7SFVSe7ThC14J8zpoi	3wNmRxyZPzDWVAydsF3VuNKCNk89A8uSo7EzTnubDJcR	CoolCoin	COOL	51	40	928	456	0.66	255816.46	2590954	2024-05-09 01:54:13	29.84	False	True	True	True	3	d23a2b	0.002590	10417	10417	10417	-23.24	2024-05-09 04:24:03.617924
solana	raydium	9dBh9JLzwzcUuptEQnaksP1iwV7SFVSe7ThC14J8zpoi	3wNmRxyZPzDWVAydsF3VuNKCNk89A8uSo7EzTnubDJcR	CoolCoin	COOL	66	49	976	474	0.81	284559.64	3198723	2024-05-09 01:54:13	32.1	False	True	True	True	3	d23a2b	0.003198	12884	12884	12884	-15.04	2024-05-09 04:26:19.195091
solana	raydium	9dBh9JLzwzcUuptEQnaksP1iwV7SFVSe7ThC14J8zpoi	3wNmRxyZPzDWVAydsF3VuNKCNk89A8uSo7EzTnubDJcR	CoolCoin	COOL	57	25	995	488	0.69	270858.27	2901194	2024-05-09 01:54:13	34.36	False	True	True	True	3	d23a2b	0.002901	11677	11677	11677	4.13	2024-05-09 04:28:34.560156
solana	raydium	9dBh9JLzwzcUuptEQnaksP1iwV7SFVSe7ThC14J8zpoi	3wNmRxyZPzDWVAydsF3VuNKCNk89A8uSo7EzTnubDJcR	CoolCoin	COOL	33	28	1009	502	0.39	272087.47	2927726	2024-05-09 01:54:13	36.6	False	True	True	True	3	d23a2b	0.002927	11784	11784	11784	-8.47	2024-05-09 04:30:49.042616
solana	raydium	9dBh9JLzwzcUuptEQnaksP1iwV7SFVSe7ThC14J8zpoi	3wNmRxyZPzDWVAydsF3VuNKCNk89A8uSo7EzTnubDJcR	CoolCoin	COOL	48	22	1043	510	0.55	283188.06	3169740	2024-05-09 01:54:13	38.86	False	True	True	True	3	d23a2b	0.003169	12767	12767	12767	9.26	2024-05-09 04:33:04.836770
solana	raydium	9dBh9JLzwzcUuptEQnaksP1iwV7SFVSe7ThC14J8zpoi	3wNmRxyZPzDWVAydsF3VuNKCNk89A8uSo7EzTnubDJcR	CoolCoin	COOL	58	19	1067	521	0.65	290558.89	3332888	2024-05-09 01:54:13	41.12	False	True	True	True	3	d23a2b	0.003332	13429	13429	13429	13.84	2024-05-09 04:35:20.038748
solana	raydium	9dBh9JLzwzcUuptEQnaksP1iwV7SFVSe7ThC14J8zpoi	3wNmRxyZPzDWVAydsF3VuNKCNk89A8uSo7EzTnubDJcR	CoolCoin	COOL	44	27	1091	539	0.48	277577.57	3035310	2024-05-09 01:54:13	43.38	False	True	True	True	3	d23a2b	0.003035	12221	12221	12221	-5.17	2024-05-09 04:37:35.996282
solana	raydium	9dBh9JLzwzcUuptEQnaksP1iwV7SFVSe7ThC14J8zpoi	3wNmRxyZPzDWVAydsF3VuNKCNk89A8uSo7EzTnubDJcR	CoolCoin	COOL	35	27	1106	551	0.38	278708.79	3056366	2024-05-09 01:54:13	45.63	False	True	True	True	3	d23a2b	0.003056	12307	12307	12307	-7.82	2024-05-09 04:39:50.702880
solana	raydium	9dBh9JLzwzcUuptEQnaksP1iwV7SFVSe7ThC14J8zpoi	3wNmRxyZPzDWVAydsF3VuNKCNk89A8uSo7EzTnubDJcR	CoolCoin	COOL	36	19	1127	558	0.38	286727.75	3230966	2024-05-09 01:54:13	47.87	False	True	True	True	3	d23a2b	0.003230	13015	13015	13015	6.45	2024-05-09 04:42:05.323392
solana	raydium	9dBh9JLzwzcUuptEQnaksP1iwV7SFVSe7ThC14J8zpoi	3wNmRxyZPzDWVAydsF3VuNKCNk89A8uSo7EzTnubDJcR	CoolCoin	COOL	36	15	1141	564	0.38	287265.15	3242247	2024-05-09 01:54:13	50.12	False	True	True	True	3	d23a2b	0.003242	13061	13061	13061	6.4	2024-05-09 04:44:20.039633
solana	raydium	9dBh9JLzwzcUuptEQnaksP1iwV7SFVSe7ThC14J8zpoi	3wNmRxyZPzDWVAydsF3VuNKCNk89A8uSo7EzTnubDJcR	CoolCoin	COOL	24	14	1153	572	0.25	285746.58	3203353	2024-05-09 01:54:13	52.37	False	True	True	True	3	d23a2b	0.003203	12903	12903	12903	-1.01	2024-05-09 04:46:35.024076
solana	raydium	9dBh9JLzwzcUuptEQnaksP1iwV7SFVSe7ThC14J8zpoi	3wNmRxyZPzDWVAydsF3VuNKCNk89A8uSo7EzTnubDJcR	CoolCoin	COOL	27	16	1168	581	0.28	284882.76	3189237	2024-05-09 01:54:13	54.63	False	True	True	True	3	d23a2b	0.003189	12846	12846	12846	-1.62	2024-05-09 04:48:50.730525
solana	raydium	9dBh9JLzwzcUuptEQnaksP1iwV7SFVSe7ThC14J8zpoi	3wNmRxyZPzDWVAydsF3VuNKCNk89A8uSo7EzTnubDJcR	CoolCoin	COOL	31	22	1184	594	0.31	282976.7	3147086	2024-05-09 01:54:13	56.89	False	True	True	True	3	d23a2b	0.003147	12675	12675	12675	-1.76	2024-05-09 04:51:06.338025
solana	raydium	9dBh9JLzwzcUuptEQnaksP1iwV7SFVSe7ThC14J8zpoi	3wNmRxyZPzDWVAydsF3VuNKCNk89A8uSo7EzTnubDJcR	CoolCoin	COOL	22	22	1189	602	0.22	281872.41	3123983	2024-05-09 01:54:13	59.17	False	True	True	True	3	d23a2b	0.003123	12581	12581	12581	-2.69	2024-05-09 04:53:23.182232
solana	raydium	9dBh9JLzwzcUuptEQnaksP1iwV7SFVSe7ThC14J8zpoi	3wNmRxyZPzDWVAydsF3VuNKCNk89A8uSo7EzTnubDJcR	CoolCoin	COOL	14	16	929	573	0.18	281662	3117464	2024-05-09 01:54:13	61.45	False	True	True	True	3	d23a2b	0.003117	12555	12555	-60.43	-0.96	2024-05-09 04:55:40.102195
solana	raydium	9dBh9JLzwzcUuptEQnaksP1iwV7SFVSe7ThC14J8zpoi	3wNmRxyZPzDWVAydsF3VuNKCNk89A8uSo7EzTnubDJcR	CoolCoin	COOL	15	15	764	479	0.24	283277.43	3158165	2024-05-09 01:54:13	63.71	False	True	True	True	3	d23a2b	0.003158	12720	12720	-49.88	0.31	2024-05-09 04:57:55.418956
solana	raydium	9dBh9JLzwzcUuptEQnaksP1iwV7SFVSe7ThC14J8zpoi	3wNmRxyZPzDWVAydsF3VuNKCNk89A8uSo7EzTnubDJcR	CoolCoin	COOL	14	10	724	437	0.23	278633.77	3055383	2024-05-09 01:54:13	65.98	False	True	True	True	3	d23a2b	0.003055	12303	12303	-41.54	-1.69	2024-05-09 05:00:11.964651
solana	raydium	9dBh9JLzwzcUuptEQnaksP1iwV7SFVSe7ThC14J8zpoi	3wNmRxyZPzDWVAydsF3VuNKCNk89A8uSo7EzTnubDJcR	CoolCoin	COOL	14	15	704	391	0.24	276304.38	3003729	2024-05-09 01:54:13	68.24	False	True	True	True	3	d23a2b	0.003003	12093	12093	-8.89	-5.15	2024-05-09 05:02:27.310990
solana	raydium	9dBh9JLzwzcUuptEQnaksP1iwV7SFVSe7ThC14J8zpoi	3wNmRxyZPzDWVAydsF3VuNKCNk89A8uSo7EzTnubDJcR	CoolCoin	COOL	9	17	647	364	0.17	276175.25	2996430	2024-05-09 01:54:13	70.49	False	True	True	True	3	d23a2b	0.002996	12063	12063	-16.21	-2.3	2024-05-09 05:04:42.140871
solana	raydium	9dBh9JLzwzcUuptEQnaksP1iwV7SFVSe7ThC14J8zpoi	3wNmRxyZPzDWVAydsF3VuNKCNk89A8uSo7EzTnubDJcR	CoolCoin	COOL	10	16	569	350	0.21	276827.93	3006850	2024-05-09 01:54:13	72.74	False	True	True	True	3	d23a2b	0.003006	12106	12106	-4.49	0.1	2024-05-09 05:06:57.217303
solana	raydium	9dBh9JLzwzcUuptEQnaksP1iwV7SFVSe7ThC14J8zpoi	3wNmRxyZPzDWVAydsF3VuNKCNk89A8uSo7EzTnubDJcR	CoolCoin	COOL	15	17	527	339	0.34	277498.92	3026114	2024-05-09 01:54:13	74.98	False	True	True	True	3	d23a2b	0.003026	12184	12184	-16.39	0.72	2024-05-09 05:09:11.855538
solana	raydium	9dBh9JLzwzcUuptEQnaksP1iwV7SFVSe7ThC14J8zpoi	3wNmRxyZPzDWVAydsF3VuNKCNk89A8uSo7EzTnubDJcR	CoolCoin	COOL	14	13	483	317	0.35	272879.33	2783361	2024-05-09 01:54:13	77.25	False	True	True	True	3	d23a2b	0.002929	11793	11793	-15.66	-2.75	2024-05-09 05:11:28.080416
solana	raydium	9dBh9JLzwzcUuptEQnaksP1iwV7SFVSe7ThC14J8zpoi	3wNmRxyZPzDWVAydsF3VuNKCNk89A8uSo7EzTnubDJcR	CoolCoin	COOL	13	15	451	317	0.35	272791.93	2788962	2024-05-09 01:54:13	79.5	False	True	True	True	3	d23a2b	0.002935	11817	11817	-26.01	-2.74	2024-05-09 05:13:43.138825
solana	raydium	9dBh9JLzwzcUuptEQnaksP1iwV7SFVSe7ThC14J8zpoi	3wNmRxyZPzDWVAydsF3VuNKCNk89A8uSo7EzTnubDJcR	CoolCoin	COOL	10	12	411	299	0.29	262379.4	2583984	2024-05-09 01:54:13	81.75	False	True	True	True	3	d23a2b	0.002719	10941	10941	-39.96	-7.07	2024-05-09 05:15:58.247986
solana	raydium	9dBh9JLzwzcUuptEQnaksP1iwV7SFVSe7ThC14J8zpoi	3wNmRxyZPzDWVAydsF3VuNKCNk89A8uSo7EzTnubDJcR	CoolCoin	COOL	12	16	396	280	0.36	261734.13	2566598	2024-05-09 01:54:13	84.01	False	True	True	True	3	d23a2b	0.002701	10867	10867	-20.78	-7.65	2024-05-09 05:18:13.882174
