chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	BzDpVFogwzCF7f65DzH6BQpeDLDbJvY3cEg8EsDXxGEo	3wdEfNod4amvfH9GWAgyBoFtr4JkGQRGWezWMKMZzygo	maganub	maganub	184	77	184	77	12.0	26155	73051	2024-05-09 09:56:54	2.88	False	True	False	True	2	eb551a	0.00007305	30.83	30.83	30.83	30.83	2024-05-09 11:59:46.612329
solana	raydium	BzDpVFogwzCF7f65DzH6BQpeDLDbJvY3cEg8EsDXxGEo	3wdEfNod4amvfH9GWAgyBoFtr4JkGQRGWezWMKMZzygo	maganub	maganub	255	148	291	148	10.52	23994.5	61222	2024-05-09 09:56:54	5.16	False	True	False	True	2	eb551a	0.00006122	9.64	9.64	9.64	4.04	2024-05-09 12:02:03.443213
solana	raydium	BzDpVFogwzCF7f65DzH6BQpeDLDbJvY3cEg8EsDXxGEo	3wdEfNod4amvfH9GWAgyBoFtr4JkGQRGWezWMKMZzygo	maganub	maganub	234	182	411	252	6.83	36116.64	138463	2024-05-09 09:56:54	7.44	False	True	False	True	2	eb551a	0.0001384	148	148	148	82.05	2024-05-09 12:04:20.158551
solana	raydium	BzDpVFogwzCF7f65DzH6BQpeDLDbJvY3cEg8EsDXxGEo	3wdEfNod4amvfH9GWAgyBoFtr4JkGQRGWezWMKMZzygo	maganub	maganub	207	217	518	371	4.8	33073.56	115670	2024-05-09 09:56:54	9.69	False	True	False	True	2	eb551a	0.0001156	107	107	107	46.98	2024-05-09 12:06:35.471643
solana	raydium	BzDpVFogwzCF7f65DzH6BQpeDLDbJvY3cEg8EsDXxGEo	3wdEfNod4amvfH9GWAgyBoFtr4JkGQRGWezWMKMZzygo	maganub	maganub	178	183	608	452	3.51	31805.97	106917	2024-05-09 09:56:54	11.95	False	True	False	True	2	eb551a	0.0001069	91.48	91.48	91.48	-29.94	2024-05-09 12:08:50.993113
solana	raydium	BzDpVFogwzCF7f65DzH6BQpeDLDbJvY3cEg8EsDXxGEo	3wdEfNod4amvfH9GWAgyBoFtr4JkGQRGWezWMKMZzygo	maganub	maganub	188	143	705	514	3.2	28627.24	86193	2024-05-09 09:56:54	14.22	False	True	False	True	2	eb551a	0.00008619	54.36	54.36	54.36	-25.17	2024-05-09 12:11:07.465030
solana	raydium	BzDpVFogwzCF7f65DzH6BQpeDLDbJvY3cEg8EsDXxGEo	3wdEfNod4amvfH9GWAgyBoFtr4JkGQRGWezWMKMZzygo	maganub	maganub	159	102	792	570	2.41	29682.14	92497	2024-05-09 09:56:54	16.49	False	True	False	True	2	eb551a	0.00009249	65.65	65.65	65.65	-8.02	2024-05-09 12:13:23.652083
solana	raydium	BzDpVFogwzCF7f65DzH6BQpeDLDbJvY3cEg8EsDXxGEo	3wdEfNod4amvfH9GWAgyBoFtr4JkGQRGWezWMKMZzygo	maganub	maganub	122	109	852	632	1.72	27708.68	80357	2024-05-09 09:56:54	18.76	False	True	False	True	2	eb551a	0.00008035	43.91	43.91	43.91	1.7	2024-05-09 12:15:39.790308
solana	raydium	BzDpVFogwzCF7f65DzH6BQpeDLDbJvY3cEg8EsDXxGEo	3wdEfNod4amvfH9GWAgyBoFtr4JkGQRGWezWMKMZzygo	maganub	maganub	111	95	903	666	1.48	28708.17	86302	2024-05-09 09:56:54	21.05	False	True	False	True	2	eb551a	0.00008630	54.56	54.56	54.56	-6.23	2024-05-09 12:17:56.817962
solana	raydium	BzDpVFogwzCF7f65DzH6BQpeDLDbJvY3cEg8EsDXxGEo	3wdEfNod4amvfH9GWAgyBoFtr4JkGQRGWezWMKMZzygo	maganub	maganub	103	66	952	698	1.3	28993.59	88091	2024-05-09 09:56:54	23.3	False	True	False	True	2	eb551a	0.00008809	57.76	57.76	57.76	19.94	2024-05-09 12:20:12.235751
