chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	BR5rAV1XknU8Mofd1ZVCo7wAUaqRpwHF3DTLqJ8vRy1U	41RSME2MQiBRNhSqzEnAPSbm9nr3FNvk84j89VQ8prgC	hatwiftrump	wiftrump	94	20	94	20	12.0	27737.04	76342	2024-05-10 10:33:17	1.54	False	True	True	True	3	70ea9c	0.00007634	21.93	21.93	21.93	21.93	2024-05-10 12:34:49.145441
solana	raydium	BR5rAV1XknU8Mofd1ZVCo7wAUaqRpwHF3DTLqJ8vRy1U	41RSME2MQiBRNhSqzEnAPSbm9nr3FNvk84j89VQ8prgC	hatwiftrump	wiftrump	185	67	185	67	12.0	26205.68	67942	2024-05-10 10:33:17	3.78	False	True	True	True	3	70ea9c	0.00006794	8.51	8.51	8.51	8.51	2024-05-10 12:37:03.856052
solana	raydium	BR5rAV1XknU8Mofd1ZVCo7wAUaqRpwHF3DTLqJ8vRy1U	41RSME2MQiBRNhSqzEnAPSbm9nr3FNvk84j89VQ8prgC	hatwiftrump	wiftrump	161	81	247	98	7.82	25577.8	64686	2024-05-10 10:33:17	6.05	False	True	True	True	3	70ea9c	0.00006468	3.31	3.31	3.31	17.06	2024-05-10 12:39:19.822583
solana	raydium	BR5rAV1XknU8Mofd1ZVCo7wAUaqRpwHF3DTLqJ8vRy1U	41RSME2MQiBRNhSqzEnAPSbm9nr3FNvk84j89VQ8prgC	hatwiftrump	wiftrump	89	57	284	129	3.76	23123.88	52843	2024-05-10 10:33:17	8.32	False	True	True	True	3	70ea9c	0.00005284	-15.6	-15.6	-15.6	-25.39	2024-05-10 12:41:35.914476
solana	raydium	BR5rAV1XknU8Mofd1ZVCo7wAUaqRpwHF3DTLqJ8vRy1U	41RSME2MQiBRNhSqzEnAPSbm9nr3FNvk84j89VQ8prgC	hatwiftrump	wiftrump	8	5	88	42	1.09	22755.51	50420	2024-05-10 10:33:17	126.44	False	True	True	True	3	70ea9c	0.00005041	-19.47	-19.47	52.22	19.86	2024-05-10 14:39:43.144972
solana	raydium	BR5rAV1XknU8Mofd1ZVCo7wAUaqRpwHF3DTLqJ8vRy1U	41RSME2MQiBRNhSqzEnAPSbm9nr3FNvk84j89VQ8prgC	hatwiftrump	wiftrump	8	6	89	40	1.08	22991.45	51468	2024-05-10 10:33:17	128.73	False	True	True	True	3	70ea9c	0.00005146	-17.8	-17.8	75.76	13.87	2024-05-10 14:42:00.541384
solana	raydium	BR5rAV1XknU8Mofd1ZVCo7wAUaqRpwHF3DTLqJ8vRy1U	41RSME2MQiBRNhSqzEnAPSbm9nr3FNvk84j89VQ8prgC	hatwiftrump	wiftrump	47	56	669	354	0.84	23617.75	55203	2024-05-10 10:33:17	418.39	False	True	True	True	3	70ea9c	0.00005520	-11.83	78.16	83.51	11.45	2024-05-10 19:31:40.389583
solana	raydium	BR5rAV1XknU8Mofd1ZVCo7wAUaqRpwHF3DTLqJ8vRy1U	41RSME2MQiBRNhSqzEnAPSbm9nr3FNvk84j89VQ8prgC	hatwiftrump	wiftrump	48	34	675	355	0.85	23397.23	54552	2024-05-10 10:33:17	420.66	False	True	True	True	3	70ea9c	0.00005455	-12.88	61.52	75.8	15.38	2024-05-10 19:33:56.344576
solana	raydium	BR5rAV1XknU8Mofd1ZVCo7wAUaqRpwHF3DTLqJ8vRy1U	41RSME2MQiBRNhSqzEnAPSbm9nr3FNvk84j89VQ8prgC	hatwiftrump	wiftrump	46	24	672	360	0.82	23453.35	54812	2024-05-10 10:33:17	422.97	False	True	True	True	3	70ea9c	0.00005481	-12.46	45.23	74.37	-0.71	2024-05-10 19:36:15.125735
solana	raydium	BR5rAV1XknU8Mofd1ZVCo7wAUaqRpwHF3DTLqJ8vRy1U	41RSME2MQiBRNhSqzEnAPSbm9nr3FNvk84j89VQ8prgC	hatwiftrump	wiftrump	53	30	699	375	0.91	27266.98	73841	2024-05-10 10:33:17	425.26	False	True	True	True	3	70ea9c	0.00007384	17.93	123	137	33.7	2024-05-10 19:38:32.372934
