chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	B5Bx2oXDsk6hRjQhZfZFqCd1E12K6PBSrzSNnBgDnba1	4ZgcHNTNAvPQgnxMYAmDV8LwpvJzRCvt5nQETncn9VSK	MELANCHOLY	MELANCHOLY	42	13	42	13	12.0	24751.13	55401	2024-05-19 13:13:55	1.24	False	True	True	True	3	411cc9	0.00005540	-14.31	-14.31	-14.31	-14.31	2024-05-19 15:15:09.426584
solana	raydium	B5Bx2oXDsk6hRjQhZfZFqCd1E12K6PBSrzSNnBgDnba1	4ZgcHNTNAvPQgnxMYAmDV8LwpvJzRCvt5nQETncn9VSK	MELANCHOLY	MELANCHOLY	74	52	483	426	1.84	28524.99	71430	2024-05-19 13:13:55	35.53	False	True	True	True	3	411cc9	0.00007143	10.48	10.48	10.48	85.85	2024-05-19 15:49:26.729740
solana	raydium	B5Bx2oXDsk6hRjQhZfZFqCd1E12K6PBSrzSNnBgDnba1	4ZgcHNTNAvPQgnxMYAmDV8LwpvJzRCvt5nQETncn9VSK	MELANCHOLY	MELANCHOLY	67	60	510	455	1.58	26324.31	60835	2024-05-19 13:13:55	37.8	False	True	True	True	3	411cc9	0.00006083	-5.91	-5.91	-5.91	17.37	2024-05-19 15:51:43.185655
solana	raydium	B5Bx2oXDsk6hRjQhZfZFqCd1E12K6PBSrzSNnBgDnba1	4ZgcHNTNAvPQgnxMYAmDV8LwpvJzRCvt5nQETncn9VSK	MELANCHOLY	MELANCHOLY	54	42	563	494	1.15	24835.29	53877	2024-05-19 13:13:55	42.39	False	True	True	True	3	411cc9	0.00005387	-16.67	-16.67	-16.67	-22.41	2024-05-19 15:56:18.177527
solana	raydium	B5Bx2oXDsk6hRjQhZfZFqCd1E12K6PBSrzSNnBgDnba1	4ZgcHNTNAvPQgnxMYAmDV8LwpvJzRCvt5nQETncn9VSK	MELANCHOLY	MELANCHOLY	35	42	568	515	0.74	24033.23	50452	2024-05-19 13:13:55	44.67	False	True	True	True	3	411cc9	0.00005045	-21.96	-21.96	-21.96	11.75	2024-05-19 15:58:34.958578
solana	raydium	B5Bx2oXDsk6hRjQhZfZFqCd1E12K6PBSrzSNnBgDnba1	4ZgcHNTNAvPQgnxMYAmDV8LwpvJzRCvt5nQETncn9VSK	MELANCHOLY	MELANCHOLY	15	4	416	387	0.43	24914.1	53880	2024-05-19 13:13:55	69.77	False	True	True	True	3	411cc9	0.00005387	-16.66	-16.66	66.47	35.97	2024-05-19 16:23:41.222595
solana	raydium	B5Bx2oXDsk6hRjQhZfZFqCd1E12K6PBSrzSNnBgDnba1	4ZgcHNTNAvPQgnxMYAmDV8LwpvJzRCvt5nQETncn9VSK	MELANCHOLY	MELANCHOLY	9	8	397	381	0.27	25560.45	56711	2024-05-19 13:13:55	72.07	False	True	True	True	3	411cc9	0.00005671	-12.28	-12.28	33.03	19.95	2024-05-19 16:25:59.450640
solana	raydium	B5Bx2oXDsk6hRjQhZfZFqCd1E12K6PBSrzSNnBgDnba1	4ZgcHNTNAvPQgnxMYAmDV8LwpvJzRCvt5nQETncn9VSK	MELANCHOLY	MELANCHOLY	14	11	390	362	0.43	27091.7	63845	2024-05-19 13:13:55	74.35	False	True	True	True	3	411cc9	0.00006384	-1.25	-1.25	81.57	18.49	2024-05-19 16:28:15.895101
solana	raydium	B5Bx2oXDsk6hRjQhZfZFqCd1E12K6PBSrzSNnBgDnba1	4ZgcHNTNAvPQgnxMYAmDV8LwpvJzRCvt5nQETncn9VSK	MELANCHOLY	MELANCHOLY	12	21	373	360	0.39	24630.49	52895	2024-05-19 13:13:55	76.63	False	True	True	True	3	411cc9	0.00005289	-18.19	-18.19	13.78	-12.75	2024-05-19 16:30:33.053213
solana	raydium	B5Bx2oXDsk6hRjQhZfZFqCd1E12K6PBSrzSNnBgDnba1	4ZgcHNTNAvPQgnxMYAmDV8LwpvJzRCvt5nQETncn9VSK	MELANCHOLY	MELANCHOLY	144	78	244	209	7.08	36205.35	113460	2024-05-19 13:13:55	113.22	False	True	True	True	3	411cc9	0.0001134	75.49	75.49	171	389	2024-05-19 17:07:08.247993
solana	raydium	B5Bx2oXDsk6hRjQhZfZFqCd1E12K6PBSrzSNnBgDnba1	4ZgcHNTNAvPQgnxMYAmDV8LwpvJzRCvt5nQETncn9VSK	MELANCHOLY	MELANCHOLY	244	161	343	287	8.54	39928.47	136861	2024-05-19 13:13:55	115.53	False	True	True	True	3	411cc9	0.0001368	112	112	271	535	2024-05-19 17:09:26.678211
solana	raydium	B5Bx2oXDsk6hRjQhZfZFqCd1E12K6PBSrzSNnBgDnba1	4ZgcHNTNAvPQgnxMYAmDV8LwpvJzRCvt5nQETncn9VSK	MELANCHOLY	MELANCHOLY	156	141	417	345	4.49	37729.22	121901	2024-05-19 13:13:55	117.81	False	True	True	True	3	411cc9	0.0001219	88.55	88.55	268	14.06	2024-05-19 17:11:43.365902
solana	raydium	B5Bx2oXDsk6hRjQhZfZFqCd1E12K6PBSrzSNnBgDnba1	4ZgcHNTNAvPQgnxMYAmDV8LwpvJzRCvt5nQETncn9VSK	MELANCHOLY	MELANCHOLY	126	89	474	361	3.19	37578.06	120586	2024-05-19 13:13:55	120.09	False	True	True	True	3	411cc9	0.0001205	86.51	86.51	358	-12.44	2024-05-19 17:14:00.193382
solana	raydium	B5Bx2oXDsk6hRjQhZfZFqCd1E12K6PBSrzSNnBgDnba1	4ZgcHNTNAvPQgnxMYAmDV8LwpvJzRCvt5nQETncn9VSK	MELANCHOLY	MELANCHOLY	105	46	491	370	2.57	35463.39	107473	2024-05-19 13:13:55	122.36	False	True	True	True	3	411cc9	0.0001074	66.23	66.23	196	-10.03	2024-05-19 17:16:16.657891
