chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	GGJkhBwZyDP4dAQwhfdYX7YcYZMR2AH2PUZxfpmvs7ww	4fBpDwhKYmzvNMZrZnwWjqpvrmfoMtvQJZ98TiHWFGvK	Pot Dog	POTDOG	39	35	574	403	0.82	22373.16	91932	2024-05-08 02:03:22	32.71	False	True	True	True	4	298f44	0.00009193	4822	4822	4822	-15.87	2024-05-08 04:36:04.371200
solana	raydium	GGJkhBwZyDP4dAQwhfdYX7YcYZMR2AH2PUZxfpmvs7ww	4fBpDwhKYmzvNMZrZnwWjqpvrmfoMtvQJZ98TiHWFGvK	Pot Dog	POTDOG	37	37	594	422	0.75	24453.08	109630	2024-05-08 02:03:22	35.01	False	True	True	True	4	298f44	0.0001096	5770	5770	5770	3.55	2024-05-08 04:38:22.471500
solana	raydium	GGJkhBwZyDP4dAQwhfdYX7YcYZMR2AH2PUZxfpmvs7ww	4fBpDwhKYmzvNMZrZnwWjqpvrmfoMtvQJZ98TiHWFGvK	Pot Dog	POTDOG	45	50	619	461	0.87	25108.14	115151	2024-05-08 02:03:22	37.3	False	True	True	True	4	298f44	0.0001151	6066	6066	6066	45.16	2024-05-08 04:40:40.017272
solana	raydium	GGJkhBwZyDP4dAQwhfdYX7YcYZMR2AH2PUZxfpmvs7ww	4fBpDwhKYmzvNMZrZnwWjqpvrmfoMtvQJZ98TiHWFGvK	Pot Dog	POTDOG	51	54	646	476	0.95	28905.23	152394	2024-05-08 02:03:22	39.57	False	True	True	True	4	298f44	0.0001523	8060	8060	8060	38.83	2024-05-08 04:42:56.453995
solana	raydium	GGJkhBwZyDP4dAQwhfdYX7YcYZMR2AH2PUZxfpmvs7ww	4fBpDwhKYmzvNMZrZnwWjqpvrmfoMtvQJZ98TiHWFGvK	Pot Dog	POTDOG	44	34	663	492	0.8	30083.34	164969	2024-05-08 02:03:22	41.84	False	True	True	True	4	298f44	0.0001649	8733	8733	8733	40.61	2024-05-08 04:45:12.336985
solana	raydium	GGJkhBwZyDP4dAQwhfdYX7YcYZMR2AH2PUZxfpmvs7ww	4fBpDwhKYmzvNMZrZnwWjqpvrmfoMtvQJZ98TiHWFGvK	Pot Dog	POTDOG	31	31	673	505	0.55	25896.04	122043	2024-05-08 02:03:22	44.11	False	True	True	True	4	298f44	0.0001220	6435	6435	6435	-19.54	2024-05-08 04:47:28.719946
solana	raydium	GGJkhBwZyDP4dAQwhfdYX7YcYZMR2AH2PUZxfpmvs7ww	4fBpDwhKYmzvNMZrZnwWjqpvrmfoMtvQJZ98TiHWFGvK	Pot Dog	POTDOG	31	27	694	522	0.54	27558.39	138174	2024-05-08 02:03:22	46.41	False	True	True	True	4	298f44	0.0001381	7298	7298	7298	-13.12	2024-05-08 04:49:46.824808
solana	raydium	GGJkhBwZyDP4dAQwhfdYX7YcYZMR2AH2PUZxfpmvs7ww	4fBpDwhKYmzvNMZrZnwWjqpvrmfoMtvQJZ98TiHWFGvK	Pot Dog	POTDOG	30	28	703	534	0.51	26505.79	127617	2024-05-08 02:03:22	48.72	False	True	True	True	4	298f44	0.0001276	6733	6733	6733	6.83	2024-05-08 04:52:05.152789
solana	raydium	GGJkhBwZyDP4dAQwhfdYX7YcYZMR2AH2PUZxfpmvs7ww	4fBpDwhKYmzvNMZrZnwWjqpvrmfoMtvQJZ98TiHWFGvK	Pot Dog	POTDOG	20	25	712	545	0.34	24200.05	106684	2024-05-08 02:03:22	51.01	False	True	True	True	4	298f44	0.0001066	5612	5612	5612	-28.82	2024-05-08 04:54:22.589868
solana	raydium	GGJkhBwZyDP4dAQwhfdYX7YcYZMR2AH2PUZxfpmvs7ww	4fBpDwhKYmzvNMZrZnwWjqpvrmfoMtvQJZ98TiHWFGvK	Pot Dog	POTDOG	26	15	729	550	0.43	27744.74	140049	2024-05-08 02:03:22	53.3	False	True	True	True	4	298f44	0.0001400	7399	7399	7399	13.99	2024-05-08 04:56:40.064968
