chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	7C69aHpUiEnt4px8MTjg5zPmBoNxHXnPZ1aQxXaCjD43	4fsWX7ufxSRZWq1hEeJNkkB6eQtvqCdF3xATcAnRa4Ex	Albert II	$AlbertII	19	16	136	58	1.68	21947.3	75605	2024-05-12 15:58:41	11.51	False	True	True	True	3	4d0204	0.001095	17.57	17.57	17.57	-5.51	2024-05-12 18:10:11.752724
solana	raydium	7C69aHpUiEnt4px8MTjg5zPmBoNxHXnPZ1aQxXaCjD43	4fsWX7ufxSRZWq1hEeJNkkB6eQtvqCdF3xATcAnRa4Ex	Albert II	$AlbertII	19	13	143	67	1.59	20258.01	64267	2024-05-12 15:58:41	13.83	False	True	True	True	3	4d0204	0.0009314	-0.06	-0.06	-0.06	-3.98	2024-05-12 18:12:30.685436
solana	raydium	7C69aHpUiEnt4px8MTjg5zPmBoNxHXnPZ1aQxXaCjD43	4fsWX7ufxSRZWq1hEeJNkkB6eQtvqCdF3xATcAnRa4Ex	Albert II	$AlbertII	14	12	151	71	1.11	21170.77	70151	2024-05-12 15:58:41	16.11	False	True	True	True	3	4d0204	0.001016	9.09	9.09	9.09	-7.27	2024-05-12 18:14:47.346956
solana	raydium	7C69aHpUiEnt4px8MTjg5zPmBoNxHXnPZ1aQxXaCjD43	4fsWX7ufxSRZWq1hEeJNkkB6eQtvqCdF3xATcAnRa4Ex	Albert II	$AlbertII	22	17	165	84	1.6	21984.86	75391	2024-05-12 15:58:41	18.38	False	True	True	True	3	4d0204	0.001092	17.24	17.24	17.24	17.31	2024-05-12 18:17:04.022456
solana	raydium	7C69aHpUiEnt4px8MTjg5zPmBoNxHXnPZ1aQxXaCjD43	4fsWX7ufxSRZWq1hEeJNkkB6eQtvqCdF3xATcAnRa4Ex	Albert II	$AlbertII	14	13	170	85	0.99	22405.28	78201	2024-05-12 15:58:41	20.85	False	True	True	True	3	4d0204	0.001133	21.61	21.61	21.61	-1.14	2024-05-12 18:19:32.043888
solana	raydium	7C69aHpUiEnt4px8MTjg5zPmBoNxHXnPZ1aQxXaCjD43	4fsWX7ufxSRZWq1hEeJNkkB6eQtvqCdF3xATcAnRa4Ex	Albert II	$AlbertII	18	6	183	90	1.18	23124.58	83223	2024-05-12 15:58:41	23.13	False	True	True	True	3	4d0204	0.001206	29.42	29.42	29.42	10.39	2024-05-12 18:21:49.009130
solana	raydium	7C69aHpUiEnt4px8MTjg5zPmBoNxHXnPZ1aQxXaCjD43	4fsWX7ufxSRZWq1hEeJNkkB6eQtvqCdF3xATcAnRa4Ex	Albert II	$AlbertII	35	17	205	102	2.05	23795.78	87968	2024-05-12 15:58:41	25.4	False	True	True	True	3	4d0204	0.001274	36.8	36.8	36.8	12.49	2024-05-12 18:24:05.052329
solana	raydium	7C69aHpUiEnt4px8MTjg5zPmBoNxHXnPZ1aQxXaCjD43	4fsWX7ufxSRZWq1hEeJNkkB6eQtvqCdF3xATcAnRa4Ex	Albert II	$AlbertII	36	21	215	109	2.01	23128.16	83202	2024-05-12 15:58:41	27.69	False	True	True	True	3	4d0204	0.001205	29.39	29.39	29.39	2.84	2024-05-12 18:26:22.448975
solana	raydium	7C69aHpUiEnt4px8MTjg5zPmBoNxHXnPZ1aQxXaCjD43	4fsWX7ufxSRZWq1hEeJNkkB6eQtvqCdF3xATcAnRa4Ex	Albert II	$AlbertII	13	14	220	119	0.71	23142.83	83324	2024-05-12 15:58:41	29.95	False	True	True	True	3	4d0204	0.001207	29.58	29.58	29.58	-0.47	2024-05-12 18:28:38.149766
solana	raydium	7C69aHpUiEnt4px8MTjg5zPmBoNxHXnPZ1aQxXaCjD43	4fsWX7ufxSRZWq1hEeJNkkB6eQtvqCdF3xATcAnRa4Ex	Albert II	$AlbertII	12	17	227	129	0.63	23013.42	82353	2024-05-12 15:58:41	32.26	False	True	True	True	3	4d0204	0.001193	28.07	28.07	28.07	5.25	2024-05-12 18:30:56.529328
