chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	FFHHvACx52NVyQbAboyY7itQCSd6DgGw2UW12gpEX9Ha	4uiVRUmUSTkT2FT6di18xUNBpFhkAEBxCe9uuNwL1poQ	SWOOPDWOG	SWOOPDWOG	45	3	133	16	4.06	1950668.14	988784	2024-05-19 03:10:17	11.3	False	True	False	True	1	79300a	0.009887	2.85	2.85	2.85	1.59	2024-05-19 05:21:35.197049
solana	raydium	FFHHvACx52NVyQbAboyY7itQCSd6DgGw2UW12gpEX9Ha	4uiVRUmUSTkT2FT6di18xUNBpFhkAEBxCe9uuNwL1poQ	SWOOPDWOG	SWOOPDWOG	30	6	147	20	2.45	1952539.83	991980	2024-05-19 03:10:17	13.6	False	True	False	True	1	79300a	0.009919	3.19	3.19	3.19	1.06	2024-05-19 05:23:53.071025
solana	raydium	FFHHvACx52NVyQbAboyY7itQCSd6DgGw2UW12gpEX9Ha	4uiVRUmUSTkT2FT6di18xUNBpFhkAEBxCe9uuNwL1poQ	SWOOPDWOG	SWOOPDWOG	30	7	163	23	2.21	1950018.11	990603	2024-05-19 03:10:17	15.92	False	True	False	True	1	79300a	0.009906	3.04	3.04	3.04	0.18	2024-05-19 05:26:12.423499
solana	raydium	FFHHvACx52NVyQbAboyY7itQCSd6DgGw2UW12gpEX9Ha	4uiVRUmUSTkT2FT6di18xUNBpFhkAEBxCe9uuNwL1poQ	SWOOPDWOG	SWOOPDWOG	33	7	178	27	2.22	1957408.5	999149	2024-05-19 03:10:17	18.23	False	True	False	True	1	79300a	0.009991	3.93	3.93	3.93	0.8	2024-05-19 05:28:30.934201
solana	raydium	FFHHvACx52NVyQbAboyY7itQCSd6DgGw2UW12gpEX9Ha	4uiVRUmUSTkT2FT6di18xUNBpFhkAEBxCe9uuNwL1poQ	SWOOPDWOG	SWOOPDWOG	29	6	194	30	1.79	1964774.87	1005636	2024-05-19 03:10:17	20.53	False	True	False	True	1	79300a	0.01005	4.61	4.61	4.61	1.04	2024-05-19 05:30:48.684247
solana	raydium	FFHHvACx52NVyQbAboyY7itQCSd6DgGw2UW12gpEX9Ha	4uiVRUmUSTkT2FT6di18xUNBpFhkAEBxCe9uuNwL1poQ	SWOOPDWOG	SWOOPDWOG	33	5	211	32	1.88	1969785.03	1010706	2024-05-19 03:10:17	22.83	False	True	False	True	1	79300a	0.01010	5.13	5.13	5.13	1.16	2024-05-19 05:33:06.520807
solana	raydium	FFHHvACx52NVyQbAboyY7itQCSd6DgGw2UW12gpEX9Ha	4uiVRUmUSTkT2FT6di18xUNBpFhkAEBxCe9uuNwL1poQ	SWOOPDWOG	SWOOPDWOG	31	9	224	39	1.66	1970854.1	1012725	2024-05-19 03:10:17	25.14	False	True	False	True	1	79300a	0.01012	5.34	5.34	5.34	0.78	2024-05-19 05:35:25.387161
solana	raydium	FFHHvACx52NVyQbAboyY7itQCSd6DgGw2UW12gpEX9Ha	4uiVRUmUSTkT2FT6di18xUNBpFhkAEBxCe9uuNwL1poQ	SWOOPDWOG	SWOOPDWOG	31	5	243	40	1.53	1970049.03	1012587	2024-05-19 03:10:17	27.43	False	True	False	True	1	79300a	0.01012	5.33	5.33	5.33	0.76	2024-05-19 05:37:42.857598
solana	raydium	FFHHvACx52NVyQbAboyY7itQCSd6DgGw2UW12gpEX9Ha	4uiVRUmUSTkT2FT6di18xUNBpFhkAEBxCe9uuNwL1poQ	SWOOPDWOG	SWOOPDWOG	28	3	252	42	1.33	1977352.54	1020045	2024-05-19 03:10:17	29.73	False	True	False	True	1	79300a	0.01020	6.1	6.1	6.1	0.72	2024-05-19 05:40:00.633836
solana	raydium	FFHHvACx52NVyQbAboyY7itQCSd6DgGw2UW12gpEX9Ha	4uiVRUmUSTkT2FT6di18xUNBpFhkAEBxCe9uuNwL1poQ	SWOOPDWOG	SWOOPDWOG	35	13	277	52	1.52	1985499.27	1028265	2024-05-19 03:10:17	32.04	False	True	False	True	1	79300a	0.01028	6.96	6.96	6.96	1.06	2024-05-19 05:42:19.333955
solana	raydium	FFHHvACx52NVyQbAboyY7itQCSd6DgGw2UW12gpEX9Ha	4uiVRUmUSTkT2FT6di18xUNBpFhkAEBxCe9uuNwL1poQ	SWOOPDWOG	SWOOPDWOG	106	43	362	89	3.51	1999632.87	1043910	2024-05-19 03:10:17	34.37	False	True	False	True	1	79300a	0.01043	8.59	8.59	8.59	2.13	2024-05-19 05:44:38.925150
solana	raydium	FFHHvACx52NVyQbAboyY7itQCSd6DgGw2UW12gpEX9Ha	4uiVRUmUSTkT2FT6di18xUNBpFhkAEBxCe9uuNwL1poQ	SWOOPDWOG	SWOOPDWOG	169	80	455	137	4.46	2013173.67	1058935	2024-05-19 03:10:17	36.71	False	True	False	True	1	79300a	0.01058	10.15	10.15	10.15	2.71	2024-05-19 05:46:59.627491
solana	raydium	FFHHvACx52NVyQbAboyY7itQCSd6DgGw2UW12gpEX9Ha	4uiVRUmUSTkT2FT6di18xUNBpFhkAEBxCe9uuNwL1poQ	SWOOPDWOG	SWOOPDWOG	194	92	552	179	4.22	2034066.6	1079891	2024-05-19 03:10:17	39.03	False	True	False	True	1	79300a	0.01079	12.33	12.33	12.33	4.29	2024-05-19 05:49:18.820183
solana	raydium	FFHHvACx52NVyQbAboyY7itQCSd6DgGw2UW12gpEX9Ha	4uiVRUmUSTkT2FT6di18xUNBpFhkAEBxCe9uuNwL1poQ	SWOOPDWOG	SWOOPDWOG	224	108	661	234	4.07	2036316.57	1080810	2024-05-19 03:10:17	41.31	False	True	False	True	1	79300a	0.01080	12.43	12.43	12.43	2.42	2024-05-19 05:51:35.554156
solana	raydium	FFHHvACx52NVyQbAboyY7itQCSd6DgGw2UW12gpEX9Ha	4uiVRUmUSTkT2FT6di18xUNBpFhkAEBxCe9uuNwL1poQ	SWOOPDWOG	SWOOPDWOG	195	106	759	291	3.08	2031963.36	1076012	2024-05-19 03:10:17	43.65	False	True	False	True	1	79300a	0.01076	11.93	11.93	11.93	-0.41	2024-05-19 05:53:56.057718
solana	raydium	FFHHvACx52NVyQbAboyY7itQCSd6DgGw2UW12gpEX9Ha	4uiVRUmUSTkT2FT6di18xUNBpFhkAEBxCe9uuNwL1poQ	SWOOPDWOG	SWOOPDWOG	188	110	857	345	2.63	2034666.21	1078656	2024-05-19 03:10:17	45.94	False	True	False	True	1	79300a	0.01078	12.2	12.2	12.2	-0.56	2024-05-19 05:56:13.147537
solana	raydium	FFHHvACx52NVyQbAboyY7itQCSd6DgGw2UW12gpEX9Ha	4uiVRUmUSTkT2FT6di18xUNBpFhkAEBxCe9uuNwL1poQ	SWOOPDWOG	SWOOPDWOG	195	108	937	395	2.5	2063661.85	1108867	2024-05-19 03:10:17	48.25	False	True	False	True	1	79300a	0.01108	15.34	15.34	15.34	2.73	2024-05-19 05:58:31.726165
