chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	6LEnum3HoxR6N34k7Z5gZmxHvx1Covz2ZnEnSsVVbwYK	5JBo3mBMxAbz2uXXnDwG9dBrkFQDSvQHtujHRBGa64S1	Yuri 율이	YURI	93	86	2324	1775	0.48	35822.43	108265	2024-05-06 12:33:06	68.08	False	True	False	True	2	701c41	0.0001082	78.25	78.25	-31.1	-6.79	2024-05-06 15:41:10.630052
solana	raydium	6LEnum3HoxR6N34k7Z5gZmxHvx1Covz2ZnEnSsVVbwYK	5JBo3mBMxAbz2uXXnDwG9dBrkFQDSvQHtujHRBGa64S1	Yuri 율이	YURI	82	88	2162	1674	0.46	35600.84	106787	2024-05-06 12:33:06	70.25	False	True	False	True	2	701c41	0.0001067	75.82	75.82	-33.31	-3.76	2024-05-06 15:43:21.171414
solana	raydium	6LEnum3HoxR6N34k7Z5gZmxHvx1Covz2ZnEnSsVVbwYK	5JBo3mBMxAbz2uXXnDwG9dBrkFQDSvQHtujHRBGa64S1	Yuri 율이	YURI	60	75	1932	1511	0.37	31905.31	85786	2024-05-06 12:33:06	72.47	False	True	False	True	2	701c41	0.00008578	41.24	41.24	-30.08	-20.07	2024-05-06 15:45:33.923930
solana	raydium	6LEnum3HoxR6N34k7Z5gZmxHvx1Covz2ZnEnSsVVbwYK	5JBo3mBMxAbz2uXXnDwG9dBrkFQDSvQHtujHRBGa64S1	Yuri 율이	YURI	84	78	1767	1349	0.57	32903.04	91275	2024-05-06 12:33:06	74.66	False	True	False	True	2	701c41	0.00009127	50.28	50.28	-3.81	-9.74	2024-05-06 15:47:45.830077
solana	raydium	6LEnum3HoxR6N34k7Z5gZmxHvx1Covz2ZnEnSsVVbwYK	5JBo3mBMxAbz2uXXnDwG9dBrkFQDSvQHtujHRBGa64S1	Yuri 율이	YURI	106	87	1711	1324	0.74	31647.8	84141	2024-05-06 12:33:06	76.83	False	True	False	True	2	701c41	0.00008422	38.67	38.67	-17.21	-3.95	2024-05-06 15:49:55.897634
solana	raydium	6LEnum3HoxR6N34k7Z5gZmxHvx1Covz2ZnEnSsVVbwYK	5JBo3mBMxAbz2uXXnDwG9dBrkFQDSvQHtujHRBGa64S1	Yuri 율이	YURI	134	89	1695	1268	0.95	31219.79	81661	2024-05-06 12:33:06	79.02	False	True	False	True	2	701c41	0.00008174	34.59	34.59	25.99	-10.93	2024-05-06 15:52:07.016933
solana	raydium	6LEnum3HoxR6N34k7Z5gZmxHvx1Covz2ZnEnSsVVbwYK	5JBo3mBMxAbz2uXXnDwG9dBrkFQDSvQHtujHRBGa64S1	Yuri 율이	YURI	136	78	1637	1237	1.0	29272.8	71624	2024-05-06 12:33:06	81.22	False	True	False	True	2	701c41	0.00007169	18.04	18.04	-17.38	-11.3	2024-05-06 15:54:19.157242
solana	raydium	6LEnum3HoxR6N34k7Z5gZmxHvx1Covz2ZnEnSsVVbwYK	5JBo3mBMxAbz2uXXnDwG9dBrkFQDSvQHtujHRBGa64S1	Yuri 율이	YURI	153	89	1620	1208	1.13	28651.23	68566	2024-05-06 12:33:06	83.41	False	True	False	True	2	701c41	0.00006863	13	13	11.4	-14.92	2024-05-06 15:56:30.863373
solana	raydium	6LEnum3HoxR6N34k7Z5gZmxHvx1Covz2ZnEnSsVVbwYK	5JBo3mBMxAbz2uXXnDwG9dBrkFQDSvQHtujHRBGa64S1	Yuri 율이	YURI	138	75	1551	1124	1.07	25692.81	55031	2024-05-06 12:33:06	85.61	False	True	False	True	2	701c41	0.00005508	-9.3	-9.3	-34.25	-23.05	2024-05-06 15:58:42.775981
solana	raydium	6LEnum3HoxR6N34k7Z5gZmxHvx1Covz2ZnEnSsVVbwYK	5JBo3mBMxAbz2uXXnDwG9dBrkFQDSvQHtujHRBGa64S1	Yuri 율이	YURI	144	66	1569	1129	1.1	26825.72	59857	2024-05-06 12:33:06	87.8	False	True	False	True	2	701c41	0.00005991	-1.35	-1.35	-33.51	-12.7	2024-05-06 16:00:53.846621
