chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	J9hh55fcgUBq3rhxa5Q4rpxDyFnPUYtro8r8Ree6bvoM	5N8xjRZs7uXeyMkUBFeHVmiHUFvNBC2ND6QQy3HEq9eQ	Trumps Hat Wif Hat	MagaWif	113	71	300	177	4.52	25220.79	54941	2024-05-19 11:24:37	9.47	False	True	True	True	3	6a61ac	0.00005606	-14.92	-14.92	-14.92	109	2024-05-19 13:34:04.917905
solana	raydium	J9hh55fcgUBq3rhxa5Q4rpxDyFnPUYtro8r8Ree6bvoM	5N8xjRZs7uXeyMkUBFeHVmiHUFvNBC2ND6QQy3HEq9eQ	Trumps Hat Wif Hat	MagaWif	110	65	366	216	3.61	36561.15	115091	2024-05-19 11:24:37	11.8	False	True	True	True	3	6a61ac	0.0001174	78.22	78.22	78.22	271	2024-05-19 13:36:25.000479
solana	raydium	J9hh55fcgUBq3rhxa5Q4rpxDyFnPUYtro8r8Ree6bvoM	5N8xjRZs7uXeyMkUBFeHVmiHUFvNBC2ND6QQy3HEq9eQ	Trumps Hat Wif Hat	MagaWif	178	110	491	297	4.35	32339.59	89533	2024-05-19 11:24:37	14.16	False	True	True	True	3	6a61ac	0.00009136	38.64	38.64	38.64	70.6	2024-05-19 13:38:46.612150
solana	raydium	J9hh55fcgUBq3rhxa5Q4rpxDyFnPUYtro8r8Ree6bvoM	5N8xjRZs7uXeyMkUBFeHVmiHUFvNBC2ND6QQy3HEq9eQ	Trumps Hat Wif Hat	MagaWif	240	165	619	391	4.65	35118.35	105226	2024-05-19 11:24:37	16.5	False	True	True	True	3	6a61ac	0.0001073	62.94	62.94	62.94	8.27	2024-05-19 13:41:07.213116
solana	raydium	J9hh55fcgUBq3rhxa5Q4rpxDyFnPUYtro8r8Ree6bvoM	5N8xjRZs7uXeyMkUBFeHVmiHUFvNBC2ND6QQy3HEq9eQ	Trumps Hat Wif Hat	MagaWif	190	146	667	438	3.42	38141	123675	2024-05-19 11:24:37	18.83	False	True	True	True	3	6a61ac	0.0001262	91.51	91.51	91.51	82.4	2024-05-19 13:43:26.811417
solana	raydium	J9hh55fcgUBq3rhxa5Q4rpxDyFnPUYtro8r8Ree6bvoM	5N8xjRZs7uXeyMkUBFeHVmiHUFvNBC2ND6QQy3HEq9eQ	Trumps Hat Wif Hat	MagaWif	129	92	756	487	2.05	41934.43	148863	2024-05-19 11:24:37	21.17	False	True	True	True	3	6a61ac	0.0001519	131	131	131	43.71	2024-05-19 13:45:47.053731
solana	raydium	J9hh55fcgUBq3rhxa5Q4rpxDyFnPUYtro8r8Ree6bvoM	5N8xjRZs7uXeyMkUBFeHVmiHUFvNBC2ND6QQy3HEq9eQ	Trumps Hat Wif Hat	MagaWif	135	99	813	540	1.99	40067.41	135692	2024-05-19 11:24:37	23.54	False	True	True	True	3	6a61ac	0.0001384	110	110	110	1.57	2024-05-19 13:48:09.193367
solana	raydium	J9hh55fcgUBq3rhxa5Q4rpxDyFnPUYtro8r8Ree6bvoM	5N8xjRZs7uXeyMkUBFeHVmiHUFvNBC2ND6QQy3HEq9eQ	Trumps Hat Wif Hat	MagaWif	154	98	899	579	2.06	45492.53	174589	2024-05-19 11:24:37	25.9	False	True	True	True	3	6a61ac	0.0001781	170	170	170	26.4	2024-05-19 13:50:31.167059
solana	raydium	J9hh55fcgUBq3rhxa5Q4rpxDyFnPUYtro8r8Ree6bvoM	5N8xjRZs7uXeyMkUBFeHVmiHUFvNBC2ND6QQy3HEq9eQ	Trumps Hat Wif Hat	MagaWif	148	80	978	627	1.82	44970.83	170193	2024-05-19 11:24:37	28.26	False	True	True	True	3	6a61ac	0.0001736	164	164	164	16.08	2024-05-19 13:52:52.527848
solana	raydium	J9hh55fcgUBq3rhxa5Q4rpxDyFnPUYtro8r8Ree6bvoM	5N8xjRZs7uXeyMkUBFeHVmiHUFvNBC2ND6QQy3HEq9eQ	Trumps Hat Wif Hat	MagaWif	111	76	1020	659	1.31	44282.65	165343	2024-05-19 11:24:37	30.59	False	True	True	True	3	6a61ac	0.0001687	156	156	156	5.25	2024-05-19 13:55:12.191717
