chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	9EWLzHKTrRCqo7wdARwizHc1hQBMZVuwnXZjQmgKAD9n	5T7MeyJnmU74Q29RjRmRpgLyaub1dDW8H32Rmj64rBz4	pepe cat	PECAT	46	28	238	108	2.32	26309.59	155860	2024-05-06 21:38:01	8.63	False	True	True	True	3	87f7db	0.0001558	10674	10674	10674	-11.01	2024-05-06 23:46:38.994871
solana	raydium	9EWLzHKTrRCqo7wdARwizHc1hQBMZVuwnXZjQmgKAD9n	5T7MeyJnmU74Q29RjRmRpgLyaub1dDW8H32Rmj64rBz4	pepe cat	PECAT	30	16	251	114	1.43	26461.46	157611	2024-05-06 21:38:01	10.86	False	True	True	True	3	87f7db	0.0001576	10795	10795	10795	22.95	2024-05-06 23:48:52.345168
solana	raydium	9EWLzHKTrRCqo7wdARwizHc1hQBMZVuwnXZjQmgKAD9n	5T7MeyJnmU74Q29RjRmRpgLyaub1dDW8H32Rmj64rBz4	pepe cat	PECAT	23	13	259	119	1.07	26492.25	157804	2024-05-06 21:38:01	13.09	False	True	True	True	3	87f7db	0.0001578	10808	10808	10808	1.82	2024-05-06 23:51:06.285477
solana	raydium	9EWLzHKTrRCqo7wdARwizHc1hQBMZVuwnXZjQmgKAD9n	5T7MeyJnmU74Q29RjRmRpgLyaub1dDW8H32Rmj64rBz4	pepe cat	PECAT	22	16	270	130	0.98	20241.15	91892	2024-05-06 21:38:01	15.26	False	True	True	True	3	87f7db	0.00009189	6252	6252	6252	-41.34	2024-05-06 23:53:16.612805
solana	raydium	9EWLzHKTrRCqo7wdARwizHc1hQBMZVuwnXZjQmgKAD9n	5T7MeyJnmU74Q29RjRmRpgLyaub1dDW8H32Rmj64rBz4	pepe cat	PECAT	24	34	278	153	1.04	22656.33	115271	2024-05-06 21:38:01	17.45	False	True	True	True	3	87f7db	0.0001152	7868	7868	7868	-25.74	2024-05-06 23:55:27.760762
solana	raydium	9EWLzHKTrRCqo7wdARwizHc1hQBMZVuwnXZjQmgKAD9n	5T7MeyJnmU74Q29RjRmRpgLyaub1dDW8H32Rmj64rBz4	pepe cat	PECAT	14	21	287	158	0.59	23089.84	119180	2024-05-06 21:38:01	19.7	False	True	True	True	3	87f7db	0.0001191	8138	8138	8138	2.08	2024-05-06 23:57:43.092133
solana	raydium	9EWLzHKTrRCqo7wdARwizHc1hQBMZVuwnXZjQmgKAD9n	5T7MeyJnmU74Q29RjRmRpgLyaub1dDW8H32Rmj64rBz4	pepe cat	PECAT	14	12	293	165	0.57	20594.77	94827	2024-05-06 21:38:01	21.88	False	True	True	True	3	87f7db	0.00009482	6455	6455	6455	-18.14	2024-05-06 23:59:53.943946
solana	raydium	9EWLzHKTrRCqo7wdARwizHc1hQBMZVuwnXZjQmgKAD9n	5T7MeyJnmU74Q29RjRmRpgLyaub1dDW8H32Rmj64rBz4	pepe cat	PECAT	8	14	295	172	0.33	20484.52	93897	2024-05-06 21:38:01	24.07	False	True	True	True	3	87f7db	0.00009389	6391	6391	6391	-21.21	2024-05-07 00:02:04.912569
solana	raydium	9EWLzHKTrRCqo7wdARwizHc1hQBMZVuwnXZjQmgKAD9n	5T7MeyJnmU74Q29RjRmRpgLyaub1dDW8H32Rmj64rBz4	pepe cat	PECAT	9	15	300	180	0.36	20227.37	91607	2024-05-06 21:38:01	26.23	False	True	True	True	3	87f7db	0.00009160	6232	6232	6232	-2.86	2024-05-07 00:04:14.648724
solana	raydium	9EWLzHKTrRCqo7wdARwizHc1hQBMZVuwnXZjQmgKAD9n	5T7MeyJnmU74Q29RjRmRpgLyaub1dDW8H32Rmj64rBz4	pepe cat	PECAT	7	11	302	181	0.28	20055.39	90065	2024-05-06 21:38:01	28.41	False	True	True	True	3	87f7db	0.00009006	6126	6126	6126	-1.57	2024-05-07 00:06:25.741660
