chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	G4JcFUVtHUdjwh2nbN4bUPKbtop4GKAjbzRDCzLY5fCD	5VgY2RzbB2adNpengMACREuRfePwwZ5L6RqBj3rwDUj3	figaro	figaro	9	3	38	40	2.84	23902.29	53890	2024-05-10 21:29:23	318.2	False	True	False	True	2	c28a3f	0.00005389	-6.38	-6.38	33.9	36.94	2024-05-11 04:47:34.708351
solana	raydium	G4JcFUVtHUdjwh2nbN4bUPKbtop4GKAjbzRDCzLY5fCD	5VgY2RzbB2adNpengMACREuRfePwwZ5L6RqBj3rwDUj3	figaro	figaro	10	4	41	40	2.93	23813.53	53425	2024-05-10 21:29:23	320.46	False	True	False	True	2	c28a3f	0.00005342	-7.19	-7.19	37.91	20.51	2024-05-11 04:49:50.561606
solana	raydium	G4JcFUVtHUdjwh2nbN4bUPKbtop4GKAjbzRDCzLY5fCD	5VgY2RzbB2adNpengMACREuRfePwwZ5L6RqBj3rwDUj3	figaro	figaro	7	7	43	38	1.95	24329.4	55911	2024-05-10 21:29:23	322.72	False	True	False	True	2	c28a3f	0.00005591	-2.87	-2.87	85.66	6.85	2024-05-11 04:52:06.486308
solana	raydium	G4JcFUVtHUdjwh2nbN4bUPKbtop4GKAjbzRDCzLY5fCD	5VgY2RzbB2adNpengMACREuRfePwwZ5L6RqBj3rwDUj3	figaro	figaro	5	4	44	34	1.36	24366.76	56064	2024-05-10 21:29:23	324.99	False	True	False	True	2	c28a3f	0.00005606	-2.6	-2.6	96.77	4.94	2024-05-11 04:54:22.205637
solana	raydium	G4JcFUVtHUdjwh2nbN4bUPKbtop4GKAjbzRDCzLY5fCD	5VgY2RzbB2adNpengMACREuRfePwwZ5L6RqBj3rwDUj3	figaro	figaro	3	0	42	32	0.86	24669.22	57538	2024-05-10 21:29:23	327.26	False	True	False	True	2	c28a3f	0.00005753	-0.04	-0.04	96.91	2.91	2024-05-11 04:56:38.591841
solana	raydium	G4JcFUVtHUdjwh2nbN4bUPKbtop4GKAjbzRDCzLY5fCD	5VgY2RzbB2adNpengMACREuRfePwwZ5L6RqBj3rwDUj3	figaro	figaro	4	1	43	32	1.12	24966.31	58922	2024-05-10 21:29:23	329.52	False	True	False	True	2	c28a3f	0.00005892	2.36	2.36	99	5.1	2024-05-11 04:58:54.019279
solana	raydium	G4JcFUVtHUdjwh2nbN4bUPKbtop4GKAjbzRDCzLY5fCD	5VgY2RzbB2adNpengMACREuRfePwwZ5L6RqBj3rwDUj3	figaro	figaro	2	2	42	33	0.57	24896.26	58572	2024-05-10 21:29:23	331.78	False	True	False	True	2	c28a3f	0.00005857	1.76	1.76	96.44	1.8	2024-05-11 05:01:09.800892
solana	raydium	G4JcFUVtHUdjwh2nbN4bUPKbtop4GKAjbzRDCzLY5fCD	5VgY2RzbB2adNpengMACREuRfePwwZ5L6RqBj3rwDUj3	figaro	figaro	4	1	44	31	1.09	25296.74	60538	2024-05-10 21:29:23	334.04	False	True	False	True	2	c28a3f	0.00006053	5.17	5.17	90.61	3.36	2024-05-11 05:03:25.137814
solana	raydium	G4JcFUVtHUdjwh2nbN4bUPKbtop4GKAjbzRDCzLY5fCD	5VgY2RzbB2adNpengMACREuRfePwwZ5L6RqBj3rwDUj3	figaro	figaro	5	5	45	34	1.33	25029.04	59221	2024-05-10 21:29:23	336.29	False	True	False	True	2	c28a3f	0.00005922	2.88	2.88	88.54	1.11	2024-05-11 05:05:40.299359
solana	raydium	G4JcFUVtHUdjwh2nbN4bUPKbtop4GKAjbzRDCzLY5fCD	5VgY2RzbB2adNpengMACREuRfePwwZ5L6RqBj3rwDUj3	figaro	figaro	3	9	47	39	0.77	23408.56	51881	2024-05-10 21:29:23	338.55	False	True	False	True	2	c28a3f	0.00005188	-9.87	-9.87	65.17	-14.3	2024-05-11 05:07:55.897490
