chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	BuJmwrxU1MkvABDZjmGt7p1AxhboB1F2JotWqZa8Tmd3	5W1SRgj4h9qbN1wisaFNshF3kv3peD436DW7U17qgxb6	nopop	$nopop	68	56	469	297	1.74	25892.34	68267	2024-05-12 09:45:36	16.02	False	True	False	True	2	6633cb	0.00006966	25.43	25.43	25.43	-30.28	2024-05-12 12:01:37.433938
solana	raydium	BuJmwrxU1MkvABDZjmGt7p1AxhboB1F2JotWqZa8Tmd3	5W1SRgj4h9qbN1wisaFNshF3kv3peD436DW7U17qgxb6	nopop	$nopop	99	59	535	321	2.22	29609.62	88999	2024-05-12 09:45:36	18.31	False	True	False	True	2	6633cb	0.00009081	63.53	63.53	63.53	-2.94	2024-05-12 12:03:54.664009
solana	raydium	BuJmwrxU1MkvABDZjmGt7p1AxhboB1F2JotWqZa8Tmd3	5W1SRgj4h9qbN1wisaFNshF3kv3peD436DW7U17qgxb6	nopop	$nopop	125	55	587	349	2.56	36365.3	134146	2024-05-12 09:45:36	20.59	False	True	False	True	2	6633cb	0.0001368	146	146	146	102	2024-05-12 12:06:11.630798
solana	raydium	BuJmwrxU1MkvABDZjmGt7p1AxhboB1F2JotWqZa8Tmd3	5W1SRgj4h9qbN1wisaFNshF3kv3peD436DW7U17qgxb6	nopop	$nopop	158	119	707	448	2.68	42696.49	183952	2024-05-12 09:45:36	22.87	False	True	False	True	2	6633cb	0.0001877	238	238	238	104	2024-05-12 12:08:28.020315
solana	raydium	BuJmwrxU1MkvABDZjmGt7p1AxhboB1F2JotWqZa8Tmd3	5W1SRgj4h9qbN1wisaFNshF3kv3peD436DW7U17qgxb6	nopop	$nopop	209	145	816	506	3.07	50403.56	255642	2024-05-12 09:45:36	25.17	False	True	False	True	2	6633cb	0.0002608	370	370	370	73.01	2024-05-12 12:10:46.123495
solana	raydium	BuJmwrxU1MkvABDZjmGt7p1AxhboB1F2JotWqZa8Tmd3	5W1SRgj4h9qbN1wisaFNshF3kv3peD436DW7U17qgxb6	nopop	$nopop	223	144	926	590	2.89	55991.47	314634	2024-05-12 09:45:36	27.43	False	True	False	True	2	6633cb	0.0003210	478	478	478	66.77	2024-05-12 12:13:02.084049
solana	raydium	BuJmwrxU1MkvABDZjmGt7p1AxhboB1F2JotWqZa8Tmd3	5W1SRgj4h9qbN1wisaFNshF3kv3peD436DW7U17qgxb6	nopop	$nopop	236	173	1034	672	2.74	53238.87	283746	2024-05-12 09:45:36	29.71	False	True	False	True	2	6633cb	0.0002895	421	421	421	22.39	2024-05-12 12:15:18.409581
solana	raydium	BuJmwrxU1MkvABDZjmGt7p1AxhboB1F2JotWqZa8Tmd3	5W1SRgj4h9qbN1wisaFNshF3kv3peD436DW7U17qgxb6	nopop	$nopop	189	115	1128	717	2.01	50970.65	259547	2024-05-12 09:45:36	32.05	False	True	False	True	2	6633cb	0.0002648	377	377	377	-21.97	2024-05-12 12:17:38.748183
solana	raydium	BuJmwrxU1MkvABDZjmGt7p1AxhboB1F2JotWqZa8Tmd3	5W1SRgj4h9qbN1wisaFNshF3kv3peD436DW7U17qgxb6	nopop	$nopop	207	117	1255	797	1.98	48140.73	230394	2024-05-12 09:45:36	34.32	False	True	False	True	2	6633cb	0.0002350	323	323	323	-11.04	2024-05-12 12:19:55.266672
solana	raydium	BuJmwrxU1MkvABDZjmGt7p1AxhboB1F2JotWqZa8Tmd3	5W1SRgj4h9qbN1wisaFNshF3kv3peD436DW7U17qgxb6	nopop	$nopop	212	127	1340	844	1.9	54643.02	296470	2024-05-12 09:45:36	36.65	False	True	False	True	2	6633cb	0.0003025	445	445	445	14.23	2024-05-12 12:22:15.023910
solana	raydium	BuJmwrxU1MkvABDZjmGt7p1AxhboB1F2JotWqZa8Tmd3	5W1SRgj4h9qbN1wisaFNshF3kv3peD436DW7U17qgxb6	nopop	$nopop	126	66	1409	879	1.07	59632.83	352344	2024-05-12 09:45:36	38.96	False	True	False	True	2	6633cb	0.0003595	547	547	547	56.03	2024-05-12 12:24:33.594559
solana	raydium	BuJmwrxU1MkvABDZjmGt7p1AxhboB1F2JotWqZa8Tmd3	5W1SRgj4h9qbN1wisaFNshF3kv3peD436DW7U17qgxb6	nopop	$nopop	183	120	1527	965	1.44	61572.24	374366	2024-05-12 09:45:36	41.38	False	True	False	True	2	6633cb	0.0003820	588	588	588	24.58	2024-05-12 12:26:58.777225
solana	raydium	BuJmwrxU1MkvABDZjmGt7p1AxhboB1F2JotWqZa8Tmd3	5W1SRgj4h9qbN1wisaFNshF3kv3peD436DW7U17qgxb6	nopop	$nopop	253	178	1655	1056	1.83	63041.84	391339	2024-05-12 09:45:36	43.69	False	True	False	True	2	6633cb	0.0003993	619	619	619	16.06	2024-05-12 12:29:17.359571
solana	raydium	BuJmwrxU1MkvABDZjmGt7p1AxhboB1F2JotWqZa8Tmd3	5W1SRgj4h9qbN1wisaFNshF3kv3peD436DW7U17qgxb6	nopop	$nopop	192	139	1739	1120	1.32	60533.7	359087	2024-05-12 09:45:36	45.99	False	True	False	True	2	6633cb	0.0003664	560	560	560	-4.76	2024-05-12 12:31:35.375058
solana	raydium	BuJmwrxU1MkvABDZjmGt7p1AxhboB1F2JotWqZa8Tmd3	5W1SRgj4h9qbN1wisaFNshF3kv3peD436DW7U17qgxb6	nopop	$nopop	162	113	1826	1172	1.06	54684.92	291233	2024-05-12 09:45:36	48.3	False	True	False	True	2	6633cb	0.0002971	435	435	435	-24.94	2024-05-12 12:33:53.957693
solana	raydium	BuJmwrxU1MkvABDZjmGt7p1AxhboB1F2JotWqZa8Tmd3	5W1SRgj4h9qbN1wisaFNshF3kv3peD436DW7U17qgxb6	nopop	$nopop	145	117	1880	1233	0.93	60801.72	360322	2024-05-12 09:45:36	50.55	False	True	False	True	2	6633cb	0.0003676	562	562	562	0.64	2024-05-12 12:36:08.912889
solana	raydium	BuJmwrxU1MkvABDZjmGt7p1AxhboB1F2JotWqZa8Tmd3	5W1SRgj4h9qbN1wisaFNshF3kv3peD436DW7U17qgxb6	nopop	$nopop	118	139	1957	1322	0.72	69185.99	464721	2024-05-12 09:45:36	52.81	False	True	False	True	2	6633cb	0.0004742	754	754	754	35.44	2024-05-12 12:38:24.889158
solana	raydium	BuJmwrxU1MkvABDZjmGt7p1AxhboB1F2JotWqZa8Tmd3	5W1SRgj4h9qbN1wisaFNshF3kv3peD436DW7U17qgxb6	nopop	$nopop	162	131	2049	1375	0.95	71736.2	499233	2024-05-12 09:45:36	55.16	False	True	False	True	2	6633cb	0.0005094	817	817	817	27.09	2024-05-12 12:40:45.494761
solana	raydium	BuJmwrxU1MkvABDZjmGt7p1AxhboB1F2JotWqZa8Tmd3	5W1SRgj4h9qbN1wisaFNshF3kv3peD436DW7U17qgxb6	nopop	$nopop	171	122	2128	1444	0.96	73631.98	525907	2024-05-12 09:45:36	57.42	False	True	False	True	2	6633cb	0.0005366	866	866	866	13.17	2024-05-12 12:43:01.311437
solana	raydium	BuJmwrxU1MkvABDZjmGt7p1AxhboB1F2JotWqZa8Tmd3	5W1SRgj4h9qbN1wisaFNshF3kv3peD436DW7U17qgxb6	nopop	$nopop	186	139	2222	1500	1.0	72314.67	505785	2024-05-12 09:45:36	59.72	False	True	False	True	2	6633cb	0.0005161	829	829	829	9.14	2024-05-12 12:45:19.056373
solana	raydium	BuJmwrxU1MkvABDZjmGt7p1AxhboB1F2JotWqZa8Tmd3	5W1SRgj4h9qbN1wisaFNshF3kv3peD436DW7U17qgxb6	nopop	$nopop	160	107	2112	1499	0.91	76504.01	566724	2024-05-12 09:45:36	62.04	False	True	False	True	2	6633cb	0.0005782	941	941	789	15.55	2024-05-12 12:47:38.105781
solana	raydium	BuJmwrxU1MkvABDZjmGt7p1AxhboB1F2JotWqZa8Tmd3	5W1SRgj4h9qbN1wisaFNshF3kv3peD436DW7U17qgxb6	nopop	$nopop	164	123	2111	1511	0.93	76719.4	569354	2024-05-12 09:45:36	64.33	False	True	False	True	2	6633cb	0.0005809	946	946	806	12.66	2024-05-12 12:49:55.741568
solana	raydium	BuJmwrxU1MkvABDZjmGt7p1AxhboB1F2JotWqZa8Tmd3	5W1SRgj4h9qbN1wisaFNshF3kv3peD436DW7U17qgxb6	nopop	$nopop	147	124	2121	1512	0.83	74756.36	541105	2024-05-12 09:45:36	66.66	False	True	False	True	2	6633cb	0.0005521	894	894	661	-7.37	2024-05-12 12:52:15.697973
solana	raydium	BuJmwrxU1MkvABDZjmGt7p1AxhboB1F2JotWqZa8Tmd3	5W1SRgj4h9qbN1wisaFNshF3kv3peD436DW7U17qgxb6	nopop	$nopop	138	105	2169	1528	0.76	74515.99	536520	2024-05-12 09:45:36	68.94	False	True	False	True	2	6633cb	0.0005474	886	886	537	-7.55	2024-05-12 12:54:32.254426
solana	raydium	BuJmwrxU1MkvABDZjmGt7p1AxhboB1F2JotWqZa8Tmd3	5W1SRgj4h9qbN1wisaFNshF3kv3peD436DW7U17qgxb6	nopop	$nopop	204	124	2257	1566	1.08	70306.32	476086	2024-05-12 09:45:36	71.19	False	True	False	True	2	6633cb	0.0004858	775	775	386	-7.62	2024-05-12 12:56:47.455501
solana	raydium	BuJmwrxU1MkvABDZjmGt7p1AxhboB1F2JotWqZa8Tmd3	5W1SRgj4h9qbN1wisaFNshF3kv3peD436DW7U17qgxb6	nopop	$nopop	201	135	2304	1613	1.05	71670.92	493215	2024-05-12 09:45:36	73.47	False	True	False	True	2	6633cb	0.0005032	806	806	438	-8.82	2024-05-12 12:59:04.043133
solana	raydium	BuJmwrxU1MkvABDZjmGt7p1AxhboB1F2JotWqZa8Tmd3	5W1SRgj4h9qbN1wisaFNshF3kv3peD436DW7U17qgxb6	nopop	$nopop	169	126	2337	1630	0.87	66607.29	423392	2024-05-12 09:45:36	75.72	False	True	False	True	2	6633cb	0.0004342	682	682	539	-7.85	2024-05-12 13:01:19.271734
solana	raydium	BuJmwrxU1MkvABDZjmGt7p1AxhboB1F2JotWqZa8Tmd3	5W1SRgj4h9qbN1wisaFNshF3kv3peD436DW7U17qgxb6	nopop	$nopop	146	105	2346	1663	0.75	63710.76	386569	2024-05-12 09:45:36	78.01	False	True	False	True	2	6633cb	0.0003964	614	614	332	-12.25	2024-05-12 13:03:36.525639
solana	raydium	BuJmwrxU1MkvABDZjmGt7p1AxhboB1F2JotWqZa8Tmd3	5W1SRgj4h9qbN1wisaFNshF3kv3peD436DW7U17qgxb6	nopop	$nopop	138	140	2333	1704	0.71	64772.65	399887	2024-05-12 09:45:36	80.27	False	True	False	True	2	6633cb	0.0004101	639	639	172	-5.89	2024-05-12 13:05:52.328310
solana	raydium	BuJmwrxU1MkvABDZjmGt7p1AxhboB1F2JotWqZa8Tmd3	5W1SRgj4h9qbN1wisaFNshF3kv3peD436DW7U17qgxb6	nopop	$nopop	99	124	2283	1658	0.52	71123.61	481808	2024-05-12 09:45:36	82.55	False	True	False	True	2	6633cb	0.0004941	790	790	157	11.45	2024-05-12 13:08:09.196584
solana	raydium	BuJmwrxU1MkvABDZjmGt7p1AxhboB1F2JotWqZa8Tmd3	5W1SRgj4h9qbN1wisaFNshF3kv3peD436DW7U17qgxb6	nopop	$nopop	106	83	2244	1646	0.57	66466.55	419890	2024-05-12 09:45:36	84.83	False	True	False	True	2	6633cb	0.0004306	675	675	82.05	9.55	2024-05-12 13:10:25.955739
