chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	E29uahVafaWhkemcNB1ThEiqaZxvbeM7WxKFEF3EiFyj	5WfLp2To2sJSxzXTKU4vvmLKYGFNhNe5nkCVTU5ELWe5	NOMOM	NOMOM	302	177	687	294	5.28	38692.22	152926	2024-05-12 03:18:44	6.94	False	True	False	True	2	218beb	0.0001529	172	172	172	34.37	2024-05-12 05:25:40.191790
solana	raydium	E29uahVafaWhkemcNB1ThEiqaZxvbeM7WxKFEF3EiFyj	5WfLp2To2sJSxzXTKU4vvmLKYGFNhNe5nkCVTU5ELWe5	NOMOM	NOMOM	327	212	873	430	4.49	45105.72	206567	2024-05-12 03:18:44	9.19	False	True	False	True	2	218beb	0.0002065	267	267	267	15.8	2024-05-12 05:27:55.550206
solana	raydium	E29uahVafaWhkemcNB1ThEiqaZxvbeM7WxKFEF3EiFyj	5WfLp2To2sJSxzXTKU4vvmLKYGFNhNe5nkCVTU5ELWe5	NOMOM	NOMOM	315	208	997	499	3.79	39096.19	154684	2024-05-12 03:18:44	11.43	False	True	False	True	2	218beb	0.0001546	175	175	175	-1.33	2024-05-12 05:30:10.090058
solana	raydium	E29uahVafaWhkemcNB1ThEiqaZxvbeM7WxKFEF3EiFyj	5WfLp2To2sJSxzXTKU4vvmLKYGFNhNe5nkCVTU5ELWe5	NOMOM	NOMOM	274	190	1112	584	2.96	43303.53	189151	2024-05-12 03:18:44	13.68	False	True	False	True	2	218beb	0.0001891	236	236	236	-1.52	2024-05-12 05:32:24.629913
solana	raydium	E29uahVafaWhkemcNB1ThEiqaZxvbeM7WxKFEF3EiFyj	5WfLp2To2sJSxzXTKU4vvmLKYGFNhNe5nkCVTU5ELWe5	NOMOM	NOMOM	172	144	1180	651	1.75	43495.44	190726	2024-05-12 03:18:44	15.93	False	True	False	True	2	218beb	0.0001907	239	239	239	21.78	2024-05-12 05:34:39.986491
solana	raydium	E29uahVafaWhkemcNB1ThEiqaZxvbeM7WxKFEF3EiFyj	5WfLp2To2sJSxzXTKU4vvmLKYGFNhNe5nkCVTU5ELWe5	NOMOM	NOMOM	191	143	1304	728	1.76	41890.12	175678	2024-05-12 03:18:44	18.2	False	True	False	True	2	218beb	0.0001756	212	212	212	-7.41	2024-05-12 05:36:55.742736
solana	raydium	E29uahVafaWhkemcNB1ThEiqaZxvbeM7WxKFEF3EiFyj	5WfLp2To2sJSxzXTKU4vvmLKYGFNhNe5nkCVTU5ELWe5	NOMOM	NOMOM	257	187	1434	836	2.15	34108.11	116287	2024-05-12 03:18:44	20.44	False	True	False	True	2	218beb	0.0001162	106	106	106	-40.49	2024-05-12 05:39:10.472037
solana	raydium	E29uahVafaWhkemcNB1ThEiqaZxvbeM7WxKFEF3EiFyj	5WfLp2To2sJSxzXTKU4vvmLKYGFNhNe5nkCVTU5ELWe5	NOMOM	NOMOM	305	241	1582	949	2.31	44565.87	197832	2024-05-12 03:18:44	22.69	False	True	False	True	2	218beb	0.0001978	251	251	251	29.26	2024-05-12 05:41:25.226421
solana	raydium	E29uahVafaWhkemcNB1ThEiqaZxvbeM7WxKFEF3EiFyj	5WfLp2To2sJSxzXTKU4vvmLKYGFNhNe5nkCVTU5ELWe5	NOMOM	NOMOM	208	182	1663	1036	1.5	47648.82	225561	2024-05-12 03:18:44	24.94	False	True	False	True	2	218beb	0.0002255	301	301	301	70.84	2024-05-12 05:43:40.522644
solana	raydium	E29uahVafaWhkemcNB1ThEiqaZxvbeM7WxKFEF3EiFyj	5WfLp2To2sJSxzXTKU4vvmLKYGFNhNe5nkCVTU5ELWe5	NOMOM	NOMOM	170	160	1752	1109	1.16	52993.48	278198	2024-05-12 03:18:44	27.2	False	True	False	True	2	218beb	0.0002781	394	394	394	40.62	2024-05-12 05:45:55.931965
