chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	Fv8eR9s9otTXbrNYzvsUrMUd2vmUP85dv6oL1DQdkpUe	5qf5kSwx28iEPNCyzefpzasYgiDc7yiwJje7JXBP2g5A	Riri	$riri	69	5	69	5	12.0	26254.69	71922	2024-05-12 02:44:03	0.71	False	True	True	True	3	7a64d6	0.00007192	14.01	14.01	14.01	14.01	2024-05-12 04:44:45.379487
solana	raydium	Fv8eR9s9otTXbrNYzvsUrMUd2vmUP85dv6oL1DQdkpUe	5qf5kSwx28iEPNCyzefpzasYgiDc7yiwJje7JXBP2g5A	Riri	$riri	326	148	326	148	12.0	24725.07	62919	2024-05-12 02:44:03	5.24	False	True	True	True	3	7a64d6	0.00006291	-0.26	-0.26	-0.26	-0.26	2024-05-12 04:49:17.366378
solana	raydium	Fv8eR9s9otTXbrNYzvsUrMUd2vmUP85dv6oL1DQdkpUe	5qf5kSwx28iEPNCyzefpzasYgiDc7yiwJje7JXBP2g5A	Riri	$riri	146	112	397	224	4.41	22553.45	52284	2024-05-12 02:44:03	7.5	False	True	True	True	3	7a64d6	0.00005228	-17.12	-17.12	-17.12	39.04	2024-05-12 04:51:33.191237
solana	raydium	Fv8eR9s9otTXbrNYzvsUrMUd2vmUP85dv6oL1DQdkpUe	5qf5kSwx28iEPNCyzefpzasYgiDc7yiwJje7JXBP2g5A	Riri	$riri	131	103	463	254	3.4	26204.54	70532	2024-05-12 02:44:03	9.76	False	True	True	True	3	7a64d6	0.00007053	11.81	11.81	11.81	11.24	2024-05-12 04:53:48.745221
solana	raydium	Fv8eR9s9otTXbrNYzvsUrMUd2vmUP85dv6oL1DQdkpUe	5qf5kSwx28iEPNCyzefpzasYgiDc7yiwJje7JXBP2g5A	Riri	$riri	139	69	533	293	3.13	27416.57	77089	2024-05-12 02:44:03	12.0	False	True	True	True	3	7a64d6	0.00007708	22.2	22.2	22.2	51.33	2024-05-12 04:56:03.022167
solana	raydium	Fv8eR9s9otTXbrNYzvsUrMUd2vmUP85dv6oL1DQdkpUe	5qf5kSwx28iEPNCyzefpzasYgiDc7yiwJje7JXBP2g5A	Riri	$riri	154	81	612	331	3.02	31787.78	103297	2024-05-12 02:44:03	14.24	False	True	True	True	3	7a64d6	0.0001032	63.74	63.74	63.74	45.23	2024-05-12 04:58:17.634680
solana	raydium	Fv8eR9s9otTXbrNYzvsUrMUd2vmUP85dv6oL1DQdkpUe	5qf5kSwx28iEPNCyzefpzasYgiDc7yiwJje7JXBP2g5A	Riri	$riri	134	87	690	387	2.33	30889.36	97123	2024-05-12 02:44:03	16.6	False	True	True	True	3	7a64d6	0.00009712	53.96	53.96	53.96	1.06	2024-05-12 05:00:38.997548
solana	raydium	Fv8eR9s9otTXbrNYzvsUrMUd2vmUP85dv6oL1DQdkpUe	5qf5kSwx28iEPNCyzefpzasYgiDc7yiwJje7JXBP2g5A	Riri	$riri	164	114	778	445	2.53	39524.41	158659	2024-05-12 02:44:03	18.84	False	True	True	True	3	7a64d6	0.0001586	152	152	152	52.62	2024-05-12 05:02:53.368872
solana	raydium	Fv8eR9s9otTXbrNYzvsUrMUd2vmUP85dv6oL1DQdkpUe	5qf5kSwx28iEPNCyzefpzasYgiDc7yiwJje7JXBP2g5A	Riri	$riri	223	160	909	542	2.94	42599.97	183687	2024-05-12 02:44:03	21.19	False	True	True	True	3	7a64d6	0.0001836	191	191	191	101	2024-05-12 05:05:14.166399
solana	raydium	Fv8eR9s9otTXbrNYzvsUrMUd2vmUP85dv6oL1DQdkpUe	5qf5kSwx28iEPNCyzefpzasYgiDc7yiwJje7JXBP2g5A	Riri	$riri	170	146	999	614	2.04	38571.56	150304	2024-05-12 02:44:03	23.46	False	True	True	True	3	7a64d6	0.0001503	138	138	138	0.79	2024-05-12 05:07:30.461017
solana	raydium	Fv8eR9s9otTXbrNYzvsUrMUd2vmUP85dv6oL1DQdkpUe	5qf5kSwx28iEPNCyzefpzasYgiDc7yiwJje7JXBP2g5A	Riri	$riri	193	149	1118	704	2.07	39898.91	159976	2024-05-12 02:44:03	25.72	False	True	True	True	3	7a64d6	0.0001599	154	154	154	-8	2024-05-12 05:09:46.477732
solana	raydium	Fv8eR9s9otTXbrNYzvsUrMUd2vmUP85dv6oL1DQdkpUe	5qf5kSwx28iEPNCyzefpzasYgiDc7yiwJje7JXBP2g5A	Riri	$riri	186	142	1181	753	1.89	35898.78	129442	2024-05-12 02:44:03	27.99	False	True	True	True	3	7a64d6	0.0001294	105	105	105	-16.56	2024-05-12 05:12:02.572190
solana	raydium	Fv8eR9s9otTXbrNYzvsUrMUd2vmUP85dv6oL1DQdkpUe	5qf5kSwx28iEPNCyzefpzasYgiDc7yiwJje7JXBP2g5A	Riri	$riri	161	106	1268	804	1.52	39256.67	154537	2024-05-12 02:44:03	30.26	False	True	True	True	3	7a64d6	0.0001545	145	145	145	4.9	2024-05-12 05:14:18.866516
solana	raydium	Fv8eR9s9otTXbrNYzvsUrMUd2vmUP85dv6oL1DQdkpUe	5qf5kSwx28iEPNCyzefpzasYgiDc7yiwJje7JXBP2g5A	Riri	$riri	119	92	1321	853	1.08	39557.38	156612	2024-05-12 02:44:03	32.53	False	True	True	True	3	7a64d6	0.0001566	148	148	148	19.18	2024-05-12 05:16:34.892881
solana	raydium	Fv8eR9s9otTXbrNYzvsUrMUd2vmUP85dv6oL1DQdkpUe	5qf5kSwx28iEPNCyzefpzasYgiDc7yiwJje7JXBP2g5A	Riri	$riri	101	81	1374	886	0.88	42168.8	177613	2024-05-12 02:44:03	34.79	False	True	True	True	3	7a64d6	0.0001776	182	182	182	11.13	2024-05-12 05:18:50.274385
solana	raydium	Fv8eR9s9otTXbrNYzvsUrMUd2vmUP85dv6oL1DQdkpUe	5qf5kSwx28iEPNCyzefpzasYgiDc7yiwJje7JXBP2g5A	Riri	$riri	83	65	1402	918	0.71	39834.97	158093	2024-05-12 02:44:03	37.06	False	True	True	True	3	7a64d6	0.0001580	151	151	151	6.11	2024-05-12 05:21:06.686113
solana	raydium	Fv8eR9s9otTXbrNYzvsUrMUd2vmUP85dv6oL1DQdkpUe	5qf5kSwx28iEPNCyzefpzasYgiDc7yiwJje7JXBP2g5A	Riri	$riri	71	70	1436	950	0.59	40114.86	160075	2024-05-12 02:44:03	39.37	False	True	True	True	3	7a64d6	0.0001600	154	154	154	-6.3	2024-05-12 05:23:25.475462
solana	raydium	Fv8eR9s9otTXbrNYzvsUrMUd2vmUP85dv6oL1DQdkpUe	5qf5kSwx28iEPNCyzefpzasYgiDc7yiwJje7JXBP2g5A	Riri	$riri	77	77	1486	996	0.62	35220.84	123326	2024-05-12 02:44:03	41.63	False	True	True	True	3	7a64d6	0.0001233	95.49	95.49	95.49	-20.89	2024-05-12 05:25:40.795988
solana	raydium	Fv8eR9s9otTXbrNYzvsUrMUd2vmUP85dv6oL1DQdkpUe	5qf5kSwx28iEPNCyzefpzasYgiDc7yiwJje7JXBP2g5A	Riri	$riri	121	106	1558	1057	0.93	33209.7	109344	2024-05-12 02:44:03	43.89	False	True	True	True	3	7a64d6	0.0001093	73.33	73.33	73.33	-33.27	2024-05-12 05:27:56.149859
solana	raydium	Fv8eR9s9otTXbrNYzvsUrMUd2vmUP85dv6oL1DQdkpUe	5qf5kSwx28iEPNCyzefpzasYgiDc7yiwJje7JXBP2g5A	Riri	$riri	128	127	1611	1117	0.95	29944.17	88752	2024-05-12 02:44:03	46.13	False	True	True	True	3	7a64d6	0.00008875	40.69	40.69	40.69	-37.2	2024-05-12 05:30:10.748155
solana	raydium	Fv8eR9s9otTXbrNYzvsUrMUd2vmUP85dv6oL1DQdkpUe	5qf5kSwx28iEPNCyzefpzasYgiDc7yiwJje7JXBP2g5A	Riri	$riri	154	189	1705	1235	1.08	26511.22	69383	2024-05-12 02:44:03	48.37	False	True	True	True	3	7a64d6	0.00006938	9.98	9.98	9.98	-48.68	2024-05-12 05:32:25.213386
