chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	2vL84iY1JbnXjFpDxYGR63eJqdxy7MxxWJu8gnCf4gpi	5unW7uj3hztbJKXLkSa4Nt1Bh6n5F6WohARpX2xcuMBa	FisoMsk	FMSK	380	328	2854	2069	1.6	10254.61	78434	2024-05-11 14:18:16	29.46	False	True	False	True	1	79a7cd	0.00007843	281	281	281	7.55	2024-05-11 16:47:43.368522
solana	raydium	2vL84iY1JbnXjFpDxYGR63eJqdxy7MxxWJu8gnCf4gpi	5unW7uj3hztbJKXLkSa4Nt1Bh6n5F6WohARpX2xcuMBa	FisoMsk	FMSK	342	290	3005	2183	1.37	10050.18	74807	2024-05-11 14:18:16	31.71	False	True	False	True	1	79a7cd	0.00007480	264	264	264	8.66	2024-05-11 16:49:58.864861
solana	raydium	2vL84iY1JbnXjFpDxYGR63eJqdxy7MxxWJu8gnCf4gpi	5unW7uj3hztbJKXLkSa4Nt1Bh6n5F6WohARpX2xcuMBa	FisoMsk	FMSK	320	239	3173	2307	1.21	9595.6	67684	2024-05-11 14:18:16	33.99	False	True	False	True	1	79a7cd	0.00006768	229	229	229	-15.48	2024-05-11 16:52:15.632206
solana	raydium	2vL84iY1JbnXjFpDxYGR63eJqdxy7MxxWJu8gnCf4gpi	5unW7uj3hztbJKXLkSa4Nt1Bh6n5F6WohARpX2xcuMBa	FisoMsk	FMSK	416	302	3477	2531	1.44	9768.84	69280	2024-05-11 14:18:16	36.27	False	True	False	True	1	79a7cd	0.00006927	237	237	237	-0.97	2024-05-11 16:54:32.135679
solana	raydium	2vL84iY1JbnXjFpDxYGR63eJqdxy7MxxWJu8gnCf4gpi	5unW7uj3hztbJKXLkSa4Nt1Bh6n5F6WohARpX2xcuMBa	FisoMsk	FMSK	540	392	3767	2740	1.72	10304.75	76305	2024-05-11 14:18:16	38.55	False	True	False	True	1	79a7cd	0.00007630	271	271	271	11.75	2024-05-11 16:56:49.184546
solana	raydium	2vL84iY1JbnXjFpDxYGR63eJqdxy7MxxWJu8gnCf4gpi	5unW7uj3hztbJKXLkSa4Nt1Bh6n5F6WohARpX2xcuMBa	FisoMsk	FMSK	572	415	4039	2936	1.7	9924.79	69985	2024-05-11 14:18:16	40.86	False	True	False	True	1	79a7cd	0.00006998	240	240	240	-3.49	2024-05-11 16:59:07.423281
solana	raydium	2vL84iY1JbnXjFpDxYGR63eJqdxy7MxxWJu8gnCf4gpi	5unW7uj3hztbJKXLkSa4Nt1Bh6n5F6WohARpX2xcuMBa	FisoMsk	FMSK	538	391	4262	3101	1.51	9995.21	70220	2024-05-11 14:18:16	43.13	False	True	False	True	1	79a7cd	0.00007022	241	241	241	-7.34	2024-05-11 17:01:23.913286
solana	raydium	2vL84iY1JbnXjFpDxYGR63eJqdxy7MxxWJu8gnCf4gpi	5unW7uj3hztbJKXLkSa4Nt1Bh6n5F6WohARpX2xcuMBa	FisoMsk	FMSK	293	215	4378	3180	0.8	9980.26	69600	2024-05-11 14:18:16	45.39	False	True	False	True	1	79a7cd	0.00006960	238	238	238	-8.32	2024-05-11 17:03:39.558225
solana	raydium	2vL84iY1JbnXjFpDxYGR63eJqdxy7MxxWJu8gnCf4gpi	5unW7uj3hztbJKXLkSa4Nt1Bh6n5F6WohARpX2xcuMBa	FisoMsk	FMSK	300	217	4565	3321	0.79	9123.13	57731	2024-05-11 14:18:16	47.69	False	True	False	True	1	79a7cd	0.00005773	181	181	181	-16.91	2024-05-11 17:05:57.258930
solana	raydium	2vL84iY1JbnXjFpDxYGR63eJqdxy7MxxWJu8gnCf4gpi	5unW7uj3hztbJKXLkSa4Nt1Bh6n5F6WohARpX2xcuMBa	FisoMsk	FMSK	405	296	4765	3469	1.02	8801.99	53352	2024-05-11 14:18:16	49.96	False	True	False	True	1	79a7cd	0.00005335	159	159	159	-18.92	2024-05-11 17:08:13.446820
