chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	ERLvxdw5XhuHLaG7BE3M2P1SmpssYhHi1e964kNukEdq	6A3H6SMSmZbPfuqFyVdDWQJ3nuY1iUBCT5KGR3An2goc	Little Manyu	$manyu	4	3	156	50	0.31	23651.69	158694	2024-05-08 07:30:55	59.39	False	True	True	True	7	31e60a	0.0000007141	614	614	614	-1.66	2024-05-08 10:30:18.642552
solana	raydium	ERLvxdw5XhuHLaG7BE3M2P1SmpssYhHi1e964kNukEdq	6A3H6SMSmZbPfuqFyVdDWQJ3nuY1iUBCT5KGR3An2goc	Little Manyu	$manyu	9	2	74	33	1.46	23909.75	162221	2024-05-08 07:30:55	61.66	False	True	True	True	7	31e60a	0.0000007299	630	630	189	2.91	2024-05-08 10:32:34.879547
solana	raydium	ERLvxdw5XhuHLaG7BE3M2P1SmpssYhHi1e964kNukEdq	6A3H6SMSmZbPfuqFyVdDWQJ3nuY1iUBCT5KGR3An2goc	Little Manyu	$manyu	8	1	71	27	1.35	24216.47	166213	2024-05-08 07:30:55	63.93	False	True	True	True	7	31e60a	0.0000007479	648	648	146	5.57	2024-05-08 10:34:51.069267
solana	raydium	ERLvxdw5XhuHLaG7BE3M2P1SmpssYhHi1e964kNukEdq	6A3H6SMSmZbPfuqFyVdDWQJ3nuY1iUBCT5KGR3An2goc	Little Manyu	$manyu	5	0	65	26	0.92	24247.92	166667	2024-05-08 07:30:55	66.2	False	True	True	True	7	31e60a	0.0000007500	650	650	139	2.74	2024-05-08 10:37:06.747359
solana	raydium	ERLvxdw5XhuHLaG7BE3M2P1SmpssYhHi1e964kNukEdq	6A3H6SMSmZbPfuqFyVdDWQJ3nuY1iUBCT5KGR3An2goc	Little Manyu	$manyu	6	1	67	25	1.07	23638.49	158227	2024-05-08 07:30:55	68.45	False	True	True	True	7	31e60a	0.0000007120	612	612	130	-4.8	2024-05-08 10:39:22.034717
solana	raydium	ERLvxdw5XhuHLaG7BE3M2P1SmpssYhHi1e964kNukEdq	6A3H6SMSmZbPfuqFyVdDWQJ3nuY1iUBCT5KGR3An2goc	Little Manyu	$manyu	3	6	56	23	0.64	21912.79	136028	2024-05-08 07:30:55	70.71	False	True	True	True	7	31e60a	0.0000006121	512	512	24.34	-18.89	2024-05-08 10:41:37.629145
solana	raydium	ERLvxdw5XhuHLaG7BE3M2P1SmpssYhHi1e964kNukEdq	6A3H6SMSmZbPfuqFyVdDWQJ3nuY1iUBCT5KGR3An2goc	Little Manyu	$manyu	4	9	57	26	0.84	21545.19	131809	2024-05-08 07:30:55	73.01	False	True	True	True	7	31e60a	0.0000005931	493	493	20.15	-16.7	2024-05-08 10:43:55.795557
solana	raydium	ERLvxdw5XhuHLaG7BE3M2P1SmpssYhHi1e964kNukEdq	6A3H6SMSmZbPfuqFyVdDWQJ3nuY1iUBCT5KGR3An2goc	Little Manyu	$manyu	5	6	52	25	1.15	21609.21	132683	2024-05-08 07:30:55	75.3	False	True	True	True	7	31e60a	0.0000005970	497	497	18.11	-8.77	2024-05-08 10:46:13.019305
solana	raydium	ERLvxdw5XhuHLaG7BE3M2P1SmpssYhHi1e964kNukEdq	6A3H6SMSmZbPfuqFyVdDWQJ3nuY1iUBCT5KGR3An2goc	Little Manyu	$manyu	5	2	55	23	1.09	21685.74	134144	2024-05-08 07:30:55	77.58	False	True	True	True	7	31e60a	0.0000006036	503	503	22.87	1.38	2024-05-08 10:48:29.674370
solana	raydium	ERLvxdw5XhuHLaG7BE3M2P1SmpssYhHi1e964kNukEdq	6A3H6SMSmZbPfuqFyVdDWQJ3nuY1iUBCT5KGR3An2goc	Little Manyu	$manyu	5	0	56	23	1.07	21663.13	134213	2024-05-08 07:30:55	79.85	False	True	True	True	7	31e60a	0.0000006039	504	504	22.78	1.15	2024-05-08 10:50:46.004169
