chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	7fZD96ziSR6feuUDF99yasrkPy8Ktm94GRg31LkRk7AX	6CDQ6NoAi4kKk1PLpLbVr4zZkSM9QKeyzDqPc5Z2brTp	Whoopsi	Whoopsi	96	67	454	364	2.54	26458.58	60427	2024-05-19 00:10:33	13.97	False	True	True	True	3	30d103	0.00006042	-8.54	-8.54	-8.54	103	2024-05-19 02:24:31.006830
solana	raydium	7fZD96ziSR6feuUDF99yasrkPy8Ktm94GRg31LkRk7AX	6CDQ6NoAi4kKk1PLpLbVr4zZkSM9QKeyzDqPc5Z2brTp	Whoopsi	Whoopsi	56	53	510	417	1.32	26076.82	58437	2024-05-19 00:10:33	18.62	False	True	True	True	3	30d103	0.00005843	-11.55	-11.55	-11.55	-3.29	2024-05-19 02:29:09.958650
solana	raydium	7fZD96ziSR6feuUDF99yasrkPy8Ktm94GRg31LkRk7AX	6CDQ6NoAi4kKk1PLpLbVr4zZkSM9QKeyzDqPc5Z2brTp	Whoopsi	Whoopsi	52	34	527	431	1.18	24533.39	51686	2024-05-19 00:10:33	20.94	False	True	True	True	3	30d103	0.00005168	-21.77	-21.77	-21.77	-6.99	2024-05-19 02:31:29.286720
solana	raydium	7fZD96ziSR6feuUDF99yasrkPy8Ktm94GRg31LkRk7AX	6CDQ6NoAi4kKk1PLpLbVr4zZkSM9QKeyzDqPc5Z2brTp	Whoopsi	Whoopsi	38	17	608	500	0.75	24709.11	52208	2024-05-19 00:10:33	30.2	False	True	True	True	3	30d103	0.00005220	-20.98	-20.98	-20.98	60.38	2024-05-19 02:40:44.943832
solana	raydium	7fZD96ziSR6feuUDF99yasrkPy8Ktm94GRg31LkRk7AX	6CDQ6NoAi4kKk1PLpLbVr4zZkSM9QKeyzDqPc5Z2brTp	Whoopsi	Whoopsi	50	27	642	521	0.93	28259.53	68163	2024-05-19 00:10:33	32.56	False	True	True	True	3	30d103	0.00006816	3.17	3.17	3.17	51.86	2024-05-19 02:43:06.521208
solana	raydium	7fZD96ziSR6feuUDF99yasrkPy8Ktm94GRg31LkRk7AX	6CDQ6NoAi4kKk1PLpLbVr4zZkSM9QKeyzDqPc5Z2brTp	Whoopsi	Whoopsi	51	43	657	542	0.93	28248.8	68121	2024-05-19 00:10:33	34.89	False	True	True	True	3	30d103	0.00006812	3.1	3.1	3.1	30.14	2024-05-19 02:45:26.409349
solana	raydium	7fZD96ziSR6feuUDF99yasrkPy8Ktm94GRg31LkRk7AX	6CDQ6NoAi4kKk1PLpLbVr4zZkSM9QKeyzDqPc5Z2brTp	Whoopsi	Whoopsi	18	29	662	557	0.33	27326.08	63635	2024-05-19 00:10:33	37.24	False	True	True	True	3	30d103	0.00006363	-3.69	-3.69	-3.69	-8.11	2024-05-19 02:47:47.570299
solana	raydium	7fZD96ziSR6feuUDF99yasrkPy8Ktm94GRg31LkRk7AX	6CDQ6NoAi4kKk1PLpLbVr4zZkSM9QKeyzDqPc5Z2brTp	Whoopsi	Whoopsi	41	33	702	590	0.7	24577.59	51350	2024-05-19 00:10:33	41.87	False	True	True	True	3	30d103	0.00005135	-22.28	-22.28	-22.28	-17.5	2024-05-19 02:52:25.193675
solana	raydium	7fZD96ziSR6feuUDF99yasrkPy8Ktm94GRg31LkRk7AX	6CDQ6NoAi4kKk1PLpLbVr4zZkSM9QKeyzDqPc5Z2brTp	Whoopsi	Whoopsi	30	11	733	601	0.49	26204.38	58288	2024-05-19 00:10:33	46.49	False	True	True	True	3	30d103	0.00005828	-11.78	-11.78	-11.78	13.16	2024-05-19 02:57:02.328123
solana	raydium	7fZD96ziSR6feuUDF99yasrkPy8Ktm94GRg31LkRk7AX	6CDQ6NoAi4kKk1PLpLbVr4zZkSM9QKeyzDqPc5Z2brTp	Whoopsi	Whoopsi	25	20	740	618	0.41	24542.3	50604	2024-05-19 00:10:33	48.85	False	True	True	True	3	30d103	0.00005060	-23.41	-23.41	-23.41	9.62	2024-05-19 02:59:23.866509
